Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Altona,5/57 Blyth St,3,u,730000,SP,Barlow,28/05/2016,13.8,3018,3,2,1,70,3,2014,Hobsons Bay City Council,-37.868,144.8285,Western Metropolitan,5301
Altona,2/60 David St,2,h,535600,SP,Compton,30/07/2016,13.8,3018,2,1,1,154,91,1996,Hobsons Bay City Council,-37.8646,144.8272,Western Metropolitan,5301
Altona North,45 Hearn St,5,h,1085000,S,FN,3/09/2016,11.1,3025,5,3,6,592,251,1965,Hobsons Bay City Council,-37.8388,144.8567,Western Metropolitan,5132
Altona North,4 Knapp St,3,h,781000,S,Jas,3/09/2016,11.1,3025,3,1,2,533,117,1970,Hobsons Bay City Council,-37.8291,144.835,Western Metropolitan,5132
Altona North,3/66 Marion St,2,t,421000,S,hockingstuart,4/03/2017,11.1,3025,2,1,1,77,77,2009,Hobsons Bay City Council,-37.8351,144.8529,Western Metropolitan,5132
Altona North,33 Carthy St,3,h,683000,S,FN,4/06/2016,11.1,3025,3,1,2,534,167,1967,Hobsons Bay City Council,-37.8284,144.8355,Western Metropolitan,5132
Altona North,1/5 Little St,3,h,720000,VB,Greg,6/08/2016,11.1,3025,3,2,1,0,130,2012,Hobsons Bay City Council,-37.8379,144.8583,Western Metropolitan,5132
Altona North,1/95 Mills St,3,h,588000,S,Williams,7/05/2016,11.1,3025,3,1,1,328,118,1970,Hobsons Bay City Council,-37.838,144.8555,Western Metropolitan,5132
Altona North,5 Binns St,3,h,710000,PI,Village,7/11/2016,11.1,3025,3,1,3,540,116,1960,Hobsons Bay City Council,-37.8294,144.8378,Western Metropolitan,5132
Altona North,25 Allan St,4,h,875000,SP,Jas,8/10/2016,11.1,3025,3,1,4,559,169,1965,Hobsons Bay City Council,-37.8448,144.8529,Western Metropolitan,5132
Altona North,2/36 May St,3,h,675000,S,hockingstuart,14/05/2016,11.1,3025,3,2,2,171,109,2012,Hobsons Bay City Council,-37.8337,144.8554,Western Metropolitan,5132
Altona North,11 Beevers St,3,h,708000,S,Greg,15/10/2016,11.1,3025,3,1,2,585,97,1960,Hobsons Bay City Council,-37.8258,144.8523,Western Metropolitan,5132
Altona North,252 Millers Rd,4,h,693000,SP,Raine&Horne,22/05/2016,11.1,3025,4,2,4,315,170,2008,Hobsons Bay City Council,-37.8391,144.8467,Western Metropolitan,5132
Altona North,1/156 Chambers Rd,3,h,620000,SP,Hunter,22/08/2016,11.1,3025,5,2,2,276,100,2010,Hobsons Bay City Council,-37.8262,144.8443,Western Metropolitan,5132
Altona North,2 Gadsden St,3,h,728500,S,Jas,22/08/2016,11.1,3025,3,1,1,531,157,1960,Hobsons Bay City Council,-37.8277,144.8385,Western Metropolitan,5132
Altona North,24 Hansen St,3,h,931000,S,hockingstuart,22/08/2016,11.1,3025,3,2,1,590,160,1950,Hobsons Bay City Council,-37.8382,144.8649,Western Metropolitan,5132
Altona North,6 Hill St,3,h,815000,S,hockingstuart,25/02/2017,11.1,3025,3,2,3,555,130,1960,Hobsons Bay City Council,-37.8318,144.8388,Western Metropolitan,5132
Altona North,5 Cresser St,4,h,1200000,SP,RT,27/11/2016,11.1,3025,4,1,4,633,158,1960,Hobsons Bay City Council,-37.8375,144.8541,Western Metropolitan,5132
Altona North,4/221 Blackshaws Rd,2,u,292000,S,Jas,28/08/2016,11.1,3025,2,1,1,153,70,1970,Hobsons Bay City Council,-37.8332,144.8649,Western Metropolitan,5132
Armadale,8/19 Mercer Rd,2,u,599000,S,Jellis,3/09/2016,6.3,3143,2,1,1,0,76,1964,Stonnington City Council,-37.8543,145.0262,Southern Metropolitan,4836
Armadale,14/71 Denbigh Rd,3,u,995000,S,Marshall,3/12/2016,6.3,3143,3,2,2,0,100,1998,Stonnington City Council,-37.8552,145.016,Southern Metropolitan,4836
Armadale,4/769 High St,3,t,1205000,S,Jellis,3/12/2016,6.3,3143,3,2,2,101,105,2000,Stonnington City Council,-37.854,145.0135,Southern Metropolitan,4836
Armadale,7 Llaneast St,3,h,1939000,S,Jellis,3/12/2016,6.3,3143,3,2,2,296,150,1889,Stonnington City Council,-37.8614,145.0274,Southern Metropolitan,4836
Armadale,28 Cambridge St,3,h,1870000,S,Hodges,4/03/2017,6.3,3143,3,1,1,217,116,1888,Stonnington City Council,-37.8592,145.0182,Southern Metropolitan,4836
Armadale,3/20 Mercer Rd,3,t,1918000,SP,Jellis,4/03/2017,6.3,3143,3,2,2,0,165,1995,Stonnington City Council,-37.8537,145.0267,Southern Metropolitan,4836
Armadale,12 Willis St,3,h,2050000,S,Marshall,4/03/2017,6.3,3143,3,2,1,205,116,1910,Stonnington City Council,-37.8574,145.0281,Southern Metropolitan,4836
Armadale,9/19 Mercer Rd,3,u,735000,PI,Marshall,7/05/2016,6.3,3143,3,2,1,2113,14,1970,Stonnington City Council,-37.8543,145.0262,Southern Metropolitan,4836
Armadale,10 William St,1,h,1435000,SP,Jellis,8/10/2016,6.3,3143,2,2,1,144,107,1900,Stonnington City Council,-37.8564,145.0228,Southern Metropolitan,4836
Armadale,15/405 Dandenong Rd,1,u,280000,PI,hockingstuart,10/09/2016,6.3,3143,1,1,1,0,38,1975,Stonnington City Council,-37.8619,145.0185,Southern Metropolitan,4836
Armadale,8/58 Sutherland Rd,2,u,592500,S,hockingstuart,10/12/2016,6.3,3143,2,1,1,0,73,1970,Stonnington City Council,-37.8574,145.0174,Southern Metropolitan,4836
Armadale,40 New St,2,h,1210000,S,Marshall,12/11/2016,6.3,3143,2,1,0,249,96,1910,Stonnington City Council,-37.8543,145.016,Southern Metropolitan,4836
Armadale,35 Northcote Rd,4,h,2801000,S,Marshall,12/11/2016,6.3,3143,4,2,2,624,222,1900,Stonnington City Council,-37.8536,145.0173,Southern Metropolitan,4836
Armadale,791 High St,3,h,1800000,PI,RT,15/10/2016,6.3,3143,3,2,2,405,121,1910,Stonnington City Council,-37.8545,145.0145,Southern Metropolitan,4836
Armadale,25 Llaneast St,4,h,2200000,PI,Jellis,15/10/2016,6.3,3143,4,1,2,495,163,1900,Stonnington City Council,-37.8613,145.0264,Southern Metropolitan,4836
Armadale,367 Dandenong Rd,6,h,5525000,S,Marshall,17/09/2016,6.3,3143,5,3,4,1491,516,1935,Stonnington City Council,-37.8602,145.013,Southern Metropolitan,4836
Armadale,10/581 Orrong Rd,1,u,440000,SP,Jellis,18/03/2017,6.3,3143,1,1,1,0,53,1970,Stonnington City Council,-37.8531,145.0115,Southern Metropolitan,4836
Armadale,14 New St,3,h,1300000,VB,Jellis,18/06/2016,6.3,3143,2,1,2,212,106,1900,Stonnington City Council,-37.8542,145.0149,Southern Metropolitan,4836
Armadale,6/51 Armadale St,2,u,704000,SP,Greg,19/11/2016,6.3,3143,2,1,1,0,74,1969,Stonnington City Council,-37.8573,145.0186,Southern Metropolitan,4836
Armadale,12/41 Kooyong Rd,2,u,620000,VB,Marshall,19/11/2016,6.3,3143,3,1,1,0,98,1970,Stonnington City Council,-37.8596,145.0198,Southern Metropolitan,4836
Armadale,63 Denbigh Rd,3,h,1900000,S,Marshall,22/05/2016,6.3,3143,3,1,2,328,108,1900,Stonnington City Council,-37.8559,145.0158,Southern Metropolitan,4836
Armadale,10/51 Armadale St,2,u,710000,S,Jellis,25/02/2017,6.3,3143,2,1,1,2471,80,1970,Stonnington City Council,-37.8573,145.0186,Southern Metropolitan,4836
Armadale,1/14 Denbigh Rd,2,u,598000,S,hockingstuart,25/02/2017,6.3,3143,2,1,1,0,88,1970,Stonnington City Council,-37.8593,145.0156,Southern Metropolitan,4836
Armadale,75 Sutherland Rd,3,h,1285000,S,Marshall,25/02/2017,6.3,3143,3,1,2,186,80,1920,Stonnington City Council,-37.8554,145.0173,Southern Metropolitan,4836
Armadale,1/403 Dandenong Rd,2,u,520000,S,hockingstuart,27/06/2016,6.3,3143,1,1,1,0,76,1970,Stonnington City Council,-37.8618,145.0183,Southern Metropolitan,4836
Armadale,44 Denbigh Rd,4,h,3625000,S,Jellis,27/11/2016,6.3,3143,4,1,2,709,251,1900,Stonnington City Council,-37.8574,145.016,Southern Metropolitan,4836
Armadale,44 Hampden Rd,4,h,4200000,VB,Kay,27/11/2016,6.3,3143,4,3,3,563,333,2000,Stonnington City Council,-37.8582,145.0138,Southern Metropolitan,4836
Armadale,3/769 High St,3,t,1101000,S,Jellis,27/11/2016,6.3,3143,3,1,2,103,3,2000,Stonnington City Council,-37.8542,145.0135,Southern Metropolitan,4836
Armadale,4 Mercer Rd,3,h,3512500,S,Marshall,27/11/2016,6.3,3143,3,2,2,617,285,1998,Stonnington City Council,-37.8557,145.0264,Southern Metropolitan,4836
Armadale,1/31 Mercer Rd,3,u,869000,S,Jellis,28/05/2016,6.3,3143,2,1,1,0,91,1940,Stonnington City Council,-37.853,145.0264,Southern Metropolitan,4836
Armadale,5/555 Orrong Rd,1,u,567000,S,hockingstuart,28/08/2016,6.3,3143,1,1,1,0,53,2013,Stonnington City Council,-37.8549,145.0113,Southern Metropolitan,4836
