Suburb,Address,Rooms,Type,Price,Method,Real Estate Agent,Date,Distance,Postcode,Number of Bathroom,number of carpark,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,Year,Month
Altona North,12 Chambers Rd,3,h,830000,SP,RT,2017-07-22,9.4,3025,2,2,529,130,1965,Hobsons Bay City Council,-37.84107,144.84179,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2017,7
Altona North,313 Millers Rd,4,h,805000,S,Sweeney,2017-07-22,9.4,3025,2,5,562,146,1950,Hobsons Bay City Council,-37.84384,144.84637,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2017,7
Altona North,7 Gadsden St,3,h,840000,SP,FN,2017-11-11,9.4,3025,1,3,535,534,1970,Hobsons Bay City Council,-37.8279,144.8379,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2017,11
Altona North,54 Cooper Av,3,h,835000,S,RT,2017-12-09,9.4,3025,2,3,534,115,1970,Hobsons Bay City Council,-37.83748,144.84446,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2017,12
Altona North,5 Dean Ct,3,h,860000,S,Sweeney,2017-12-09,9.4,3025,1,5,537,123,1960,Hobsons Bay City Council,-37.8308,144.83765,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2017,12
Altona North,11a Mahon Av,3,h,860000,S,Greg,2018-02-24,9.4,3025,2,2,323,161,2016,Hobsons Bay City Council,-37.83015,144.85064,Western Metropolitan,5132,37,2167,753,400,2137,0.8,1695,2.6,2018,2
Ascot Vale,30 Rothwell St,3,h,940000,S,Nelson,2016-12-03,5.9,3032,1,2,298,108,1920,Moonee Valley City Council,-37.7777,144.9195,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2016,12
Ascot Vale,98 Epsom Rd,3,h,971000,SP,Nelson,2016-06-04,5.9,3032,2,2,285,128,1900,Moonee Valley City Council,-37.775,144.9091,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2016,6
Ascot Vale,120 Epsom Rd,3,h,970000,S,Brad,2016-05-07,5.9,3032,1,2,350,125,1904,Moonee Valley City Council,-37.7759,144.91,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2016,5
Ascot Vale,4 The Parade,2,h,950000,SP,Raine,2016-05-07,5.9,3032,1,1,173,102,1900,Moonee Valley City Council,-37.7731,144.9206,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2016,5
Ascot Vale,12 Mirams St,4,h,890000,SP,Raine,2016-12-10,5.9,3032,1,1,300,185,1890,Moonee Valley City Council,-37.7766,144.9143,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2016,12
Ascot Vale,26 Newsom St,3,h,1000000,PI,Brad,2016-11-12,5.9,3032,2,2,440,120,1955,Moonee Valley City Council,-37.7746,144.9031,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2016,11
Ascot Vale,70 Munro St,3,h,955000,S,Brad,2016-05-14,5.9,3032,1,1,263,117,1910,Moonee Valley City Council,-37.7753,144.9116,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2016,5
Ascot Vale,57 The Parade,3,h,940000,S,Nelson,2016-04-16,5.9,3032,3,1,491,127,1950,Moonee Valley City Council,-37.7727,144.9136,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2016,4
Ascot Vale,62 Mirams St,3,h,890000,SP,Brad,2016-07-16,5.9,3032,1,1,242,110,1920,Moonee Valley City Council,-37.7765,144.9114,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2016,7
Ascot Vale,25 Geddes St,4,h,950000,PI,Nelson,2016-09-24,5.9,3032,2,1,298,147,1920,Moonee Valley City Council,-37.7778,144.9131,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2016,9
Ascot Vale,25 Dalgety Dr,3,h,940000,S,Jellis,2016-07-26,5.9,3032,2,2,285,172,2011,Moonee Valley City Council,-37.7778,144.9061,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2016,7
Ascot Vale,7 Dalgety Dr,3,h,995000,S,Nelson,2016-07-26,5.9,3032,2,1,314,177,2010,Moonee Valley City Council,-37.7778,144.9042,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2016,7
Maribyrnong,6 Londrew Ct,3,h,975000,PI,Burnham,2016-12-03,8.7,3032,1,2,597,154,1970,Maribyrnong City Council,-37.76300000000001,144.8877,Western Metropolitan,4918,36,2167,1027,381,2643,0.9,2057,2.3,2016,12
Maribyrnong,28 Kellaway St,3,h,920000,SP,Biggin,2016-09-10,8.7,3032,1,2,689,110,1920,Maribyrnong City Council,-37.7823,144.887,Western Metropolitan,4918,36,2167,1027,381,2643,0.9,2057,2.3,2016,9
Maribyrnong,12 Marin La,3,h,847000,S,Nelson,2016-11-12,8.7,3032,2,2,222,200,2002,Maribyrnong City Council,-37.7697,144.878,Western Metropolitan,4918,36,2167,1027,381,2643,0.9,2057,2.3,2016,11
Maribyrnong,66 Raleigh Rd,3,h,907000,S,Raine,2016-11-27,8.7,3032,1,2,678,124,1950,Maribyrnong City Council,-37.769,144.8935,Western Metropolitan,4918,36,2167,1027,381,2643,0.9,2057,2.3,2016,11
Maribyrnong,75 Edgewater Bvd,3,h,820000,PI,Biggin,2016-05-28,8.7,3032,2,2,203,160,2006,Maribyrnong City Council,-37.7853,144.8972,Western Metropolitan,4918,36,2167,1027,381,2643,0.9,2057,2.3,2016,5
Maribyrnong,39 Kellaway St,3,h,940000,S,Jas,2016-05-28,8.7,3032,1,1,695,141,1940,Maribyrnong City Council,-37.7825,144.886,Western Metropolitan,4918,36,2167,1027,381,2643,0.9,2057,2.3,2016,5
Maribyrnong,12 Ibis Pl,3,h,884500,S,Jellis,2016-07-30,8.7,3032,2,2,211,234,2005,Maribyrnong City Council,-37.7848,144.8969,Western Metropolitan,4918,36,2167,1027,381,2643,0.9,2057,2.3,2016,7
Maribyrnong,21 Mitchell St,3,h,820000,VB,Biggin,2016-07-30,8.7,3032,1,4,578,176,2006,Maribyrnong City Council,-37.7837,144.8887,Western Metropolitan,4918,36,2167,1027,381,2643,0.9,2057,2.3,2016,7
Ascot Vale,18 McCully St,3,h,990000,S,Brad,2017-06-24,4.3,3032,1,0,196,102,1900,Moonee Valley City Council,-37.77552,144.92022,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2017,6
Maribyrnong,6 Adori Pl,3,h,983000,S,Biggin,2017-09-03,4.3,3032,2,2,359,185,2008,Maribyrnong City Council,-37.78606,144.88459,Western Metropolitan,4918,36,2167,1027,381,2643,0.9,2057,2.3,2017,9
Ascot Vale,18 Ascot St,3,h,870000,PI,Nelson,2017-09-09,4.3,3032,2,3,388,92,1950,Moonee Valley City Council,-37.7822,144.92042,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2017,9
Ascot Vale,11 Station Av,2,h,950000,SP,Nelson,2017-10-07,4.3,3032,1,0,138,97,1900,Moonee Valley City Council,-37.77529000000001,144.92255,Western Metropolitan,6567,36,2167,1027,381,2643,0.9,2057,2.3,2017,10
Maribyrnong,18 Valnere St,5,h,970000,PI,Biggin,2017-10-21,4.3,3032,2,2,515,150,1960,Maribyrnong City Council,-37.78461,144.88474,Western Metropolitan,4918,36,2167,1027,381,2643,0.9,2057,2.3,2017,10
Travancore,106 Baroda St,2,h,972000,S,Nelson,2018-03-17,4.3,3032,1,4,315,82,1930,Moonee Valley City Council,-37.7778,144.93438999999995,Western Metropolitan,1052,36,2167,1027,381,2643,0.9,2057,2.3,2018,3
Ashwood,1/2 Condah Ct,3,h,855000,S,Noel,2017-02-25,12.2,3147,2,1,320,85,1958,Monash City Council,-37.87,145.1103,Southern Metropolitan,2894,40,2751,913,410,2969,0.8,2273,2.6,2017,2
Ashwood,2/7 Murra Ct,3,h,860000,S,Purplebricks,2017-06-17,10.2,3147,2,2,280,115,1990,Monash City Council,-37.87105,145.10198,Southern Metropolitan,2894,40,2751,913,410,2969,0.8,2273,2.6,2017,6
Avondale Heights,8 Norma Ct,3,h,850000,S,Moonee,2016-09-03,10.5,3034,1,1,593,118,1970,Moonee Valley City Council,-37.7677,144.8674,Western Metropolitan,4502,45,2167,666,400,2039,0.8,1587,2.6,2016,9
Avondale Heights,3 Clive Ct,4,h,950000,S,Moonee,2016-12-10,10.5,3034,3,3,761,281,1970,Moonee Valley City Council,-37.7524,144.8714,Western Metropolitan,4502,45,2167,666,400,2039,0.8,1587,2.6,2016,12
Avondale Heights,20 Westminster Dr,3,h,892500,S,Nelson,2016-05-22,10.5,3034,1,1,586,118,1965,Moonee Valley City Council,-37.7642,144.8603,Western Metropolitan,4502,45,2167,666,400,2039,0.8,1587,2.6,2016,5
Avondale Heights,2 Drake Ct,3,h,875000,S,Edward,2017-02-25,10.5,3034,1,3,812,117,1960,Moonee Valley City Council,-37.765,144.8578,Western Metropolitan,4502,45,2167,666,400,2039,0.8,1587,2.6,2017,2
Avondale Heights,10 Skewes St,3,h,805000,S,Nelson,2016-11-27,10.5,3034,2,2,593,103,1970,Moonee Valley City Council,-37.7607,144.8581,Western Metropolitan,4502,45,2167,666,400,2039,0.8,1587,2.6,2016,11
Avondale Heights,9 Thompson St,4,h,934000,S,Moonee,2017-07-15,9.5,3034,2,1,581,163,1975,Moonee Valley City Council,-37.76421,144.85594,Western Metropolitan,4502,45,2167,666,400,2039,0.8,1587,2.6,2017,7
Avondale Heights,55 Ridge Dr,5,h,800000,VB,Barry,2017-07-22,9.5,3034,2,3,577,166,1985,Moonee Valley City Council,-37.75261,144.85631,Western Metropolitan,4502,45,2167,666,400,2039,0.8,1587,2.6,2017,7
Avondale Heights,41 Montpellier Dr,3,h,900000,S,Moonee,2017-10-21,9.5,3034,1,1,550,115,1975,Moonee Valley City Council,-37.75486,144.8655,Western Metropolitan,4502,45,2167,666,400,2039,0.8,1587,2.6,2017,10
Avondale Heights,14 Hanley St,3,h,865000,SP,Brad,2017-10-28,9.5,3034,1,2,590,118,1960,Moonee Valley City Council,-37.76092,144.85603,Western Metropolitan,4502,45,2167,666,400,2039,0.8,1587,2.6,2017,10
Avondale Heights,8 Hanley St,3,h,801000,S,Hodges,2017-10-28,9.5,3034,2,2,580,133,1950,Moonee Valley City Council,-37.76132,144.85619,Western Metropolitan,4502,45,2167,666,400,2039,0.8,1587,2.6,2017,10
Avondale Heights,45 Intervale Dr,4,h,900000,VB,Nelson,2017-10-28,9.5,3034,3,1,612,117,1970,Moonee Valley City Council,-37.7526,144.85488,Western Metropolitan,4502,45,2167,666,400,2039,0.8,1587,2.6,2017,10
Avondale Heights,39 Brown St,4,h,970000,SP,Moonee,2017-12-09,9.5,3034,2,2,534,181,2000,Moonee Valley City Council,-37.76643,144.85492,Western Metropolitan,4502,45,2167,666,400,2039,0.8,1587,2.6,2017,12
Balaclava,1/17 Albion St,2,h,981000,S,Buxton,2017-02-25,6.6,3183,1,0,159,84,1930,Port Phillip City Council,-37.874,144.9933,Southern Metropolitan,2952,34,2167,1180,396,2877,1.0,2022,2.1,2017,2
Balwyn,1/18 Belmore Rd,3,h,905000,S,Kay,2016-12-10,9.7,3103,1,2,281,150,1995,Boroondara City Council,-37.8013,145.0652,Southern Metropolitan,5682,43,3000,869,460,2550,0.8,2014,2.6,2016,12
Balwyn North,40 MacEdon Av,2,h,1000000,VB,Marshall,2017-10-28,9.7,3104,1,2,244,109,1990,Boroondara City Council,-37.789629999999995,145.07365,Southern Metropolitan,7809,42,3078,854,554,2727,0.8,2346,2.9,2017,10
Bentleigh,1/30 Daley St,2,h,855000,SP,Marshall,2016-12-10,13.0,3204,1,1,296,103,1940,Glen Eira City Council,-37.9243,145.0376,Southern Metropolitan,6795,39,2500,984,461,2860,0.9,2233,2.6,2016,12
Bentleigh,13 Horsley St,2,h,910000,S,Buxton,2016-08-22,13.0,3204,1,2,274,96,1970,Glen Eira City Council,-37.9178,145.0413,Southern Metropolitan,6795,39,2500,984,461,2860,0.9,2233,2.6,2016,8
Ormond,2/43 Ulupna Rd,2,h,810000,S,hockingstuart,2016-11-12,11.8,3204,1,1,210,90,1996,Glen Eira City Council,-37.9001,145.0428,Southern Metropolitan,3578,39,2500,984,461,2860,0.9,2233,2.6,2016,11
Ormond,2 Stewart St,3,h,940000,PI,Buxton,2016-07-16,11.8,3204,1,1,397,124,1940,Glen Eira City Council,-37.9064,145.0291,Southern Metropolitan,3578,39,2500,984,461,2860,0.9,2233,2.6,2016,7
Bentleigh East,30 Veronica St,2,h,825000,S,Buxton,2016-09-03,13.9,3165,2,1,176,125,2008,Glen Eira City Council,-37.9237,145.0763,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,9
Bentleigh East,13 Claronga St,3,h,885000,S,C21,2016-06-04,13.9,3165,1,2,565,110,1950,Glen Eira City Council,-37.9262,145.0808,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,6
Bentleigh East,25 Connie St,5,h,950000,VB,Woodards,2016-05-07,13.9,3165,2,4,618,146,1950,Glen Eira City Council,-37.9209,145.0757,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,5
Bentleigh East,41 Bradford St,3,h,845000,S,Ray,2016-11-12,13.9,3165,2,2,295,145,1998,Glen Eira City Council,-37.9239,145.0781,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,11
Bentleigh East,25 Thornton St,3,h,920000,PI,Buxton,2016-11-12,13.9,3165,2,2,578,120,1950,Glen Eira City Council,-37.9303,145.0805,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,11
Bentleigh East,18 Normanby Rd,3,h,930000,SP,Buxton,2016-04-16,13.9,3165,1,2,588,133,1960,Glen Eira City Council,-37.9286,145.069,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,4
Bentleigh East,93 Tudor St,3,h,921000,S,Buxton,2016-04-16,13.9,3165,2,1,291,119,2000,Glen Eira City Council,-37.919000000000004,145.0829,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,4
Bentleigh East,601 South Rd,3,h,900000,VB,Beller,2016-09-17,13.9,3165,1,3,780,140,1940,Glen Eira City Council,-37.9347,145.0507,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,9
Bentleigh East,1002 North Rd,3,h,823000,S,C21,2017-03-18,13.9,3165,2,2,213,143,2003,Glen Eira City Council,-37.9079,145.0707,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2017,3
Bentleigh East,2/53 Moylan St,3,h,835000,S,Woodards,2016-06-18,13.9,3165,1,1,250,105,1980,Glen Eira City Council,-37.9087,145.0537,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,6
Bentleigh East,24 Veronica St,3,h,910000,S,Buxton,2016-06-18,13.9,3165,1,1,587,96,1950,Glen Eira City Council,-37.9241,145.0763,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,6
Bentleigh East,14 Florence St,3,h,977000,S,Buxton,2016-11-19,13.9,3165,1,2,543,163,1970,Glen Eira City Council,-37.9242,145.0705,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,11
Bentleigh East,3b Manuka St,3,h,886000,S,Ray,2016-05-28,13.9,3165,2,1,185,122,2012,Glen Eira City Council,-37.9159,145.0787,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,5
Bentleigh East,1/39 Neville St,3,h,870000,S,Gary,2016-08-28,13.9,3165,2,1,326,133,1950,Glen Eira City Council,-37.9236,145.0545,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2016,8
Bentleigh East,7 Celia St,3,h,986000,S,Buxton,2017-04-08,13.9,3165,1,3,337,100,1950,Glen Eira City Council,-37.9331,145.0586,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2017,4
Bentleigh East,1/62 Tudor St,3,h,810000,PI,Buxton,2017-05-20,13.9,3165,1,1,294,105,1950,Glen Eira City Council,-37.919000000000004,145.0803,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2017,5
Bentleigh East,978 North Rd,3,h,959000,S,Ray,2017-04-29,13.9,3165,2,2,557,119,1960,Glen Eira City Council,-37.9076,145.06799999999996,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2017,4
Bentleigh East,2 Warwick St,3,h,1000000,S,Jellis,2017-10-14,13.8,3165,2,3,402,99,1970,Glen Eira City Council,-37.92066,145.0669,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2017,10
Bentleigh East,39 Tambet St,3,h,950000,SP,Buxton,2017-10-21,13.8,3165,1,2,366,120,1960,Glen Eira City Council,-37.91567,145.07111,Southern Metropolitan,10969,40,2500,927,500,2640,0.8,2215,2.7,2017,10
Box Hill,15 Davey St,3,h,948000,S,Ray,2016-11-12,13.1,3128,1,2,384,108,1950,Whitehorse City Council,-37.8167,145.1373,Eastern Metropolitan,4605,34,2088,682,391,1914,0.9,1441,2.3,2016,11
Box Hill,19 Kent Rd,3,h,928000,S,Lindellas,2016-06-18,13.1,3128,1,1,307,106,1890,Whitehorse City Council,-37.8247,145.1206,Eastern Metropolitan,4605,34,2088,682,391,1914,0.9,1441,2.3,2016,6
Box Hill,837 Canterbury Rd,3,h,857000,S,Fletchers,2016-05-28,13.1,3128,1,1,492,119,1930,Whitehorse City Council,-37.8283,145.1195,Eastern Metropolitan,4605,34,2088,682,391,1914,0.9,1441,2.3,2016,5
