POA_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
POA3153,738,22,0,761,4,0,0,0,4,0,0,0,11,0,0,7,10,3,0,0,15,3,0,3,15,0,0,15,21,7,0,0,25,3,0,3,26,0,0,29,644,87,11,3,744,10,0,13,761,27,0,789,147,21,0,0,171,3,0,3,170,25,4,194,0,0,0,0,0,0,0,0,0,0,5,7,788,111,12,3,919,14,4,16,932,46,11,993,121,25,4,0,146,0,0,0,151,12,0,158,190,23,0,0,214,0,0,0,212,3,0,216,17,0,0,0,18,0,0,0,18,0,0,14,0,0,0,3,3,0,0,0,3,0,0,5,320,50,5,0,375,0,0,0,377,17,0,400,4,0,0,0,9,0,0,0,7,0,0,10,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,11,0,0,0,9,0,0,14,330,47,8,0,390,3,0,3,395,19,0,410,58,10,5,0
POA3154,201,8,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,18,4,0,203,0,0,0,206,8,0,216,24,3,0,0,22,0,0,0,22,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,201,21,4,0,226,0,0,0,230,16,0,248,31,3,0,0,33,0,0,0,33,5,0,41,50,12,0,0,61,0,0,0,61,5,0,68,8,0,0,0,8,0,0,0,8,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,88,12,0,0,103,0,0,0,103,10,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,12,0,0,103,0,0,0,103,10,0,108,20,0,0,0
POA3155,783,29,4,816,10,0,0,0,12,0,0,0,12,0,0,12,11,0,0,0,13,0,0,0,13,0,0,13,15,0,0,0,20,0,0,0,20,0,0,20,666,96,12,6,787,12,4,14,805,29,4,833,150,19,0,0,170,3,4,8,178,21,0,200,0,0,0,0,0,0,0,0,0,0,0,3,819,115,18,10,960,16,10,23,984,45,3,1035,123,17,0,0,145,0,0,6,150,3,0,153,188,33,3,4,219,4,0,4,228,13,0,239,7,6,0,0,12,0,0,0,12,0,0,12,4,0,0,0,5,0,0,0,5,0,0,5,323,51,7,6,387,8,3,6,394,11,0,411,0,0,0,0,4,0,0,0,4,0,0,4,5,6,0,0,9,0,0,0,9,0,0,9,7,5,0,0,9,0,0,0,9,0,0,9,330,57,7,6,401,8,3,6,407,11,0,423,68,6,0,0
POA3156,1424,38,4,1467,7,0,0,0,13,0,0,0,10,0,0,10,23,3,0,0,27,0,0,0,33,0,0,27,33,4,0,0,39,3,0,3,39,0,0,44,1279,141,26,10,1446,10,7,19,1461,44,4,1506,281,32,6,0,328,5,0,5,333,27,0,356,0,0,0,4,10,0,0,0,10,0,4,12,1565,170,26,20,1781,17,7,21,1806,70,0,1879,283,36,0,0,323,4,0,5,326,8,0,338,445,40,8,7,493,3,0,3,499,11,0,511,20,0,0,0,26,0,0,0,26,0,0,26,0,0,0,4,8,0,0,0,8,0,5,11,754,79,11,8,850,6,0,9,862,14,3,881,6,0,0,0,6,0,0,0,6,0,0,6,6,0,0,0,6,0,0,0,6,0,0,4,10,0,0,0,10,0,0,0,10,0,0,14,764,79,11,8,863,6,0,9,872,14,3,893,120,18,5,0
POA3158,314,10,0,324,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,10,9,0,0,0,9,0,0,0,9,0,0,9,262,47,8,4,322,0,0,0,327,10,0,337,40,0,0,4,47,0,0,0,47,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,309,49,11,6,369,0,0,0,375,13,0,384,47,11,0,0,62,0,4,4,65,3,0,68,106,9,0,0,116,0,0,0,121,0,0,118,8,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,161,22,0,0,190,0,4,6,193,5,0,200,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,5,0,0,0,5,0,0,5,165,22,0,0,194,0,4,6,202,5,0,206,18,3,0,0
POA3159,112,7,0,118,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,95,11,5,0,113,0,0,0,114,7,0,121,12,0,0,0,12,6,0,6,17,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,108,11,3,0,125,4,0,4,126,5,0,137,15,3,0,0,16,0,0,0,16,0,0,16,28,4,0,0,43,0,0,0,43,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,9,0,0,58,0,0,0,58,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,48,9,0,0,61,0,0,0,61,0,0,63,6,0,0,0
POA3160,397,10,0,405,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,9,9,0,0,0,9,0,0,0,9,0,0,9,330,62,8,3,404,5,0,5,403,10,0,412,62,5,0,0,68,0,0,0,68,0,0,71,0,0,0,0,4,0,0,0,4,0,0,5,394,63,9,3,475,5,0,5,476,16,0,494,86,17,3,0,99,4,0,4,103,9,0,111,94,21,4,0,121,0,0,0,121,4,0,118,14,0,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,197,37,4,0,237,4,0,4,236,9,0,247,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,9,0,0,9,7,0,0,0,9,0,0,0,9,0,0,9,197,37,4,0,240,4,0,4,243,9,0,253,33,0,0,0
POA3161,569,20,0,589,3,0,0,0,3,0,0,0,3,0,0,3,10,0,0,0,10,0,0,0,10,0,0,10,14,0,0,0,16,0,0,0,16,0,0,16,510,49,7,8,575,7,0,7,588,20,0,602,110,22,0,4,131,0,0,0,133,0,0,137,4,0,0,3,10,0,0,0,10,0,3,12,619,68,7,18,720,10,0,6,732,21,9,752,108,10,0,0,128,0,0,0,127,9,0,136,182,26,0,0,210,3,0,3,212,0,0,213,5,0,0,0,6,0,0,0,6,0,0,6,0,0,0,3,8,0,0,0,8,0,0,6,300,42,3,5,351,3,0,3,350,11,0,361,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,302,42,3,5,352,3,0,3,354,11,0,364,56,10,0,0
POA3162,733,9,0,745,6,0,0,0,6,0,0,0,9,0,0,9,10,4,0,0,7,0,0,0,7,0,0,8,12,4,0,0,14,0,0,0,18,0,0,17,639,71,11,7,731,11,6,14,744,9,0,758,128,5,3,0,140,8,0,8,145,15,0,160,5,0,0,0,5,0,0,0,9,0,0,13,768,85,17,7,875,17,6,19,896,28,4,927,184,33,0,0,215,0,5,4,222,5,0,228,191,17,7,0,213,3,0,3,219,5,0,222,7,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,383,48,8,4,442,6,5,8,455,12,0,464,5,0,0,0,5,0,0,0,6,0,0,6,11,0,0,0,11,0,0,0,11,0,0,11,8,0,0,0,8,0,0,0,14,0,0,14,393,48,8,4,455,4,5,6,465,12,0,476,53,3,0,0
POA3163,1093,28,0,1120,21,0,0,3,29,0,0,0,28,0,0,28,20,0,0,0,20,0,0,0,20,0,0,20,39,0,0,3,41,0,0,0,42,0,0,42,974,111,14,13,1115,15,4,20,1133,28,0,1164,184,26,6,4,222,7,3,12,233,12,0,248,0,0,0,5,3,0,0,0,3,0,4,5,1157,145,23,20,1343,19,9,28,1372,48,5,1420,279,23,3,5,308,5,0,6,315,15,0,325,223,27,3,3,253,0,0,0,253,9,0,260,8,0,0,0,8,0,0,0,8,0,0,9,3,0,0,0,5,0,0,0,5,0,0,5,509,55,8,7,584,5,0,9,584,20,0,608,8,5,0,0,11,0,0,0,10,0,0,10,13,0,0,0,17,0,0,0,17,0,0,17,21,5,0,0,23,0,0,0,23,0,0,23,534,52,10,7,604,3,0,6,610,20,0,631,67,17,0,0
POA3165,1469,54,0,1527,18,3,0,0,21,4,0,4,25,0,0,24,24,0,0,0,28,0,0,0,28,3,0,30,48,3,0,0,51,4,0,4,49,0,0,59,1305,157,20,15,1496,20,10,28,1523,57,0,1582,226,21,0,0,252,3,4,7,256,21,0,282,5,0,0,4,4,0,0,0,4,0,4,10,1534,181,20,22,1749,25,10,38,1785,82,4,1871,376,30,8,0,412,12,3,14,428,20,0,450,391,50,0,0,442,5,0,4,444,9,0,458,14,0,0,0,17,0,0,0,17,4,0,18,5,0,3,0,4,0,0,0,4,0,0,4,780,79,14,7,879,19,3,20,903,40,0,938,6,0,0,0,5,0,0,0,8,0,0,9,9,4,0,0,15,0,0,0,17,0,0,17,17,6,0,0,27,0,0,0,25,0,0,28,801,81,13,7,905,21,3,23,926,37,0,961,97,11,0,3
POA3166,812,34,6,849,5,0,0,0,5,0,0,0,9,5,0,12,16,5,0,0,16,0,0,0,17,0,0,17,21,5,0,0,23,0,0,0,27,5,0,31,698,105,14,4,825,11,0,15,840,39,6,875,137,35,0,4,178,3,0,6,186,20,0,210,0,0,0,0,0,0,0,0,0,3,0,8,831,142,15,16,1010,19,0,19,1027,54,6,1092,197,25,0,0,223,7,0,7,229,11,0,238,199,37,0,0,244,3,0,3,250,5,0,251,10,0,4,0,16,0,0,0,16,0,0,16,0,0,0,3,4,0,0,0,4,0,0,3,411,67,5,3,483,8,0,10,488,13,0,503,0,0,0,0,0,0,0,0,8,0,0,8,5,3,0,0,3,0,0,0,3,0,0,3,5,3,0,0,8,0,0,0,12,0,0,12,415,64,5,3,489,9,0,10,498,13,0,513,61,15,0,3
POA3167,376,11,0,387,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,6,3,0,3,12,0,0,12,9,0,0,0,16,3,0,3,10,0,0,10,305,68,13,0,388,9,0,9,391,11,0,401,58,6,4,0,70,0,0,0,65,13,0,74,0,0,0,0,0,0,0,0,0,0,3,5,365,68,12,3,453,13,0,13,462,17,3,481,91,12,3,0,104,4,0,4,112,3,0,110,77,12,0,4,87,0,0,0,93,3,0,94,3,0,0,0,6,0,0,0,6,0,0,6,4,0,0,0,4,0,0,0,4,0,0,4,179,22,3,4,208,0,0,0,210,8,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,22,3,4,207,0,0,0,208,8,0,215,32,3,0,0
POA3168,290,20,0,312,9,0,0,0,9,0,0,0,9,0,0,9,11,0,0,0,14,0,0,0,16,0,0,16,24,0,0,0,21,6,0,6,31,0,0,31,232,69,3,6,302,10,0,16,318,20,0,342,76,37,4,0,112,8,4,13,126,23,0,145,0,0,0,0,0,0,0,0,0,0,4,3,313,97,8,0,419,18,8,24,449,43,4,490,57,10,3,0,73,0,0,0,73,10,0,84,48,12,3,0,68,0,0,0,68,0,0,72,0,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,110,24,5,3,143,0,0,0,143,12,0,158,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,5,0,0,9,11,0,0,0,13,0,0,0,10,0,0,16,118,28,5,3,152,0,0,0,161,15,0,167,26,11,0,0
POA3169,507,31,0,534,9,0,0,0,4,0,0,0,9,0,0,9,11,5,0,0,10,0,3,0,17,0,0,17,15,9,0,0,18,0,3,3,25,0,0,25,421,81,10,0,515,14,0,14,534,31,0,561,130,42,3,7,172,7,6,12,183,47,0,236,4,0,0,4,10,0,0,0,10,0,6,7,551,120,16,9,696,16,7,30,721,80,3,804,111,17,0,3,135,7,0,6,135,0,0,142,81,16,6,0,107,6,0,6,112,13,0,122,6,0,6,0,8,0,0,0,8,0,0,8,0,0,0,3,3,0,0,0,3,0,0,3,202,33,8,4,253,8,0,11,256,16,0,277,4,0,0,0,4,0,0,0,9,0,0,5,5,4,0,0,4,0,0,0,4,0,0,4,9,4,0,0,14,0,0,0,15,0,0,15,215,34,8,4,266,6,0,12,274,18,0,289,47,14,0,3
POA3170,772,24,0,792,9,0,0,0,9,0,0,0,9,0,0,9,12,7,0,0,19,0,0,0,22,0,0,22,23,7,0,0,25,0,0,0,32,0,0,32,666,88,16,9,787,9,4,11,795,24,0,819,152,30,8,5,199,4,4,10,205,16,3,229,0,0,0,0,3,0,0,0,3,0,4,9,825,126,24,18,993,13,5,21,1005,40,7,1054,179,21,0,0,202,3,0,3,206,11,0,217,166,52,0,0,220,4,0,4,220,3,0,226,8,0,0,0,10,0,0,0,10,0,0,8,6,0,0,4,7,0,0,0,7,0,0,7,358,78,0,4,438,7,0,7,444,18,0,464,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,12,0,0,0,12,0,0,12,10,0,0,5,11,0,0,0,11,0,0,11,364,81,0,3,454,7,0,7,456,18,0,475,70,17,0,4
POA3171,390,35,0,425,12,0,0,0,12,5,0,5,11,0,0,14,11,0,0,0,11,5,0,3,18,5,0,16,22,0,0,0,26,4,0,4,27,0,0,33,301,76,16,4,401,16,5,18,417,39,0,455,158,72,8,10,245,16,4,20,270,104,0,378,4,0,0,5,4,0,0,0,10,0,11,19,463,146,18,24,653,35,3,41,692,142,16,854,71,10,3,3,83,8,0,8,91,14,0,101,49,16,0,0,67,5,0,5,73,6,0,81,5,0,0,0,9,0,0,0,6,0,0,8,4,0,0,0,7,0,0,0,7,0,0,7,132,25,0,3,161,6,0,9,172,16,0,185,4,0,0,0,4,0,0,0,3,0,0,11,4,5,0,0,8,4,0,4,12,0,0,12,7,5,0,0,15,6,0,6,16,0,0,18,139,28,0,3,178,12,0,14,186,16,0,208,68,36,4,4
POA3172,721,29,0,750,7,0,0,0,11,0,0,0,11,0,0,11,14,0,0,0,13,0,4,4,19,0,0,21,18,0,0,0,22,0,4,4,26,0,0,28,631,86,5,6,732,12,4,18,748,32,0,782,156,45,9,5,213,6,0,4,212,67,0,278,0,0,0,0,3,0,0,0,3,0,3,6,784,128,20,10,942,16,10,22,963,97,5,1061,188,25,0,0,217,5,0,4,224,7,0,227,201,41,9,4,245,5,0,5,248,12,0,258,9,0,0,0,14,0,0,0,14,3,0,15,0,0,0,0,5,0,0,0,5,0,3,8,402,69,9,4,483,7,0,3,490,19,5,511,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,5,10,5,0,10,7,0,0,0,11,5,0,5,14,5,0,16,415,69,7,4,497,9,0,6,503,23,5,529,76,23,4,0
POA3173,1139,47,0,1186,13,0,0,0,13,4,0,4,13,4,0,15,16,3,0,0,23,4,0,3,27,0,0,30,31,3,0,0,28,7,0,9,38,5,0,44,970,155,22,11,1151,18,6,23,1178,50,0,1229,255,57,5,9,327,9,3,11,335,74,0,404,6,0,3,9,10,3,0,3,14,0,9,20,1226,209,33,20,1490,30,9,40,1528,122,9,1657,298,31,4,0,331,3,0,3,335,14,0,352,186,52,0,0,241,0,0,0,241,8,0,253,4,7,0,0,11,0,0,0,11,6,0,16,6,0,0,0,9,0,0,0,9,0,0,5,493,91,6,3,592,3,0,3,599,27,0,628,5,0,0,0,5,0,0,0,4,0,0,4,10,0,0,0,10,0,0,0,10,0,0,10,14,0,0,0,14,0,0,0,19,0,0,14,507,91,6,3,606,9,0,9,618,30,0,645,143,31,7,8
POA3174,849,56,3,912,23,7,3,0,32,0,0,0,39,0,0,39,25,9,0,3,33,6,0,6,37,4,0,41,52,14,3,3,66,5,0,6,74,6,0,82,705,170,23,10,904,16,3,16,924,61,5,993,329,94,15,8,442,16,8,29,466,130,4,599,0,0,0,6,4,0,0,0,5,0,11,15,1037,258,38,23,1355,28,15,45,1396,195,27,1615,137,15,5,3,161,6,4,4,169,20,0,190,128,39,4,0,173,6,4,9,183,21,0,200,4,4,3,0,12,0,0,0,12,0,0,12,0,0,0,6,9,0,0,0,9,0,0,11,270,63,11,4,347,10,3,15,361,40,0,410,15,0,0,0,17,0,0,0,18,0,0,17,12,0,0,0,12,0,0,0,11,0,0,15,19,0,0,0,28,5,0,5,30,3,0,33,297,64,11,4,379,12,3,16,393,46,0,441,161,49,4,0
POA3175,1060,78,3,1133,21,6,0,0,26,8,0,7,40,0,0,37,29,13,0,0,37,4,5,9,49,8,0,56,51,11,0,0,63,10,3,17,87,10,0,90,838,209,19,20,1091,33,12,51,1139,88,3,1227,555,190,20,20,788,72,6,77,864,262,14,1141,9,4,0,10,26,4,0,4,22,0,18,41,1407,404,41,49,1899,104,21,128,2026,347,30,2410,235,29,0,0,267,11,0,11,280,18,0,299,223,63,0,0,293,7,0,9,303,24,4,328,9,0,0,0,14,0,0,0,14,7,0,17,0,0,0,3,9,0,0,0,11,0,0,12,475,94,5,6,579,19,0,23,601,46,4,649,9,3,0,0,13,4,0,4,15,0,0,18,21,3,0,0,23,8,0,11,31,3,0,35,30,6,0,0,35,10,0,13,44,6,0,52,505,101,5,8,612,26,3,33,646,58,4,702,296,69,17,8
POA3177,181,6,0,188,6,0,0,0,6,0,0,0,10,3,0,13,3,10,0,0,8,0,0,0,8,0,0,8,12,10,0,0,23,0,0,0,19,3,0,24,150,41,6,6,199,7,0,7,203,10,0,210,132,41,6,5,190,11,0,15,201,59,0,262,0,0,0,0,5,0,0,0,5,0,7,10,281,84,12,15,392,18,0,16,410,65,8,483,35,7,0,0,42,0,0,0,42,4,0,52,38,20,3,0,63,3,0,3,62,3,0,66,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,74,30,4,0,107,3,0,3,107,9,0,114,0,0,0,0,3,0,0,0,3,0,0,9,6,3,0,0,9,0,0,0,9,0,0,9,6,3,0,0,10,0,0,7,12,0,0,16,83,28,4,0,115,0,0,4,117,8,0,135,76,26,0,5
POA3178,1256,29,0,1290,9,3,0,0,14,0,0,0,15,0,0,15,21,8,0,0,26,0,3,4,33,0,0,37,30,7,0,0,39,0,3,5,47,0,0,44,1122,133,24,13,1289,11,3,15,1305,30,0,1337,217,29,5,0,257,5,0,5,260,28,0,284,0,0,0,7,12,0,0,0,12,0,0,11,1342,158,35,17,1551,13,3,21,1572,56,3,1631,296,32,3,0,327,5,0,5,334,11,0,345,404,39,5,0,452,6,0,6,449,5,0,460,34,3,0,0,37,0,0,0,37,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,730,66,12,7,823,8,0,8,824,21,0,849,6,0,0,0,10,5,0,5,12,0,0,12,17,0,0,0,17,0,0,0,16,0,0,15,24,0,0,0,26,6,0,6,30,0,0,26,759,67,12,7,848,7,0,7,860,23,0,883,136,19,0,3
POA3179,214,5,0,219,3,0,0,0,3,0,0,0,3,0,0,3,5,4,0,0,6,0,0,0,4,0,0,5,9,4,0,0,12,0,0,0,13,0,0,14,187,29,0,3,219,6,0,5,229,5,0,232,42,10,5,0,54,0,0,0,59,14,0,68,0,0,0,0,0,0,0,0,0,0,0,0,230,34,5,3,274,8,0,11,279,17,0,297,62,8,0,0,67,3,0,3,68,3,0,72,61,6,0,0,72,5,0,4,75,0,0,72,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,122,12,0,0,136,4,0,5,143,3,0,146,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,4,3,0,0,7,0,0,0,6,0,0,6,125,16,0,0,141,9,0,8,154,3,0,158,22,9,0,0
POA3180,261,10,0,275,3,0,0,0,3,0,0,0,3,0,0,3,9,0,0,0,9,0,0,0,9,0,0,9,5,0,0,0,5,0,0,0,5,0,0,5,237,20,5,0,263,0,3,5,269,10,0,277,71,4,0,0,81,0,0,0,81,12,0,96,0,0,0,0,0,0,0,0,0,0,0,4,307,28,4,0,347,0,3,5,353,24,0,376,63,8,0,0,70,0,0,0,70,0,0,70,70,12,3,0,86,0,0,0,86,0,0,86,7,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,141,17,3,0,159,0,0,0,159,8,0,168,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,3,0,0,3,144,17,3,0,166,0,0,0,167,8,0,168,20,6,0,0
