POA_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
POA3016,175,455,261,203,668,1096,380,898,31,4168,0,4,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,23,13,16,23,29,5,20,0,139,0,0,4,4,6,11,0,0,0,31,4,22,20,9,17,24,6,16,0,125,3,4,12,13,14,26,4,16,0,90,28,95,50,28,32,33,14,23,3,301,31,122,42,9,14,16,11,16,0,259,12,7,11,12,18,27,3,12,0,93,10,12,0,7,19,14,16,13,0,91,12,8,25,22,40,50,21,34,0,226,0,12,12,10,17,26,6,9,0,95,19,47,67,51,82,101,39,71,3,478,6,21,21,14,19,19,4,7,0,111,14,23,31,42,84,70,21,42,0,335,39,108,106,73,99,111,30,98,6,664,44,131,153,121,78,97,24,45,0,700,15,36,21,6,19,11,3,3,0,111,10,35,22,14,16,15,3,14,0,125
POA3018,123,286,207,146,711,961,265,614,51,3359,0,0,4,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,7,21,22,9,33,33,10,11,0,146,0,4,3,4,11,12,0,0,0,31,8,19,8,9,20,31,8,13,0,117,10,3,12,6,20,31,6,8,0,94,29,87,51,27,50,32,10,17,0,300,17,79,20,16,12,8,7,5,4,163,6,11,14,11,21,39,5,3,4,114,4,0,12,11,21,10,5,3,0,63,11,9,17,12,51,51,10,16,0,173,3,14,3,3,17,11,7,15,0,80,12,36,37,27,58,76,24,29,0,314,6,14,18,3,20,12,0,10,0,86,18,22,28,22,80,71,20,19,3,282,27,81,74,47,96,88,28,75,0,517,49,87,107,114,106,95,12,30,0,602,8,12,8,4,9,12,0,5,0,55,12,26,20,7,20,15,7,8,3,108
POA3019,104,275,295,153,665,537,105,190,70,2391,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,18,21,9,62,28,13,6,0,150,0,0,0,0,10,0,0,0,0,5,3,4,3,0,3,13,0,4,0,33,0,5,5,3,7,8,0,0,0,29,24,59,48,25,46,24,6,14,0,231,19,65,35,13,23,10,0,8,3,180,0,8,10,4,14,11,0,5,0,63,3,4,0,3,0,0,0,0,0,13,7,3,12,7,30,58,12,14,0,145,0,0,6,0,0,9,0,3,0,18,5,16,11,3,35,35,6,6,0,114,5,20,24,15,18,14,0,0,0,84,10,3,7,4,38,24,3,5,0,95,4,21,16,8,39,25,12,11,0,145,28,49,54,47,85,65,14,11,10,360,13,7,8,0,3,7,0,0,0,34,12,19,18,15,18,10,6,0,0,100
POA3020,359,1080,1219,655,2838,2533,613,950,320,10575,5,14,9,8,10,7,0,0,0,52,0,0,0,0,0,3,0,0,0,12,12,63,69,53,233,115,23,18,10,593,4,3,0,7,21,11,3,0,0,48,11,20,18,15,35,45,9,21,3,165,0,26,17,18,59,48,17,6,0,186,83,257,191,71,161,107,25,30,19,946,67,243,140,43,73,40,6,23,16,663,19,41,47,23,100,72,11,13,5,331,4,17,8,3,40,17,4,10,0,104,19,17,27,27,129,146,20,30,0,422,4,11,10,9,22,14,7,0,0,74,25,51,58,29,143,103,23,43,0,465,32,87,105,30,101,29,7,15,7,411,21,36,42,34,153,79,22,29,3,419,47,154,116,96,193,96,44,76,6,824,95,227,345,248,346,246,42,82,18,1649,28,40,13,6,24,11,3,0,3,135,48,88,79,37,53,25,5,9,4,349
POA3021,406,1350,1280,698,3122,2552,568,846,423,11252,0,23,14,22,33,14,4,3,0,105,0,0,0,0,0,0,0,0,0,0,15,105,97,88,289,162,24,20,12,812,3,8,3,7,12,7,0,0,5,47,3,16,32,9,40,44,9,7,0,166,6,21,24,13,68,40,7,13,0,186,76,311,232,97,198,76,16,29,18,1056,69,333,206,62,74,32,14,24,12,815,12,40,53,28,111,67,19,14,4,362,3,7,6,3,11,12,8,0,4,53,17,19,36,21,105,99,20,8,0,325,3,11,12,3,31,14,6,3,0,96,15,48,40,27,120,88,21,11,7,373,23,119,118,43,116,55,14,9,9,508,19,33,30,20,123,65,11,24,5,335,33,145,105,65,197,82,27,38,6,704,82,302,335,316,365,231,37,82,25,1786,34,20,12,7,13,3,0,5,0,98,65,142,165,33,72,35,9,12,7,551
POA3022,24,77,71,50,181,198,48,72,27,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,5,3,0,0,0,31,0,0,0,0,0,0,5,0,0,0,5,0,4,0,0,0,0,0,0,12,0,0,0,0,3,3,3,0,0,13,0,13,9,4,9,7,0,7,0,45,4,14,3,4,10,0,0,0,0,38,0,5,3,0,7,10,0,7,0,29,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,12,3,0,0,30,0,0,3,0,3,5,0,0,0,14,0,0,3,4,7,13,0,0,0,37,0,6,5,0,7,3,0,0,0,21,5,4,3,0,21,3,3,6,0,39,0,8,15,14,21,11,3,9,0,71,12,24,25,28,31,19,4,5,0,146,0,3,0,0,0,0,0,0,0,10,3,4,4,5,0,0,0,0,0,18
POA3023,569,1574,1176,863,4050,4370,1034,1708,393,15736,7,8,12,8,15,15,9,5,0,72,0,0,0,0,0,0,0,0,0,4,20,98,98,44,294,163,30,39,6,800,4,0,10,8,40,33,4,5,0,105,9,58,52,29,73,89,11,20,4,352,11,27,33,11,116,56,12,15,0,288,151,544,333,146,275,173,37,38,26,1719,98,425,168,60,92,51,13,27,9,950,34,74,81,59,204,142,25,35,10,667,11,23,15,8,44,38,3,8,0,143,48,43,82,52,204,249,30,40,3,747,5,10,17,10,52,45,3,11,0,153,34,93,79,73,199,170,35,32,10,724,40,112,100,47,138,75,10,16,5,543,41,53,77,48,287,165,22,53,3,742,80,249,240,184,365,229,57,132,9,1545,172,426,526,479,626,487,63,136,37,2952,42,46,49,16,40,25,0,0,0,223,48,131,109,48,102,44,11,15,7,516
POA3024,271,634,589,407,2413,2731,509,837,210,8608,0,12,12,3,15,9,4,0,0,60,0,0,0,0,0,0,0,0,0,3,9,31,31,22,103,65,6,11,6,271,0,5,9,4,39,27,0,0,0,92,6,19,13,6,31,41,7,17,0,155,3,3,15,9,44,30,6,0,0,115,56,224,158,88,177,79,24,9,10,832,35,189,97,40,61,20,3,4,5,462,20,29,33,20,91,55,7,20,7,280,3,15,6,3,25,28,3,8,0,96,30,16,38,19,136,181,20,16,6,468,4,7,8,3,35,25,8,3,3,95,25,40,53,41,150,233,13,9,4,562,8,73,45,25,74,49,0,15,7,304,26,31,36,27,151,88,17,23,0,408,35,131,147,109,232,100,28,47,3,827,86,196,317,269,390,197,33,59,21,1574,25,38,10,12,16,12,0,3,0,120,18,43,24,17,40,16,0,9,0,173
POA3025,106,228,212,151,631,838,228,453,70,2917,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,4,12,9,9,35,19,0,9,0,111,0,0,5,0,8,7,0,4,0,27,3,12,19,5,13,39,4,10,4,101,0,0,4,0,11,7,4,0,0,43,36,66,46,21,47,45,9,15,3,284,10,46,21,14,16,11,5,3,0,132,5,8,15,5,25,28,8,8,0,100,4,6,6,5,10,8,0,0,0,44,10,3,14,11,32,41,7,6,0,124,3,3,4,5,7,15,3,5,0,46,11,19,30,25,42,50,16,21,0,214,10,16,16,10,18,23,0,11,0,89,15,20,26,16,59,37,8,16,0,199,15,38,40,39,81,72,11,31,0,327,25,55,76,82,100,70,13,30,6,463,12,5,7,3,11,4,5,5,0,49,12,25,17,6,12,9,5,3,0,98
POA3026,73,180,159,121,612,611,124,238,51,2167,0,3,3,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,10,9,20,7,50,33,10,0,0,140,0,0,0,3,13,4,0,0,0,20,0,7,6,0,13,14,0,0,0,43,4,3,5,9,18,12,6,4,0,49,11,61,36,19,32,30,4,5,4,209,9,57,18,8,10,7,0,0,0,111,3,14,14,7,44,22,7,7,0,122,4,0,0,0,4,8,0,0,0,14,9,12,9,3,44,38,10,5,0,123,0,0,8,3,15,3,0,0,0,31,3,14,13,10,31,22,0,10,0,98,3,21,16,7,20,4,5,3,0,81,0,6,13,8,30,16,3,10,0,84,16,23,17,17,45,14,5,11,0,160,13,46,74,65,89,42,14,20,6,375,15,9,0,3,3,5,0,0,0,40,6,11,24,3,11,11,0,0,0,70
POA3027,79,243,280,110,684,911,131,284,93,2803,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,13,9,8,32,15,6,3,0,98,0,3,0,3,8,3,0,0,0,23,0,0,3,0,18,14,0,6,0,46,3,3,8,0,13,13,0,5,0,49,23,37,47,16,36,32,4,3,0,204,10,45,24,11,22,6,0,5,0,133,0,8,12,9,32,25,7,8,0,96,0,5,0,4,9,16,0,0,0,40,5,4,10,10,45,97,7,8,3,193,4,6,7,5,18,14,0,3,0,57,12,14,29,11,58,89,6,11,4,248,7,16,21,10,18,20,0,0,0,94,9,7,9,13,39,25,11,8,0,104,13,35,22,28,50,37,4,15,0,195,23,57,70,77,78,70,16,19,3,424,7,10,5,5,5,0,0,0,0,30,3,18,8,7,13,4,0,0,0,51
