POA_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
POA3167,11,27,3,3,3,0,0,0,0,59,41,126,22,7,16,13,4,5,5,244,71,123,132,13,28,16,47,39,3,477,20,8,98,0,3,3,6,11,5,153,3,3,12,3,0,0,0,0,0,21,4,64,0,10,0,9,0,4,0,98,0,28,0,0,0,0,5,4,0,37,124,136,27,12,62,25,24,17,5,440,20,48,4,22,15,12,6,10,3,144,8,32,10,7,10,10,3,4,0,70,9,0,32,0,0,7,7,17,3,73,0,0,0,0,0,0,0,0,0,0,7,6,9,0,9,0,6,0,0,33,4,0,7,3,0,8,0,6,11,40,326,603,346,95,148,110,113,120,42,1899,11,45,10,6,10,3,0,0,0,87,18,52,0,7,10,6,0,0,6,101,8,26,7,0,11,9,0,7,0,67,0,12,5,0,7,5,0,0,0,28,0,5,3,0,0,0,0,0,0,16
POA3168,20,160,23,20,16,15,12,24,7,294,60,357,90,33,41,71,94,121,21,876,90,414,225,51,62,52,150,149,26,1213,22,20,81,3,15,6,17,29,7,203,3,0,10,3,4,0,0,7,0,28,6,183,11,49,8,11,10,18,4,294,0,45,0,9,0,4,6,8,0,79,134,232,72,40,147,103,124,133,17,997,17,64,26,51,27,14,12,40,4,268,16,47,9,5,11,10,10,14,0,129,20,0,92,19,7,12,19,28,3,198,0,0,3,0,0,0,0,4,0,6,5,18,9,5,13,6,7,14,3,73,5,14,27,4,3,0,17,14,25,118,402,1566,676,296,352,302,488,586,117,4787,15,158,30,32,25,20,8,15,4,319,15,119,12,20,25,27,14,35,9,275,12,103,20,17,24,16,3,19,5,220,3,14,4,4,5,7,0,0,0,33,3,5,3,7,6,3,0,4,0,31
POA3169,12,66,16,12,17,7,0,15,0,147,67,253,67,13,41,41,45,34,9,572,97,232,363,15,53,30,116,119,19,1057,28,9,133,5,4,11,17,29,3,238,0,6,19,6,0,0,0,6,0,33,7,98,6,30,12,9,9,6,0,170,0,31,4,8,8,0,3,0,0,58,114,220,54,31,139,83,113,85,12,858,21,57,22,52,25,15,19,16,5,225,8,40,17,6,9,12,14,17,0,116,20,6,84,5,9,9,27,27,4,189,0,0,0,0,0,0,0,5,0,10,9,9,8,4,3,5,10,9,0,60,9,10,22,3,12,3,17,20,37,121,394,1035,819,180,330,222,388,396,95,3862,23,68,12,19,23,8,3,11,6,182,28,77,11,19,25,15,7,12,5,193,11,59,11,13,17,10,12,12,3,146,0,14,7,5,8,0,0,5,0,38,0,4,3,6,5,0,0,3,0,22
POA3170,21,58,15,3,9,8,9,11,0,141,89,200,62,15,43,19,13,28,7,472,158,282,275,16,59,26,62,75,19,973,39,18,132,0,13,7,15,30,3,260,6,3,21,0,4,4,6,7,5,51,7,128,8,26,3,6,3,6,5,195,7,54,3,3,3,0,0,0,0,77,230,274,45,26,152,77,46,39,16,909,28,84,12,60,21,9,13,10,0,240,13,26,18,3,12,10,9,9,0,97,15,3,70,14,5,7,12,16,5,143,0,0,0,0,0,0,0,0,0,4,6,13,6,5,9,0,0,4,4,41,9,10,15,7,3,8,13,17,24,99,628,1157,686,182,328,180,206,242,89,3689,25,69,15,19,28,11,4,3,4,166,16,64,3,3,17,6,0,8,6,125,16,48,12,10,18,10,4,10,0,126,0,9,3,0,7,7,0,6,0,29,4,8,6,6,11,0,3,0,0,28
POA3171,8,33,11,5,8,3,12,14,3,107,34,153,57,15,31,23,55,59,8,441,61,147,231,23,36,24,104,107,12,735,25,16,74,3,7,3,17,23,3,171,0,0,11,0,4,0,6,11,0,32,0,80,7,36,3,8,10,10,0,163,8,23,9,7,0,0,5,16,0,65,74,151,71,37,100,59,104,98,18,714,15,43,12,38,22,7,16,31,5,187,9,18,18,4,8,12,10,7,3,77,14,3,101,14,8,9,32,36,3,226,0,0,0,0,0,0,3,5,3,10,4,0,12,0,4,6,12,12,0,51,9,7,31,9,9,11,25,26,45,164,259,683,652,198,240,172,406,443,113,3154,3,41,23,15,19,19,4,9,3,140,7,49,7,13,15,11,3,23,0,133,9,25,16,5,6,5,10,17,0,97,5,4,8,3,6,5,0,3,0,30,0,0,0,0,4,0,0,0,0,9
POA3172,23,43,15,9,9,7,5,4,3,118,41,106,33,7,24,13,31,23,5,280,111,147,385,16,44,30,92,91,9,927,35,13,180,5,15,5,17,25,8,310,11,4,13,0,0,0,10,18,0,52,10,78,15,28,5,10,4,0,6,160,8,66,8,9,6,3,5,7,0,113,150,176,42,31,102,78,66,47,9,692,33,48,14,51,13,7,30,25,6,225,17,27,15,4,9,11,12,7,0,111,12,3,71,10,5,7,17,25,5,160,0,0,0,0,0,0,0,0,0,0,12,6,7,3,5,8,10,3,3,59,8,4,23,5,0,4,27,26,29,141,470,731,831,172,237,183,332,312,84,3343,25,38,17,12,17,10,4,5,0,128,5,31,5,12,19,7,5,3,0,80,8,22,8,4,16,3,4,6,0,70,3,5,5,0,5,3,0,0,0,26,0,0,4,4,8,4,0,6,0,23
POA3173,30,61,16,7,14,6,9,9,0,154,95,252,67,13,33,24,42,44,7,581,162,257,479,23,69,48,140,96,28,1298,42,17,174,5,15,10,26,39,0,327,8,0,17,4,4,4,6,0,0,44,22,174,7,37,4,10,8,9,0,279,10,66,13,8,8,3,13,10,0,132,251,294,83,48,220,109,110,81,14,1211,25,60,17,50,12,14,26,20,5,227,17,53,17,7,12,10,6,12,0,134,25,0,81,11,4,10,29,32,0,209,0,0,0,0,0,0,0,4,0,5,10,6,14,7,4,5,19,7,0,78,9,11,35,9,13,9,22,11,37,149,714,1270,1016,218,409,256,456,375,104,4822,32,83,35,12,35,13,3,10,5,229,20,66,6,10,26,16,3,10,11,175,22,42,21,5,16,8,4,15,0,131,7,9,9,0,11,4,0,4,0,44,0,0,8,6,4,0,0,0,3,25
POA3174,19,70,25,16,13,12,13,17,7,188,65,266,87,29,46,30,101,76,11,711,93,273,552,32,70,40,235,213,32,1538,31,14,240,6,20,9,40,68,9,439,10,7,15,0,5,3,5,13,0,57,11,137,17,74,12,6,16,20,4,297,6,76,3,27,4,4,18,12,0,147,139,237,107,75,197,97,203,167,27,1255,25,73,25,84,41,26,57,46,10,389,10,36,20,7,14,16,11,18,0,138,24,5,162,32,23,9,81,59,7,406,0,0,3,0,0,0,4,7,0,18,16,10,28,15,7,5,32,21,5,127,14,10,42,12,10,9,45,43,44,232,465,1212,1335,409,454,264,865,789,150,5937,15,59,32,40,34,19,3,26,4,235,10,80,20,39,38,22,14,40,5,262,12,52,16,17,11,5,18,30,0,157,5,15,7,3,3,3,3,10,0,47,0,8,5,9,3,8,0,6,0,35
POA3175,31,63,31,5,15,10,21,21,0,194,64,242,104,27,50,46,105,70,14,730,179,364,809,46,102,57,350,259,35,2197,64,17,408,8,26,17,68,80,9,691,15,3,28,4,0,0,17,20,0,94,7,132,23,63,15,4,20,14,5,296,13,81,7,12,4,4,19,11,0,152,178,287,141,76,204,117,224,183,29,1444,39,105,62,154,60,23,77,52,8,580,15,40,32,19,15,7,26,16,0,161,27,3,161,22,21,19,60,63,5,381,0,0,4,0,0,4,3,7,0,23,6,8,30,10,12,0,43,25,6,142,17,12,72,17,11,11,55,59,65,321,659,1353,1917,464,539,322,1095,882,178,7408,33,75,44,40,27,29,6,26,13,284,15,68,19,33,43,27,13,56,8,272,20,62,17,25,31,10,15,29,4,217,8,16,12,5,9,11,0,10,0,66,0,5,6,6,10,3,0,3,0,34
POA3177,6,7,7,4,4,0,4,3,0,36,9,37,15,10,9,12,6,14,0,118,25,37,186,11,8,11,78,43,11,414,18,3,101,0,7,5,14,11,0,162,6,0,5,0,3,0,0,3,0,24,4,25,3,18,6,0,3,4,0,67,0,16,0,4,0,0,3,0,0,23,32,41,18,18,38,16,57,23,6,245,5,7,18,47,7,3,24,16,4,132,3,7,5,4,5,3,11,8,0,47,3,0,29,9,6,4,12,11,0,76,0,0,0,0,0,0,0,6,0,5,0,0,7,3,0,0,9,4,0,33,7,0,24,3,0,5,26,10,20,96,104,192,432,123,96,66,250,160,50,1470,0,15,8,6,5,3,0,4,0,44,0,14,0,6,6,5,0,3,0,38,3,11,13,0,3,7,8,3,0,44,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,8
POA3178,45,100,28,10,14,4,5,12,3,220,142,265,83,12,47,25,29,16,4,620,349,423,732,32,103,65,125,108,21,1953,84,31,431,5,17,13,28,59,9,689,20,6,48,5,3,8,5,15,0,111,23,178,10,35,17,10,5,12,6,301,23,116,0,17,12,0,4,5,3,187,448,456,64,32,189,150,55,46,33,1475,63,99,32,95,43,26,23,21,8,412,24,68,39,9,14,23,11,10,4,192,35,4,70,19,5,4,17,16,0,174,0,0,3,0,0,3,5,3,0,8,29,7,19,4,12,4,8,7,0,94,18,11,32,13,18,11,16,22,30,155,1307,1771,1591,299,483,349,337,355,117,6606,64,118,33,16,34,23,4,7,6,294,26,70,15,10,41,9,7,0,0,170,35,69,17,10,25,10,4,6,0,186,5,24,11,0,5,6,0,0,0,65,0,6,13,0,8,0,4,4,0,42
POA3179,4,12,0,0,5,3,0,0,0,37,29,64,15,6,8,3,3,3,0,134,53,74,115,7,22,14,23,31,4,329,23,7,69,0,3,0,8,8,0,118,0,0,15,0,0,0,3,0,0,21,5,32,4,12,0,0,0,0,0,58,0,14,0,0,0,0,0,0,0,21,63,70,15,3,37,26,9,12,0,244,10,15,8,18,3,3,9,0,0,69,4,10,3,3,4,0,6,0,0,33,9,7,24,0,3,3,6,0,0,48,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,5,0,13,0,4,3,0,6,0,7,3,0,32,201,307,277,54,94,66,73,81,13,1167,3,18,3,4,11,9,0,0,0,56,13,15,0,6,8,0,0,0,0,34,4,13,0,0,3,0,0,0,4,31,0,6,4,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,11
POA3180,17,31,6,0,0,0,0,0,0,59,32,66,11,3,14,3,12,6,0,158,69,95,135,10,23,17,32,17,7,397,13,3,90,3,3,3,3,9,8,140,5,0,10,4,0,0,4,4,0,27,9,33,3,12,0,0,4,3,0,55,9,32,3,8,0,3,0,0,0,49,78,98,25,18,39,20,24,18,0,310,12,21,7,16,17,4,7,7,0,80,0,11,7,3,3,5,0,3,0,45,5,0,25,0,0,0,8,7,0,56,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,17,5,8,11,3,0,4,0,4,4,35,255,392,342,75,107,64,97,86,19,1434,14,23,6,0,18,6,0,0,0,65,4,17,3,0,9,3,0,0,0,37,7,30,6,0,3,0,0,3,0,49,0,0,3,0,0,0,0,4,0,14,5,0,3,0,5,0,0,0,0,13
POA3181,44,129,22,14,10,9,6,6,0,242,60,189,27,4,26,16,3,4,7,334,114,230,111,21,33,20,20,25,4,581,80,129,148,3,23,8,3,24,3,432,12,10,10,5,4,0,5,3,0,52,30,282,13,41,8,0,0,4,0,373,11,88,5,4,5,5,5,5,5,132,499,616,42,62,162,146,23,40,25,1612,117,343,18,68,65,39,8,17,5,677,80,241,35,39,40,34,11,22,6,509,36,4,92,13,8,19,3,8,0,201,0,0,0,0,0,0,0,0,0,0,25,31,6,3,12,9,3,5,0,86,13,28,12,4,5,7,3,3,22,104,1132,2311,551,293,411,320,86,166,81,5350,40,98,16,15,22,11,3,4,5,212,14,44,0,3,4,6,0,0,4,76,25,50,3,4,9,7,0,9,0,103,26,91,10,6,20,7,0,6,0,160,6,12,3,4,6,0,0,0,0,34
POA3182,33,107,12,13,12,10,3,15,0,204,58,247,31,9,12,11,7,8,6,398,134,279,192,24,29,18,32,43,17,757,68,101,228,6,19,11,8,39,7,483,9,20,20,0,7,3,10,15,0,90,41,224,11,49,13,6,3,10,3,356,23,122,5,11,3,7,5,0,3,180,437,454,72,54,163,117,44,58,24,1420,134,367,18,93,70,26,22,26,11,768,78,270,40,58,34,38,23,31,13,584,33,22,144,35,11,5,11,21,7,293,0,0,0,0,0,0,0,0,0,3,19,36,17,15,9,4,7,5,4,124,11,22,16,6,7,9,9,5,29,114,1089,2257,808,385,392,272,171,278,116,5766,26,87,12,22,18,6,7,0,0,186,14,62,5,8,15,0,0,0,6,114,27,57,17,12,16,5,3,7,0,147,22,97,27,6,18,13,0,4,3,184,8,19,5,8,10,4,0,0,0,50
POA3183,32,94,12,11,15,5,3,9,0,178,50,161,41,0,11,14,8,20,5,307,85,162,109,14,27,31,31,32,9,497,61,70,128,5,17,9,4,17,0,318,8,12,11,4,4,4,0,5,0,49,27,182,10,29,3,3,0,0,0,270,24,104,6,9,4,5,0,0,3,160,334,350,41,40,111,94,37,33,14,1045,124,334,22,61,45,29,10,14,10,651,52,211,39,29,29,21,9,14,3,407,20,4,108,14,7,15,7,11,0,191,0,0,0,0,0,0,0,0,0,0,33,26,5,8,4,5,0,9,6,84,16,19,5,6,4,5,4,10,21,78,854,1731,538,223,274,239,124,177,69,4240,25,72,8,12,15,4,0,5,0,148,21,38,8,4,6,7,4,6,0,89,11,51,10,4,17,5,0,3,6,103,16,70,11,4,16,9,0,0,0,120,11,17,8,0,6,0,0,3,0,34
POA3184,48,68,6,6,9,7,0,6,0,149,46,114,18,5,4,7,0,5,0,199,99,169,111,15,20,27,18,18,9,484,89,75,145,4,10,4,5,23,0,356,8,16,19,3,3,0,0,0,0,55,15,148,5,21,8,5,0,0,6,209,17,88,3,12,5,3,3,4,3,135,332,306,29,23,74,99,15,20,18,924,89,242,15,44,39,22,4,8,3,477,59,169,33,17,20,19,12,16,4,344,20,3,33,8,5,8,4,12,5,91,0,0,0,0,0,0,0,0,0,0,18,28,4,10,0,6,3,3,3,78,12,14,18,3,6,5,0,8,15,73,847,1442,432,171,211,207,77,128,65,3579,28,76,16,13,13,6,0,0,0,153,4,35,0,0,5,0,0,0,0,55,13,47,9,5,7,0,0,0,0,87,21,69,5,5,19,0,0,0,0,129,12,13,5,7,6,3,0,0,0,49
POA3185,18,83,13,4,8,4,4,0,0,132,38,121,25,4,7,5,9,5,0,204,96,137,76,11,16,8,19,16,5,389,47,44,90,4,8,6,3,7,4,220,9,3,12,0,4,0,0,4,0,31,13,149,4,19,0,5,0,3,3,187,15,60,3,8,7,0,4,0,0,106,303,306,21,25,87,65,14,11,12,848,72,233,8,42,23,10,8,8,7,411,41,116,12,16,20,23,9,13,0,239,11,0,41,6,0,0,4,3,0,65,0,0,0,0,0,0,0,0,0,0,14,24,0,0,4,0,0,6,0,50,3,6,12,5,4,6,6,3,12,47,677,1280,316,146,187,142,70,76,48,2939,22,52,8,4,16,9,0,0,0,119,10,30,3,0,12,0,0,0,5,61,8,21,4,5,7,3,0,3,3,60,11,44,7,4,8,4,0,0,0,81,0,3,5,0,3,3,0,0,0,20
POA3186,62,100,4,14,7,13,6,5,0,205,74,108,9,4,9,9,0,5,7,214,218,184,98,11,27,26,14,19,13,609,149,52,104,6,7,10,0,7,6,341,17,20,11,5,5,0,0,4,0,59,37,311,0,21,3,0,0,0,0,381,32,56,0,9,4,3,4,7,0,114,680,557,22,20,100,138,13,11,41,1594,151,361,9,38,39,19,0,7,11,633,34,95,14,11,6,5,5,6,5,184,22,5,32,6,3,3,0,0,0,76,0,0,0,0,0,0,0,0,0,0,22,28,3,0,4,3,0,6,0,76,27,10,7,0,6,0,0,0,19,78,1521,1888,317,145,223,236,47,80,103,4563,39,80,6,3,24,22,0,0,7,183,33,43,0,0,16,4,0,0,0,100,28,34,5,3,5,0,0,3,5,87,19,54,4,5,13,17,0,0,0,107,6,5,0,3,0,0,0,0,0,20
POA3187,46,63,5,3,5,9,3,4,9,136,82,105,10,5,3,4,5,0,6,219,159,172,107,9,17,18,8,23,6,517,77,38,106,0,9,5,4,7,5,253,12,9,3,0,3,0,0,5,0,33,9,165,0,17,4,7,0,4,3,211,16,36,0,7,0,5,3,0,0,68,460,339,22,26,89,116,7,9,13,1084,74,164,3,28,26,15,7,4,10,330,20,50,10,9,6,13,0,5,3,111,18,8,21,10,0,6,0,4,0,77,0,0,0,0,0,0,0,0,0,5,17,24,3,4,0,3,0,0,4,56,10,6,12,0,5,5,0,0,13,51,1000,1173,315,120,175,193,53,74,56,3157,37,62,7,6,27,7,0,0,0,142,23,37,3,0,20,4,0,0,4,86,19,24,0,5,10,0,0,0,6,73,9,33,8,0,4,3,0,0,0,55,4,6,7,0,4,0,0,0,0,17
POA3188,58,82,9,10,11,4,0,0,0,180,69,143,17,6,13,11,4,6,8,275,168,193,139,10,35,18,17,19,4,600,91,33,129,4,12,6,3,13,4,288,8,4,13,0,3,0,0,11,0,38,26,149,9,23,3,0,0,5,0,219,16,75,8,14,0,5,3,0,0,119,571,425,27,36,93,90,14,15,16,1291,112,151,14,37,35,12,0,8,0,368,31,78,20,12,11,9,4,11,3,174,21,10,26,0,0,9,5,3,0,70,0,0,0,0,0,0,0,0,0,4,18,28,0,4,4,3,0,0,3,64,8,14,7,0,4,4,0,9,11,53,1193,1383,409,155,234,181,55,98,51,3749,43,92,8,9,24,9,0,0,5,183,27,46,0,5,14,4,0,0,0,98,25,23,7,0,10,0,0,0,0,70,13,36,9,0,10,3,0,3,0,70,7,10,4,0,3,4,0,0,0,33
POA3189,20,20,5,4,0,5,0,3,0,54,23,64,10,7,6,3,0,8,0,132,48,66,96,5,12,4,12,18,3,260,24,5,66,0,6,0,0,8,0,120,4,0,6,0,4,0,0,0,0,24,8,32,3,4,0,3,4,0,0,61,10,21,0,8,0,0,0,0,0,40,95,98,13,13,45,32,11,8,0,306,14,34,4,18,7,3,0,4,4,90,9,28,10,3,4,8,3,4,0,65,11,3,32,4,0,3,6,7,0,64,0,0,0,0,0,0,0,0,0,3,6,3,5,0,8,3,0,9,0,29,9,3,8,3,4,0,4,5,9,35,270,381,259,66,92,70,42,72,20,1271,8,17,3,7,3,0,0,0,0,48,5,22,0,0,3,3,0,0,0,46,11,18,4,4,0,0,0,0,0,37,3,9,0,0,5,8,0,0,0,21,0,3,0,0,5,0,0,0,0,3
POA3190,26,43,9,3,6,0,0,6,0,93,58,107,20,0,7,6,0,5,9,213,90,150,130,8,18,23,14,25,3,452,52,16,133,4,8,7,4,7,3,235,15,12,10,0,3,0,7,3,0,52,13,66,5,23,11,7,3,4,0,125,22,61,8,7,8,0,0,0,0,103,243,202,25,14,73,49,14,10,8,642,47,74,16,28,28,15,3,7,0,215,26,59,17,4,7,14,10,3,0,146,14,8,31,8,3,3,4,9,0,77,0,0,0,0,0,0,0,0,0,0,8,12,6,8,4,0,3,0,3,46,10,3,15,3,3,0,0,0,8,51,616,805,432,120,178,131,62,85,34,2462,19,50,12,14,9,7,0,0,0,103,21,26,0,6,9,0,0,0,0,68,17,17,0,4,9,4,3,5,0,53,4,21,5,0,9,8,0,0,0,46,4,0,4,0,5,3,0,0,0,19
POA3191,31,51,5,3,4,4,0,0,0,100,27,65,13,4,7,8,0,8,0,128,119,100,74,10,14,9,10,13,0,357,60,35,69,4,9,8,0,11,3,195,5,0,13,0,0,0,0,0,0,25,16,96,5,21,0,3,0,4,0,141,15,43,7,8,4,0,0,3,0,76,283,221,7,12,42,49,8,3,6,638,60,113,7,28,26,11,0,0,4,246,14,45,6,0,0,6,0,8,0,96,3,0,16,0,0,0,4,0,0,29,0,0,0,0,0,0,0,0,0,0,13,13,4,0,5,0,0,4,0,35,12,0,8,0,0,4,0,6,8,43,660,775,230,95,120,107,27,62,28,2104,21,50,8,3,12,10,0,0,0,103,14,14,0,0,4,0,0,0,0,38,15,16,6,3,5,0,0,0,0,52,6,19,7,0,6,0,0,0,0,40,3,6,0,3,6,0,0,0,0,17
POA3192,46,77,18,10,15,6,3,4,0,188,97,229,26,7,27,15,14,11,4,436,200,271,336,17,54,31,54,63,6,1039,100,34,268,6,13,11,9,33,7,485,12,15,45,4,0,3,5,9,0,100,17,128,17,52,6,10,3,5,0,247,9,130,7,10,7,4,0,5,4,176,370,354,44,30,145,103,34,24,22,1131,60,109,19,68,45,29,11,15,0,356,31,102,38,14,7,23,8,4,0,226,20,0,51,7,7,14,5,13,0,130,0,0,0,0,0,0,0,6,0,3,23,15,18,9,9,6,5,8,0,80,15,5,24,3,3,7,5,10,18,94,1013,1474,924,236,344,256,165,209,65,4688,40,85,16,17,38,14,3,7,0,225,26,66,5,10,23,3,0,0,0,140,15,52,15,8,14,0,10,4,3,120,10,32,15,0,4,10,0,4,0,78,3,6,6,0,0,0,0,6,0,29
POA3193,68,90,0,6,9,3,0,5,4,186,70,114,8,4,17,5,0,4,8,223,223,194,131,7,32,24,23,20,7,661,153,50,167,3,15,8,5,21,3,425,16,12,19,0,4,0,0,6,0,62,37,132,12,27,3,8,0,0,0,218,41,80,5,8,5,6,0,0,0,140,544,401,29,27,98,107,12,20,24,1255,96,167,12,41,29,17,9,6,6,380,34,67,19,3,6,8,4,10,4,155,20,6,15,5,6,3,0,3,0,61,0,0,3,0,0,0,0,0,0,3,19,15,7,3,9,0,0,0,3,65,18,9,7,3,0,0,0,5,18,61,1338,1338,436,138,229,192,54,98,79,3896,42,88,17,12,31,12,0,7,0,205,21,36,3,3,13,7,0,0,0,87,23,21,4,3,8,5,0,0,3,67,11,31,7,4,16,4,0,0,0,72,10,4,8,5,5,0,0,0,0,33
