POA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA3717,21,14,9,10,6,3,5,6,0,77,30,9,11,23,16,4,4,7,0,107,70,25,164,34,19,23,44,45,7,426,0,0,0,4,3,0,0,7,0,18,6,0,10,5,3,4,5,0,0,35,5,3,0,0,4,0,0,0,0,10,3,3,4,9,8,10,0,3,3,40,201,198,203,112,85,52,65,79,18,1011
POA3718,4,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,5,0,3,3,0,0,10,0,34
POA3719,5,0,0,0,3,0,0,0,0,11,4,0,0,7,0,0,0,3,0,13,16,0,9,0,5,0,6,6,0,44,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,15,16,13,3,6,9,0,121
POA3720,9,0,0,3,0,3,0,0,0,11,8,6,5,4,10,4,0,4,0,34,17,4,30,8,9,3,6,10,3,95,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,40,36,31,22,12,9,22,3,223
POA3722,34,33,11,24,23,3,3,8,0,141,33,24,23,55,40,4,6,12,0,206,104,19,316,79,54,60,59,61,5,755,0,0,3,9,12,12,4,3,0,45,12,0,5,7,3,9,0,9,0,39,4,0,6,3,0,0,0,0,0,17,9,3,8,10,5,10,3,9,11,50,314,416,395,251,186,117,75,114,23,1891
POA3723,22,7,7,9,11,6,4,0,0,69,25,11,13,21,17,7,3,4,0,114,71,13,113,41,27,28,28,43,3,369,3,0,0,3,4,4,0,0,0,12,5,0,0,5,4,4,0,6,0,26,0,0,0,0,0,0,0,0,0,6,3,0,9,4,4,0,0,5,3,32,248,243,148,138,92,65,49,91,11,1080
POA3725,10,4,0,0,0,0,0,0,0,14,6,0,0,7,0,0,0,0,0,22,15,5,22,6,8,3,11,8,0,79,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,52,32,30,24,20,4,12,19,0,190
POA3726,5,4,0,0,5,0,0,0,0,14,6,3,0,5,0,0,0,0,0,11,18,0,10,4,4,4,4,7,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,20,11,8,7,3,3,14,0,112
POA3727,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,14,0,13,7,6,0,4,0,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,24,15,10,12,6,0,3,4,0,77
POA3728,6,0,0,0,3,0,0,0,0,6,3,0,3,7,0,3,0,0,0,16,19,0,16,17,0,7,11,12,4,85,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,34,28,24,31,8,6,17,22,5,166
POA3730,34,26,14,26,26,5,5,9,3,140,53,46,28,77,40,23,0,20,7,283,181,39,409,140,105,63,74,116,22,1135,5,0,6,9,13,16,7,11,0,58,10,6,3,16,12,3,4,13,0,62,3,4,4,3,4,0,0,3,0,23,12,9,7,14,9,13,12,13,0,79,389,565,485,347,249,134,94,195,40,2517
POA3732,3,0,0,6,0,0,0,0,0,13,9,7,0,0,0,0,0,3,0,30,22,3,25,9,5,4,8,14,0,86,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,8,60,39,31,23,16,8,9,23,0,202
POA3733,3,0,0,3,0,4,0,0,0,12,3,0,6,5,0,4,0,0,0,16,3,0,4,3,3,0,3,6,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,18,12,13,3,3,3,3,0,80
POA3735,9,3,0,0,5,0,0,0,0,18,3,0,0,5,4,0,0,3,0,30,18,7,30,7,5,3,11,17,10,98,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,4,0,11,54,47,33,18,20,15,11,32,5,236
POA3737,14,18,8,18,9,6,5,6,0,78,27,27,16,41,17,12,10,8,0,147,73,17,190,84,45,37,51,73,9,572,0,0,3,3,9,0,0,3,0,29,8,0,8,6,4,3,5,3,0,40,5,0,0,0,0,0,3,3,0,8,7,8,3,7,4,4,3,11,0,44,187,296,244,184,126,77,83,118,15,1336
POA3738,0,0,0,0,0,0,0,4,0,7,3,0,0,0,0,0,0,0,0,4,7,0,8,4,4,0,3,4,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,11,13,5,7,4,3,12,0,73
POA3739,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,10,0,3,4,3,0,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,19,16,11,4,14,6,4,8,0,78
POA3740,6,3,4,3,3,0,3,0,0,32,13,11,5,9,7,7,0,3,0,49,30,9,57,8,12,9,19,20,0,163,0,0,0,0,0,0,0,3,0,12,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,4,0,19,91,103,81,54,42,24,20,38,4,450
POA3741,18,17,16,16,3,4,0,8,3,89,23,20,16,24,16,17,4,15,0,131,61,19,149,43,22,20,20,41,0,377,3,0,5,5,0,4,0,5,0,28,6,0,0,5,9,0,3,0,0,27,0,0,0,0,4,0,0,0,0,8,8,0,3,0,0,0,5,3,4,21,243,310,207,146,90,73,41,100,17,1218
POA3744,5,4,0,0,0,0,0,0,0,13,3,3,3,0,7,0,0,0,0,18,9,0,21,6,4,5,0,8,3,54,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,63,28,16,14,7,4,11,6,177
POA3746,0,4,0,0,0,0,0,0,0,9,0,5,0,5,0,0,0,0,0,13,3,0,25,8,3,0,5,6,6,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,25,35,15,16,0,3,6,6,122
POA3747,29,34,10,21,20,7,4,8,0,132,27,35,12,33,20,11,0,3,0,145,84,24,156,75,37,29,25,65,3,507,3,0,0,8,0,3,0,3,0,21,4,0,0,10,3,3,0,4,0,28,0,4,0,0,0,0,0,0,0,10,9,6,5,6,0,6,0,9,9,48,333,604,216,215,140,76,39,116,30,1774
POA3749,10,17,6,7,0,0,0,3,0,46,14,12,9,17,17,3,0,4,0,69,39,9,67,12,23,13,21,26,0,209,0,3,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,4,3,0,0,8,5,20,142,282,88,62,74,30,29,49,10,766
POA3750,49,61,94,83,76,31,60,34,18,497,110,85,187,315,150,85,164,83,20,1193,122,51,549,269,176,87,178,156,30,1613,3,6,15,12,19,10,13,11,0,89,13,12,19,34,38,18,16,15,6,167,11,19,23,19,8,6,16,7,6,110,14,22,24,31,22,21,20,19,28,184,744,2105,1209,1359,1045,456,761,553,181,8397
POA3751,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,0,8,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,7,4,6,3,3,0,0,39
POA3752,96,99,76,93,96,41,32,32,8,572,150,119,118,245,205,84,43,50,16,1035,253,101,917,328,285,156,166,206,43,2459,6,10,12,15,35,12,0,16,0,111,32,17,20,51,51,33,10,23,3,250,13,13,9,9,14,5,6,10,6,73,15,37,20,21,30,20,11,16,29,198,1105,2346,1332,1108,1205,580,387,463,166,8685
POA3753,29,10,13,16,21,5,16,8,5,123,31,21,29,54,30,8,14,15,0,214,47,13,224,65,67,35,52,47,15,576,5,0,4,0,10,4,6,0,0,28,8,0,0,8,11,10,3,0,0,44,0,0,4,4,4,0,0,4,0,14,6,10,4,5,3,3,5,0,5,39,196,324,303,226,207,81,131,90,37,1601
POA3754,193,185,158,201,208,78,56,46,16,1143,316,318,279,627,418,169,116,120,25,2378,522,243,2047,795,583,344,368,440,102,5446,29,15,15,45,99,43,22,35,0,302,45,31,47,103,89,55,39,56,7,474,8,38,11,16,15,7,13,12,0,122,22,32,38,48,52,24,18,26,45,309,2168,4831,2955,2747,2354,1072,837,961,299,18229
POA3755,5,0,0,0,3,0,0,0,0,5,0,0,3,0,0,0,0,0,0,8,8,3,9,3,0,0,0,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,13,8,12,0,0,3,0,79
POA3756,52,48,39,50,49,19,16,9,4,296,92,72,98,195,120,39,37,33,3,687,174,81,803,267,217,108,194,173,56,2068,7,4,9,10,21,17,9,15,0,98,6,6,15,29,21,19,13,14,0,117,6,3,18,8,7,0,0,0,0,43,8,12,28,19,15,10,3,14,25,139,556,937,1101,758,614,265,338,311,108,4980
POA3757,47,48,25,30,34,11,0,8,0,201,62,38,34,111,78,17,16,17,0,374,148,36,621,149,130,84,102,113,29,1403,3,5,0,17,20,11,9,4,3,66,4,0,12,16,14,12,8,4,4,77,0,4,9,0,0,0,0,0,0,10,9,9,8,15,15,11,8,11,6,99,392,596,745,430,374,164,146,182,55,3086
POA3758,11,13,6,10,3,0,0,3,0,50,8,18,5,18,19,6,3,0,0,77,42,6,182,42,32,14,40,30,4,389,0,3,3,4,5,0,0,3,0,13,0,0,3,4,0,0,0,3,0,21,0,0,4,0,0,0,0,0,0,3,0,7,3,5,0,3,0,6,4,35,110,129,211,91,87,35,53,47,10,769
POA3759,14,11,0,5,0,0,0,0,0,29,3,5,11,4,3,0,0,3,0,31,24,4,63,12,9,7,9,8,0,139,0,0,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,3,3,4,4,7,3,0,0,0,21,86,117,91,48,50,21,16,16,0,440
POA3760,8,3,0,0,0,3,0,0,0,17,0,3,5,0,5,0,0,0,0,10,5,0,23,6,0,0,0,4,0,51,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,39,26,8,32,4,0,6,0,146
POA3761,8,14,0,3,7,0,0,4,0,38,10,4,3,9,6,3,0,0,0,33,18,12,68,10,9,3,14,15,4,145,0,0,3,0,0,0,0,0,0,10,0,3,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,7,13,66,118,79,49,51,11,19,29,11,434
POA3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,9,9,3,3,3,0,0,4,40
POA3763,9,12,0,5,3,0,0,0,3,44,11,12,4,21,4,3,0,4,0,66,32,13,126,45,29,5,20,27,5,293,0,0,3,0,0,0,0,0,0,10,4,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,4,4,6,0,0,3,0,0,17,85,122,151,95,57,20,34,41,11,614
POA3764,42,47,20,36,33,10,6,3,5,207,61,39,44,134,75,25,7,23,5,410,107,47,518,151,147,58,150,130,39,1342,9,0,10,3,10,13,3,10,0,65,11,0,8,21,15,11,10,11,0,87,0,7,0,0,0,0,0,4,0,20,7,13,9,11,15,0,11,11,9,80,383,698,651,447,394,146,197,216,71,3215
POA3765,39,30,14,29,28,9,0,8,4,157,44,53,40,58,56,17,7,10,5,292,104,40,448,79,88,31,47,81,11,927,4,0,7,4,8,8,9,5,0,44,9,5,7,16,23,6,6,5,0,76,0,0,0,3,0,0,0,3,0,8,12,3,6,9,4,9,0,4,10,55,347,620,552,271,313,96,83,128,37,2459
POA3766,4,6,5,4,8,3,0,0,0,33,8,8,4,7,9,5,0,0,0,43,15,3,55,14,8,5,3,11,3,127,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,7,78,187,76,56,56,21,12,24,6,515
POA3767,8,11,6,4,5,0,0,0,0,43,9,19,9,8,7,4,0,3,0,50,29,8,48,5,10,6,7,6,8,127,4,4,0,4,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,3,8,99,196,76,40,38,21,12,12,3,502
POA3770,21,13,10,4,12,7,0,3,0,72,19,11,9,22,24,8,3,9,0,106,70,13,272,34,47,24,38,34,12,540,5,0,4,3,5,7,0,5,0,28,4,0,0,0,6,4,0,0,0,29,0,0,0,0,0,0,0,0,0,11,13,9,3,3,5,3,0,6,4,42,219,228,314,98,113,60,42,69,27,1166
POA3775,27,21,13,20,13,4,0,3,0,107,37,26,13,28,30,9,3,3,3,154,95,22,242,45,53,35,32,49,6,577,3,0,3,3,10,5,3,0,0,27,6,4,6,4,7,4,3,0,0,32,0,0,0,0,0,0,0,0,0,11,10,0,3,4,3,5,0,7,10,47,270,327,295,145,174,77,53,72,17,1436
POA3777,48,33,33,42,45,13,3,10,0,240,76,63,59,97,61,16,6,27,3,414,163,63,563,165,115,69,101,143,14,1395,8,3,6,8,19,9,0,17,0,69,20,6,12,12,17,10,11,8,0,87,8,3,5,9,0,0,0,0,0,18,5,13,16,16,9,7,5,19,10,98,534,805,750,454,378,168,144,253,51,3537
POA3778,0,0,0,0,5,0,0,0,0,8,0,0,0,3,0,0,0,0,0,5,7,0,11,0,0,0,4,5,0,38,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,15,9,4,3,0,5,0,77
POA3779,3,3,0,4,0,3,0,0,0,16,0,0,5,5,0,4,0,0,0,12,4,3,13,10,3,3,3,9,0,49,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,29,24,13,10,3,20,0,145
POA3781,16,20,13,23,22,3,0,5,0,115,26,32,23,49,31,6,3,8,0,179,72,24,322,77,64,34,56,58,12,722,7,0,3,6,6,6,0,5,0,34,4,4,9,8,4,4,0,0,0,32,0,3,3,0,0,0,0,0,0,11,6,3,4,7,8,5,0,9,6,39,204,324,396,215,186,70,68,102,19,1590
POA3782,42,36,23,26,28,9,6,10,0,180,60,72,33,90,50,11,7,11,0,342,138,54,481,93,101,44,65,72,17,1072,4,6,7,12,10,10,5,6,3,57,10,5,11,11,19,3,3,4,0,71,3,0,0,0,0,0,0,0,0,11,5,4,6,8,12,4,8,4,9,55,463,790,606,324,330,113,103,146,54,2937
POA3783,12,11,4,11,13,0,4,3,0,55,10,16,7,33,15,7,3,9,3,106,35,8,157,41,33,15,18,29,7,346,0,4,5,3,6,0,0,0,0,20,0,0,3,10,3,0,3,4,0,19,0,0,0,0,0,0,0,0,0,0,8,3,0,0,3,0,3,0,0,21,121,209,196,118,90,29,34,51,10,864
POA3785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,6,0,4,0,0,0,0,25
POA3786,7,19,0,6,9,0,0,0,0,42,13,15,9,12,3,3,0,4,0,65,32,9,57,16,15,3,4,7,0,143,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,136,236,95,44,56,17,13,17,4,623
POA3787,3,3,3,5,5,3,0,0,0,27,14,3,3,6,7,0,0,0,0,34,16,6,29,3,12,8,4,3,0,78,0,0,0,5,0,0,0,0,0,6,0,4,0,7,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,12,80,139,45,33,48,12,4,17,3,379
POA3788,14,11,8,9,12,3,0,3,0,53,22,10,12,20,7,8,0,0,0,81,19,14,57,18,14,7,9,12,0,153,0,0,0,0,0,0,0,0,0,10,6,0,0,0,4,0,0,6,0,13,0,0,0,0,3,0,0,0,0,3,3,3,0,0,5,4,0,0,4,20,146,220,96,72,73,28,9,31,10,688
POA3789,0,0,0,0,5,0,0,0,0,9,3,0,0,0,3,0,0,0,0,12,0,0,0,3,5,4,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,42,6,11,12,6,0,4,3,106
POA3791,15,12,5,5,3,0,0,0,0,43,4,15,0,18,8,5,0,3,0,43,21,9,51,14,16,3,4,10,0,126,0,0,0,5,0,0,0,0,0,3,0,0,4,0,4,5,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,8,95,220,72,58,43,17,9,20,15,561
POA3792,9,5,0,4,3,0,0,0,0,30,12,6,8,11,9,0,0,0,0,52,13,13,39,12,9,5,6,3,0,106,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,70,161,66,39,34,15,6,16,3,406
POA3793,18,19,11,15,18,3,0,3,0,95,25,10,21,33,23,9,0,12,0,137,63,15,219,59,37,26,25,33,9,478,0,0,0,4,3,0,0,0,0,10,6,0,7,0,3,3,0,6,0,25,3,6,0,0,4,3,0,0,0,10,4,0,0,3,6,4,0,3,0,25,188,290,275,152,129,61,37,69,19,1231
POA3795,12,6,4,0,4,0,0,3,0,21,9,6,11,7,16,3,4,3,0,62,32,7,84,17,10,4,15,14,0,174,4,0,0,0,0,0,4,0,0,8,3,0,4,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,5,15,87,97,116,44,45,21,20,22,6,462
POA3796,55,59,19,42,46,21,4,18,3,259,82,66,41,119,70,26,7,19,8,436,167,61,679,172,140,66,99,134,24,1542,10,4,8,10,8,12,6,12,0,61,7,7,9,8,19,9,3,13,0,75,0,9,0,9,0,4,0,8,0,26,7,5,9,19,6,3,8,8,5,68,520,868,807,468,415,166,133,222,50,3654
POA3797,16,7,3,11,8,0,7,4,4,61,24,12,13,28,23,9,4,9,0,121,52,22,198,59,61,30,43,58,12,536,5,0,3,0,6,3,0,7,0,24,5,0,0,6,7,5,0,0,0,26,0,0,0,0,0,0,0,0,0,3,4,3,3,4,4,0,9,5,7,41,150,176,234,154,119,55,65,95,26,1072
POA3799,16,31,15,34,16,8,3,7,0,129,25,26,16,53,27,4,4,7,0,165,48,21,268,96,63,36,53,71,11,680,0,0,12,10,4,3,3,11,0,37,5,3,8,9,8,5,0,4,0,34,0,0,0,0,3,0,0,0,0,4,3,3,7,10,3,0,6,8,5,49,186,330,354,267,165,77,75,124,24,1599
POA3802,89,96,109,69,117,36,37,43,7,607,114,116,131,205,165,65,59,71,14,930,148,51,692,256,199,115,171,185,29,1857,10,4,18,17,25,14,12,19,0,122,21,21,25,31,39,33,13,22,10,204,13,13,10,7,14,6,4,5,4,77,16,29,24,16,31,14,16,16,43,204,876,2077,1196,905,1096,468,426,479,161,7692
POA3803,27,22,36,24,37,11,22,18,0,206,43,32,61,88,60,28,22,25,8,362,67,24,292,120,74,43,78,104,15,811,12,4,3,4,5,11,8,4,0,54,11,5,8,25,10,3,15,11,0,92,3,11,4,0,8,0,6,0,0,31,8,8,7,13,11,3,11,17,9,96,318,583,480,403,371,167,219,269,57,2870
POA3804,35,34,19,16,43,13,0,9,9,177,78,39,29,49,71,25,23,16,13,330,140,39,387,68,86,53,70,59,27,919,6,0,0,6,12,4,5,0,0,45,10,3,4,9,20,9,6,0,0,54,7,3,3,3,6,0,0,0,0,24,11,10,7,6,11,0,0,7,8,67,515,730,504,211,397,152,116,128,69,2823
POA3805,176,184,161,174,235,69,85,102,22,1207,312,283,327,585,440,184,156,179,42,2524,499,233,2217,750,648,323,522,539,114,5834,28,10,48,35,58,54,29,48,3,315,50,34,58,103,113,53,45,48,12,520,20,28,21,23,29,15,20,16,0,173,47,51,59,53,56,34,51,50,79,472,2093,4193,3289,2412,2582,1077,1139,1277,390,18466
POA3806,243,247,160,173,189,78,59,59,14,1220,339,329,262,490,410,155,72,106,36,2202,565,259,1749,563,570,304,342,388,77,4822,28,21,26,37,79,50,11,26,6,292,52,30,41,73,92,47,25,22,3,395,23,47,15,15,28,17,4,5,5,157,47,65,28,42,63,34,19,28,46,378,2719,5659,2677,2062,2349,1038,717,849,294,18370
POA3807,42,33,31,19,39,11,4,9,0,194,66,57,43,83,77,24,11,22,8,377,136,47,404,95,112,60,55,75,11,993,0,3,4,10,22,9,0,6,0,53,15,4,3,9,20,12,4,14,0,82,0,7,0,3,0,0,4,3,0,21,8,7,6,3,7,11,0,6,10,48,439,779,522,300,388,155,88,142,42,2856
POA3808,30,18,9,11,20,3,3,4,6,89,35,10,9,19,33,3,0,5,0,120,78,17,191,23,40,25,13,43,7,431,0,0,4,3,4,3,0,0,0,16,5,3,3,7,3,0,0,0,0,24,0,4,0,0,0,0,0,0,0,4,4,3,10,0,13,3,0,3,0,37,253,297,231,90,138,58,23,64,20,1169
POA3809,67,82,69,80,95,32,44,21,6,487,144,144,146,294,172,72,81,66,10,1122,214,110,827,250,279,142,159,176,43,2204,7,4,13,19,22,20,7,9,0,102,17,8,22,41,30,27,14,8,4,170,9,9,11,8,6,6,0,5,4,55,10,24,12,27,14,20,4,16,23,148,905,2168,1267,1082,1036,462,416,405,131,7873
POA3810,139,173,148,151,155,78,83,61,15,997,331,298,282,649,374,196,190,161,33,2522,549,278,2291,933,723,410,599,641,117,6543,20,12,41,62,53,33,36,48,7,319,34,28,47,104,74,43,41,55,9,434,20,15,26,27,16,6,24,28,3,176,47,35,48,49,42,27,42,55,79,429,1829,3662,3255,2713,2074,1067,1260,1366,331,17552
POA3812,18,3,7,8,5,0,0,0,0,51,16,11,16,8,14,11,0,6,0,80,57,8,181,34,41,6,37,27,9,406,0,0,3,5,4,5,0,5,0,30,8,0,0,3,8,4,3,3,4,24,0,0,0,0,0,0,0,0,0,4,12,0,6,5,4,0,3,6,6,39,146,138,212,84,103,30,47,47,20,835
POA3813,3,9,3,0,3,0,0,0,0,20,7,8,0,5,4,4,0,0,0,36,17,3,61,4,17,7,10,19,0,142,0,0,0,0,0,0,0,0,0,7,0,0,0,5,4,3,4,6,0,14,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,5,0,6,53,63,82,24,38,20,15,24,4,328
POA3814,6,6,6,5,6,3,4,0,0,44,12,19,9,18,10,7,5,0,0,84,61,12,174,29,46,9,29,36,10,401,3,3,0,0,3,3,0,0,0,20,4,0,0,3,5,0,4,5,0,16,0,0,0,0,0,0,0,0,0,5,8,0,0,0,4,0,0,8,6,27,135,175,191,69,92,27,42,58,31,829
POA3815,22,7,12,14,16,3,0,3,0,74,23,14,16,27,19,7,0,4,0,117,72,14,227,50,66,13,52,48,19,570,3,0,3,0,9,0,0,0,0,23,0,0,7,4,8,4,0,0,0,28,3,0,0,0,0,0,0,0,0,8,9,6,8,6,6,11,3,0,9,47,168,209,293,134,154,45,66,77,32,1177
POA3816,4,11,8,8,14,3,3,0,0,53,17,16,10,31,25,3,4,3,3,110,53,14,164,55,44,13,43,61,9,453,5,0,3,5,3,4,4,0,0,24,3,0,0,3,3,5,0,4,0,24,5,0,0,0,0,0,0,0,0,12,0,5,5,3,0,4,9,7,7,39,113,152,195,133,104,34,64,97,19,915
POA3818,54,78,30,48,51,21,8,20,3,311,89,90,65,156,80,49,16,35,11,593,272,94,864,325,227,136,214,266,37,2433,12,4,9,15,21,18,7,22,0,103,20,13,18,39,18,14,15,19,4,153,4,8,3,4,7,0,0,5,0,32,18,11,8,27,22,8,13,15,17,135,676,1132,1047,753,545,299,279,424,85,5236
