POA_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
POA3016,191,52,299,74,12,747,1015,1223,426,14,428,456,92,130,1028,74,935,9981,459,14699,11,8,3,0,3,0,0,0,11,0,9,70,480,577,1257,1301,505,83,551,604,123,192,1225,124,1243,10128,952,16025,0,6,0,0,0,0,0,0,3,0,7,37,0,49,57,18,31,9,23,39,3,16,19,6,38,133,6,295,62,25,31,9,23,42,3,14,22,6,37,169,6,345,1182,1084,469,71,516,551,111,167,1149,118,1073,7591,400,12393,11,0,0,0,4,8,0,3,3,0,11,32,410,478,1257,1110,504,83,547,601,116,187,1180,124,1118,7796,811,13216
POA3018,194,65,277,103,9,818,878,1020,342,13,489,445,94,134,936,71,818,7928,425,12108,8,4,4,0,0,6,0,0,5,0,11,59,540,634,1161,1131,442,56,637,586,137,196,1143,133,1103,8092,980,13556,6,0,0,0,0,0,0,0,4,0,6,17,0,27,53,24,27,8,33,30,0,6,24,9,30,100,5,239,54,24,29,8,33,30,0,10,31,9,38,119,5,264,1090,988,401,53,598,546,128,187,1067,127,973,5995,354,10415,18,6,3,0,4,3,6,0,10,4,4,23,426,491,1161,1015,437,56,636,587,134,196,1103,133,1014,6131,790,11172
POA3019,183,43,209,60,12,606,341,641,94,10,411,147,46,63,487,41,465,6109,278,8383,9,7,3,0,3,4,0,4,5,0,5,64,603,696,536,760,141,35,557,243,74,112,670,81,683,6229,895,9682,0,0,0,0,0,0,0,0,0,0,0,11,0,10,18,8,5,0,12,9,4,5,7,7,3,21,5,53,18,8,5,0,12,9,4,5,7,7,3,29,5,62,511,657,139,35,531,230,71,101,639,79,619,4934,238,7517,8,12,0,0,8,3,5,5,6,0,0,57,512,591,536,671,141,35,552,246,74,109,648,81,624,5013,753,8171
POA3020,921,278,1198,399,70,3609,1825,2780,527,36,1873,822,241,280,2019,215,2072,27231,1236,37716,37,34,11,0,25,11,5,5,28,4,20,252,2678,3050,3001,3268,848,356,2738,1453,480,527,2975,496,3288,27882,3978,44372,0,0,0,0,0,0,0,0,0,0,0,32,7,38,70,24,18,6,53,45,13,15,54,16,40,88,6,278,68,23,18,6,53,45,13,15,54,16,40,121,17,313,2891,2762,805,343,2647,1370,457,499,2797,476,3014,21709,1082,34266,45,26,17,8,30,13,6,3,28,3,10,242,2182,2535,3000,2810,839,356,2729,1432,473,524,2876,495,3059,22071,3282,37114
POA3021,1132,337,1659,525,78,4610,2410,3133,742,39,2585,1113,319,336,2108,206,2421,33279,1539,45716,40,37,8,0,24,15,13,11,26,7,18,339,4326,4788,3890,3795,1169,344,3788,1885,642,638,3264,548,4096,34142,5943,55112,5,0,0,0,0,0,0,0,0,0,0,15,3,27,56,25,21,6,51,50,4,15,36,14,34,94,5,251,58,29,21,4,50,49,7,18,36,11,33,111,13,272,3757,3141,1110,281,3651,1779,600,605,3006,525,3658,26349,1333,41363,68,36,25,64,78,38,18,9,88,11,122,362,3507,4120,3887,3211,1159,347,3777,1870,627,638,3131,547,3813,26816,4848,45758
POA3022,96,20,137,25,3,284,142,186,38,10,98,55,13,31,188,11,161,1824,67,2576,0,0,0,0,0,0,0,0,0,0,0,18,285,305,249,221,57,67,155,96,24,47,286,33,293,1866,365,3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,3,0,0,0,0,7,11,0,18,6,0,0,0,4,3,0,0,0,0,7,11,0,18,243,186,56,65,149,92,25,46,274,30,264,1424,51,2334,0,6,0,0,0,5,0,4,4,0,0,24,235,266,249,195,55,65,158,97,25,47,279,33,270,1450,291,2625
POA3023,887,251,1324,446,84,3657,2409,4263,754,34,2821,1113,354,335,2597,227,3098,42663,1795,57829,31,41,9,3,26,14,7,12,35,10,35,377,5147,5663,3427,4759,1055,255,3671,1630,567,546,3516,492,4455,43480,7025,67146,4,9,0,5,4,0,0,5,4,0,9,41,0,58,79,25,28,11,62,62,9,22,46,18,53,171,9,392,83,33,27,9,63,61,8,24,54,18,54,212,8,448,3303,3845,1006,236,3545,1526,523,509,3231,470,3863,31338,1434,47548,41,36,9,7,38,18,13,11,28,5,16,236,4517,4878,3426,3914,1044,255,3649,1605,553,538,3308,489,3937,31790,5953,52875
POA3024,552,93,702,183,22,1603,1156,2358,327,11,1228,491,128,218,2014,89,1651,22742,788,30541,14,13,0,0,8,0,0,0,13,0,7,157,1658,1857,1562,2657,456,91,1519,702,197,340,2578,186,2361,23081,2476,34004,4,0,0,0,0,0,0,0,5,0,4,29,0,45,66,25,25,10,44,47,11,22,50,7,66,137,5,339,70,31,30,10,48,47,11,22,58,9,67,168,6,385,1472,2113,410,79,1449,635,177,307,2331,171,1854,15375,582,23121,14,12,0,5,8,3,0,0,11,6,13,118,1156,1316,1556,2156,445,91,1502,685,187,333,2395,182,1932,15668,1745,24825
POA3025,292,110,363,115,29,1221,604,832,211,34,457,293,75,97,730,47,545,7731,364,10946,12,9,3,0,8,10,0,0,8,0,4,62,708,801,1012,977,322,233,758,548,188,194,1021,154,916,7909,1098,12962,0,0,0,0,0,0,0,0,0,0,0,14,0,16,16,9,8,0,8,10,11,9,12,0,13,33,3,97,16,13,8,0,8,10,11,9,12,0,14,48,5,110,954,821,301,192,742,523,169,178,989,141,812,5706,288,9569,39,5,11,36,7,12,8,3,4,7,5,47,528,659,1013,837,322,233,758,545,187,192,1004,154,833,5798,815,10339
POA3026,78,7,153,62,9,357,155,485,69,3,277,103,33,31,242,17,374,6295,196,7925,0,9,0,0,0,0,0,0,6,0,0,59,420,487,226,529,95,16,336,138,45,49,316,28,529,6419,621,8770,0,0,0,0,0,0,0,0,0,0,0,6,0,8,8,3,0,0,5,5,6,0,0,0,3,16,3,33,10,3,0,0,5,5,6,0,0,0,3,19,3,39,219,394,83,16,326,124,41,48,292,28,423,4342,133,5944,0,3,0,0,0,0,0,0,0,0,0,40,296,351,226,396,87,16,331,128,40,49,295,28,429,4405,436,6330
POA3027,58,12,91,48,0,224,181,408,67,0,263,97,23,17,299,10,382,7133,157,8669,0,3,0,0,3,0,0,4,0,0,4,64,476,554,216,435,78,0,291,121,29,26,353,24,479,7238,639,9448,0,0,0,0,0,0,0,0,0,0,3,18,0,25,7,4,0,0,4,8,0,0,0,0,3,20,0,43,8,7,0,0,6,8,0,0,0,0,6,43,0,66,209,337,75,0,291,106,25,25,313,21,385,5193,120,6665,0,3,0,0,0,0,0,0,0,0,0,63,355,424,215,346,78,0,291,118,29,30,314,21,391,5291,478,7150
POA3028,572,153,729,181,121,2089,1605,2034,493,13,1285,668,164,262,1892,135,1623,16661,794,24529,20,25,11,5,16,10,0,7,16,4,15,128,1360,1573,2250,2340,671,177,1722,988,274,409,2479,286,2364,16966,2278,28191,0,3,0,0,0,0,0,0,4,0,4,36,5,54,63,23,26,6,45,46,7,16,52,13,65,154,16,363,63,28,26,6,45,45,7,16,53,13,65,192,19,417,2162,1977,633,162,1659,919,259,384,2296,268,2089,12833,759,21701,15,11,8,0,11,11,0,0,10,3,10,99,1098,1248,2245,2016,665,177,1716,971,269,410,2361,286,2169,13122,1873,23368
POA3029,1197,280,1849,623,106,4638,3981,6849,1105,61,4708,1870,460,579,4387,271,4852,91467,2823,115971,45,66,21,0,52,22,8,12,33,8,37,849,8227,9286,5192,7580,1434,216,5636,2537,685,897,5620,560,6746,92946,11157,129888,5,5,6,0,3,3,0,0,4,0,6,79,7,104,253,94,92,10,165,154,34,71,133,25,133,374,26,1008,259,105,94,10,168,154,34,71,139,22,142,449,32,1110,4864,5899,1318,203,5391,2310,595,803,5110,524,5565,63461,2117,87828,50,39,7,0,43,24,7,6,27,0,24,670,6137,6961,5176,6043,1418,216,5602,2488,642,879,5277,554,5729,64580,8282,95904
POA3030,1755,360,2204,752,149,5616,4765,7591,1446,54,4343,2138,464,735,6254,344,5732,79561,2721,107022,53,46,17,7,36,17,3,11,46,3,48,677,5684,6566,6296,8445,1939,495,5371,2899,718,1169,8062,716,7983,80996,8555,119201,30,17,4,0,3,6,0,0,24,4,23,190,10,278,271,131,111,18,179,178,31,67,190,44,183,502,32,1288,292,146,112,17,182,184,28,67,216,47,212,694,45,1567,5913,6821,1781,454,5102,2656,649,1070,7352,652,6709,55931,2154,83943,64,44,22,22,44,25,5,13,66,10,54,372,4250,4827,6270,7012,1913,494,5323,2863,679,1146,7637,702,6975,56997,6444,90342
POA3031,275,59,342,87,17,900,717,1519,292,14,431,285,82,114,1779,49,1167,10727,410,15884,11,13,4,0,5,6,0,4,6,0,3,80,872,988,964,1647,375,101,619,419,144,183,2059,104,1514,10889,1294,17772,5,4,0,0,0,0,0,0,3,0,0,23,0,34,16,9,17,6,14,15,5,8,27,6,14,82,5,154,15,10,17,6,14,15,5,8,23,6,19,105,7,187,938,1498,351,93,595,399,138,172,2005,99,1391,8600,367,14201,10,4,0,0,8,5,0,0,4,0,7,56,747,825,965,1514,374,101,615,419,137,184,2040,104,1410,8765,1113,15209
POA3032,349,91,463,146,24,1237,1187,2098,532,22,779,583,120,146,2230,77,1772,19207,736,27160,18,9,5,0,19,6,0,3,21,7,18,134,1282,1485,1539,2256,651,122,1007,787,182,220,2596,167,2250,19489,2045,29874,0,7,0,0,0,0,0,0,7,0,3,46,0,62,40,18,30,4,18,33,6,9,33,4,25,133,10,261,39,26,30,4,18,36,6,9,32,4,25,174,7,323,1479,1994,610,99,973,738,169,206,2473,157,2040,15403,647,23753,23,9,4,23,12,8,0,3,27,4,13,81,1066,1217,1537,2025,645,122,1000,782,177,216,2534,168,2082,15655,1730,25290
POA3033,274,112,438,129,14,1232,939,1019,335,14,591,435,80,118,792,75,810,9056,468,13287,25,9,5,0,9,9,0,0,8,0,3,83,439,568,1339,1145,470,205,857,682,172,187,1073,190,1248,9273,920,15078,5,0,0,0,0,0,0,0,0,0,0,11,0,16,41,9,27,6,25,36,8,13,22,10,21,68,7,193,43,12,27,6,25,36,8,13,20,10,26,80,7,208,1271,992,438,192,804,630,157,171,1009,174,1114,6912,411,11777,23,14,5,3,20,11,4,6,10,3,7,47,341,449,1337,1014,470,205,855,674,167,186,1037,189,1149,7040,758,12435
POA3034,434,116,546,136,16,1375,803,745,237,18,531,360,77,93,574,54,665,7164,395,10546,14,6,3,0,8,7,0,4,7,5,10,53,374,470,1323,890,385,299,821,680,137,194,1014,171,1215,7355,786,12388,0,5,0,0,0,0,0,0,0,0,0,7,0,5,16,5,8,3,16,18,3,4,11,3,11,46,0,110,16,14,8,3,16,18,3,4,11,3,11,53,0,119,1274,758,367,280,796,641,134,182,961,164,1134,5593,349,9895,30,5,11,15,12,21,5,3,11,0,23,37,309,403,1324,774,390,301,820,675,137,191,989,171,1172,5684,664,10411
POA3036,70,34,103,46,10,371,479,423,193,10,242,230,43,62,286,27,313,3523,216,5392,5,8,0,0,5,6,0,0,7,0,0,28,167,213,592,465,229,46,313,315,58,86,357,60,418,3596,386,5974,0,0,0,0,0,0,0,0,0,0,0,3,0,8,23,7,16,3,12,24,0,6,12,10,9,39,3,110,23,7,16,3,12,24,0,6,12,10,9,42,6,116,563,382,207,47,296,284,56,82,337,52,370,2780,191,4757,0,5,5,0,0,3,0,0,0,0,7,9,131,151,592,393,229,46,310,313,58,86,346,61,382,2833,324,5023
POA3037,878,229,1246,334,42,3181,2278,3713,667,34,2180,930,252,293,2385,170,2673,32974,1541,46025,18,21,3,5,26,11,4,0,16,0,12,276,1826,2193,3300,4121,943,413,2950,1468,465,515,3283,400,3926,33585,3413,51402,0,0,0,0,0,0,0,0,0,0,0,21,0,32,57,18,23,7,41,30,8,17,32,13,35,122,14,286,57,18,23,7,44,30,12,16,33,13,37,150,14,320,3217,3352,903,399,2878,1416,432,490,3067,381,3494,24954,1261,39187,21,12,3,8,18,8,4,3,11,4,10,157,1374,1599,3293,3382,930,413,2941,1457,451,505,3109,396,3540,25259,2650,41108
POA3038,412,144,708,228,31,1938,1660,1726,554,22,1381,790,166,180,1238,106,1514,16147,796,23694,20,16,3,0,15,5,0,0,19,0,3,128,880,1072,2290,1977,725,153,1829,1149,280,331,1669,243,2230,16503,1707,26703,0,0,0,0,0,0,0,0,0,0,0,11,0,15,62,14,20,0,41,39,9,11,17,6,36,71,3,210,62,14,20,0,39,38,9,11,17,6,36,84,3,222,2199,1697,696,146,1775,1090,263,308,1577,231,2037,13184,709,21767,24,11,4,0,19,13,6,5,13,0,10,70,710,841,2290,1725,722,150,1831,1139,276,331,1606,240,2077,13334,1424,22827
POA3039,253,83,331,97,11,894,829,1219,376,14,434,370,89,116,1330,55,1024,10087,456,14769,17,3,0,0,3,0,6,0,10,0,7,64,453,556,1173,1334,490,135,614,575,147,196,1594,139,1364,10245,921,16224,0,0,0,0,0,0,0,0,0,0,3,18,0,21,31,16,18,13,16,34,12,9,39,9,26,81,6,189,31,18,17,11,18,33,9,12,40,5,28,96,6,210,1127,1192,464,126,579,532,132,176,1529,127,1254,8201,392,13283,18,8,4,4,8,5,3,4,8,0,6,35,408,476,1173,1212,487,135,607,569,142,190,1572,139,1291,8334,807,13976
