POA_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
POA3141,..,50,13,63,0,65,..,1536,259,1800,10,1800,..,36,0,36,0,36,..,268,8,269,4,273,..,108,0,109,0,109,..,306,55,360,0,364,..,34,0,34,0,41,..,17,0,17,0,17,..,174,0,177,0,181,..,22,0,22,0,22,..,34,0,35,0,35,..,63,0,67,0,72,..,25,0,25,0,25,..,33,0,33,0,33,..,412,7,420,0,428,..,223,6,224,0,224,..,133,15,153,0,153,..,19,0,19,0,19,..,76,9,82,0,82,..,24,0,24,0,24,..,25,0,25,0,25,..,114,7,123,0,124,..,59,9,65,0,65,..,101,6,101,0,101,..,143,138,288,0,286,..,5,0,5,0,5,..,53,7,60,0,60,..,53,0,53,0,53,..,135,3,135,0,141,..,67,0,67,0,67,..,50,0,47,0,47,..,301,4,305,0,304,..,469,25,502,0,502,..,73
POA3142,..,20,6,27,0,27,..,862,166,1035,8,1039,..,9,0,10,0,10,..,71,0,72,5,78,..,49,0,49,0,50,..,193,3,196,0,196,..,3,0,3,0,3,..,17,0,17,0,17,..,66,3,71,0,71,..,6,0,6,0,6,..,29,0,30,0,30,..,16,0,15,0,15,..,8,0,8,0,12,..,16,0,16,0,16,..,170,3,176,0,178,..,107,5,108,0,111,..,44,8,52,0,53,..,3,0,3,0,3,..,15,0,16,0,20,..,8,0,7,0,7,..,9,0,9,0,9,..,39,0,45,0,45,..,38,4,39,0,39,..,23,0,23,0,23,..,61,7,60,0,60,..,0,0,0,0,0,..,25,3,28,3,28,..,9,0,9,0,9,..,28,3,31,0,31,..,18,0,18,0,18,..,10,0,16,0,16,..,67,8,72,0,72,..,108,8,119,5,117,..,23
POA3143,..,20,3,25,0,25,..,400,64,468,7,479,..,5,0,5,0,5,..,64,0,64,0,64,..,20,0,20,0,20,..,168,37,210,0,210,..,13,0,13,0,13,..,44,3,46,0,46,..,47,0,47,0,47,..,10,0,10,0,10,..,8,0,8,0,8,..,18,0,18,0,18,..,15,0,15,0,15,..,28,0,31,0,31,..,182,8,188,0,192,..,52,4,60,0,59,..,43,5,53,0,50,..,0,0,0,0,0,..,13,5,24,0,24,..,3,0,3,0,3,..,12,0,12,0,12,..,39,0,39,0,39,..,28,3,36,0,36,..,20,0,25,0,25,..,45,9,52,0,48,..,0,0,0,0,0,..,19,0,19,0,19,..,9,0,8,0,8,..,29,0,29,0,29,..,15,0,15,0,15,..,8,0,8,0,8,..,56,0,60,0,60,..,72,4,81,0,81,..,14
POA3144,..,16,4,19,0,19,..,425,70,491,5,498,..,6,0,6,0,8,..,51,0,53,0,53,..,35,3,36,0,35,..,253,61,316,0,318,..,4,0,4,0,4,..,25,0,31,0,31,..,58,0,58,0,58,..,5,0,5,0,5,..,22,0,27,0,27,..,15,0,15,0,13,..,4,0,4,0,4,..,11,0,11,0,11,..,138,0,145,0,144,..,85,8,91,0,91,..,28,4,33,0,34,..,0,0,0,0,0,..,20,0,26,0,26,..,7,0,7,0,7,..,22,0,22,0,22,..,16,6,25,0,25,..,21,3,24,0,24,..,12,0,12,3,11,..,38,10,48,0,48,..,0,0,0,0,0,..,16,0,14,0,15,..,23,0,23,0,23,..,19,0,19,0,19,..,20,0,20,0,20,..,9,0,9,0,9,..,72,0,72,0,72,..,60,3,64,0,66,..,8
POA3145,..,59,15,76,0,79,..,1537,337,1868,17,1887,..,21,4,25,0,25,..,86,0,89,4,91,..,82,0,78,0,78,..,975,185,1155,5,1158,..,59,0,64,0,64,..,96,6,101,0,101,..,214,5,221,4,223,..,99,0,98,0,98,..,44,0,44,0,45,..,131,0,131,0,131,..,18,0,18,0,18,..,46,3,48,0,50,..,700,19,716,4,723,..,234,21,253,0,254,..,74,12,82,0,87,..,16,0,16,0,16,..,67,12,83,0,83,..,15,0,18,0,18,..,39,0,38,0,38,..,53,6,51,0,56,..,60,4,64,0,64,..,42,3,42,0,42,..,92,9,101,0,101,..,0,0,0,0,0,..,31,0,31,0,31,..,47,0,47,0,47,..,90,13,103,3,106,..,60,4,63,0,66,..,33,0,36,0,36,..,226,18,246,3,245,..,177,16,188,0,191,..,88
POA3146,..,99,14,114,0,114,..,1763,357,2121,10,2128,..,32,3,36,0,36,..,98,0,102,0,102,..,83,0,78,0,85,..,619,115,730,4,730,..,35,4,41,0,41,..,131,11,140,3,141,..,230,9,241,0,241,..,62,0,69,0,69,..,51,0,46,0,53,..,89,0,93,0,91,..,30,0,29,0,29,..,40,0,40,0,40,..,673,27,698,8,698,..,198,16,218,4,220,..,68,6,74,0,74,..,19,4,18,0,18,..,62,11,72,0,72,..,9,0,14,0,14,..,39,0,39,0,39,..,71,10,85,0,85,..,42,3,45,0,51,..,34,0,34,0,34,..,66,13,77,0,79,..,0,0,0,0,0,..,37,6,43,0,43,..,29,0,39,0,39,..,88,9,99,3,102,..,34,0,34,0,30,..,12,0,12,0,12,..,163,11,177,6,186,..,162,6,168,0,168,..,70
POA3147,..,48,21,72,0,72,..,1433,458,1885,17,1901,..,23,3,30,0,30,..,71,0,71,0,71,..,50,0,54,0,49,..,369,57,426,4,424,..,23,0,23,0,23,..,22,0,27,0,27,..,130,0,132,0,132,..,21,0,21,0,21,..,34,4,40,0,40,..,164,0,163,0,163,..,34,0,34,0,34,..,27,0,28,0,28,..,453,15,460,0,460,..,131,12,141,0,141,..,37,6,45,0,47,..,11,5,7,0,7,..,98,26,126,0,130,..,5,0,8,0,8,..,26,0,26,0,26,..,56,7,67,0,67,..,47,8,56,0,53,..,24,0,23,0,29,..,60,14,73,0,75,..,0,0,0,0,0,..,28,6,29,0,29,..,31,0,35,0,32,..,56,0,51,0,61,..,16,0,16,0,16,..,14,3,17,0,17,..,123,4,122,0,128,..,77,11,83,0,87,..,47
POA3148,..,23,9,32,0,34,..,1040,318,1358,8,1368,..,16,0,17,0,17,..,45,0,45,0,45,..,33,0,36,0,36,..,492,119,607,4,610,..,23,0,24,0,24,..,73,3,76,0,72,..,207,3,210,0,214,..,17,0,17,0,14,..,69,0,64,0,71,..,292,9,307,3,311,..,39,5,46,0,48,..,42,0,44,0,44,..,760,31,791,8,801,..,155,19,172,0,172,..,61,14,75,0,72,..,8,0,8,0,8,..,117,34,155,0,157,..,5,0,5,0,5,..,40,0,37,0,37,..,45,6,46,3,50,..,37,4,43,0,43,..,17,3,21,0,17,..,64,12,79,0,79,..,0,0,0,0,0,..,28,4,29,0,29,..,45,0,50,0,50,..,110,13,118,0,119,..,54,0,54,0,56,..,30,0,30,0,35,..,246,10,256,0,261,..,111,7,126,3,127,..,90
POA3149,..,202,44,251,0,249,..,5997,1714,7712,69,7781,..,54,3,59,0,64,..,115,5,121,0,124,..,87,0,90,0,90,..,1400,280,1677,4,1684,..,155,9,161,0,161,..,246,5,250,0,250,..,779,25,804,5,813,..,40,5,43,0,43,..,266,16,274,0,274,..,1142,39,1180,7,1190,..,120,0,116,0,116,..,204,3,204,0,205,..,2953,97,3042,13,3056,..,355,47,396,0,396,..,201,18,222,0,221,..,27,10,40,0,41,..,382,131,514,3,515,..,34,6,39,0,39,..,141,0,140,4,143,..,136,14,158,0,155,..,124,8,134,0,134,..,33,0,37,4,39,..,140,21,162,0,161,..,0,0,0,0,0,..,57,5,62,0,62,..,46,5,50,0,50,..,262,7,270,6,273,..,60,0,59,0,59,..,51,4,54,0,54,..,426,16,438,6,446,..,131,3,136,0,136,..,513
POA3150,..,558,139,689,3,694,..,13472,4650,18119,102,18226,..,132,17,149,0,146,..,144,3,152,0,152,..,148,0,152,0,155,..,1461,240,1697,11,1708,..,352,17,367,0,367,..,358,9,374,3,377,..,1379,47,1425,3,1430,..,95,7,98,0,98,..,515,33,551,3,552,..,2058,86,2143,3,2148,..,331,11,336,0,339,..,534,9,547,0,549,..,5642,213,5850,13,5862,..,644,90,741,13,746,..,197,29,220,0,223,..,100,26,127,0,127,..,559,151,709,4,713,..,43,4,48,0,48,..,290,9,297,0,299,..,371,38,409,0,406,..,151,10,167,0,167,..,42,3,44,0,39,..,161,22,182,0,182,..,19,0,19,0,19,..,100,13,116,0,119,..,109,4,106,0,106,..,451,24,480,0,481,..,139,5,145,3,148,..,116,7,122,0,125,..,806,42,850,7,856,..,161,12,173,0,172,..,1515
POA3151,..,62,23,85,0,85,..,1973,823,2795,24,2818,..,14,4,13,0,16,..,21,0,21,0,21,..,32,0,32,0,32,..,640,170,812,0,814,..,31,0,29,0,29,..,75,5,81,0,81,..,181,4,185,0,185,..,21,0,21,0,21,..,42,3,45,0,45,..,295,5,305,5,310,..,41,0,41,0,41,..,45,0,45,0,45,..,727,17,747,6,755,..,156,20,172,0,172,..,27,3,29,0,32,..,6,7,10,0,10,..,82,17,97,0,100,..,23,4,29,0,29,..,34,0,34,0,34,..,57,10,73,4,69,..,27,6,31,0,31,..,8,0,8,0,8,..,16,0,13,0,13,..,0,0,0,0,0,..,6,3,7,0,7,..,38,0,38,0,38,..,68,6,77,0,77,..,30,0,30,0,30,..,10,0,10,0,10,..,149,6,154,0,154,..,45,0,45,0,45,..,144
POA3152,..,257,54,308,0,310,..,5868,1689,7554,73,7629,..,52,5,56,0,56,..,38,0,46,0,46,..,90,3,89,0,90,..,437,62,501,5,503,..,71,0,77,0,81,..,256,14,271,0,271,..,492,15,510,0,512,..,52,3,52,0,56,..,333,18,350,4,354,..,648,28,675,5,676,..,90,4,94,0,94,..,147,3,153,4,149,..,2097,91,2182,18,2200,..,278,19,294,6,295,..,42,4,49,0,49,..,87,29,117,0,117,..,217,49,262,5,269,..,24,0,25,0,25,..,152,5,154,0,158,..,191,28,219,7,224,..,65,3,70,0,69,..,28,5,28,0,28,..,35,5,41,0,41,..,7,0,7,0,7,..,83,11,93,0,93,..,97,8,99,5,105,..,249,22,269,6,282,..,125,0,124,0,124,..,83,5,91,0,91,..,550,37,584,8,598,..,127,19,151,0,149,..,471
POA3153,..,26,8,32,0,32,..,1277,488,1764,28,1794,..,29,4,40,0,40,..,41,0,41,0,41,..,222,16,239,0,240,..,76,6,84,0,84,..,27,3,27,0,27,..,133,19,153,0,152,..,184,5,188,0,194,..,66,6,70,5,73,..,181,15,199,0,201,..,220,12,228,5,234,..,39,3,47,0,47,..,53,0,59,0,59,..,910,69,975,12,988,..,83,3,86,0,86,..,30,0,33,0,35,..,62,22,86,0,91,..,93,20,115,0,115,..,9,0,10,0,12,..,100,9,110,0,106,..,110,25,131,3,136,..,59,21,76,3,84,..,10,0,10,0,10,..,30,0,32,0,32,..,14,0,14,0,14,..,28,8,39,0,39,..,103,5,109,0,109,..,68,0,70,3,73,..,132,5,135,4,141,..,43,5,46,0,46,..,345,11,360,4,365,..,108,20,128,4,130,..,117
POA3154,..,0,0,0,0,0,..,34,20,52,5,60,..,0,0,0,0,0,..,11,0,11,0,11,..,68,7,75,4,79,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,3,0,3,0,3,..,21,0,21,0,21,..,0,0,0,0,0,..,0,0,0,0,0,..,33,0,33,0,33,..,20,0,20,0,23,..,13,0,13,0,13,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,10,0,10,..,8,0,8,0,8,..,0,0,3,0,3,..,0,0,0,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,8,0,10,0,10,..,4
POA3155,..,45,5,47,0,47,..,1172,365,1538,18,1561,..,20,4,20,0,20,..,46,4,47,0,47,..,112,8,119,0,119,..,118,13,131,0,136,..,18,0,18,0,18,..,168,15,188,0,186,..,178,3,180,0,180,..,57,13,65,4,71,..,108,15,125,6,131,..,299,20,323,0,322,..,62,3,60,0,60,..,38,3,47,0,49,..,936,75,1007,14,1023,..,89,16,106,0,107,..,39,8,48,0,48,..,17,7,26,0,26,..,91,36,128,0,131,..,12,0,12,0,12,..,55,9,61,3,65,..,148,28,174,3,172,..,59,6,66,0,63,..,7,4,12,0,12,..,41,4,47,0,47,..,12,0,12,0,12,..,42,11,53,0,53,..,62,3,60,0,60,..,55,0,56,0,56,..,93,9,94,0,94,..,25,0,25,4,28,..,226,12,237,4,241,..,114,9,129,0,131,..,91
POA3156,..,79,10,86,0,86,..,1448,440,1888,26,1917,..,56,8,64,0,64,..,59,0,62,0,62,..,203,9,212,0,213,..,277,34,315,6,318,..,29,0,32,0,32,..,176,14,193,0,195,..,176,7,182,0,188,..,34,4,38,0,38,..,130,12,136,0,136,..,409,21,430,5,433,..,49,0,49,0,49,..,62,4,62,5,62,..,1057,59,1118,7,1126,..,299,31,331,5,332,..,56,0,59,7,66,..,20,15,37,0,37,..,120,35,151,4,157,..,24,0,26,0,26,..,72,0,72,0,72,..,185,29,212,5,223,..,118,9,127,0,127,..,22,0,25,0,25,..,58,5,60,0,60,..,10,0,11,0,11,..,58,12,68,0,68,..,104,0,104,0,104,..,106,3,109,0,111,..,112,3,111,0,113,..,41,0,45,0,45,..,359,7,364,5,368,..,149,18,166,3,166,..,124
POA3158,..,0,0,0,0,0,..,36,13,51,0,50,..,3,0,3,0,3,..,25,0,25,0,21,..,26,0,26,0,26,..,12,0,15,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,11,0,11,..,8,0,8,0,8,..,3,0,3,0,3,..,26,0,27,0,27,..,24,0,28,0,28,..,20,0,18,0,18,..,0,0,0,0,0,..,3,4,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,18,0,15,0,20,..,3,0,3,0,8,..,25,0,27,0,27,..,0,0,0,0,0,..,3,0,5,0,5,..,4,0,4,0,4,..,3,0,3,0,3,..,6,0,6,0,6,..,3,0,3,0,3,..,15,0,15,0,15,..,26,0,26,0,26,..,3
POA3159,..,0,0,0,0,0,..,7,0,7,0,7,..,5,0,5,0,5,..,6,0,6,0,6,..,20,0,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,9,..,12,0,12,0,12,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,4,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,5,0,5,..,0
POA3160,..,0,0,0,0,0,..,35,0,40,0,40,..,4,0,4,0,4,..,27,0,31,0,31,..,63,5,66,0,66,..,28,0,27,0,27,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,7,0,7,0,7,..,19,0,21,0,21,..,0,0,0,0,0,..,5,0,5,0,5,..,45,0,48,0,48,..,45,0,45,0,49,..,23,0,23,0,23,..,0,0,4,0,4,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,4,0,4,..,18,0,20,0,20,..,4,0,4,0,4,..,16,0,15,0,14,..,0,0,0,0,0,..,10,0,10,0,10,..,5,0,5,0,5,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,16,0,17,0,17,..,19,8,24,0,24,..,3
POA3161,..,36,5,40,0,40,..,876,191,1074,11,1079,..,14,0,15,0,15,..,271,10,280,3,284,..,49,0,45,0,45,..,211,36,248,0,250,..,17,0,18,0,18,..,76,0,79,0,78,..,132,4,131,0,132,..,30,0,30,0,30,..,20,0,28,0,28,..,37,0,37,0,37,..,11,0,11,0,11,..,27,0,27,0,27,..,354,12,361,0,363,..,95,4,104,0,105,..,63,6,73,0,73,..,0,0,0,0,0,..,28,0,24,0,24,..,4,0,4,0,4,..,15,0,15,0,15,..,26,6,30,0,30,..,57,3,59,0,60,..,41,0,50,0,50,..,303,58,361,0,361,..,0,0,0,0,0,..,31,4,31,0,31,..,40,0,40,0,40,..,28,0,30,0,30,..,27,0,30,0,30,..,16,0,16,0,15,..,109,3,110,0,108,..,188,13,194,0,197,..,50
POA3162,..,25,14,33,0,33,..,527,148,677,4,685,..,12,0,14,0,14,..,179,13,199,3,200,..,76,3,80,0,82,..,413,71,485,0,488,..,5,0,5,0,5,..,40,0,42,0,42,..,98,7,103,0,103,..,21,0,21,0,21,..,19,0,19,0,19,..,33,0,33,0,33,..,11,0,8,0,8,..,28,0,32,0,32,..,256,13,266,0,266,..,103,14,111,0,111,..,125,39,164,5,168,..,3,0,0,0,0,..,22,7,30,0,30,..,13,0,13,0,13,..,30,0,30,0,30,..,11,0,11,0,11,..,93,13,115,3,114,..,44,0,43,0,43,..,714,148,865,4,870,..,0,0,0,0,0,..,40,3,40,0,44,..,37,0,37,0,38,..,39,4,41,0,41,..,37,0,41,0,41,..,13,0,12,0,12,..,120,8,125,3,125,..,125,7,133,5,137,..,38
POA3163,..,77,15,88,0,91,..,2230,494,2729,21,2751,..,35,4,38,0,38,..,210,4,211,3,219,..,111,0,111,0,120,..,1038,274,1313,0,1315,..,119,6,128,0,128,..,534,29,561,0,565,..,702,27,724,6,730,..,225,5,238,5,241,..,136,10,145,0,145,..,147,0,146,0,146,..,69,4,78,5,76,..,203,4,209,0,212,..,2143,95,2239,13,2252,..,280,20,301,5,311,..,211,37,244,3,246,..,15,0,15,0,15,..,164,47,217,0,221,..,8,3,8,0,8,..,100,0,98,5,104,..,36,3,42,0,42,..,121,3,132,6,132,..,41,3,45,0,45,..,710,202,910,20,931,..,3,0,9,0,8,..,89,9,101,0,101,..,100,4,97,0,97,..,176,15,193,0,193,..,118,0,118,0,114,..,39,0,42,0,42,..,434,19,450,0,451,..,255,19,269,0,274,..,377
POA3165,..,42,11,51,0,51,..,1829,483,2314,22,2331,..,52,5,58,0,58,..,109,9,119,0,116,..,72,0,72,0,75,..,1582,251,1839,5,1839,..,34,0,36,0,39,..,115,4,119,0,119,..,382,12,395,3,397,..,8,0,8,0,9,..,62,0,65,0,65,..,106,6,114,0,120,..,13,0,13,0,13,..,48,4,49,0,49,..,768,30,800,12,808,..,375,50,422,3,429,..,105,20,123,0,123,..,15,6,24,0,22,..,173,29,201,0,201,..,14,0,14,0,14,..,61,0,61,0,62,..,79,4,85,0,85,..,129,14,140,0,140,..,57,4,63,0,63,..,994,176,1170,3,1170,..,0,0,0,0,0,..,104,6,106,0,106,..,32,0,34,0,34,..,89,7,98,0,100,..,55,4,59,0,63,..,21,0,19,0,19,..,196,9,205,3,209,..,166,14,179,0,179,..,147
POA3166,..,93,19,114,0,114,..,1812,502,2309,31,2342,..,29,6,35,0,35,..,131,11,143,0,145,..,71,0,70,0,76,..,2273,647,2919,10,2928,..,130,5,134,0,134,..,164,0,168,0,168,..,422,13,434,8,435,..,155,11,167,0,167,..,130,9,137,3,140,..,232,9,240,5,245,..,48,0,55,0,53,..,77,0,75,0,75,..,1364,51,1414,14,1427,..,555,131,688,0,688,..,118,16,138,0,138,..,37,8,49,0,49,..,211,64,273,3,271,..,19,0,21,0,21,..,85,9,89,0,89,..,82,9,86,0,86,..,89,18,99,0,99,..,58,0,58,0,62,..,146,38,187,0,187,..,7,0,7,0,7,..,53,11,63,0,67,..,81,6,85,0,85,..,154,12,167,0,167,..,92,0,92,0,92,..,33,0,33,0,36,..,365,18,382,0,385,..,212,32,241,0,241,..,172
POA3167,..,30,15,46,0,46,..,712,268,984,12,989,..,33,4,31,0,31,..,64,4,70,0,71,..,26,0,26,3,26,..,951,236,1188,5,1187,..,27,0,30,0,29,..,105,0,109,0,105,..,250,8,265,0,264,..,10,0,10,0,10,..,94,4,102,0,102,..,106,6,111,4,108,..,53,0,47,0,47,..,48,3,52,0,52,..,697,26,721,3,723,..,186,43,217,0,225,..,61,6,72,0,68,..,59,22,86,0,86,..,49,25,67,0,67,..,17,0,23,0,23,..,80,0,80,5,79,..,5,3,9,0,9,..,42,5,54,0,54,..,7,0,10,0,10,..,123,20,145,0,145,..,4,0,4,0,4,..,17,3,22,0,22,..,35,0,41,0,41,..,27,4,33,0,35,..,49,0,49,0,49,..,21,0,21,0,21,..,136,0,139,0,139,..,81,0,86,0,86,..,84
