POA_CODE_2021,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
POA3161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,28,4,6,195,6,0,4,199,3,0,202,41,6,0,0,49,0,0,0,54,10,0,66,0,0,0,0,0,0,0,0,0,0,0,0,203,32,4,3,246,6,7,4,251,19,0,270,40,9,0,0,45,0,0,3,50,0,0,50,45,17,4,6,66,0,0,0,64,0,0,64,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,89,25,4,6,117,5,0,3,123,0,0,123,5,0,0,0,5,0,0,0,5,0,0,5,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,94,25,4,6,122,5,0,3,125,0,0,125,34,15,0,0,46,0,0,0,46,5,0,50,0,0,0,0,0,0,0,0,0,0,0,0,124,39,4,6
POA3162,4,0,0,3,4,0,0,0,4,0,0,0,4,0,0,3,193,32,4,0,229,4,0,4,237,13,0,249,24,9,0,0,35,6,0,6,37,8,0,43,0,0,0,0,0,0,0,0,0,0,0,0,220,43,4,0,265,3,0,3,271,16,0,290,60,11,6,0,73,0,0,0,73,6,0,82,83,19,0,0,102,0,0,0,102,6,0,102,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,145,32,7,0,178,0,0,0,178,9,0,192,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,146,32,7,0,182,0,0,0,186,8,0,194,16,9,0,0,28,0,0,0,26,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,167,36,9,0
POA3163,3,0,0,3,3,0,0,0,3,0,0,0,6,0,0,6,257,37,3,0,301,6,0,8,311,23,0,332,20,7,0,0,26,0,0,0,28,11,0,37,0,0,0,0,0,0,0,0,0,0,0,0,283,41,3,4,328,6,6,11,342,28,0,370,66,8,3,0,79,4,3,5,79,6,0,90,63,14,4,0,87,3,0,3,87,7,0,91,5,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,136,28,0,0,161,3,3,10,172,15,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,131,26,8,0,166,3,3,10,178,16,0,193,20,0,0,0,25,0,0,0,29,7,0,35,0,0,0,0,0,0,0,0,0,0,0,0,156,31,3,0
POA3165,4,0,0,4,4,0,0,0,5,0,0,0,5,0,0,6,356,57,13,0,420,10,0,10,434,26,0,459,37,4,4,0,48,0,0,0,48,13,0,67,0,0,0,0,0,0,0,0,0,0,0,0,395,60,20,0,472,10,0,10,483,42,0,524,85,13,5,0,99,0,0,0,101,9,0,109,70,8,0,0,77,0,0,0,79,6,0,86,0,0,0,0,9,0,0,0,9,3,0,11,0,0,0,3,3,0,0,0,3,0,0,3,154,24,3,3,182,0,0,0,183,17,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,152,24,3,3,190,0,0,0,186,17,0,203,19,0,0,0,22,3,0,3,25,9,0,37,0,0,0,0,0,0,0,0,0,0,0,0,176,27,3,3
POA3166,4,0,0,4,7,0,0,0,7,0,0,0,5,0,0,5,234,28,3,3,271,4,0,11,275,18,4,297,20,4,0,0,26,0,0,4,33,10,0,44,0,0,0,0,0,0,0,0,0,0,0,0,253,35,5,3,294,8,6,10,307,27,5,334,60,14,0,0,72,0,0,0,77,11,0,83,50,11,0,0,60,0,0,0,63,8,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,22,0,4,135,0,0,5,140,16,0,159,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,6,0,0,0,6,0,0,0,6,0,0,6,111,22,0,4,141,0,0,5,145,16,0,163,15,5,3,0,26,0,0,0,23,5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,135,27,3,4
POA3167,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,82,18,3,0,102,3,0,6,107,6,0,109,5,5,0,0,12,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,90,21,0,0,115,3,0,6,117,10,0,125,28,4,4,0,33,0,0,0,41,5,0,41,13,3,0,0,18,0,0,0,22,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,11,4,0,53,0,0,3,57,6,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11,4,0,57,0,0,3,62,6,0,63,5,6,0,0,4,0,0,0,4,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,48,16,4,0
POA3168,3,0,0,3,5,0,0,0,3,0,0,0,8,0,0,8,59,16,0,0,81,0,0,0,86,3,0,85,11,0,0,4,15,0,0,0,15,10,0,29,0,0,0,0,0,0,0,0,0,0,0,0,74,21,0,4,97,0,0,0,100,8,0,116,23,11,0,0,28,0,0,0,27,6,0,38,6,6,3,0,17,0,0,0,17,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,3,0,45,0,0,0,46,10,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,30,13,3,0,47,3,0,3,48,10,0,57,10,0,0,0,10,0,0,0,10,8,0,17,0,0,0,3,3,0,0,0,3,0,0,3,34,13,0,3
POA3169,4,0,0,4,10,0,0,0,9,0,0,0,9,0,0,9,149,26,6,0,180,0,0,5,187,17,0,197,33,8,3,0,42,0,0,0,42,22,0,63,0,0,0,0,0,0,0,0,0,0,0,0,177,37,8,0,225,5,0,3,232,32,0,260,49,3,0,0,54,6,0,3,58,7,0,61,28,3,0,0,37,0,0,0,39,0,0,38,0,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,76,10,0,0,86,5,0,7,99,10,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,10,0,0,94,5,0,7,100,10,0,104,22,11,0,0,32,0,0,0,32,11,0,44,0,0,0,0,0,0,0,0,0,0,0,0,101,25,0,0
POA3170,3,0,0,3,6,0,0,0,8,0,0,0,8,0,0,8,200,27,5,0,238,3,3,3,248,11,0,260,35,9,0,0,41,0,0,0,42,6,0,50,0,0,0,0,0,0,0,0,0,0,0,0,237,36,9,0,283,3,3,10,290,17,0,307,54,0,0,0,55,4,0,6,59,3,0,69,43,10,0,0,47,0,0,0,47,4,0,54,3,0,0,0,9,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,100,11,0,0,110,4,0,6,116,9,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,17,0,0,110,4,0,6,120,9,0,129,23,9,0,0,33,0,0,0,33,14,0,43,0,0,0,0,0,0,0,0,0,0,0,0,125,15,0,0
POA3171,7,3,0,6,3,3,0,0,10,0,0,0,10,5,0,8,104,35,0,3,152,7,0,3,159,24,0,183,53,11,4,0,69,0,4,0,72,40,0,110,0,0,0,0,4,0,0,0,4,0,0,4,164,50,10,7,223,4,5,6,229,67,0,301,34,3,0,0,42,4,0,3,45,16,0,57,11,10,3,0,22,4,0,4,27,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,8,0,0,8,48,13,3,4,73,9,0,6,77,19,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,4,0,5,49,13,3,4,68,9,0,6,72,19,0,95,31,11,0,0,39,0,0,0,39,35,0,72,0,0,0,0,0,0,0,0,0,0,4,4,78,18,3,4
POA3172,7,0,0,7,7,0,0,0,13,3,0,3,11,4,0,15,184,32,7,0,224,4,0,8,235,35,0,265,42,9,0,4,57,3,0,4,60,27,0,87,0,0,0,0,0,0,0,0,0,0,0,3,231,45,7,3,285,3,5,11,293,58,6,358,59,7,0,0,68,0,0,0,73,8,0,80,36,7,0,0,41,3,0,3,43,4,0,54,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,101,18,0,0,116,5,0,4,125,14,0,133,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,4,0,0,0,3,0,0,8,6,0,0,0,7,0,0,0,7,0,0,9,104,18,0,0,125,5,3,3,136,15,0,146,20,5,5,4,35,0,0,0,31,18,0,52,0,0,0,0,0,0,0,0,0,0,5,4,128,26,4,3
POA3173,4,0,0,5,0,0,0,0,0,0,0,0,6,0,0,9,321,56,3,9,389,0,0,3,390,35,0,423,82,13,0,0,100,4,0,0,105,46,0,153,0,0,0,0,0,0,0,0,0,0,0,0,407,68,3,7,492,4,3,8,495,79,0,574,124,21,0,0,145,0,3,5,147,10,0,160,47,16,0,0,68,0,0,0,68,12,0,75,5,0,0,0,7,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,179,39,0,0,219,0,3,5,220,23,0,247,7,0,0,0,7,0,0,0,4,0,0,4,5,4,0,0,4,0,0,0,4,3,0,3,7,4,0,0,13,0,0,0,14,3,0,14,188,38,0,0,225,3,3,3,234,23,0,260,52,5,0,0,63,0,0,0,67,19,0,83,0,0,0,0,0,0,0,0,0,0,0,0,242,49,0,0
POA3174,0,0,0,3,5,0,0,0,10,0,0,0,10,4,0,18,169,52,6,10,230,3,0,4,237,31,0,266,65,26,4,0,99,4,0,4,109,48,0,158,0,0,0,0,0,0,0,0,0,0,3,6,238,74,10,13,331,8,0,10,346,79,7,425,48,8,4,3,67,0,0,3,72,15,0,83,28,9,4,0,45,0,0,0,45,9,0,61,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,78,24,11,6,114,4,3,4,123,27,0,146,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,4,0,10,77,22,11,6,119,6,5,10,129,28,0,158,39,13,0,0,59,8,0,8,61,29,0,92,0,0,0,0,0,0,0,0,0,0,3,3,123,36,11,6
POA3175,9,0,0,10,10,0,0,0,10,3,3,11,22,5,0,24,243,69,6,5,322,12,9,26,348,34,0,377,104,31,0,10,147,10,4,14,167,88,0,257,0,0,0,0,3,0,0,0,3,0,0,3,346,102,13,15,475,27,13,43,518,122,0,636,63,8,0,0,76,5,0,7,77,9,0,89,43,19,0,0,64,0,0,0,68,6,0,75,0,0,4,0,6,0,0,0,6,0,0,6,0,3,0,5,3,0,0,0,3,0,0,5,109,31,5,8,146,6,0,6,150,23,0,174,0,0,0,0,4,0,0,0,4,0,0,3,8,0,0,0,5,0,0,0,5,4,0,9,4,0,0,0,3,0,0,0,3,5,0,11,114,32,5,8,151,6,0,6,162,24,0,184,69,27,3,3,101,11,0,14,112,66,4,184,0,0,0,0,0,0,0,0,0,0,0,0,182,57,5,7
POA3177,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,8,29,3,0,0,32,0,0,0,41,8,0,49,23,6,3,3,38,4,0,5,35,31,0,71,0,0,0,0,0,0,0,0,0,0,0,0,51,9,0,3,66,7,3,9,76,39,0,119,4,0,0,0,4,0,0,0,4,6,0,6,4,5,0,0,9,0,0,0,9,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,14,0,0,0,14,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,6,5,0,0,5,0,3,0,0,0,4,3,6,8,0,0,8,13,3,0,0,19,4,3,6,19,5,0,28,8,3,0,0,14,0,0,0,14,21,0,41,0,0,0,0,0,0,0,0,0,0,0,0,22,14,0,4
POA3178,5,0,0,5,8,0,0,0,7,0,0,4,6,0,0,11,451,52,13,6,520,9,3,14,534,39,0,568,82,13,0,0,93,0,0,0,93,16,0,114,0,0,0,0,0,0,0,0,0,0,0,0,532,60,13,9,615,9,3,14,627,54,5,679,133,21,5,0,154,5,0,3,159,9,0,166,114,26,8,0,142,4,0,4,144,14,0,160,5,0,4,0,13,0,0,0,13,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,245,43,14,3,307,4,0,8,313,25,0,338,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,7,0,0,0,8,0,0,8,252,44,14,3,313,7,0,9,321,25,0,350,47,3,0,0,57,0,0,0,57,16,0,73,0,0,0,0,0,0,0,0,0,0,0,0,299,48,14,3
POA3179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,12,4,4,96,0,0,0,100,3,0,99,12,0,0,0,16,0,0,0,16,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,87,13,3,4,109,0,0,0,114,7,5,119,28,3,0,0,35,0,0,0,35,3,0,39,12,9,0,0,21,0,0,0,21,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,7,57,0,0,0,57,8,0,61,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,4,0,0,4,46,10,0,7,62,0,0,0,61,4,0,65,6,5,0,0,8,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0,7
POA3180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,14,3,0,84,4,0,4,87,4,0,90,16,7,0,0,18,0,0,0,18,10,0,28,0,0,0,0,0,0,0,0,0,0,0,0,84,21,3,0,103,4,0,4,106,10,0,122,21,4,0,0,25,0,0,0,25,0,0,28,13,4,0,0,13,3,0,3,16,4,0,21,0,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,38,10,0,0,47,3,0,4,49,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,49,4,0,6,52,3,0,54,11,5,0,0,16,0,0,0,16,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,47,14,0,0
POA3181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,7,0,0,88,0,0,0,88,5,0,95,8,0,0,0,10,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,85,12,0,0,101,0,0,0,101,5,0,108,10,0,0,0,10,0,0,0,13,0,0,13,15,0,0,0,15,0,0,0,15,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,25,0,0,0,24,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,20,0,0,0,27,3,0,3,28,6,0,34,5,3,0,0,18,0,0,0,18,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,34,4,4,0
POA3182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7,0,0,59,0,0,0,64,7,0,68,15,0,0,0,17,0,0,0,17,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,64,10,0,0,73,0,0,0,79,8,0,88,10,0,0,0,10,4,0,4,13,5,0,20,9,0,0,0,11,0,0,0,11,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,19,4,0,4,24,13,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,19,4,0,4,24,13,0,35,5,0,0,0,5,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
POA3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,15,0,0,103,6,0,3,110,3,0,116,8,10,0,0,20,0,0,0,20,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,103,23,0,0,126,6,0,3,126,7,0,137,18,0,0,0,19,0,0,0,22,0,0,27,21,3,0,0,31,0,0,0,29,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,0,0,57,0,0,0,57,5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,0,51,0,0,0,55,5,0,60,6,5,0,0,11,0,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,55,11,0,0
POA3184,0,0,0,0,3,0,0,3,8,0,0,0,8,0,0,8,91,13,4,4,105,0,0,0,107,4,0,119,17,4,0,0,15,0,0,0,16,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,105,19,4,4,127,3,0,4,130,9,0,139,16,0,0,0,25,0,0,0,25,0,0,25,15,4,0,0,18,0,0,0,18,0,0,23,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35,6,0,0,44,0,0,0,44,5,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,0,0,46,0,0,0,46,5,0,46,7,5,0,0,14,0,0,0,14,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,45,6,0,0
POA3185,3,0,0,3,4,0,0,0,3,0,0,0,3,0,0,3,137,21,7,0,164,8,0,9,167,3,0,173,12,3,0,0,16,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,153,18,7,3,179,5,0,7,184,3,0,193,25,3,0,0,32,0,0,0,32,0,0,31,38,13,0,0,49,0,0,0,49,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,18,0,0,82,0,0,0,84,3,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,18,0,0,82,0,0,0,79,3,0,84,16,0,0,0,17,0,0,0,17,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,81,20,0,0
POA3186,5,0,0,5,4,0,0,0,4,0,0,0,4,0,0,4,311,38,5,7,363,8,0,8,370,28,0,399,70,20,0,4,88,0,0,0,87,28,0,118,0,0,0,0,0,0,0,0,0,0,0,0,380,54,8,10,449,8,4,6,462,58,0,520,54,9,0,0,69,0,0,0,69,12,0,78,71,18,0,0,92,5,0,4,95,12,0,105,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,5,7,0,0,0,7,0,0,3,131,29,0,4,165,5,0,4,169,19,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,29,0,4,167,5,0,4,170,19,0,192,47,11,0,3,59,0,0,0,60,19,0,78,0,0,0,0,0,0,0,0,0,0,0,0,177,41,0,4
POA3187,5,0,0,5,3,0,0,0,3,3,0,3,9,0,0,10,244,30,4,0,281,11,0,11,296,9,0,302,36,13,0,0,46,0,0,0,48,13,0,58,0,0,0,0,0,0,0,0,0,0,0,0,278,41,4,0,328,15,0,15,344,25,0,361,65,12,0,0,72,0,0,0,74,3,0,79,61,17,4,0,75,0,0,0,78,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,20,4,0,153,0,0,0,150,5,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,127,20,4,0,155,0,0,0,160,5,0,157,17,3,0,0,22,0,0,5,30,11,0,40,0,0,0,0,0,0,0,0,0,0,0,0,150,24,4,0
