POA_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
POA3101,483,41,0,0,41,5,523,66,213,8,0,221,0,292,0,8,9,0,19,0,19,0,0,0,0,0,0,0,66,217,25,0,239,0,312,4,0,0,0,0,0,0,551,258,25,0,278,5,835,541,40,0,0,40,0,584,54,286,9,0,295,0,349,0,18,17,0,35,0,35,0,0,0,0,0,0,0,56,301,27,0,330,0,381,0,0,0,0,0,3,3,601,340,27,0,366,3,966,464,21,0,0,21,0,485,36,140,4,0,141,0,174,0,8,12,0,20,0,23,0,0,0,0,0,0,0,29,145,25,0,166,0,195,0,0,0,0,0,0,0,502,166,25,0,183,0,685,350,10,0,0,10,0,359,25,99,10,0,110,0,134,0,8,10,0,14,0,14,0,0,0,0,0,0,0,25,108,19,0,122,0,151,0,0,0,0,0,0,0,380,115,19,0,133,0,510,549,16,0,0
POA3102,157,9,0,0,9,0,172,12,75,3,0,74,0,94,0,6,0,0,6,0,6,0,0,0,0,0,0,0,12,81,4,0,83,0,98,0,0,0,0,0,0,0,174,92,4,0,95,0,267,230,8,0,0,8,0,238,19,87,3,0,87,0,109,0,3,0,0,3,0,3,0,0,0,0,0,0,0,19,89,7,0,95,0,111,0,0,0,0,0,0,0,246,98,7,0,103,0,350,154,5,0,0,5,0,159,12,31,0,0,35,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,3,0,41,0,47,0,0,0,0,0,0,0,167,41,3,0,49,0,215,108,7,0,0,7,0,116,12,45,0,0,49,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,45,0,0,49,0,54,0,0,0,0,0,0,0,126,47,0,0,54,0,172,154,3,0,0
POA3103,128,17,0,0,17,0,145,41,213,19,0,234,0,278,0,7,11,0,19,0,22,0,0,0,0,0,0,0,41,226,31,0,250,0,299,0,0,0,0,0,0,0,171,246,30,0,272,0,441,231,8,0,0,8,0,237,45,354,24,0,379,0,427,0,19,21,0,39,0,39,0,0,0,0,0,0,0,45,367,48,0,422,0,464,0,0,0,0,0,0,0,274,378,48,0,429,0,702,189,6,0,0,6,0,191,26,207,7,0,214,0,235,0,7,19,0,27,0,32,0,0,0,0,0,0,0,26,214,23,0,240,0,270,0,0,0,0,0,0,0,209,220,23,0,245,0,454,133,9,0,0,9,0,141,18,143,7,0,158,0,173,0,6,19,0,30,0,26,0,0,0,0,0,0,0,18,151,31,3,186,0,202,0,0,0,0,0,0,0,148,157,31,3,194,0,340,233,5,0,0
POA3104,207,26,0,0,26,0,237,43,299,15,0,316,0,363,0,22,20,0,39,0,39,0,0,0,0,0,0,0,43,325,34,0,360,0,402,0,0,0,0,0,0,4,254,347,34,0,382,0,641,320,25,0,0,25,0,340,81,518,39,0,555,0,635,0,24,38,0,59,0,59,0,0,0,0,0,0,0,81,547,73,0,624,0,696,0,0,0,0,0,0,4,396,567,73,0,640,0,1046,330,11,0,0,11,0,337,48,409,15,0,428,0,473,0,22,34,0,61,0,61,0,0,0,0,0,0,0,48,429,52,0,480,0,532,0,0,0,0,0,0,0,373,441,52,0,497,0,869,268,13,0,0,13,0,278,36,272,19,0,286,0,321,0,18,23,0,39,0,39,0,0,0,0,0,0,0,36,286,42,0,328,0,360,0,0,0,0,0,0,0,297,302,42,0,340,0,640,373,12,0,0
POA3105,168,25,0,0,25,0,198,54,167,11,0,178,0,230,0,6,3,0,9,0,9,0,0,0,0,0,0,0,54,172,13,0,184,0,242,0,0,0,0,0,0,0,227,197,13,0,208,0,435,203,13,0,0,13,0,216,35,202,5,0,213,0,247,0,9,3,0,15,0,16,0,0,0,0,0,0,0,35,215,16,0,227,0,262,0,0,0,0,0,0,0,239,229,16,0,243,0,480,123,11,0,0,11,0,139,18,100,0,0,106,0,127,0,4,7,0,9,0,12,0,0,0,0,0,0,0,22,112,5,0,114,0,137,0,0,4,0,4,0,4,145,118,11,0,126,0,275,73,8,0,0,8,0,85,10,73,0,0,74,0,83,0,6,0,0,11,0,11,0,0,0,0,0,0,0,10,79,0,0,86,0,90,0,0,0,0,0,0,0,82,88,0,0,89,0,174,131,11,0,0
POA3106,211,22,0,0,22,0,228,44,318,23,0,336,0,377,0,18,4,0,22,0,22,0,0,0,0,0,0,0,44,332,26,0,356,0,400,0,0,0,0,0,0,0,255,352,26,0,385,0,630,255,15,0,0,15,0,269,39,402,19,0,420,4,459,0,18,10,0,32,0,32,0,0,0,0,0,0,0,39,420,28,0,449,4,492,0,0,0,0,0,0,3,293,435,28,0,467,5,761,196,11,0,0,11,0,208,21,196,8,0,205,0,231,0,8,11,0,20,0,20,0,0,0,0,0,0,0,21,207,17,0,226,0,249,0,0,0,0,0,0,0,220,216,17,0,240,0,457,154,5,0,0,5,0,159,18,128,8,0,137,0,153,0,5,11,0,19,0,19,0,0,0,0,0,0,0,18,133,17,0,153,0,169,0,0,0,0,0,0,0,170,144,17,0,159,0,329,242,7,0,0
POA3107,209,25,0,0,25,0,243,66,285,15,0,306,0,370,0,20,0,0,18,0,18,0,0,0,0,0,0,0,66,311,16,0,322,0,386,0,0,0,0,0,0,5,275,338,16,0,350,0,627,259,24,0,0,24,0,282,51,328,16,0,347,0,398,0,10,5,0,13,0,15,0,0,0,0,0,0,0,52,339,18,0,359,0,408,0,0,0,0,0,0,0,315,368,18,0,381,0,701,195,10,0,0,10,0,212,21,151,3,0,155,0,177,0,9,3,0,14,0,12,0,0,0,0,0,0,0,18,159,10,0,169,0,188,0,0,0,0,0,0,0,214,170,10,0,185,0,396,135,6,0,0,6,0,141,9,104,0,0,108,0,110,0,0,0,0,8,0,8,0,0,0,0,0,0,0,9,108,5,0,110,0,118,0,0,0,0,0,0,0,141,109,5,0,115,0,255,190,8,0,0
POA3108,207,23,0,0,23,0,234,68,577,40,0,617,5,690,0,50,24,0,73,0,77,0,0,0,0,0,0,0,67,631,65,0,693,5,766,4,0,0,0,0,0,4,282,654,65,0,720,5,1002,207,25,0,0,25,0,234,51,571,28,0,603,0,657,0,46,25,0,76,0,76,0,0,0,0,0,0,0,54,620,53,0,673,0,735,0,0,0,0,0,0,0,270,650,53,0,703,0,973,137,12,0,0,12,0,146,32,233,18,0,254,0,280,0,19,17,0,36,0,36,0,0,0,0,0,0,0,32,250,37,0,284,0,318,0,0,0,0,0,0,0,162,260,37,0,302,0,463,118,11,0,0,11,0,132,14,156,3,0,159,0,170,0,16,18,0,32,0,32,0,0,0,0,0,0,0,14,163,25,0,187,0,203,0,0,0,0,0,0,0,133,172,25,0,201,0,331,164,11,0,0
POA3109,249,20,0,0,20,0,268,53,870,46,0,913,0,973,6,70,21,0,86,0,90,0,0,0,0,0,0,0,60,935,70,0,1006,0,1065,0,0,0,0,0,0,0,307,961,67,0,1026,0,1337,348,41,0,0,41,0,389,77,1139,66,0,1210,0,1288,4,93,42,0,133,0,141,0,0,0,0,0,0,0,78,1232,108,0,1346,0,1429,0,4,0,0,4,0,4,427,1275,108,0,1391,0,1818,259,17,0,0,22,0,280,48,575,37,0,613,0,663,0,46,32,0,79,0,79,0,0,0,0,0,0,0,52,626,69,0,693,0,741,0,0,0,0,0,0,4,310,647,66,0,719,0,1027,190,18,0,0,18,0,202,39,274,22,0,292,0,329,0,20,24,0,47,0,47,0,0,0,0,0,0,0,39,295,43,0,336,0,373,0,0,0,0,0,0,0,225,307,43,0,355,0,580,255,26,0,0
POA3111,201,15,0,0,15,0,213,39,185,6,0,191,0,234,0,7,4,0,16,0,12,0,0,0,0,0,0,0,37,197,7,0,207,0,246,0,4,0,0,4,0,4,236,214,7,0,225,0,460,303,24,0,0,24,0,323,33,249,16,0,267,0,303,0,19,5,0,23,0,21,0,0,0,0,0,0,0,34,271,22,0,290,0,328,0,3,0,0,3,0,3,338,296,22,0,317,0,649,217,7,0,0,7,0,219,21,120,5,0,124,0,147,0,12,3,0,17,0,17,0,0,0,0,0,0,0,21,134,10,0,143,0,161,0,3,0,0,3,0,3,232,139,10,0,150,0,383,151,5,0,0,5,0,154,17,75,3,0,80,0,96,0,5,3,0,5,0,5,0,0,0,0,0,0,0,17,75,9,0,87,0,99,0,0,0,0,0,0,0,161,86,9,0,93,0,256,218,5,0,0
POA3113,295,11,0,0,11,0,306,18,29,0,0,34,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,0,0,32,0,50,0,0,0,0,0,0,0,316,41,0,0,44,0,354,358,7,0,0,7,0,368,22,30,0,0,30,0,54,0,6,0,0,6,0,6,0,0,0,0,0,0,0,22,32,0,0,32,0,56,0,0,0,0,0,0,0,384,44,0,0,44,0,427,273,8,0,0,8,0,283,12,25,0,0,29,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,0,0,29,0,40,0,0,0,0,0,0,0,283,30,0,0,33,0,318,218,5,0,0,5,0,224,7,19,0,0,18,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,18,0,24,0,0,0,0,0,0,0,226,20,0,0,27,0,249,295,0,0,0
POA3114,87,0,3,0,3,0,87,6,17,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,19,0,18,0,0,0,0,0,0,0,91,17,4,0,15,0,114,182,7,0,0,6,0,188,3,17,0,0,18,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3,0,20,0,27,0,0,0,0,0,0,0,189,23,3,0,30,0,216,144,0,0,0,0,0,150,5,7,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,11,0,12,0,0,0,0,0,0,0,147,15,0,0,14,0,160,97,0,0,0,0,0,99,3,15,0,0,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,14,0,19,0,0,0,0,0,0,0,103,15,0,0,14,0,117,170,0,0,0
POA3115,105,0,0,0,0,0,111,4,5,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,5,0,4,0,0,0,0,0,0,0,109,6,0,0,6,0,119,191,0,0,0,0,0,192,4,5,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,5,0,8,0,0,0,0,0,0,0,192,10,0,0,10,0,200,125,3,0,0,3,0,127,3,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,9,0,0,0,0,0,0,0,131,3,0,0,3,0,132,95,0,0,0,0,0,99,4,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,10,0,0,0,0,0,0,0,99,4,0,0,4,0,107,147,0,0,0
POA3116,567,10,0,0,16,0,582,22,89,0,0,91,0,107,0,6,0,0,10,0,10,0,0,0,0,0,0,0,22,98,4,0,98,0,115,3,0,0,0,0,0,3,588,106,3,0,109,0,702,515,10,0,0,11,0,523,15,83,0,0,87,0,105,0,0,7,0,10,0,10,0,0,0,0,0,0,0,15,90,9,0,101,0,113,0,0,0,0,0,0,0,535,99,7,0,110,0,641,263,6,0,0,6,0,265,5,45,0,0,50,0,56,0,0,6,0,5,0,5,0,0,0,0,0,0,0,5,47,5,0,53,0,54,0,0,0,0,0,0,0,267,51,5,0,58,0,325,177,7,0,0,7,0,188,3,18,7,0,22,0,22,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,18,5,0,21,0,26,0,0,0,0,0,0,0,184,31,5,0,31,0,214,238,9,0,0
POA3121,713,32,0,0,32,0,738,80,145,5,0,148,0,223,0,16,8,0,21,0,19,0,0,0,0,0,0,0,80,155,15,0,171,0,247,0,0,0,0,0,4,4,791,182,15,0,199,4,989,469,22,0,0,22,0,491,53,104,11,0,116,0,168,3,17,17,0,38,0,35,0,0,0,0,0,0,0,59,120,27,0,151,0,211,0,0,0,0,0,0,0,527,141,27,0,170,0,700,296,11,0,0,11,0,307,11,46,13,0,54,0,68,3,11,15,0,23,0,25,0,0,0,0,0,0,0,18,59,18,0,76,0,97,0,0,0,0,0,0,0,313,69,18,0,89,0,408,164,5,0,0,5,0,166,11,36,0,0,40,0,48,0,7,10,0,14,0,14,0,0,0,0,0,0,0,11,43,3,0,51,0,61,0,0,0,0,0,0,0,175,49,3,0,55,0,231,212,0,0,0
POA3122,488,30,0,0,30,0,517,56,135,5,0,149,0,200,0,9,0,0,7,0,7,0,0,0,0,0,0,0,56,145,12,0,150,0,209,0,0,0,0,0,0,0,540,171,12,0,185,0,726,472,14,0,0,14,0,487,52,142,9,3,149,0,199,0,13,8,0,16,0,16,0,0,0,0,0,0,0,52,156,13,3,168,0,218,0,3,0,0,3,0,3,520,171,13,3,184,0,708,353,15,0,0,15,0,367,23,68,0,0,70,0,92,0,5,0,0,3,0,3,0,0,0,0,0,0,0,23,71,0,0,77,0,97,0,0,0,0,0,0,0,376,85,0,0,87,0,461,290,5,0,0,5,0,298,12,40,3,0,41,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40,3,0,47,0,57,0,0,0,0,0,0,0,307,49,3,0,49,0,356,375,14,0,0
POA3123,360,15,0,0,15,0,380,36,123,0,0,124,0,164,0,8,4,0,11,0,8,0,0,0,0,0,0,0,38,132,7,0,136,0,176,0,0,0,0,0,0,4,399,145,7,0,154,0,555,431,28,0,0,28,0,458,40,144,7,0,152,0,193,0,8,0,0,8,0,8,0,0,0,0,0,0,0,40,148,12,0,164,0,200,0,0,0,0,0,3,3,470,178,12,0,189,3,658,288,11,0,0,11,0,298,25,64,0,0,66,0,95,0,3,5,0,5,0,5,0,0,0,0,0,0,0,25,68,3,0,74,0,100,0,0,0,0,0,0,0,309,84,3,0,85,0,396,175,4,0,0,4,0,175,14,39,0,0,42,0,57,0,0,7,0,11,0,11,0,0,0,0,0,0,0,14,41,11,0,48,0,65,0,0,0,0,0,0,0,191,41,11,0,55,0,241,266,3,0,0
POA3124,453,19,0,0,19,0,476,69,226,13,0,234,0,304,0,9,6,0,15,0,15,0,0,0,0,0,0,0,69,231,12,0,246,0,317,0,0,0,0,0,0,3,525,257,12,0,272,4,797,531,23,0,0,23,0,557,74,343,13,0,356,0,429,0,13,8,0,24,0,24,0,0,0,0,0,0,0,74,354,25,0,381,0,448,0,4,0,0,4,0,5,604,384,25,0,408,0,1014,419,22,0,0,22,0,448,42,130,3,0,137,0,177,0,10,8,0,14,0,14,0,0,0,0,0,0,0,43,141,15,0,149,0,193,0,0,0,0,0,0,0,464,161,15,0,177,0,639,346,10,0,0,10,0,359,17,78,3,0,84,0,102,0,4,4,0,10,0,10,0,0,0,0,0,0,0,17,86,5,0,90,0,113,0,0,0,0,0,0,0,371,92,5,0,101,0,473,522,25,0,0
POA3125,213,6,0,0,6,0,224,27,214,17,0,233,0,262,0,21,8,0,24,0,24,0,0,0,0,0,0,0,27,235,27,0,263,0,287,0,0,0,0,0,0,0,241,242,27,0,265,0,509,212,5,0,0,5,0,214,42,218,12,0,230,0,277,0,19,13,0,29,0,29,0,0,0,0,0,0,0,42,238,21,0,257,0,302,0,0,0,0,0,0,0,249,244,21,0,265,0,520,161,11,0,0,11,0,167,18,104,4,0,111,0,131,0,10,0,0,12,0,12,0,0,0,0,0,0,0,18,109,11,0,122,0,139,0,0,0,0,0,0,0,178,124,11,0,133,0,312,130,3,0,0,3,0,137,17,66,0,0,70,0,81,0,0,6,0,6,0,6,0,0,0,0,0,0,0,17,70,6,0,75,0,92,0,0,0,0,0,0,0,148,73,6,0,80,0,224,177,8,0,0
POA3126,117,15,0,0,15,0,134,15,68,4,0,70,0,82,0,6,5,0,11,0,11,0,0,0,0,0,0,0,15,70,8,0,74,0,85,4,0,0,0,0,0,5,127,85,8,0,93,0,220,195,14,0,0,14,0,209,25,104,5,0,111,0,135,0,8,7,0,13,0,13,0,0,0,0,0,0,0,25,114,16,0,124,0,146,0,0,0,0,0,0,0,222,129,16,0,139,0,357,172,11,0,0,11,0,182,16,50,4,0,56,0,71,0,5,7,0,11,0,11,0,0,0,0,0,0,0,16,53,12,0,67,0,81,0,0,0,0,0,0,0,186,62,12,0,75,0,263,139,8,0,0,8,0,139,14,33,0,0,34,0,45,0,0,0,0,5,0,5,0,0,0,0,0,0,0,14,36,3,0,37,0,48,0,0,0,0,0,0,0,150,41,3,0,41,0,195,210,9,0,0
POA3127,367,23,0,0,23,0,386,55,163,0,0,168,0,221,0,11,9,0,18,0,18,0,0,0,0,0,0,0,55,172,12,0,186,0,240,0,3,0,0,3,0,3,420,202,12,0,211,0,627,556,19,0,0,19,0,579,49,204,0,0,207,0,255,5,18,5,0,24,0,26,0,0,0,0,0,0,0,50,217,15,0,232,0,286,0,4,0,0,4,0,4,609,245,15,0,259,0,869,438,5,0,0,5,0,446,30,110,4,0,105,0,133,0,4,3,0,4,0,4,0,0,0,0,0,0,0,30,107,0,0,116,0,142,0,0,0,0,0,0,0,463,120,0,0,125,0,591,332,11,0,0,11,0,347,22,72,3,0,78,0,99,0,0,6,0,5,0,5,0,0,0,0,0,0,0,22,74,6,0,83,0,104,0,0,0,0,0,0,0,356,89,6,0,96,0,453,559,9,0,0
POA3128,214,24,0,0,24,0,243,50,334,36,0,371,0,417,0,31,29,0,51,0,55,0,0,0,0,0,0,0,48,364,60,0,427,0,473,0,0,0,0,0,0,0,266,386,60,0,448,0,710,286,8,0,0,8,0,301,38,335,31,0,360,0,401,0,36,33,0,66,0,64,0,0,0,0,0,0,0,35,370,65,0,430,0,469,0,3,0,0,3,0,3,325,379,65,0,441,0,770,215,12,0,0,12,0,224,23,147,14,0,158,0,182,0,16,22,0,36,0,32,0,0,0,0,0,0,0,22,161,33,0,193,0,216,0,0,0,0,0,0,0,240,167,33,0,202,0,441,164,5,0,0,9,0,168,9,110,13,0,122,0,132,0,12,14,0,31,0,31,0,0,0,0,0,0,0,9,126,29,0,152,0,160,0,0,0,0,0,0,0,176,129,28,0,155,0,326,272,6,0,0
POA3129,269,17,0,0,17,0,283,67,338,18,4,361,0,423,0,30,29,0,57,0,57,0,0,0,0,0,0,0,67,371,46,4,419,0,484,0,0,0,0,0,0,0,336,380,46,4,432,0,767,409,8,0,0,8,0,420,58,303,28,0,334,0,392,0,25,27,0,57,0,57,0,0,0,0,0,0,0,58,329,57,0,388,0,449,0,0,0,0,0,0,0,470,337,57,0,395,0,866,287,9,0,0,9,0,293,35,150,11,0,162,0,201,3,16,18,0,32,0,32,0,0,0,0,0,0,0,35,165,26,0,197,0,235,0,0,0,0,0,0,0,323,173,26,0,202,0,524,190,3,0,0,3,0,196,25,95,5,0,101,0,124,0,13,15,0,27,0,27,0,0,0,0,0,0,0,25,108,21,0,129,0,148,0,0,0,0,0,0,0,216,110,21,0,131,0,344,294,10,0,0
POA3130,616,31,0,0,31,0,652,86,540,17,0,563,0,647,0,27,12,0,40,0,40,0,3,0,0,3,0,3,85,570,31,0,605,0,691,0,0,0,0,0,0,0,704,608,31,0,637,0,1342,910,53,0,0,55,0,971,118,618,22,0,639,0,754,0,39,14,0,50,0,55,0,0,0,0,0,0,0,122,654,39,0,688,0,814,0,0,0,0,0,0,0,1030,710,42,0,747,0,1775,698,19,0,0,18,0,720,52,287,9,0,296,0,347,0,25,11,0,33,0,32,0,0,0,0,0,0,0,53,309,14,0,330,0,375,0,0,0,0,0,0,0,755,324,20,0,346,0,1096,483,9,0,0,9,0,496,25,163,3,0,168,0,196,0,5,13,0,20,0,20,0,0,0,0,0,0,0,25,175,13,0,190,0,212,0,0,0,0,0,0,0,506,187,13,0,200,0,712,694,22,0,0
POA3131,446,37,0,0,37,0,482,77,524,24,0,545,0,623,0,33,8,0,45,0,45,0,0,0,0,0,0,0,78,554,38,0,592,0,666,0,0,0,0,0,0,0,527,593,38,0,632,0,1157,531,30,0,0,30,0,566,55,483,14,0,501,0,556,0,44,16,0,54,0,54,0,0,0,0,0,0,0,55,526,31,0,558,0,616,0,5,0,0,5,0,3,586,560,31,0,591,0,1178,356,18,0,0,18,0,372,28,183,6,0,191,0,223,0,12,8,0,21,0,24,0,0,0,0,0,0,0,31,193,13,0,213,0,244,0,0,0,0,0,0,0,388,215,13,0,227,0,617,233,8,0,0,8,0,240,28,94,0,0,95,0,121,0,9,4,0,19,0,19,0,0,0,0,0,0,0,28,96,5,0,105,0,134,0,0,0,0,0,0,0,261,105,5,0,113,0,375,335,4,0,0
