POA_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
POA3146,0,10,0,10,..,37,5,39,0,39,..,8,0,8,0,12,..,6,0,6,0,6,..,59,5,68,0,68,..,79,4,84,0,90,..,30,4,35,0,35,..,12,0,12,0,12,..,9,0,9,0,9,..,67,8,76,0,76,..,185,19,207,4,211,..,2282,249,2525,25,2551,..,33,3,37,304,337,9677,2318,249,2562,329,12565,10045,..,..,..,..,10045,..,17,0,17,0,17,..,30,0,32,0,36,..,0,0,0,0,0,..,216,15,230,0,232,..,759,199,949,0,953,..,64,10,74,0,74,..,1038,221,1258,3,1260,..,15,3,19,0,19,..,55,0,55,0,54,..,44,0,44,0,44,..,328,67,395,5,398,..,17,4,18,0,18,..,61,5,64,0,64,..,106,9,113,0,113,..,25,0,27,0,27,..,25,0,22,0,22,..,50,0,53,0,56,..,17,0,14,0,14,..,16,0,16
POA3147,0,11,0,12,..,28,0,28,0,28,..,5,0,5,0,5,..,10,0,11,0,11,..,52,0,53,0,53,..,35,4,41,0,41,..,22,0,22,0,22,..,4,0,4,0,4,..,8,4,10,0,11,..,47,6,51,0,51,..,165,18,186,4,186,..,1734,296,2028,17,2051,..,31,6,32,226,263,5126,1765,301,2062,246,7439,4994,..,..,..,..,4994,..,5,0,5,0,5,..,32,0,32,0,31,..,0,0,0,0,0,..,184,55,231,3,239,..,571,192,768,11,769,..,28,8,38,0,38,..,782,255,1039,12,1045,..,7,0,13,0,13,..,42,0,42,0,42,..,26,0,27,0,26,..,192,35,229,0,229,..,13,0,13,0,13,..,7,0,10,0,10,..,62,0,66,0,66,..,8,0,8,0,8,..,17,5,17,0,17,..,75,0,76,0,76,..,20,0,20,0,20,..,15,0,15
POA3148,0,18,0,18,..,51,0,50,0,52,..,23,0,23,0,25,..,11,0,11,0,15,..,103,0,105,0,108,..,56,6,57,3,61,..,48,0,48,0,48,..,14,5,17,0,21,..,0,4,7,0,7,..,55,12,67,0,67,..,167,14,189,0,187,..,1929,297,2227,24,2247,..,18,8,26,219,240,2288,1954,305,2254,242,4783,2106,..,..,..,..,2106,..,7,0,7,0,7,..,42,0,43,0,43,..,0,0,0,0,0,..,138,38,173,0,173,..,415,132,547,6,551,..,15,7,16,0,16,..,563,174,741,6,746,..,6,0,7,0,7,..,33,0,33,0,33,..,11,0,11,0,11,..,249,62,309,0,313,..,14,0,13,0,13,..,33,0,34,0,31,..,101,3,102,0,105,..,9,0,9,0,9,..,28,0,24,0,24,..,129,3,131,3,135,..,14,4,15,0,15,..,18,0,17
POA3149,0,20,0,20,..,122,8,126,0,130,..,19,0,20,0,20,..,24,4,29,0,29,..,195,9,200,0,205,..,67,0,70,0,70,..,259,3,266,3,264,..,21,5,26,0,26,..,14,0,14,0,14,..,195,19,213,6,214,..,393,45,433,7,447,..,7311,1092,8400,60,8463,..,61,5,60,523,586,8322,7364,1099,8467,586,17373,8282,..,..,..,..,8282,..,24,0,24,0,24,..,100,4,106,0,102,..,0,0,0,0,0,..,729,172,904,7,913,..,2272,792,3065,26,3090,..,114,21,132,0,132,..,3115,981,4098,34,4132,..,35,3,35,0,36,..,62,7,63,0,63,..,41,0,41,0,41,..,715,160,880,3,883,..,68,7,74,0,74,..,128,5,133,0,133,..,371,10,387,4,391,..,18,0,20,0,20,..,123,9,128,0,128,..,527,20,547,3,551,..,31,0,31,0,31,..,92,0,92
POA3150,4,44,0,44,..,218,10,233,0,233,..,62,3,65,0,66,..,49,0,50,0,51,..,372,17,389,5,390,..,62,4,66,0,66,..,759,16,774,0,774,..,41,3,41,0,41,..,58,8,70,0,70,..,352,60,416,0,416,..,823,57,882,20,897,..,14483,2557,17042,103,17145,..,125,26,151,1016,1166,12783,14610,2582,17192,1121,31094,12657,..,..,..,..,12657,..,28,0,28,0,28,..,211,12,221,0,221,..,0,0,0,0,0,..,1762,523,2286,3,2290,..,4803,2005,6807,32,6841,..,301,87,389,3,392,..,6870,2612,9483,46,9526,..,66,8,75,0,76,..,86,0,89,0,89,..,77,0,77,0,77,..,766,148,917,4,919,..,180,12,195,0,195,..,170,11,181,0,178,..,677,36,709,0,710,..,39,4,42,0,42,..,240,20,259,3,263,..,930,45,980,0,984,..,135,9,146,0,142,..,273,7,283
POA3151,0,15,0,15,..,29,0,29,0,29,..,13,0,13,0,13,..,5,0,5,0,5,..,62,0,64,0,64,..,18,0,19,0,19,..,68,0,67,4,70,..,16,4,21,0,21,..,6,0,6,0,6,..,86,24,106,0,106,..,97,13,102,3,111,..,2268,536,2801,27,2827,..,19,3,19,117,139,2280,2285,541,2822,139,5243,2249,..,..,..,..,2249,..,4,0,4,0,4,..,20,0,22,0,22,..,0,0,0,0,0,..,266,98,364,3,366,..,766,319,1085,13,1092,..,31,11,40,0,40,..,1063,432,1492,12,1498,..,5,0,11,0,11,..,4,0,4,0,4,..,18,0,18,0,18,..,302,110,417,0,417,..,9,0,13,0,13,..,37,4,37,0,37,..,81,0,82,0,82,..,11,0,11,0,11,..,23,3,21,0,21,..,125,0,128,0,127,..,21,0,21,0,24,..,18,0,18
POA3152,0,37,5,43,..,111,12,119,3,130,..,45,0,47,0,47,..,40,5,40,0,40,..,238,15,249,7,257,..,61,9,70,0,70,..,237,3,240,0,247,..,22,3,21,0,21,..,31,0,29,0,29,..,124,38,162,0,160,..,308,51,357,13,375,..,5946,974,6921,65,6987,..,58,6,67,426,495,9416,6007,979,6985,493,16899,9752,..,..,..,..,9752,..,18,0,18,0,18,..,110,12,120,0,120,..,0,0,0,0,0,..,973,288,1265,11,1276,..,1893,634,2524,34,2557,..,133,34,172,3,174,..,3006,954,3962,44,4004,..,30,4,33,0,33,..,20,0,23,0,23,..,45,0,52,0,53,..,223,36,260,4,260,..,35,0,42,0,39,..,114,10,125,0,125,..,243,17,264,0,264,..,26,3,30,0,33,..,172,15,182,0,184,..,306,18,327,5,329,..,37,4,38,0,38,..,74,0,77
POA3153,0,46,0,46,..,36,0,36,0,33,..,63,0,65,0,63,..,19,0,21,0,21,..,155,3,158,5,159,..,52,8,56,0,61,..,62,0,64,0,64,..,19,0,19,0,19,..,9,3,8,0,8,..,77,15,95,0,95,..,236,60,303,13,309,..,2178,409,2589,31,2625,..,40,4,42,390,432,7328,2219,421,2631,428,10379,7475,..,..,..,..,7475,..,15,0,15,0,15,..,25,4,30,0,30,..,0,0,0,0,0,..,246,97,342,5,350,..,408,164,574,7,580,..,14,6,18,0,18,..,672,261,930,18,945,..,15,3,21,0,21,..,20,0,20,0,20,..,129,13,135,0,142,..,36,6,39,0,39,..,15,3,14,0,14,..,68,11,76,0,79,..,95,5,97,0,97,..,33,0,38,0,36,..,77,10,91,5,94,..,115,5,123,0,123,..,17,3,18,0,18,..,31,0,32
POA3154,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,4,5,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,27,7,35,0,35,..,150,27,176,4,184,..,4,0,7,72,78,1953,161,29,188,73,2210,2013,..,..,..,..,2013,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,13,17,28,0,30,..,0,0,0,0,0,..,17,17,34,0,36,..,0,0,0,0,0,..,0,0,0,0,0,..,36,3,36,0,38,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0
POA3155,3,24,0,24,..,24,0,26,0,26,..,39,3,45,0,45,..,14,0,14,0,14,..,94,8,102,0,102,..,52,3,60,0,60,..,47,5,52,0,52,..,17,4,25,0,25,..,5,0,5,0,5,..,41,14,58,0,58,..,174,35,207,7,215,..,1941,336,2277,34,2310,..,41,7,45,453,499,8709,1981,343,2319,490,11519,8979,..,..,..,..,8979,..,4,0,4,0,4,..,41,7,48,0,48,..,3,0,3,0,3,..,220,57,273,0,277,..,382,148,533,8,541,..,24,3,26,0,26,..,622,206,829,16,842,..,8,0,12,0,12,..,27,4,25,0,25,..,63,4,73,0,73,..,58,6,63,0,63,..,8,0,8,0,8,..,82,10,88,0,88,..,90,3,97,0,97,..,30,9,35,0,37,..,57,8,58,0,63,..,148,16,161,0,161,..,29,0,25,0,25,..,24,4,27
POA3156,0,40,0,40,..,39,0,42,0,42,..,51,0,51,0,44,..,16,0,19,0,19,..,145,0,145,0,149,..,68,5,74,0,76,..,58,0,60,0,60,..,13,0,13,0,13,..,14,4,18,0,18,..,71,15,82,0,85,..,294,46,346,5,351,..,2821,386,3210,46,3257,..,61,3,65,543,609,15125,2879,393,3274,588,18997,15225,..,..,..,..,15225,..,37,0,32,0,32,..,103,7,109,0,110,..,3,3,4,0,4,..,218,49,270,0,270,..,496,186,686,9,697,..,38,9,42,0,42,..,759,247,1001,9,1014,..,31,4,36,0,36,..,39,0,39,0,39,..,110,0,110,0,110,..,128,22,151,0,151,..,15,0,15,0,15,..,81,8,90,0,91,..,86,3,93,0,91,..,17,0,15,0,18,..,56,3,64,0,64,..,202,12,217,0,216,..,20,0,17,0,17,..,32,3,32
POA3158,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,9,0,9,0,9,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,41,5,42,0,42,..,172,20,190,0,193,..,11,0,11,78,88,3130,186,20,198,78,3408,3090,..,..,..,..,3090,..,5,0,5,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,8,0,8,..,23,0,23,0,23,..,0,0,0,0,0,..,26,0,28,0,28,..,4,0,4,0,4,..,13,0,13,0,15,..,16,0,16,0,16,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
POA3159,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,12,3,17,..,51,3,54,3,56,..,5,0,3,64,66,1165,59,0,59,66,1294,1152,..,..,..,..,1152,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,19,0,16,0,16,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
POA3160,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,14,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,49,3,52,0,56,..,235,21,254,3,257,..,10,0,14,130,137,4125,243,25,261,129,4520,4091,..,..,..,..,4091,..,6,0,6,0,6,..,5,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,22,0,22,..,0,0,0,0,0,..,20,0,25,0,25,..,0,0,0,0,0,..,13,0,16,0,16,..,28,0,28,0,28,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,11,0,11,..,0,0,0,0,0,..,3,0,3
POA3161,0,14,0,14,..,12,0,12,0,12,..,8,0,8,0,8,..,8,0,8,0,8,..,42,0,42,0,42,..,102,8,105,0,107,..,28,0,32,0,32,..,3,0,10,0,10,..,7,4,10,0,10,..,39,5,43,4,46,..,510,20,532,5,532,..,1875,170,2045,18,2061,..,33,0,33,310,351,5702,1910,170,2082,328,8112,6023,..,..,..,..,6023,..,9,0,9,0,9,..,8,0,13,0,13,..,0,0,0,0,0,..,80,19,97,0,97,..,413,89,503,7,507,..,20,3,22,0,22,..,506,109,615,8,624,..,6,0,9,0,9,..,134,8,138,0,140,..,30,0,34,0,34,..,114,18,131,0,133,..,3,0,6,0,6,..,33,0,34,0,35,..,50,3,52,0,52,..,17,0,17,0,17,..,9,0,9,0,9,..,15,0,15,0,15,..,3,0,3,0,3,..,15,0,15
POA3162,0,17,0,20,..,18,0,18,0,18,..,8,0,8,0,8,..,3,0,3,0,3,..,48,0,53,0,52,..,55,3,60,0,62,..,20,0,20,0,20,..,8,0,8,0,8,..,7,0,8,0,8,..,23,3,29,0,29,..,529,23,553,9,560,..,1980,205,2189,22,2217,..,39,7,44,280,328,6212,2023,213,2237,306,8756,6364,..,..,..,..,6364,..,9,0,9,0,9,..,24,5,27,0,27,..,0,0,0,0,0,..,60,13,77,0,77,..,211,67,279,3,281,..,14,8,25,0,25,..,284,90,373,3,379,..,8,0,9,0,9,..,95,12,111,0,109,..,45,3,49,0,49,..,230,56,283,0,283,..,4,0,4,0,4,..,12,0,14,0,14,..,49,3,48,0,48,..,12,0,12,0,12,..,7,0,7,0,7,..,15,0,15,0,15,..,3,0,3,0,3,..,15,0,15
POA3163,3,44,0,44,..,75,3,78,0,78,..,45,0,45,0,46,..,14,0,14,0,14,..,176,6,183,0,187,..,125,9,133,0,133,..,187,6,193,9,198,..,40,10,52,0,52,..,12,0,12,0,15,..,118,9,123,0,128,..,683,60,746,11,758,..,5069,623,5697,62,5755,..,56,6,61,461,520,9727,5125,631,5752,523,16007,9938,..,..,..,..,9938,..,16,0,16,0,16,..,36,0,40,0,39,..,0,0,0,0,0,..,283,49,331,0,331,..,916,225,1134,12,1149,..,45,10,56,0,52,..,1244,279,1518,10,1535,..,17,8,20,0,20,..,107,5,110,0,108,..,57,0,59,0,59,..,537,176,706,0,706,..,60,6,67,0,67,..,222,9,235,3,235,..,314,20,338,4,342,..,108,0,113,0,113,..,65,0,66,0,66,..,80,0,78,0,78,..,19,4,25,0,24,..,106,8,107
POA3165,0,12,0,12,..,37,0,42,0,41,..,23,0,21,0,24,..,13,0,13,0,13,..,84,0,83,3,84,..,73,7,83,0,83,..,80,0,79,0,79,..,21,0,19,0,19,..,32,0,34,0,31,..,116,22,138,0,138,..,660,43,706,19,722,..,4324,563,4888,53,4941,..,57,8,63,350,414,9421,4381,569,4945,408,14777,9626,..,..,..,..,9626,..,19,0,19,0,19,..,91,10,100,0,100,..,0,0,0,0,0,..,167,42,212,0,212,..,759,221,984,9,990,..,24,3,30,0,30,..,954,267,1224,9,1228,..,25,0,26,0,26,..,64,5,68,0,70,..,50,0,50,0,49,..,794,152,948,0,952,..,16,0,21,0,21,..,49,5,55,0,55,..,180,6,181,0,183,..,4,0,4,0,4,..,29,0,29,0,29,..,45,4,52,0,53,..,9,0,9,0,9,..,17,4,18
POA3166,5,30,0,30,..,62,4,72,0,72,..,39,0,39,0,39,..,20,0,20,0,16,..,148,7,159,0,159,..,106,20,122,0,122,..,89,7,92,0,92,..,13,7,22,0,22,..,11,0,11,0,11,..,133,21,153,0,156,..,348,47,396,14,405,..,4372,756,5138,44,5184,..,35,9,41,416,463,6555,4412,764,5178,464,12194,6378,..,..,..,..,6378,..,8,0,8,0,8,..,78,16,89,0,90,..,0,0,0,0,0,..,175,40,215,4,216,..,752,220,972,14,985,..,56,14,67,0,67,..,984,271,1252,12,1264,..,16,3,22,0,22,..,73,9,77,0,78,..,42,0,42,0,42,..,1160,386,1548,7,1555,..,65,5,64,0,64,..,68,0,69,0,69,..,201,11,214,4,215,..,76,3,78,0,78,..,64,5,65,0,65,..,109,3,110,3,110,..,13,4,18,0,18,..,39,0,42
POA3167,0,12,0,12,..,15,0,15,0,15,..,19,0,19,0,19,..,11,0,11,0,11,..,60,0,60,0,60,..,43,0,40,0,40,..,45,0,45,0,48,..,5,0,5,0,5,..,9,0,12,0,12,..,81,23,109,0,109,..,184,12,201,0,202,..,2027,348,2371,19,2390,..,13,0,13,151,161,2352,2042,348,2390,164,4905,2285,..,..,..,..,2285,..,0,0,0,0,0,..,46,6,48,0,48,..,0,0,0,0,0,..,62,31,91,0,91,..,294,113,405,4,414,..,17,8,28,0,28,..,380,147,523,4,529,..,13,0,13,0,13,..,34,3,42,0,39,..,16,0,16,0,15,..,463,129,595,0,596,..,14,0,14,0,13,..,45,0,50,0,50,..,111,8,118,0,118,..,7,0,7,0,7,..,37,5,45,0,45,..,48,0,48,0,55,..,21,0,20,0,20,..,30,0,28
POA3168,0,64,0,64,..,145,17,157,0,161,..,58,4,65,0,65,..,64,6,69,0,69,..,334,25,357,3,357,..,67,11,75,0,77,..,205,6,209,0,215,..,15,0,15,0,15,..,8,0,13,0,13,..,229,33,264,4,264,..,615,33,646,7,653,..,6294,888,7181,65,7243,..,48,6,57,903,961,3472,6344,898,7239,971,11681,3015,..,..,..,..,3015,..,8,0,8,0,8,..,62,9,68,3,71,..,0,0,0,0,0,..,293,54,346,0,343,..,1451,396,1844,11,1853,..,54,12,71,0,72,..,1797,464,2260,12,2277,..,12,8,16,0,16,..,31,4,38,0,35,..,18,0,17,0,17,..,341,154,495,8,507,..,124,9,133,0,133,..,182,20,207,0,207,..,260,9,278,4,280,..,113,4,121,0,121,..,205,13,221,5,225,..,291,7,306,0,306,..,64,3,66,0,65,..,61,0,66
POA3169,0,68,0,68,..,46,3,49,3,51,..,91,0,87,0,96,..,29,8,35,0,35,..,235,14,250,3,248,..,48,15,64,6,69,..,159,4,160,0,162,..,22,11,32,0,32,..,33,12,44,0,44,..,296,109,404,0,403,..,481,68,550,10,557,..,5235,1178,6415,61,6481,..,59,11,69,400,470,3594,5297,1194,6484,463,10541,3209,..,..,..,..,3209,..,4,0,4,0,4,..,172,45,214,0,214,..,0,0,0,0,0,..,237,114,348,6,350,..,586,285,875,4,879,..,87,68,156,0,156,..,908,464,1370,12,1378,..,36,8,47,0,47,..,50,4,52,0,52,..,17,0,17,0,17,..,825,382,1208,23,1230,..,58,10,65,0,65,..,132,9,141,3,145,..,265,13,285,4,286,..,51,5,55,0,59,..,240,24,260,5,266,..,135,8,144,0,144,..,52,0,60,0,60,..,47,3,51
POA3170,0,26,0,26,..,70,3,75,0,77,..,28,0,34,0,31,..,34,0,34,0,34,..,162,10,171,3,172,..,65,4,65,0,65,..,150,0,154,0,155,..,14,0,19,0,17,..,33,6,33,0,33,..,305,51,360,4,366,..,308,39,354,15,362,..,4311,602,4911,51,4971,..,49,10,60,330,388,4627,4364,607,4972,384,9982,4352,..,..,..,..,4352,..,3,0,3,0,3,..,108,6,117,0,119,..,0,0,0,0,0,..,293,76,368,5,374,..,673,229,902,15,917,..,44,15,60,0,60,..,1014,322,1334,17,1346,..,66,8,82,0,78,..,46,0,46,0,46,..,38,0,41,0,43,..,637,128,765,8,771,..,32,0,32,0,32,..,47,8,57,0,57,..,141,6,147,0,147,..,10,0,10,0,10,..,74,7,82,0,82,..,299,24,327,0,323,..,52,9,60,0,60,..,43,0,41
POA3171,5,51,0,51,..,88,43,130,0,130,..,54,4,65,0,64,..,178,97,273,4,278,..,374,144,522,5,526,..,60,12,73,0,77,..,50,4,55,0,55,..,46,28,75,0,72,..,31,17,48,0,48,..,1770,818,2587,23,2609,..,627,326,948,11,961,..,5879,2424,8301,77,8381,..,96,45,136,523,658,2369,5973,2465,8440,600,11408,1775,..,..,..,..,1775,..,5,0,5,0,5,..,35,4,37,0,37,..,0,0,0,0,0,..,376,323,703,3,706,..,383,333,713,8,715,..,125,90,210,0,210,..,879,742,1621,10,1630,..,23,7,25,0,25,..,17,0,19,0,19,..,11,0,10,0,10,..,170,88,265,3,265,..,32,5,33,0,36,..,59,6,65,0,66,..,103,10,118,0,114,..,22,4,26,4,24,..,341,28,370,4,372,..,110,3,118,0,118,..,80,7,92,0,92,..,7,0,7
