POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA3016,65,118,181,535,697,1235,0,0,0,39,46,87,0,0,0,1778,2019,3797,20,11,35,449,455,905,3,7,10,0,0,6,27,36,63,15,18,29,16,22,36,26,31,52,102,132,232,9,3,12,4,7,14,169,205,381,126,148,280,3,3,7,3323,3849,7168,53,42,96,94,75,169,11,18,24,0,0,0,6,11,18,18,20,35,26,26,53,3888,3604,7492,36,22,62,16,21,35,3940,3647,7585,380,364,747,7891,8141,16025
POA3018,76,125,201,384,509,890,0,0,0,68,81,147,0,0,0,1740,2057,3795,6,7,8,240,246,489,16,15,26,10,6,13,32,44,76,7,15,20,25,24,54,28,33,59,85,92,177,11,14,23,3,4,8,90,146,241,104,126,229,0,3,3,2850,3414,6268,62,74,135,116,134,250,4,9,13,0,0,0,22,8,30,13,19,34,41,32,68,2855,2868,5728,48,34,78,3,18,15,2907,2917,5825,422,381,802,6470,7084,13556
POA3019,685,951,1634,83,92,174,0,0,0,123,92,216,0,0,0,950,1007,1957,12,4,16,86,79,162,8,6,13,0,3,3,0,8,4,24,23,46,25,36,64,17,22,41,25,42,73,0,0,0,4,3,11,39,44,79,117,128,246,0,0,0,1506,1596,3100,362,168,532,425,363,794,11,7,19,0,0,0,25,17,40,7,16,25,29,31,63,1487,1284,2778,16,9,17,5,6,7,1505,1299,2800,403,337,743,4927,4753,9682
POA3020,2656,3284,5944,435,480,911,0,0,0,490,421,909,0,0,0,5246,5731,10971,5,6,8,1067,1128,2187,84,102,186,30,29,62,24,32,55,122,130,247,119,137,253,169,185,355,143,160,304,13,11,25,21,22,42,154,172,330,663,686,1355,14,13,25,8786,9441,18224,1162,657,1823,1886,1322,3211,24,17,40,0,0,0,186,161,352,54,74,130,238,236,477,5909,5192,11099,59,32,90,28,35,65,5994,5259,11257,1820,1579,3401,22570,21797,44372
POA3021,3701,4656,8355,417,455,869,0,0,3,618,526,1139,0,0,0,6991,7419,14410,10,14,26,1377,1441,2819,72,89,169,88,101,189,36,59,100,145,170,313,146,150,294,186,243,423,114,139,250,16,17,28,64,54,122,145,202,347,1095,1136,2228,7,12,21,11518,12221,23741,1015,694,1706,1934,1512,3444,5,3,8,0,0,0,830,629,1459,52,57,109,882,689,1567,5788,5103,10892,33,38,72,22,28,47,5846,5174,11016,2745,2526,5270,27643,27470,55112
POA3022,94,118,213,42,29,70,0,0,0,10,21,24,0,0,0,393,441,833,0,0,0,66,84,148,6,6,6,0,0,0,9,13,17,19,14,33,4,11,13,14,15,29,5,6,16,5,0,5,7,4,9,8,13,20,53,57,107,3,0,0,622,721,1343,63,58,116,114,90,203,0,5,4,0,0,4,26,18,43,3,8,7,31,23,53,474,407,886,5,3,7,0,5,10,484,420,897,186,135,322,1600,1567,3170
POA3023,2520,3096,5615,657,785,1445,5,14,19,421,421,840,0,0,0,9378,10050,19425,27,24,46,1573,1625,3196,112,141,256,123,107,233,30,44,72,518,541,1057,212,225,432,516,537,1053,165,189,350,9,9,23,78,87,163,192,276,468,1422,1519,2933,18,12,26,15452,16584,32039,1504,1381,2882,2873,2675,5547,9,12,21,0,0,0,800,672,1467,77,98,180,876,770,1644,6824,6195,13016,37,40,76,28,30,59,6884,6263,13143,3966,2283,6246,34082,33065,67146
POA3024,370,407,779,858,963,1824,0,0,0,394,411,804,13,15,27,2811,3053,5866,15,15,32,201,201,399,55,64,117,83,98,180,33,41,82,61,64,123,104,110,219,207,257,469,122,158,276,15,19,39,52,50,105,198,278,469,560,661,1224,17,11,23,5803,6491,12294,2794,2677,5477,994,986,1985,3,4,13,0,0,0,934,848,1779,82,95,180,1016,949,1962,4715,4452,9169,27,23,47,12,24,32,4751,4495,9252,1161,1087,2246,16901,17099,34004
POA3025,175,233,411,153,231,380,0,0,0,32,51,85,0,0,0,1526,1853,3380,3,3,6,527,578,1106,25,23,46,3,5,10,10,22,36,13,13,27,22,23,45,24,43,69,30,60,90,0,5,4,4,3,6,35,59,96,143,182,331,4,5,13,2563,3160,5717,105,74,176,1047,1012,2062,3,7,12,0,0,0,22,19,33,21,24,40,38,44,80,1820,1713,3528,17,7,24,6,4,6,1838,1727,3568,484,458,944,6254,6713,12962
POA3026,430,505,934,89,66,148,0,0,0,38,29,67,0,0,0,1412,1428,2830,0,4,7,154,160,316,14,7,19,24,30,54,0,0,0,72,79,153,36,32,72,55,66,123,23,27,45,3,0,6,10,12,22,17,24,44,250,276,525,0,0,0,2187,2243,4427,240,183,426,369,318,691,0,0,0,0,0,0,93,72,169,0,3,10,95,78,171,797,724,1517,0,0,0,0,3,3,802,728,1526,307,283,582,4425,4338,8770
POA3027,220,250,462,68,81,155,0,0,0,52,47,105,0,0,0,664,693,1356,8,6,19,77,62,138,6,7,12,15,9,22,11,8,17,24,18,40,32,32,64,62,55,114,41,38,77,0,0,3,10,8,18,41,44,81,171,204,375,7,0,7,1287,1322,2608,1025,852,1878,552,438,984,0,0,4,0,0,0,285,238,516,38,38,78,319,275,592,1182,1092,2270,10,5,17,3,6,11,1198,1101,2301,339,280,617,4939,4509,9448
POA3028,380,533,911,599,822,1415,3,0,7,231,241,474,0,0,0,3587,4100,7687,19,23,48,764,760,1527,39,41,85,24,18,42,52,69,129,42,37,83,68,84,153,88,123,212,113,161,275,9,19,25,25,21,40,131,208,337,378,440,821,4,6,13,6182,7173,13358,759,655,1412,756,697,1451,4,5,5,0,0,0,246,186,437,41,56,95,288,242,533,4438,4021,8452,40,28,70,27,27,50,4505,4071,8577,1042,901,1938,13915,14278,28191
POA3029,1409,1673,3079,1792,2107,3899,0,0,0,1047,1057,2107,9,3,7,10034,10913,20945,73,91,171,1110,1121,2236,138,177,310,254,294,552,164,147,317,471,486,955,528,583,1107,801,937,1742,415,503,919,46,58,101,78,100,177,619,707,1328,2182,2401,4587,29,40,68,19796,21717,41516,11395,10164,21564,9643,9311,18951,24,16,44,0,0,0,7054,5542,12597,200,271,469,7252,5820,13070,11090,10040,21129,103,60,163,51,65,119,11245,10162,21409,5824,4430,10258,66596,63291,129888
POA3030,1693,2063,3758,2551,3030,5579,0,0,3,1057,1144,2205,80,74,160,11920,13154,25067,59,69,127,1565,1554,3110,146,200,345,179,208,389,157,187,339,162,167,325,330,382,711,740,802,1546,628,771,1399,26,53,82,92,118,210,731,898,1630,2039,2248,4293,48,45,92,22508,25098,47611,7052,6690,13740,3661,3508,7165,32,26,59,5,0,5,1605,1448,3048,269,315,587,1878,1762,3633,18191,16716,34904,141,86,220,59,84,139,18381,16883,35266,4048,3912,7964,59258,59945,119201
POA3031,284,449,733,251,333,587,0,0,0,57,39,92,0,0,0,1348,1555,2900,7,7,12,132,159,287,7,9,13,0,0,9,28,24,49,59,93,150,15,17,30,32,42,71,47,60,107,7,0,5,3,6,10,76,98,176,134,184,313,0,0,3,2197,2634,4823,146,105,255,607,698,1304,13,28,42,0,0,0,16,13,32,26,34,61,42,48,92,4557,4596,9152,63,60,115,15,28,44,4632,4684,9317,610,596,1207,8534,9237,17772
POA3032,766,953,1718,475,547,1024,0,0,0,112,130,248,0,0,0,3720,4119,7840,12,8,19,579,608,1190,22,29,57,11,13,22,22,38,60,77,85,158,45,47,93,69,86,153,103,122,222,3,0,3,10,5,16,155,213,363,271,354,624,0,0,0,5683,6412,12096,424,325,751,668,573,1239,23,18,38,0,0,0,43,33,75,61,61,125,105,96,200,6137,5696,11828,68,59,122,29,36,65,6230,5788,12019,929,888,1818,14824,15049,29874
POA3033,166,245,409,283,390,674,3,3,8,48,65,108,0,0,0,3175,3514,6694,11,9,17,639,656,1298,16,29,47,0,4,4,11,22,34,59,61,121,15,18,28,50,65,111,64,77,150,3,6,11,7,8,15,103,159,259,154,180,338,3,7,12,4648,5268,9919,121,124,247,173,134,304,3,0,3,0,0,0,36,34,71,12,11,24,54,45,102,1772,1606,3377,21,10,28,5,7,10,1797,1621,3410,334,345,678,7297,7782,15078
POA3034,226,318,545,174,213,386,0,0,0,31,50,82,0,0,4,2574,2997,5571,0,0,0,559,574,1140,19,19,36,0,3,8,3,20,23,53,63,119,8,19,28,41,28,70,42,54,90,0,0,0,0,0,0,55,85,135,110,137,255,0,3,6,3686,4267,7948,92,72,163,184,167,351,4,8,6,0,0,0,20,15,37,10,21,33,28,35,69,1505,1227,2726,5,7,10,4,12,15,1513,1243,2761,293,252,551,6032,6357,12388
POA3036,29,47,74,231,285,516,4,0,4,16,23,40,0,0,0,1228,1223,2451,8,6,14,220,234,454,3,6,11,0,0,4,8,14,21,8,9,15,9,6,14,15,26,40,37,48,77,0,4,3,4,0,3,75,110,188,93,88,177,0,0,0,1945,2080,4031,19,20,37,86,94,175,0,0,0,0,0,0,0,0,3,0,3,6,6,9,8,721,645,1364,7,10,11,0,10,10,725,663,1385,128,132,255,2934,3036,5974
POA3037,1150,1315,2468,685,845,1527,15,21,35,195,201,403,0,0,0,8918,9449,18374,24,30,54,1960,1995,3957,111,155,265,55,62,118,29,42,74,393,417,809,93,108,203,238,284,525,132,153,281,17,31,47,53,63,124,186,227,414,1095,1252,2347,16,19,34,14236,15358,29593,990,899,1886,1667,1670,3337,5,5,12,0,0,0,838,750,1589,31,31,61,874,777,1652,5123,4583,9706,41,26,69,19,27,51,5187,4639,9823,1365,1266,2630,25477,25927,51402
POA3038,399,543,943,403,534,936,10,21,30,103,106,206,0,0,0,5141,5494,10637,0,6,6,1590,1577,3167,24,34,57,25,17,46,29,31,63,147,158,310,41,46,93,142,154,295,77,81,154,8,14,21,18,12,33,112,164,276,465,541,1003,4,5,9,8353,8997,17347,221,192,413,750,735,1483,0,0,0,0,0,0,179,147,322,46,45,95,219,193,412,2588,2230,4820,17,3,22,4,16,20,2621,2251,4870,652,584,1240,13215,13488,26703
POA3039,124,181,302,330,461,790,0,0,0,62,70,133,0,0,0,2444,2805,5246,0,7,6,383,439,814,12,25,37,3,4,12,15,18,30,15,25,44,18,20,36,34,55,90,54,87,145,10,3,8,5,3,5,99,169,265,135,162,292,4,3,5,3625,4347,7972,278,198,476,147,153,293,14,19,35,0,0,0,14,15,31,20,32,54,35,48,85,3144,3064,6205,34,23,56,8,15,25,3190,3097,6283,417,351,768,7821,8401,16224
POA3040,227,320,549,587,735,1326,6,0,4,107,117,223,0,0,0,4922,5385,10312,13,12,24,672,749,1423,17,22,46,4,4,6,13,37,50,37,39,76,21,25,49,44,58,105,114,123,241,3,4,6,0,6,7,268,316,585,177,219,392,6,0,3,7010,7862,14866,446,362,813,350,348,696,10,3,13,0,0,5,31,26,57,34,26,57,68,48,114,4198,4072,8270,46,40,86,8,30,38,4249,4136,8390,644,643,1291,12997,13727,26722
POA3041,124,137,262,325,458,785,6,3,8,28,48,72,0,0,0,2279,2466,4746,8,6,15,361,358,718,4,6,9,4,5,5,13,13,30,25,17,44,8,6,15,28,37,59,64,66,129,4,11,15,8,0,4,102,188,292,128,151,280,0,0,0,3387,3845,7232,205,170,377,291,260,545,5,5,12,4,0,5,9,14,25,8,13,16,20,27,51,2114,1928,4041,20,16,33,8,9,16,2136,1952,4092,271,275,547,6437,6675,13111
POA3042,109,194,306,318,426,739,11,5,16,44,63,109,0,0,0,3618,3988,7607,0,9,11,523,562,1084,20,12,33,4,4,10,3,13,16,14,12,36,6,17,23,60,61,121,61,89,152,4,7,9,5,6,10,120,153,272,128,168,298,3,0,8,4943,5606,10547,148,126,273,152,126,279,3,4,7,0,0,0,29,32,63,11,18,24,42,51,91,2341,2104,4443,16,14,29,5,12,20,2357,2134,4491,375,393,766,8135,8625,16763
POA3043,191,234,428,383,554,931,93,90,181,53,62,114,0,0,0,3099,3446,6550,8,7,9,678,699,1381,26,29,59,31,37,70,21,24,41,57,51,105,37,36,73,59,67,129,82,94,180,8,14,25,6,4,9,140,194,336,258,284,546,13,9,27,5050,5712,10763,178,158,330,542,483,1031,8,9,15,0,0,0,42,25,65,17,16,37,56,50,107,2345,1946,4296,16,12,29,6,11,21,2371,1974,4342,470,431,905,8872,9047,17912
POA3044,248,315,563,408,602,1014,6,11,20,53,70,131,0,0,0,4221,4801,9019,8,15,26,1207,1195,2407,37,47,81,11,4,11,19,21,37,40,40,83,20,28,49,40,53,96,77,90,169,10,14,23,7,7,10,147,236,382,178,238,420,3,0,6,6491,7477,13972,416,357,771,850,831,1685,9,14,19,4,0,7,47,41,90,38,50,91,93,97,187,4923,4918,9843,57,47,105,15,33,49,4997,5002,10001,749,759,1507,13847,14847,28701
POA3045,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,33,16,48,41,19,64
POA3046,431,551,975,473,632,1099,40,39,81,101,132,236,0,0,0,4425,5092,9513,12,11,18,664,817,1485,32,44,80,27,23,47,26,30,57,47,57,105,49,48,99,66,90,153,110,127,236,11,18,25,5,3,11,153,211,361,284,360,647,4,4,3,6516,7743,14263,1771,1357,3132,3235,2969,6208,9,8,20,0,0,4,129,102,233,53,55,111,189,161,344,4635,4337,8969,43,30,75,14,36,51,4695,4397,9097,1436,1301,2734,18287,18483,36772
POA3047,220,242,464,218,261,481,171,178,351,36,39,75,0,0,0,1590,1668,3255,10,11,14,249,249,499,20,24,45,60,51,111,9,12,22,33,39,73,25,42,63,38,40,85,47,56,101,7,3,8,4,5,12,54,70,127,236,245,478,3,3,11,2824,2994,5813,668,504,1173,4556,4103,8657,0,0,0,0,0,0,79,59,140,31,41,75,110,96,211,1464,1262,2727,11,7,18,10,8,22,1488,1279,2768,1388,1000,2385,11249,10225,21478
POA3048,188,222,409,149,209,359,242,264,508,18,24,39,0,0,0,1567,1778,3343,6,0,4,193,204,396,28,28,50,27,28,56,0,5,7,35,44,76,23,32,58,10,15,21,40,50,92,6,11,23,7,8,13,35,40,75,205,229,432,5,4,9,2587,2975,5556,180,137,312,4107,4093,8206,0,5,5,0,0,0,29,28,54,16,20,36,49,42,89,1028,897,1924,6,8,18,12,11,22,1052,913,1957,768,772,1541,8922,9157,18081
POA3049,77,108,190,220,313,532,29,23,45,19,19,44,0,0,0,1617,1802,3415,0,4,5,254,286,537,16,13,31,0,4,8,11,14,25,17,35,51,28,23,54,55,60,115,52,61,113,9,12,22,4,0,7,58,93,152,139,143,284,0,0,0,2534,2909,5437,29,32,64,448,480,928,3,0,3,0,0,0,13,3,18,12,8,21,33,11,35,1350,1222,2571,10,16,18,0,7,7,1360,1237,2601,275,282,554,4759,5059,9812
POA3051,251,416,665,177,182,364,0,0,0,33,46,82,0,0,0,844,887,1732,7,4,10,116,111,226,0,8,10,11,6,14,10,7,17,32,33,63,30,43,77,32,47,80,43,45,91,3,0,3,5,8,12,55,61,111,105,168,276,0,6,4,1501,1659,3161,195,181,373,474,569,1045,21,19,45,0,0,0,6,5,9,23,36,61,33,44,77,3933,3926,7864,74,68,145,13,24,36,4024,4016,8042,777,766,1543,7286,7670,14953
POA3052,110,127,241,151,205,356,0,0,0,23,32,51,0,0,0,486,575,1059,0,0,0,41,52,95,0,4,4,4,0,3,7,11,19,4,10,13,5,11,17,15,16,34,32,34,63,0,0,3,0,7,4,30,51,82,53,55,106,0,4,0,856,1057,1915,96,80,174,147,134,281,20,13,27,0,0,0,6,6,13,9,22,26,12,26,39,1878,2018,3897,38,33,71,10,11,20,1926,2063,3989,302,330,635,3469,3826,7297
POA3053,420,549,966,179,206,385,0,0,0,48,46,90,0,4,9,841,984,1822,5,9,6,91,104,191,8,5,14,4,6,11,11,11,28,27,18,45,26,35,60,29,48,83,58,41,93,0,3,6,4,6,7,58,59,119,135,183,316,8,8,11,1518,1779,3297,418,314,730,558,585,1141,40,35,73,0,0,0,17,20,34,36,38,69,49,53,105,4095,4176,8263,59,48,101,16,17,33,4164,4234,8403,689,640,1327,7848,8188,16034
POA3054,35,61,96,153,182,331,0,0,0,7,6,14,0,0,0,567,730,1302,0,0,0,89,119,212,0,0,0,0,0,0,7,9,21,5,6,9,13,9,24,5,7,15,31,26,55,0,0,0,0,0,0,41,59,98,45,47,87,0,5,5,963,1210,2171,34,19,51,59,63,122,32,50,81,0,0,0,7,3,10,13,13,26,21,18,39,2425,2646,5076,40,39,78,5,21,26,2479,2702,5179,230,215,445,3845,4343,8186
POA3055,122,198,322,185,223,403,0,7,7,31,31,63,0,0,0,1294,1622,2914,0,0,0,441,507,944,7,10,14,3,6,6,12,9,18,6,4,17,17,28,39,27,32,59,48,41,88,0,0,0,0,4,4,56,84,139,80,96,182,3,8,7,2209,2699,4909,156,143,296,306,289,598,12,22,36,0,0,4,16,13,25,34,43,79,52,56,106,3668,3871,7538,60,59,123,14,40,53,3743,3973,7717,404,367,771,7001,7746,14746
POA3056,201,273,474,253,323,571,12,17,27,39,43,83,0,0,0,1577,1870,3452,3,0,4,649,754,1403,10,7,19,0,0,0,13,24,36,14,14,26,19,23,39,32,39,66,46,47,97,5,4,7,0,8,9,69,95,165,100,131,230,4,9,15,2847,3403,6256,233,188,423,387,340,724,44,70,116,0,0,4,15,10,19,47,71,117,62,82,143,7487,7768,15253,147,127,274,26,44,67,7657,7940,15596,638,544,1181,12067,12846,24912
