,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
30,Abbotsford,14/205 Gipps St,2,u,750000.0,SP,Jellis,17/06/2017,3.0,3067,2.0,1.0,1.0,2379.0,69.0,2013.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
31,Abbotsford,2 Federation La,3,h,855000.0,S,Nelson,24/06/2017,3.0,3067,3.0,2.0,1.0,92.0,116.0,2004.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
32,Abbotsford,1/43 Abbotsford St,2,u,505000.0,PI,Nelson,27/05/2017,3.0,3067,2.0,1.0,1.0,0.0,38.0,1970.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
33,Abbotsford,67 Yarra St,3,h,1402500.0,S,Jellis,27/05/2017,3.0,3067,3.0,1.0,1.0,270.0,101.0,1960.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
34,Abbotsford,143 Charles St,3,h,1635000.0,S,Nelson,12/08/2017,3.0,3067,3.0,1.0,0.0,142.0,130.0,1880.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
35,Abbotsford,133 Yarra St,2,h,1190000.0,S,Biggin,22/07/2017,3.0,3067,2.0,2.0,1.0,147.0,175.0,2000.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
36,Abbotsford,38 Studley St,3,h,1240000.0,S,Nelson,7/10/2017,3.0,3067,3.0,1.0,1.0,159.0,93.0,1890.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
37,Abbotsford,16 Federation La,3,h,955000.0,S,Biggin,17/02/2018,3.0,3067,3.0,2.0,2.0,86.0,122.0,2004.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
38,Abbotsford,31 Park St,3,h,1200000.0,S,Biggin,17/02/2018,3.0,3067,3.0,1.0,1.0,211.0,93.0,1970.0,Yarra City Council,Northern Metropolitan,4019.0,33,2167,1354,424,3024,1.0,2196,1.9
39,Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,3/09/2016,13.5,3042,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
40,Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,3/12/2016,13.5,3042,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
41,Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,4/03/2017,13.5,3042,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
42,Airport West,23 Hart St,2,h,603000.0,S,Nelson,4/03/2017,13.5,3042,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
43,Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,4/03/2017,13.5,3042,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
44,Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,4/03/2017,13.5,3042,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
45,Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,4/03/2017,13.5,3042,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
46,Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,7/05/2016,13.5,3042,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
47,Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,7/05/2016,13.5,3042,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
48,Airport West,3/19 Hart St,2,u,515000.0,S,Barry,7/11/2016,13.5,3042,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
49,Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,10/09/2016,13.5,3042,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
50,Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,10/09/2016,13.5,3042,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
51,Airport West,13 Etzel St,3,h,805000.0,S,Nelson,10/12/2016,13.5,3042,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
52,Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,11/02/2017,13.5,3042,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
53,Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,15/10/2016,13.5,3042,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
54,Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16/04/2016,13.5,3042,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
55,Airport West,174 Parer Rd,2,h,675000.0,S,Barry,16/07/2016,13.5,3042,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
56,Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,16/07/2016,13.5,3042,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
57,Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,17/09/2016,13.5,3042,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
58,Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,18/03/2017,13.5,3042,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
59,Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,18/03/2017,13.5,3042,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
60,Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,18/06/2016,13.5,3042,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
61,Airport West,37 North St,3,t,825000.0,SP,Barry,19/11/2016,13.5,3042,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
62,Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,22/05/2016,13.5,3042,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
63,Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,27/11/2016,13.5,3042,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
64,Niddrie,28 Coghlan St,3,t,830000.0,S,Barry,3/09/2016,11.2,3042,3.0,3.0,2.0,303.0,236.0,2013.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
65,Niddrie,38 Muriel St,4,h,1126000.0,SP,Brad,3/12/2016,11.2,3042,4.0,2.0,2.0,650.0,150.0,1960.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
66,Niddrie,32 Diamond St,3,h,1235000.0,S,Brad,4/03/2017,11.2,3042,3.0,2.0,1.0,0.0,204.0,2009.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
67,Niddrie,4/67 Hoffmans Rd,2,u,457000.0,S,Brad,4/06/2016,11.2,3042,2.0,1.0,1.0,0.0,89.0,1975.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
68,Niddrie,3/42 Sapphire St,2,u,660000.0,S,Barry,4/06/2016,11.2,3042,2.0,2.0,1.0,217.0,113.0,2006.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
69,Niddrie,97 Haldane Rd,3,t,770000.0,S,Frank,7/05/2016,11.2,3042,3.0,2.0,1.0,313.0,145.0,2011.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
70,Niddrie,39 Cuthbert St,4,h,1350000.0,SP,Barry,7/11/2016,11.2,3042,4.0,3.0,2.0,747.0,242.0,1985.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
71,Niddrie,2/55 Garnet St,3,t,820000.0,PI,Nelson,7/11/2016,11.2,3042,3.0,2.0,1.0,229.0,180.0,2012.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
72,Niddrie,5 Hamilton St,3,h,991000.0,S,Brad,11/02/2017,11.2,3042,3.0,1.0,1.0,716.0,139.0,1950.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
73,Niddrie,87 Hotham Rd,2,h,657000.0,S,Barry,12/11/2016,11.2,3042,2.0,2.0,1.0,268.0,104.0,1950.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
74,Niddrie,45 Vaynor St,3,h,710000.0,S,Nelson,12/11/2016,11.2,3042,3.0,2.0,1.0,317.0,140.0,1950.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
75,Niddrie,2 Michael Ct,3,t,840000.0,S,Barry,15/10/2016,11.2,3042,3.0,2.0,2.0,374.0,180.0,1990.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
76,Niddrie,44 Jackson St,5,h,1400000.0,VB,Nelson,17/09/2016,11.2,3042,4.0,2.0,2.0,650.0,290.0,2005.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
77,Niddrie,2 Kelvin Cl,4,h,1080000.0,S,Nelson,17/09/2016,11.2,3042,3.0,3.0,2.0,539.0,162.0,1976.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
78,Niddrie,50 Hotham Rd,3,h,1015000.0,S,Barry,22/08/2016,11.2,3042,3.0,1.0,1.0,643.0,125.0,1950.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
79,Niddrie,20 Grandview Rd,4,h,1245000.0,PI,McDonald,27/11/2016,11.2,3042,4.0,3.0,3.0,0.0,225.0,1950.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
80,Niddrie,14 Vaynor St,3,h,1105000.0,S,Brad,28/05/2016,11.2,3042,3.0,1.0,1.0,643.0,119.0,1950.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
81,Keilor Park,31 Swan St,3,h,720000.0,S,Nelson,8/10/2016,14.5,3042,3.0,1.0,1.0,696.0,132.0,1975.0,Brimbank City Council,Western Metropolitan,1119.0,40,2113,862,410,2347,0.8,1853,2.4
82,Keilor Park,5/8 Swan St,2,t,380000.0,S,Nelson,10/09/2016,14.5,3042,2.0,1.0,1.0,161.0,100.0,2010.0,Brimbank City Council,Western Metropolitan,1119.0,40,2113,862,410,2347,0.8,1853,2.4
83,Keilor Park,2/90 Victory St,3,u,501000.0,S,Barry,12/11/2016,14.5,3042,3.0,1.0,1.0,255.0,132.0,1991.0,Brimbank City Council,Western Metropolitan,1119.0,40,2113,862,410,2347,0.8,1853,2.4
84,Keilor Park,47 Victory St,3,h,722000.0,SP,Brad,18/06/2016,14.5,3042,3.0,1.0,1.0,695.0,141.0,1970.0,Brimbank City Council,Western Metropolitan,1119.0,40,2113,862,410,2347,0.8,1853,2.4
85,Keilor Park,44 Erebus St,4,t,746000.0,S,Barry,22/05/2016,14.5,3042,4.0,3.0,1.0,308.0,174.0,1970.0,Brimbank City Council,Western Metropolitan,1119.0,40,2113,862,410,2347,0.8,1853,2.4
86,Keilor Park,2/125 Fosters Rd,3,u,455000.0,S,Nelson,27/06/2016,14.5,3042,3.0,1.0,1.0,166.0,136.0,1999.0,Brimbank City Council,Western Metropolitan,1119.0,40,2113,862,410,2347,0.8,1853,2.4
87,Keilor Park,3/550 Fullarton Rd,4,t,600000.0,S,Barry,27/11/2016,14.5,3042,4.0,2.0,1.0,231.0,146.0,2013.0,Brimbank City Council,Western Metropolitan,1119.0,40,2113,862,410,2347,0.8,1853,2.4
88,Keilor Park,18 William St,3,h,575000.0,S,Nelson,27/11/2016,14.5,3042,3.0,1.0,1.0,338.0,107.0,1960.0,Brimbank City Council,Western Metropolitan,1119.0,40,2113,862,410,2347,0.8,1853,2.4
89,Keilor Park,35 Spence St,3,h,566000.0,S,Nelson,28/05/2016,14.5,3042,3.0,2.0,2.0,554.0,129.0,1980.0,Brimbank City Council,Western Metropolitan,1119.0,40,2113,862,410,2347,0.8,1853,2.4
90,Niddrie,21 Ryder St,3,h,810000.0,S,Barry,8/04/2017,11.2,3042,3.0,2.0,1.0,297.0,139.0,1955.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
91,Niddrie,2/34 Haldane Rd,2,u,510000.0,VB,Barry,20/05/2017,11.2,3042,2.0,1.0,1.0,167.0,69.0,2013.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
92,Niddrie,4/503 Keilor Rd,1,u,325000.0,PI,Nelson,20/05/2017,11.2,3042,1.0,1.0,1.0,710.0,58.0,2015.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
93,Niddrie,1/79 Coghlan St,3,t,800000.0,PI,Barry,29/04/2017,11.2,3042,3.0,2.0,2.0,202.0,151.0,2015.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
94,Niddrie,204/4 Hotham Rd,3,u,500000.0,SP,Nelson,29/04/2017,11.2,3042,3.0,1.0,1.0,1218.0,94.0,2012.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
95,Airport West,33 Green St,3,h,720000.0,S,Brad,8/04/2017,13.5,3042,3.0,2.0,2.0,305.0,136.0,2008.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
96,Airport West,67 Halsey Rd,3,h,510000.0,VB,Nelson,29/04/2017,13.5,3042,3.0,1.0,1.0,488.0,217.0,1960.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
97,Airport West,2/80 Hawker St,2,u,480000.0,VB,Barry,29/04/2017,13.5,3042,2.0,1.0,1.0,128.0,92.0,2009.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
98,Keilor Park,7 Zagreb Ct,3,h,773000.0,S,Nelson,29/04/2017,14.5,3042,3.0,2.0,2.0,650.0,150.0,1980.0,Brimbank City Council,Western Metropolitan,1119.0,40,2113,862,410,2347,0.8,1853,2.4
99,Airport West,118 Marshall Rd,3,h,640000.0,S,Nelson,1/07/2017,10.4,3042,3.0,1.0,2.0,219.0,101.37,1960.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
100,Keilor Park,610 Fullarton Rd,3,h,670000.0,SA,Nelson,3/06/2017,10.4,3042,3.0,1.0,2.0,647.0,126.0,1975.0,Brimbank City Council,Western Metropolitan,1119.0,40,2113,862,410,2347,0.8,1853,2.4
101,Niddrie,61 Nolan St,4,h,1337000.0,S,Barry,3/06/2017,10.4,3042,4.0,2.0,2.0,650.0,254.0,1955.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
102,Airport West,18A Hart St,3,t,730000.0,S,Brad,17/06/2017,10.4,3042,3.0,1.0,2.0,242.0,124.0,2010.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
103,Niddrie,19 Nolan St,3,h,1300000.0,S,Nelson,17/06/2017,10.4,3042,3.0,1.0,4.0,646.0,150.0,1950.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
104,Airport West,163 Halsey Rd,2,h,650000.0,S,Prime,27/05/2017,10.4,3042,2.0,1.0,3.0,374.0,96.0,1950.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
105,Airport West,127A Parer Rd,3,t,856000.0,S,Barry,27/05/2017,10.4,3042,3.0,2.0,1.0,300.0,212.0,2011.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
106,Airport West,3/26 Highridge Cr,3,u,670000.0,S,Nelson,8/07/2017,10.4,3042,3.0,1.0,2.0,169.0,153.0,2000.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
107,Keilor Park,39 Flinders St,3,h,700000.0,S,Nelson,8/07/2017,10.4,3042,3.0,1.0,1.0,590.0,130.0,1970.0,Brimbank City Council,Western Metropolitan,1119.0,40,2113,862,410,2347,0.8,1853,2.4
108,Niddrie,45 Muriel St,3,h,1230000.0,S,Barry,12/08/2017,10.4,3042,3.0,2.0,1.0,324.0,207.0,2016.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
109,Niddrie,42 Newman Cr,4,h,950000.0,SP,Nelson,15/07/2017,10.4,3042,4.0,1.0,2.0,558.0,148.0,1970.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
110,Niddrie,8 Goble St,4,h,1130000.0,SP,Nelson,22/07/2017,10.4,3042,4.0,2.0,2.0,650.0,163.0,1975.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
111,Niddrie,64 Muriel St,4,h,1006000.0,S,Brad,22/07/2017,10.4,3042,4.0,2.0,1.0,270.0,178.74,2008.0,Moonee Valley City Council,Western Metropolitan,2291.0,40,2113,862,410,2347,0.8,1853,2.4
112,Airport West,10A Coniston Av,3,t,780000.0,S,RE,29/07/2017,10.4,3042,3.0,2.0,1.0,195.0,192.0,2005.0,Moonee Valley City Council,Western Metropolitan,3464.0,40,2113,862,410,2347,0.8,1853,2.4
