POA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
POA3169,401,685,113,23,236,188,35,97,740,67,611,5261,274,7727,27,24,8,5,31,19,3,5,15,6,25,246,11,367,30,18,15,0,15,10,6,7,23,3,14,96,6,185,13,3,7,4,14,3,0,4,15,4,10,69,7,123,514,127,174,155,361,308,108,68,303,63,391,924,82,2206,81,39,15,11,59,34,7,7,38,0,50,374,15,580,180,148,57,18,236,63,17,5,107,37,273,1819,85,2693,38,34,21,5,69,27,14,3,29,9,95,1521,31,1802,175,123,56,14,262,110,23,21,63,23,148,2958,86,3712,19,29,4,4,15,16,3,0,27,0,22,148,3,228,41,24,13,6,35,18,8,8,26,5,36,210,12,358,1117,570,371,217,1088,610,193,141,639,143,1063,8367,341,12248,36,12,9,7,12,9,3,8,22,4,22,70,697,849,1563,1268,486,250,1338,821,231,247,1404,211,1696,13701,1311,20820,323,618,111,6
POA3170,642,913,230,70,317,315,72,113,743,73,734,6794,346,10006,18,34,4,6,17,9,0,3,12,4,18,178,11,270,68,36,22,14,38,36,7,34,30,10,35,176,23,367,34,5,11,4,20,19,11,8,6,3,18,102,6,197,304,78,102,66,200,153,37,46,130,40,202,728,48,1560,58,20,16,3,39,27,3,6,27,6,52,302,20,478,79,104,28,7,118,44,15,7,55,14,169,1461,36,1960,37,43,24,5,71,37,8,6,26,11,108,1317,33,1627,107,101,18,18,211,91,13,12,73,9,128,1709,53,2310,10,11,4,0,10,4,5,0,21,0,23,123,8,185,31,25,8,6,27,9,3,0,8,0,20,160,10,244,754,451,242,122,753,434,103,114,394,105,766,6251,244,9206,24,10,3,10,13,11,5,9,13,7,13,95,508,679,1415,1366,474,197,1082,759,178,232,1152,186,1510,13136,1097,19889,354,658,112,4
POA3171,282,703,100,24,169,160,52,78,455,46,430,4503,243,6409,19,31,7,0,30,17,5,6,24,3,17,207,7,319,32,13,9,10,20,14,0,4,16,4,21,46,3,123,26,8,7,8,11,14,3,4,7,4,25,53,0,112,269,60,62,34,174,129,50,31,99,39,145,294,31,895,17,8,7,0,21,7,0,3,19,0,18,149,6,214,355,432,116,60,657,182,78,51,293,83,691,6319,322,8745,53,32,28,29,92,43,10,7,54,12,111,1203,48,1572,53,53,15,12,110,38,9,13,35,6,69,1992,53,2322,23,13,6,0,16,6,0,0,16,0,16,102,6,169,21,11,12,3,18,8,0,0,9,8,10,142,8,206,861,660,275,155,1152,458,173,127,569,164,1136,10498,469,14685,28,9,5,6,23,14,0,5,13,0,12,89,918,1076,1164,1379,377,187,1345,628,237,211,1037,208,1573,15092,1626,22174,174,543,70,3
POA3172,819,1173,362,54,409,448,79,187,873,88,861,8049,434,12080,33,36,17,0,41,19,9,4,25,3,36,222,10,376,110,52,63,13,60,70,4,27,45,8,68,323,17,656,34,7,20,3,19,33,6,9,4,3,25,101,10,216,170,48,58,20,138,95,17,25,68,21,106,395,34,870,38,16,16,0,37,28,6,8,25,4,32,187,12,313,195,271,88,23,427,133,48,27,161,46,437,4291,194,5839,21,13,0,9,48,14,3,8,14,10,54,476,22,635,60,41,14,12,88,63,8,14,23,10,58,763,34,1040,17,18,6,4,24,13,3,3,28,3,26,110,11,213,29,15,11,6,31,12,3,4,11,7,19,184,4,285,708,523,288,91,902,472,110,126,407,117,865,7047,346,10451,11,11,8,0,7,13,0,3,0,0,15,90,605,733,1537,1700,656,147,1326,928,193,321,1283,209,1741,15179,1384,23261,398,820,174,5
POA3173,506,1207,212,36,330,230,82,91,754,66,746,9472,431,12959,26,62,7,0,66,22,6,9,22,0,29,521,22,732,71,33,23,12,44,41,4,12,39,10,50,207,11,411,35,19,14,6,14,24,0,7,24,0,24,100,3,190,234,58,52,41,168,132,36,36,128,42,154,619,48,1267,71,32,15,6,72,34,16,7,72,12,77,454,16,726,261,310,88,24,479,103,45,18,176,52,491,4938,196,6676,30,41,16,7,76,26,12,3,31,15,93,1516,44,1829,183,161,70,31,386,173,37,30,108,30,212,2468,92,3525,30,27,4,3,22,5,6,4,17,8,19,178,18,286,55,34,16,0,63,20,3,9,38,8,46,363,16,573,994,784,303,141,1376,574,154,136,656,180,1200,11374,460,16213,19,10,8,6,25,5,0,4,18,6,11,65,719,842,1522,2005,526,177,1728,816,235,235,1424,259,1961,20912,1614,30018,383,968,151,0
POA3174,897,1543,297,120,538,433,116,257,1351,120,1090,9427,554,14328,42,68,16,6,76,33,5,9,28,8,48,561,30,813,112,44,40,32,73,57,6,27,69,9,77,171,16,486,76,14,25,15,46,39,12,18,41,18,34,122,12,319,577,151,148,123,363,270,57,79,353,75,347,1192,106,2679,92,60,33,11,103,50,17,17,89,19,109,492,37,864,301,414,110,51,547,152,86,46,292,58,619,7080,313,9319,40,29,24,7,63,22,8,4,35,11,64,852,18,1089,270,216,61,34,458,182,41,31,165,31,259,5003,148,6347,74,46,20,3,49,31,10,7,49,11,64,197,17,431,76,64,37,13,110,42,12,11,53,17,75,639,27,993,1650,1112,504,297,1874,872,248,253,1172,254,1702,16300,733,23336,54,14,10,5,38,24,7,9,29,6,32,170,1723,2027,2602,2672,815,426,2448,1333,371,523,2549,381,2827,25900,3007,39693,488,1072,174,4
POA3175,1309,1832,424,121,781,609,162,343,2074,187,1499,12991,883,19598,98,102,20,6,148,63,21,20,86,18,84,782,68,1271,215,87,66,37,110,99,29,60,116,34,95,260,34,790,138,49,35,27,62,63,16,27,59,24,80,202,24,514,820,230,207,129,622,477,105,98,560,131,577,2540,196,4966,159,101,26,14,191,78,35,23,185,27,234,1298,88,2046,144,232,55,20,257,76,38,21,128,24,298,2649,131,3702,99,45,39,14,126,78,21,22,61,12,139,1020,29,1450,395,397,96,47,813,255,93,46,438,65,663,10908,349,13523,70,46,20,5,50,27,14,3,48,7,59,248,15,467,115,54,29,25,119,67,12,16,89,25,116,777,51,1216,2242,1347,593,333,2508,1278,379,338,1770,365,2340,20684,989,29941,84,57,11,9,61,44,16,23,73,13,57,348,3420,4010,3631,3232,1028,455,3346,1928,551,707,3911,558,3897,34021,5289,53545,630,1171,193,3
POA3177,357,511,81,13,230,139,37,103,565,52,387,2737,222,4418,26,38,10,3,53,27,5,10,26,7,34,263,15,404,62,23,12,5,39,33,3,28,30,11,27,69,13,228,26,15,13,3,19,15,4,7,15,4,14,52,5,126,135,33,47,13,102,76,20,12,97,19,107,466,42,902,37,24,5,0,46,11,5,3,24,8,34,280,38,430,40,43,20,6,67,18,12,8,36,0,75,547,13,781,16,0,5,0,13,6,0,0,9,0,19,145,4,202,94,80,20,3,145,37,20,7,106,6,153,2495,105,3060,23,12,6,5,24,5,0,4,18,9,7,40,0,94,26,10,3,5,31,19,6,0,17,4,15,169,21,260,490,282,136,38,525,264,73,75,369,68,482,4519,258,6489,22,15,3,11,17,11,3,6,13,5,6,114,802,975,866,804,224,61,777,414,115,182,947,121,871,7373,1284,11889,164,280,49,6
POA3178,1412,2090,539,83,721,633,132,211,1762,147,1642,13916,690,21120,54,62,16,0,35,28,3,6,45,3,42,335,12,545,191,102,72,14,90,80,8,51,96,20,100,550,41,1088,74,22,31,11,39,35,8,20,31,13,52,172,17,382,216,59,73,40,134,123,21,32,90,27,145,693,40,1305,96,44,28,5,95,50,18,12,45,9,80,494,24,825,137,131,52,12,184,81,14,13,74,15,213,1464,68,2201,46,55,27,4,106,35,17,3,52,9,125,1678,32,2078,170,145,55,11,302,136,25,14,72,21,177,1619,79,2491,20,25,13,0,18,12,4,5,15,4,22,168,9,265,40,43,25,8,63,24,14,0,26,3,55,340,29,576,1055,690,390,98,1056,606,128,149,541,124,1015,7512,352,11756,22,6,9,3,11,9,3,7,10,0,12,50,590,701,2497,2789,934,184,1791,1244,266,373,2317,273,2665,21481,1635,33571,867,1563,324,5
POA3179,249,385,81,3,125,104,25,52,332,27,270,2211,101,3439,6,12,0,0,9,4,0,0,5,0,12,76,3,118,24,16,15,3,18,15,3,7,7,0,21,98,9,186,13,5,4,3,7,4,0,3,7,0,12,22,0,53,24,14,3,0,19,19,0,3,6,5,21,65,7,133,7,5,0,0,3,0,0,0,0,0,8,71,0,92,25,23,11,0,32,9,4,0,15,3,46,408,13,558,6,13,7,0,30,11,3,5,12,0,29,422,9,518,22,29,8,0,73,29,3,4,11,5,38,481,20,658,0,6,0,0,0,0,0,0,0,0,3,20,0,30,3,10,5,3,10,9,0,3,14,0,13,46,7,101,136,124,57,9,192,98,19,25,86,11,195,1716,64,2442,8,4,0,4,7,0,0,4,0,5,0,9,160,180,393,511,140,14,322,201,45,78,416,37,475,3939,323,6066,131,261,44,0
POA3180,469,524,153,16,199,167,43,79,514,47,382,2822,154,4659,3,11,8,0,8,3,0,0,11,3,10,62,6,98,71,30,27,6,36,28,4,19,22,8,40,105,5,276,23,4,11,0,11,20,4,5,7,3,22,65,4,129,26,3,15,5,11,10,0,5,16,3,15,72,0,135,11,15,0,0,6,3,0,4,0,0,4,114,4,151,23,50,10,5,30,15,0,5,24,0,49,439,9,595,10,20,7,0,37,13,0,0,9,0,32,609,4,726,13,42,10,0,54,15,4,6,10,3,31,373,10,508,4,0,0,0,7,0,0,0,4,0,0,33,0,50,13,6,0,0,6,9,0,0,3,0,15,52,0,88,198,173,80,13,198,110,15,34,111,25,223,1916,56,2764,10,4,3,0,6,3,5,4,0,3,5,23,174,228,673,702,243,29,407,282,61,115,622,71,606,4765,382,7645,177,372,66,0
POA3181,528,1206,263,37,240,220,54,108,1565,58,972,7930,492,12280,32,73,15,0,14,14,0,0,90,7,43,434,18,666,52,93,31,4,27,19,6,12,118,0,60,752,44,1103,16,30,16,0,15,13,8,3,24,3,26,426,23,560,214,66,70,41,150,131,29,34,98,27,169,527,107,1206,14,17,8,6,3,13,0,0,29,4,17,125,10,193,23,54,14,0,34,15,5,0,51,0,50,529,19,715,20,22,5,3,15,13,3,7,37,3,28,371,14,496,15,20,10,0,19,10,4,0,15,0,22,332,16,428,28,38,7,0,9,8,3,4,52,0,42,508,12,657,12,20,7,6,0,4,0,0,27,0,23,197,3,275,416,429,186,52,297,240,59,66,536,46,476,4182,265,6291,19,6,5,9,15,13,5,3,17,4,14,59,945,1060,963,1648,453,92,556,474,119,177,2116,113,1470,12174,1703,19636,347,1233,189,0
POA3182,765,1346,330,21,281,289,58,174,2041,91,1163,7696,343,12638,42,78,19,4,18,16,3,13,111,5,69,515,17,791,84,125,36,4,32,44,10,26,141,14,108,1044,49,1522,37,59,26,0,20,27,6,9,62,7,68,877,26,1138,105,31,42,7,74,60,26,12,105,16,96,627,26,1001,13,14,13,0,6,12,3,0,31,6,20,198,14,294,23,44,11,0,24,17,4,3,59,0,48,460,16,637,9,14,4,0,15,3,6,0,29,0,21,361,6,442,21,24,8,0,28,10,7,3,25,0,27,675,15,798,25,47,12,6,12,5,3,5,89,3,59,851,18,1082,13,29,5,0,8,5,0,0,37,0,24,213,9,322,379,468,177,21,229,198,72,75,683,50,542,5834,190,8023,26,6,11,0,14,12,8,3,17,5,27,74,1630,1775,1176,1820,520,51,523,498,137,255,2737,146,1723,13612,2167,22438,484,1294,254,9
POA3183,498,1037,203,21,242,200,49,78,1520,40,967,7477,362,11376,25,43,10,0,13,16,5,3,55,0,20,274,20,432,62,80,24,0,22,26,5,14,94,6,73,588,26,895,27,33,10,0,14,18,0,4,34,0,32,406,20,567,132,47,53,17,103,77,31,18,69,23,93,424,14,805,20,20,4,0,17,6,5,0,29,5,26,287,13,389,12,31,6,0,15,7,4,0,27,0,42,303,3,417,6,6,9,0,7,5,0,0,9,0,19,253,0,307,5,11,9,0,19,14,0,0,18,0,15,571,12,656,30,52,16,0,19,14,3,5,78,5,48,567,21,785,18,27,5,0,13,6,0,6,26,5,27,232,8,340,336,351,147,26,245,190,53,51,440,46,409,3907,136,5595,17,6,6,4,14,7,0,0,3,3,6,58,880,988,854,1399,354,48,499,403,105,131,1967,83,1381,11449,1375,17964,355,996,155,4
POA3184,467,904,257,14,156,203,43,84,1175,45,746,6903,302,10234,18,34,15,0,9,4,0,0,44,0,43,239,12,378,66,70,24,0,26,24,3,17,78,6,74,641,32,940,19,28,13,0,10,22,5,8,12,0,37,413,12,525,64,25,26,10,41,31,16,10,28,12,57,399,24,625,12,3,4,0,7,9,6,0,14,4,11,108,7,150,5,12,5,0,9,0,6,0,14,4,10,188,5,241,10,12,0,0,0,0,0,0,11,0,16,149,0,183,6,10,0,0,11,8,6,0,13,0,15,159,4,212,9,40,8,0,8,4,0,4,62,0,46,417,7,558,11,19,0,0,5,8,4,3,21,0,26,116,7,189,221,261,101,16,127,114,32,45,292,25,327,2835,97,4012,7,7,6,3,9,6,0,4,12,0,3,42,840,905,699,1172,355,34,286,322,78,127,1478,76,1077,9779,1246,15153,318,863,162,0
POA3185,503,803,215,43,202,212,41,63,911,33,745,6037,274,9035,13,26,9,0,9,3,0,5,22,0,17,198,10,291,45,46,31,7,21,23,3,8,51,7,57,419,17,645,28,17,10,7,16,23,0,5,8,3,19,336,17,438,124,27,54,20,77,89,26,23,55,13,81,319,18,640,10,12,4,0,11,18,0,4,28,0,16,158,7,231,15,12,8,4,5,4,0,0,18,0,20,229,3,295,5,6,5,0,14,0,3,3,16,5,22,284,3,347,14,13,7,0,17,3,4,0,11,0,17,272,5,335,10,25,3,0,4,7,3,0,29,0,24,277,14,371,25,13,13,8,17,10,0,0,16,3,17,216,4,310,296,191,146,47,191,183,42,47,253,34,282,2704,101,3906,22,12,9,7,13,13,4,3,9,5,14,65,383,492,822,1007,368,97,408,408,87,119,1173,71,1033,8800,755,13433,265,626,149,0
POA3186,1317,1267,664,203,374,709,130,215,1142,167,1197,10487,553,16064,33,39,24,6,6,22,5,4,27,6,37,236,15,389,150,112,84,28,51,113,19,31,89,9,124,903,41,1495,45,34,34,6,28,32,6,11,28,10,53,385,14,590,129,29,57,33,61,89,15,9,52,28,101,532,30,939,23,9,17,0,21,15,0,6,18,0,29,154,3,244,15,24,9,0,16,9,0,3,14,0,27,350,5,448,20,19,14,5,30,19,6,5,28,0,55,889,17,1054,20,15,11,5,15,12,5,0,14,6,30,212,6,308,23,22,13,4,0,7,3,0,24,0,26,363,4,473,21,29,18,0,15,8,0,5,27,7,22,234,4,362,486,336,266,94,251,326,60,64,313,65,504,4255,130,6301,26,9,13,8,12,13,0,3,12,0,13,106,708,879,1833,1609,944,304,636,1047,191,286,1467,234,1713,14852,1391,23252,531,904,320,6
POA3187,943,902,467,164,301,501,100,148,903,121,930,7319,377,11221,32,25,15,3,12,9,0,5,23,3,32,153,9,268,109,84,46,28,35,81,16,25,55,16,101,517,25,916,43,25,17,17,23,27,3,4,38,5,40,217,9,373,147,42,67,30,77,113,18,20,63,23,119,479,29,902,14,9,14,6,20,14,5,5,21,0,20,203,4,288,11,15,11,7,16,8,0,5,12,3,31,269,3,357,19,19,12,0,35,13,9,6,7,0,33,696,11,831,21,9,4,4,35,17,4,3,8,0,22,224,13,328,17,14,5,0,7,5,0,0,30,6,19,218,8,293,31,25,14,0,18,11,0,6,23,5,27,244,7,363,447,259,208,93,265,292,63,80,282,58,439,3211,121,4914,21,9,11,5,15,19,3,4,15,8,18,68,482,621,1413,1173,684,264,583,815,167,231,1190,180,1391,10598,981,16757,381,598,227,0
POA3188,897,1141,403,38,340,387,77,189,1102,68,1033,8260,460,12739,35,40,16,0,12,12,0,3,26,0,24,234,9,367,132,112,52,10,43,76,12,25,84,8,110,936,48,1448,33,19,18,0,8,19,0,5,25,0,29,327,23,464,157,50,70,11,79,73,21,27,57,18,99,415,20,831,33,13,6,3,18,14,7,9,19,5,16,136,3,227,22,31,6,0,12,13,0,0,27,3,26,223,10,334,14,9,9,0,17,15,3,0,13,0,25,371,11,461,16,14,7,0,29,14,4,8,12,3,30,202,9,303,19,30,3,0,9,6,0,0,27,0,32,296,10,402,17,20,17,0,14,11,0,5,14,0,26,183,5,284,481,336,220,28,240,260,47,87,299,43,425,3343,149,5128,23,12,9,3,15,12,6,4,17,3,9,78,590,724,1404,1491,628,81,595,649,131,282,1414,117,1464,11671,1192,18587,423,821,239,0
POA3189,275,350,92,8,121,108,29,66,382,33,312,2507,143,3899,7,10,3,0,7,4,0,0,10,0,11,62,7,108,32,19,9,0,13,17,3,9,21,8,24,156,8,258,16,6,3,0,0,4,0,0,4,0,4,75,4,107,96,22,32,7,61,46,11,20,37,6,42,230,17,470,7,0,5,0,7,5,0,0,7,0,3,98,7,141,6,15,0,0,12,0,3,0,8,0,6,151,7,195,5,5,3,0,8,5,0,0,4,0,6,263,4,290,19,11,10,7,30,23,4,4,10,3,14,267,8,350,9,7,3,0,4,5,0,0,5,0,9,71,0,101,10,7,4,0,7,0,0,0,9,0,13,68,0,103,197,102,80,16,146,105,25,43,117,23,130,1436,50,2122,6,3,0,0,8,6,0,0,3,3,6,25,220,271,476,456,175,23,274,220,49,105,511,51,451,3966,416,6287,175,278,59,0
POA3190,538,808,218,49,212,257,55,119,792,52,670,5118,297,8000,20,22,3,0,3,8,7,0,28,0,28,181,8,278,56,60,39,9,29,30,3,19,60,5,42,437,24,708,21,21,10,4,11,9,3,3,20,3,22,177,7,268,103,33,42,28,88,62,17,17,51,19,78,340,21,671,25,8,7,0,9,11,3,0,21,0,28,95,0,172,15,19,8,4,13,5,0,4,9,0,19,248,5,321,7,8,10,0,16,11,4,0,7,0,20,310,11,385,26,22,10,0,37,17,3,0,14,0,26,271,13,386,14,12,3,0,5,8,0,0,25,0,23,152,6,226,12,11,7,0,6,5,0,0,10,0,24,129,3,188,299,217,142,48,224,165,41,42,250,34,302,2347,99,3595,16,8,0,0,3,11,0,0,5,0,10,47,332,413,850,1034,363,102,441,430,95,164,1052,84,983,7509,734,12007,259,617,140,0
POA3191,662,649,327,122,185,339,54,88,627,76,680,4878,264,7670,26,18,11,0,0,11,0,3,17,0,25,136,7,225,103,63,40,17,40,49,9,14,68,12,78,555,26,933,27,10,9,3,5,15,0,8,19,3,23,198,7,292,55,16,11,23,35,32,4,4,38,7,58,241,11,410,6,5,4,0,9,4,0,0,8,5,5,60,3,94,11,12,4,5,6,0,0,0,4,0,15,90,6,139,4,3,10,0,3,0,0,0,8,0,12,162,0,201,7,3,0,8,13,7,0,0,7,0,8,69,0,107,14,19,8,5,9,4,0,0,22,0,21,162,4,237,9,15,3,4,5,3,0,0,8,0,15,150,4,198,265,157,107,57,131,120,26,29,195,30,271,1823,72,2828,3,0,4,4,3,10,0,0,7,0,5,20,375,424,933,810,434,178,317,467,78,117,828,105,958,6720,715,10926,255,437,159,0
POA3192,1219,1584,496,111,546,604,106,262,1586,138,1361,10137,570,16055,27,58,17,3,17,18,0,13,26,5,38,282,15,451,143,103,54,20,61,75,9,31,108,16,110,667,42,1188,46,22,18,4,22,20,6,11,31,5,34,299,16,455,222,67,76,46,169,126,39,41,130,42,187,736,48,1439,56,25,15,5,40,34,6,0,29,4,32,230,12,376,25,43,11,0,37,7,0,0,18,0,49,459,6,608,23,25,13,6,46,21,6,8,28,9,48,811,18,986,40,35,15,5,60,31,12,4,35,6,55,738,29,971,26,23,9,0,11,3,0,0,38,0,30,273,15,391,21,39,10,5,19,12,3,7,32,4,27,258,13,388,632,432,235,96,478,348,66,119,480,91,609,4745,203,7250,28,10,10,6,19,19,0,3,7,9,18,84,668,828,1883,2025,736,215,1044,969,168,384,2072,239,1994,14962,1440,24129,541,1147,242,5
