POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA3167,961,1941,7,30,89,400,13,58,738,2772,849,3260,75,313,140,497,324,1069,543,1882,1390,5143,0,0,23,79,5,15,95,252,123,355,15,55,49,107,196,448,261,611,385,967,54,110,2780,8160
POA3168,1768,3595,12,46,101,440,24,109,883,3183,1014,3779,55,235,130,445,234,742,415,1420,1426,5191,0,6,28,95,7,22,164,415,204,539,20,58,99,230,246,544,365,839,567,1378,246,531,4009,10694
POA3169,1944,3984,32,198,200,935,36,151,1247,4668,1520,5957,122,552,235,843,651,2154,1013,3548,2529,9507,10,49,57,194,22,86,213,591,296,916,39,126,102,230,489,1092,627,1451,921,2367,145,313,5541,16168
POA3170,1905,3862,33,168,265,1212,34,168,1447,5526,1775,7068,161,683,286,1007,576,1878,1021,3570,2796,10635,8,22,61,212,15,45,209,556,292,836,42,155,86,215,365,836,497,1202,788,2038,106,233,5593,16769
POA3171,1776,3709,25,159,214,1022,56,275,1175,4617,1468,6065,162,754,254,885,552,1868,972,3499,2441,9564,13,53,62,220,27,113,273,765,371,1152,68,243,126,313,497,1182,697,1741,1068,2890,216,500,5495,16670
POA3172,1961,4010,58,365,322,1499,66,302,1380,5478,1828,7644,218,941,301,1086,788,2643,1310,4676,3137,12321,11,74,74,266,29,107,317,880,434,1329,79,285,126,329,472,1108,680,1722,1118,3049,113,249,6323,19640
POA3173,2254,4620,76,439,486,2315,82,396,2260,8827,2906,11971,284,1266,470,1675,898,3047,1655,5989,4559,17959,22,98,88,332,39,179,385,1061,534,1666,74,247,154,369,527,1254,751,1870,1288,3535,126,287,8230,26396
POA3174,3219,6621,76,447,400,1942,97,466,2470,9441,3034,12298,234,1064,361,1266,846,2856,1440,5191,4473,17487,30,171,128,474,54,206,562,1522,772,2366,103,374,215,512,915,2101,1241,2992,2010,5355,315,682,10023,30143
POA3175,3988,8156,174,1124,606,3018,147,732,3239,12842,4162,17714,321,1445,427,1534,1148,3837,1894,6814,6059,24528,51,251,155,618,58,223,747,1992,1007,3088,138,515,253,583,1112,2561,1501,3663,2508,6747,300,664,12856,40093
POA3177,775,1583,42,299,129,684,52,240,699,2743,918,3973,64,284,70,242,204,666,335,1193,1251,5166,14,75,55,183,26,107,201,556,292,920,21,69,37,81,294,686,349,835,646,1756,79,175,2757,8678
POA3178,3206,6481,64,367,487,2162,92,428,2225,8651,2872,11613,449,1932,624,2246,1342,4475,2412,8652,5286,20269,8,36,97,319,21,69,310,799,437,1226,77,246,149,338,523,1202,751,1793,1183,3016,108,226,9779,29994
POA3179,532,1085,12,75,94,430,16,75,405,1542,528,2125,58,244,112,422,202,656,371,1326,896,3448,3,13,20,65,3,12,70,186,95,271,10,24,41,106,113,259,165,392,263,665,22,48,1716,5253
POA3180,826,1667,13,48,104,478,18,59,526,1973,658,2563,67,286,117,442,197,653,385,1382,1042,3942,3,9,25,65,8,30,97,240,124,347,20,58,47,108,149,322,213,490,340,837,32,62,2244,6523
POA3181,2574,5121,5,31,75,313,6,11,763,2692,852,3053,51,200,125,414,134,424,305,1038,1150,4095,0,4,25,70,0,4,138,294,162,373,13,46,73,161,192,394,284,608,441,980,150,301,4324,10490
POA3182,2954,5863,10,35,81,355,7,16,783,2746,874,3151,21,91,141,458,118,348,276,899,1151,4050,0,7,21,52,7,15,211,440,239,518,16,49,89,192,159,332,270,573,511,1091,116,226,4728,11230
POA3183,1944,3878,37,236,182,971,16,104,958,3749,1194,5051,44,202,139,479,130,415,316,1101,1508,6152,3,10,31,108,4,14,180,404,219,530,12,33,75,163,149,313,234,503,448,1034,98,198,4002,11268
POA3184,1734,3430,9,34,112,479,5,26,849,3072,972,3612,46,191,176,603,103,320,323,1110,1294,4720,0,3,25,77,3,12,212,469,249,558,9,36,81,164,145,290,240,484,483,1051,73,152,3583,9345
POA3185,1450,2876,14,100,190,909,16,75,869,3385,1090,4472,53,227,204,720,133,433,394,1386,1485,5856,3,10,38,108,4,14,135,306,175,438,17,46,77,178,145,308,243,535,422,972,58,119,3414,9823
POA3186,2642,5244,22,113,378,1732,24,100,1354,5166,1779,7113,196,831,513,1801,433,1352,1137,3981,2912,11096,0,4,71,221,9,17,248,570,325,816,28,99,183,406,240,513,452,1010,776,1827,69,134,6406,18305
POA3187,1474,2942,23,139,329,1427,19,97,1203,4683,1570,6341,135,571,391,1394,292,947,820,2910,2392,9252,5,27,56,166,6,25,173,416,242,630,27,85,126,295,199,435,353,807,595,1435,35,73,4497,13707
POA3188,1734,3478,14,86,283,1249,11,46,1294,4969,1606,6346,171,719,437,1572,363,1164,970,3456,2574,9805,9,18,57,173,3,18,201,482,266,689,31,93,131,298,249,546,407,938,673,1632,55,117,5047,15028
POA3189,590,1192,5,23,80,343,5,31,520,1962,611,2361,37,157,75,260,117,376,228,791,844,3149,0,5,6,35,3,16,85,197,98,245,12,35,39,97,113,249,162,381,263,625,29,55,1725,5023
POA3190,1187,2384,10,42,139,627,10,47,954,3567,1111,4280,73,301,165,589,208,672,444,1555,1560,5839,6,15,42,124,0,11,159,370,207,517,23,63,85,195,203,424,309,689,515,1204,38,86,3298,9510
POA3191,1211,2420,17,87,158,737,3,21,688,2656,869,3501,85,350,215,772,188,623,487,1742,1363,5243,0,9,16,52,3,10,99,223,120,299,20,55,79,180,112,237,212,477,338,772,19,41,2928,8474
POA3192,2314,4644,29,129,285,1279,13,79,1881,7065,2209,8555,147,612,315,1103,470,1514,930,3230,3140,11783,8,16,74,237,18,50,327,778,425,1078,49,154,160,340,408,896,619,1397,1039,2472,104,221,6600,19119
POA3193,2349,4678,20,121,383,1684,28,124,1254,5035,1695,6958,202,872,486,1756,502,1597,1194,4222,2880,11185,4,7,61,169,8,18,162,393,229,584,37,117,116,274,205,432,360,817,587,1400,42,91,5858,17356
POA3194,1503,2994,20,94,141,624,12,56,861,3198,1023,3978,78,330,214,747,239,777,531,1852,1555,5829,0,7,38,114,4,21,204,473,254,612,33,92,86,177,218,465,336,740,589,1352,50,100,3700,10283
POA3195,3366,6779,67,364,642,2870,82,358,2709,10509,3501,14098,367,1549,645,2316,939,3075,1942,6941,5444,21040,11,58,100,306,12,45,425,1018,553,1430,88,265,206,484,560,1221,857,1973,1407,3403,111,239,10330,31463
POA3196,2771,5555,29,145,249,1112,42,194,2020,7612,2347,9066,161,697,244,841,481,1582,896,3111,3239,12180,5,34,69,212,26,90,401,992,504,1326,56,176,160,364,503,1066,718,1604,1221,2927,97,208,7334,20869
POA3197,1347,2717,19,87,122,529,19,91,788,2982,949,3690,82,344,161,560,282,915,531,1823,1478,5510,9,29,38,122,22,84,180,437,249,666,21,71,74,148,258,550,352,766,597,1437,27,54,3443,9716
POA3198,1651,3319,28,138,131,597,33,126,1138,4260,1321,5123,70,297,109,375,320,1064,506,1740,1825,6857,5,31,67,215,26,100,360,870,455,1213,35,109,92,205,413,915,541,1232,1002,2445,99,205,4580,12821
POA3199,5536,11121,78,424,567,2575,116,536,3305,12614,4062,16144,295,1246,520,1777,1070,3430,1882,6451,5945,22593,40,180,228,752,108,400,1095,2829,1474,4163,160,504,327,711,1204,2617,1678,3834,3160,7993,224,464,14861,42174
POA3200,391,807,6,28,26,96,16,82,247,958,289,1167,12,52,19,62,101,305,130,422,416,1592,9,42,30,117,18,69,178,493,237,726,16,53,35,75,179,407,224,535,457,1260,44,96,1318,3749
POA3201,1967,3974,40,251,216,996,71,341,1489,5626,1817,7217,108,462,168,584,523,1709,796,2752,2617,9964,13,64,81,278,46,148,510,1325,646,1820,46,152,105,235,514,1151,667,1537,1313,3349,102,215,5994,17510
POA3202,213,435,9,37,54,237,8,47,226,888,296,1201,21,83,62,200,47,165,130,450,426,1651,0,5,13,23,0,4,30,70,40,105,9,27,20,41,49,107,72,175,115,282,11,22,768,2392
POA3204,2876,5778,37,186,572,2539,41,186,2439,9284,3090,12202,256,1089,664,2419,651,2095,1584,5607,4673,17802,10,38,104,309,17,54,442,1024,566,1424,75,238,285,638,448,959,802,1836,1370,3257,120,255,9039,27096
POA3205,1547,3071,0,0,63,280,7,30,555,2017,626,2332,23,95,106,341,85,267,216,706,841,3033,4,16,20,78,8,35,145,345,181,471,13,32,73,154,123,256,203,440,386,913,77,156,2853,7181
POA3206,1137,2250,8,25,128,572,4,13,709,2674,843,3282,40,172,189,635,141,450,366,1265,1215,4544,0,0,22,66,0,5,111,251,139,324,18,54,72,166,97,214,193,425,326,753,38,70,2718,7615
POA3207,2251,4451,7,49,130,558,16,80,1010,3722,1171,4414,63,249,194,656,214,680,470,1588,1640,5999,4,19,37,118,18,50,245,583,301,772,21,69,115,226,223,467,356,768,660,1536,76,150,4633,12134
POA3211,121,238,10,33,18,92,0,7,74,296,100,434,12,51,16,62,51,170,79,287,177,713,0,0,6,10,9,27,13,36,26,70,0,3,0,9,19,45,23,58,43,129,0,3,344,1085
POA3212,1837,3690,37,224,214,1003,70,341,1344,5231,1671,6801,138,563,164,570,445,1479,746,2611,2419,9416,12,45,57,183,22,82,302,816,389,1123,36,127,64,158,273,624,377,910,769,2027,56,114,5077,15249
POA3213,458,916,14,87,74,362,17,95,296,1220,407,1762,49,220,68,225,162,545,275,995,684,2761,3,12,9,18,13,32,46,130,65,190,8,25,23,40,65,154,92,217,157,410,12,24,1314,4106
POA3214,1889,3840,55,348,170,867,88,411,926,3573,1240,5204,94,402,123,406,523,1674,734,2480,1977,7682,36,171,128,499,107,391,716,2000,984,3056,67,242,128,290,740,1655,930,2187,1912,5241,192,403,5969,17163
POA3215,2407,4823,32,179,197,922,43,204,1246,4758,1520,6063,105,447,182,629,483,1590,770,2664,2292,8726,19,72,77,264,24,92,356,939,474,1371,56,173,100,215,448,983,599,1371,1077,2741,98,202,5872,16495
POA3216,6259,12492,72,400,684,3142,132,590,3868,15037,4754,19167,371,1560,701,2449,1134,3625,2204,7637,6955,26806,31,118,207,666,61,205,716,1841,1013,2837,100,307,277,618,785,1714,1165,2642,2171,5476,223,469,15611,45244
POA3217,1916,3857,24,127,184,849,58,263,2098,7976,2363,9218,60,258,133,430,223,740,416,1433,2776,10644,12,68,74,232,34,111,357,932,480,1339,27,86,79,183,198,435,309,709,784,2048,76,150,5552,16708
POA3218,1528,3049,9,56,147,682,13,60,1131,4331,1302,5127,66,275,146,495,215,681,433,1450,1735,6579,6,20,43,116,5,31,217,514,269,678,26,75,60,137,225,487,314,702,589,1386,52,105,3905,11120
POA3219,2188,4395,36,215,121,553,38,174,917,3504,1115,4449,76,338,139,467,397,1303,615,2111,1727,6561,10,52,60,204,46,169,433,1116,549,1536,46,160,98,216,488,1081,637,1462,1185,3004,125,250,5221,14207
POA3220,1896,3780,30,148,207,958,16,77,1027,3995,1278,5178,91,388,211,702,272,829,573,1918,1847,7098,5,25,34,109,9,32,197,474,246,632,23,77,80,162,193,406,299,654,547,1285,58,118,4345,12284
POA3221,89,177,3,19,10,51,5,11,47,221,66,297,8,29,18,66,23,63,43,164,115,461,0,0,4,6,0,0,6,14,9,24,0,4,6,13,14,32,19,48,26,72,0,6,233,710
POA3222,2476,4952,38,214,217,1007,44,193,1063,4156,1358,5567,98,417,168,573,437,1378,701,2368,2063,7938,13,75,62,214,12,53,293,808,387,1148,33,103,80,178,296,644,401,927,793,2074,60,134,5399,15096
POA3223,1750,3473,6,46,54,258,11,54,336,1304,409,1659,28,110,54,170,198,597,279,885,680,2546,3,19,18,56,9,34,101,264,129,373,11,33,25,51,156,325,191,411,318,780,43,90,2799,6893
POA3224,1851,3712,32,182,144,669,43,183,911,3583,1137,4617,109,454,142,488,359,1180,608,2126,1747,6745,7,37,53,183,18,61,235,611,314,890,35,109,64,135,237,522,340,770,650,1664,51,99,4303,12218
POA3225,972,1927,8,24,39,168,9,29,238,917,288,1142,26,98,49,151,94,287,158,535,445,1674,0,10,6,28,4,10,38,89,50,133,3,5,24,46,62,124,82,181,138,317,10,15,1561,3937
POA3226,2186,4340,23,128,198,891,39,169,1305,5178,1565,6365,105,430,183,635,279,883,567,1950,2141,8316,5,42,66,210,23,69,222,575,313,896,26,84,73,144,187,422,286,652,605,1542,30,59,4949,14254
POA3227,687,1363,12,53,96,442,8,28,350,1432,467,1961,26,101,73,248,77,242,176,590,642,2555,0,0,9,29,0,6,60,138,66,174,7,15,25,59,59,109,91,184,156,357,15,36,1509,4304
POA3228,2523,5022,34,190,380,1707,58,261,1994,7864,2474,10020,126,519,272,930,364,1146,757,2591,3233,12613,10,26,75,240,11,27,275,666,365,966,32,97,77,168,196,411,305,674,669,1640,49,101,6478,19376
POA3230,494,980,3,10,25,100,5,33,176,683,208,829,13,46,35,109,43,120,85,277,293,1105,0,0,5,18,0,0,24,61,27,75,0,10,15,23,29,57,41,93,77,172,8,8,859,2260
POA3231,259,514,0,4,14,56,4,7,65,241,79,316,10,35,24,73,26,73,56,180,135,493,0,0,0,12,0,0,16,43,18,53,4,7,9,13,15,26,25,48,45,99,9,12,449,1116
POA3232,166,330,0,0,11,50,0,0,43,155,51,207,3,15,13,43,20,67,42,128,93,331,0,5,4,8,0,0,10,22,13,32,0,3,5,17,19,32,25,52,42,89,3,11,305,763
POA3233,333,659,4,14,23,117,3,12,89,335,119,467,3,14,17,48,33,93,50,154,167,627,0,0,3,16,0,0,33,81,35,94,3,4,10,18,27,58,41,82,79,176,8,15,587,1473
POA3234,32,55,0,0,0,0,0,0,15,59,15,59,0,0,4,5,0,0,4,6,16,65,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,5,7,8,7,13,0,0,51,137
POA3235,72,132,0,0,5,23,0,0,28,112,39,134,0,3,0,10,13,27,12,33,47,167,0,0,4,16,0,0,8,18,12,33,0,4,4,3,7,10,6,24,24,52,0,4,140,361
POA3236,32,66,0,0,4,8,0,0,9,26,10,36,0,3,3,5,0,7,4,19,17,58,0,3,0,0,0,0,5,10,3,11,0,4,0,0,12,21,11,25,17,41,0,3,68,164
POA3237,37,74,0,4,0,8,0,6,8,28,10,44,0,3,0,8,3,16,4,28,16,68,0,0,0,0,0,0,0,3,0,3,0,3,0,5,8,11,6,12,10,20,0,3,65,165
POA3238,39,82,0,0,0,10,0,0,11,46,14,55,3,8,4,7,0,4,6,22,17,70,0,0,0,3,0,0,3,13,5,17,0,0,0,0,0,7,0,7,7,24,0,0,69,178
POA3239,70,138,0,12,11,35,5,19,19,74,30,137,0,6,3,15,3,19,10,36,41,175,0,4,0,0,0,0,5,11,10,21,0,0,0,0,7,14,7,14,16,32,0,0,125,347
POA3240,231,460,6,21,37,167,3,16,171,692,217,896,22,94,35,126,64,190,115,415,339,1308,0,3,0,12,0,0,22,63,26,79,3,8,4,8,19,40,22,58,51,137,3,4,618,1911
POA3241,395,782,6,45,26,123,13,52,189,704,229,917,15,67,25,95,65,216,109,375,340,1295,0,0,9,30,5,7,36,99,50,139,4,9,14,27,50,105,64,141,116,280,7,14,859,2374
POA3242,116,233,4,13,11,40,0,4,67,266,78,317,10,41,7,20,17,54,34,111,109,429,0,4,4,16,0,0,5,26,10,37,0,0,0,0,15,24,14,31,26,70,0,0,250,726
POA3243,68,126,0,0,3,16,3,15,20,82,26,106,0,11,4,13,5,25,17,49,38,157,0,0,0,0,0,0,7,8,7,8,0,0,0,0,5,10,5,10,6,18,4,4,116,306
POA3249,444,877,18,79,46,229,16,81,182,756,254,1141,23,102,30,84,74,248,129,436,385,1574,0,0,7,33,3,11,24,75,36,118,3,15,6,20,40,94,58,129,92,244,9,18,928,2721
POA3250,1388,2773,33,180,130,601,23,119,648,2585,836,3480,66,280,78,252,235,755,382,1288,1216,4773,8,42,31,108,21,61,221,628,279,841,27,84,37,85,198,448,266,618,543,1461,63,132,3214,9144
POA3251,69,132,0,0,7,18,4,22,33,116,38,155,3,22,7,24,8,28,19,75,62,225,0,0,0,3,0,0,4,6,5,10,0,6,0,3,10,23,15,29,12,37,6,10,149,409
POA3254,32,72,0,4,0,14,0,0,25,108,32,128,4,13,4,8,4,4,6,26,37,156,0,3,0,0,0,6,0,6,3,18,3,12,0,4,4,20,15,31,14,49,0,6,84,271
POA3260,625,1240,8,52,47,235,17,88,219,904,297,1287,21,95,36,95,113,344,163,537,463,1824,3,12,12,28,3,21,60,175,80,232,4,22,12,31,77,152,93,202,175,437,22,41,1283,3539
POA3264,276,557,4,29,17,91,11,38,105,430,143,578,6,37,13,44,41,132,67,213,202,787,0,19,5,26,3,8,32,77,46,135,0,9,6,12,54,114,63,138,105,269,12,25,605,1641
POA3265,315,635,14,69,45,210,15,60,168,694,233,1037,20,93,31,90,64,201,112,387,345,1424,0,0,3,15,4,21,33,86,46,123,4,3,9,16,40,76,46,92,88,213,9,25,762,2292
POA3266,382,772,12,54,35,175,9,44,145,595,196,870,20,66,18,70,67,221,110,361,306,1230,3,24,3,20,4,22,48,136,61,201,0,0,12,22,46,95,57,116,117,315,11,27,822,2348
POA3267,34,65,0,3,0,0,0,0,15,45,14,51,0,0,0,5,10,30,12,34,23,86,0,0,0,4,0,0,0,0,0,4,0,0,0,4,6,0,6,10,3,16,0,0,63,170
POA3268,327,647,8,63,35,186,0,9,130,533,176,789,20,70,25,82,58,190,102,334,283,1129,0,0,7,17,3,4,27,68,30,90,0,4,5,10,45,101,42,110,74,200,10,23,690,1999
POA3269,74,144,5,7,9,51,4,13,38,157,52,228,3,27,3,12,11,29,24,71,77,302,0,0,5,12,0,0,7,22,14,33,0,0,0,0,13,22,13,22,23,52,4,6,177,505
POA3270,49,101,0,0,3,21,0,0,15,67,20,93,0,5,0,0,4,18,9,26,27,114,0,0,0,5,0,0,3,8,6,9,0,0,0,0,0,4,0,4,6,15,0,0,81,231
POA3271,25,50,0,3,0,6,0,0,3,13,7,24,3,9,0,3,3,11,7,29,16,53,0,0,0,0,0,0,3,14,3,12,0,0,0,6,4,5,3,7,9,23,0,0,48,127
POA3272,215,426,8,16,16,90,4,7,75,302,95,418,4,18,7,23,26,71,36,110,132,531,3,12,4,13,0,11,30,85,36,119,0,6,11,22,25,54,41,83,77,203,6,20,430,1183
POA3273,22,36,0,14,0,14,0,4,5,11,8,42,0,4,4,9,4,9,7,17,15,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,10,6,11,0,0,36,100
POA3274,32,63,0,0,3,17,0,8,15,52,14,74,0,0,3,7,3,10,6,20,20,91,0,0,0,6,0,3,0,12,9,20,0,3,0,4,5,13,10,18,14,37,0,0,71,196
POA3275,45,94,5,17,6,20,3,20,29,123,43,178,9,39,0,9,20,58,27,102,68,285,0,0,0,4,0,0,4,12,6,11,0,0,0,0,9,13,9,13,14,29,0,0,128,406
POA3276,60,120,0,0,6,32,0,0,22,91,27,119,0,8,4,17,8,36,18,54,44,180,0,0,5,8,0,9,3,6,5,19,5,7,3,3,9,11,12,29,16,49,0,3,124,352
POA3277,224,451,8,33,21,79,11,35,118,488,152,634,12,43,11,25,47,151,63,220,213,855,0,0,4,20,0,6,22,54,27,87,5,11,8,17,21,43,31,71,62,150,10,19,506,1473
POA3278,49,97,5,7,5,15,0,0,25,96,31,120,0,0,0,7,10,37,13,37,42,159,0,0,0,0,0,0,4,16,4,16,0,0,0,0,7,15,7,15,12,27,0,0,102,286
POA3279,25,48,0,5,5,32,0,3,18,81,29,124,0,3,8,27,3,18,14,48,41,173,0,0,0,3,0,0,0,0,0,3,0,0,0,4,4,8,4,11,3,14,0,4,71,237
POA3280,3708,7409,65,358,312,1439,83,392,1830,7094,2290,9280,158,664,260,880,671,2135,1093,3681,3381,12965,16,76,105,373,57,193,642,1636,819,2281,62,198,120,249,576,1261,757,1710,1576,3981,156,315,8814,24671
POA3281,198,395,8,73,29,124,14,55,138,573,193,822,18,70,18,63,41,136,78,276,272,1099,0,0,4,7,5,11,21,58,27,77,0,0,9,18,13,38,23,56,50,132,7,15,523,1644
POA3282,324,640,3,16,30,139,9,36,172,667,210,861,13,61,30,89,48,150,92,299,305,1162,0,0,9,25,6,13,52,140,60,181,0,3,6,5,38,73,38,87,104,268,14,22,735,2086
POA3283,192,375,3,15,17,107,8,38,81,340,114,495,3,27,15,49,36,115,57,192,173,688,3,19,4,14,4,8,18,37,21,77,0,3,0,4,16,40,22,52,44,128,3,5,412,1201
POA3284,523,1044,6,22,48,200,8,33,209,883,268,1143,11,39,28,108,59,177,97,323,367,1464,8,20,10,28,6,12,47,119,60,181,3,13,12,17,51,104,66,136,129,314,13,23,1029,2852
POA3285,170,334,3,20,17,73,3,10,79,328,98,429,6,18,11,40,32,91,48,152,150,581,3,8,0,5,0,3,6,25,12,44,0,3,0,3,13,26,12,35,32,73,0,0,348,992
POA3286,82,163,3,13,4,18,0,3,26,91,32,125,5,17,10,29,8,27,21,75,55,199,0,0,0,7,0,0,5,17,12,27,0,3,3,3,3,5,9,17,14,38,0,0,152,401
POA3287,60,122,0,4,9,41,3,6,25,98,34,150,5,12,10,23,4,23,21,56,55,207,0,0,0,5,0,0,3,5,4,9,0,0,0,0,0,6,0,6,6,13,0,0,125,348
POA3289,101,199,0,14,16,60,0,11,35,158,58,233,5,13,4,22,18,51,27,88,78,321,0,8,0,0,0,6,11,36,14,42,0,4,0,0,6,9,5,11,19,60,6,12,201,587
POA3292,34,80,0,0,0,0,0,0,3,15,3,15,0,0,0,0,3,6,3,6,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,8,0,8,0,0,48,105
POA3293,44,92,0,9,6,19,4,15,18,63,21,107,0,0,0,3,6,19,11,25,32,133,0,0,0,0,0,0,7,20,7,20,0,0,0,0,6,9,6,9,8,27,0,3,89,250
POA3294,128,254,3,7,16,60,0,0,59,237,73,300,5,15,3,15,22,68,30,94,101,398,0,0,5,5,0,4,8,26,15,35,0,0,4,9,9,16,9,25,24,64,3,5,262,721
POA3300,1278,2539,16,79,94,444,21,98,568,2253,700,2874,32,137,79,250,190,604,304,991,1007,3870,9,32,36,127,16,48,173,443,225,653,12,47,36,85,162,344,216,475,442,1128,39,86,2758,7619
POA3301,171,340,4,26,17,94,4,13,75,321,105,454,10,49,21,68,26,94,58,203,162,655,0,0,0,0,0,0,7,16,8,19,0,0,0,0,11,31,11,27,24,52,3,8,361,1050
POA3302,57,115,0,0,5,11,3,9,13,67,19,85,0,6,4,8,13,43,20,58,44,143,0,0,0,0,6,12,5,8,8,19,0,0,0,0,6,7,4,14,15,28,0,0,113,288
POA3303,46,90,0,9,0,0,0,5,15,61,17,75,0,9,9,18,4,18,17,42,35,120,0,0,0,3,0,0,4,11,7,13,0,0,0,5,0,0,0,4,5,16,0,0,83,221
POA3304,360,716,3,18,13,78,5,33,139,534,163,659,13,39,14,42,57,179,76,258,242,918,0,4,13,50,3,14,46,135,70,201,0,7,6,10,40,87,47,106,117,308,16,27,725,1971
POA3305,1765,3522,26,124,104,481,37,166,642,2513,810,3277,55,216,103,331,293,906,453,1452,1260,4732,6,40,44,141,24,86,236,634,317,899,9,33,58,118,220,460,289,613,603,1515,38,81,3665,9853
POA3309,17,36,0,8,0,0,0,0,0,8,0,21,0,0,0,5,3,12,5,19,11,36,0,0,0,7,0,3,5,16,3,22,0,0,0,0,3,4,3,4,8,28,0,0,32,97
POA3310,45,88,0,6,0,9,0,0,11,27,14,43,0,0,0,4,10,13,3,20,18,63,0,5,0,0,0,0,0,7,4,8,0,0,0,4,5,10,8,15,7,23,0,0,72,175
POA3311,251,508,0,0,14,70,3,16,54,200,74,288,5,20,6,28,29,98,44,142,116,431,0,7,0,20,8,24,20,57,32,94,0,9,3,3,20,45,29,56,55,155,8,23,431,1112
POA3312,157,309,0,5,15,53,0,12,61,254,75,319,3,11,9,24,12,46,28,84,99,400,0,0,0,5,3,12,12,25,12,47,0,0,0,0,12,20,11,20,22,67,7,10,282,783
POA3314,86,174,0,0,6,38,6,8,30,128,41,183,0,0,7,13,10,37,17,48,54,233,0,0,4,9,0,7,0,0,9,26,0,3,0,5,7,12,10,18,16,40,0,3,166,445
POA3315,226,440,0,0,12,65,3,8,72,313,88,389,11,37,8,29,38,103,55,174,146,564,0,0,3,12,6,11,18,53,25,75,7,21,3,3,32,69,41,91,71,165,4,6,445,1175
POA3317,26,50,0,3,0,0,0,0,5,36,8,39,0,3,3,10,4,10,11,23,17,60,0,0,0,0,0,0,4,4,4,12,0,0,0,0,3,6,3,6,10,18,0,5,54,136
POA3318,165,333,0,0,10,36,0,6,65,261,72,302,0,19,5,18,14,41,24,70,92,377,0,3,3,10,4,5,11,25,15,47,0,15,0,4,20,38,21,53,37,99,7,10,306,824
POA3319,63,118,0,0,0,3,0,0,21,73,17,81,4,10,0,3,15,34,17,47,37,128,0,0,0,0,0,6,3,6,3,11,0,6,0,3,0,0,3,6,4,17,0,0,104,264
POA3321,194,386,6,39,30,124,3,25,155,641,199,828,16,79,24,86,36,115,82,287,279,1113,0,5,0,8,0,3,14,38,16,56,0,0,9,6,12,24,21,34,36,86,0,4,508,1587
POA3322,23,52,0,0,0,6,0,5,6,30,5,41,0,0,0,0,7,14,7,20,14,61,0,0,0,0,0,0,5,15,5,15,0,0,0,0,4,8,4,8,9,21,0,0,50,126
POA3323,16,34,0,0,0,9,0,0,4,21,3,25,0,0,0,0,0,4,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,9,4,9,0,5,24,70
POA3324,79,150,0,0,4,7,0,0,32,141,34,152,0,4,3,10,12,39,18,52,57,203,0,0,3,7,0,0,5,10,4,18,0,0,0,3,11,27,16,28,16,41,4,5,151,403
POA3325,72,135,0,0,7,19,0,3,21,107,31,125,0,0,6,16,5,20,12,36,44,158,0,0,0,0,0,0,7,10,7,10,0,0,0,0,7,10,7,10,13,17,0,7,124,319
POA3328,221,439,3,17,37,164,6,30,206,830,250,1046,26,107,26,96,66,203,115,405,368,1447,4,13,3,6,3,9,16,54,24,79,3,10,4,5,19,41,24,62,50,139,6,14,648,2037
POA3329,35,74,0,11,0,4,5,14,29,101,37,130,0,0,0,9,9,30,12,38,42,164,0,3,0,0,0,0,3,14,4,23,0,0,0,0,3,8,9,10,11,29,0,0,96,268
