POA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
POA3016,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,4,0,3,4,37,0,0,0,3,5,14,17,18,12,74,0,0,0,0,6,0,0,0,0,6,0,3,0,5,0,0,0,0,0,9,0,0,0,0,5,5,3,0,0,22,0,0,0,4,4,0,0,0,0,19,0,0,0,0,8,11,11,5,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,3,0,0,5,0,6,4,0,23,0,8,9,47,35,31,23,6,0,150,0,0,0,0,11,11,9,5,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,7,9,3,0,0,0,24,0,0,6,0,0,0,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,13,6,22,15,7,0,70
POA3018,0,0,0,0,0,0,0,0,0,0,0,5,0,24,11,6,3,6,0,43,0,0,0,12,5,16,20,16,13,77,0,0,0,8,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,14,0,0,0,4,5,0,0,0,0,15,0,0,0,3,0,0,3,0,0,14,0,0,0,0,3,10,38,49,16,121,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,8,3,0,4,4,0,28,0,8,5,85,31,20,10,4,0,161,0,0,0,4,4,13,6,5,0,29,0,0,0,4,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,4,13,4,0,0,0,0,31,0,4,0,0,4,0,3,0,5,17,0,0,0,0,3,0,0,0,0,0,0,0,0,10,7,17,18,6,4,68
POA3019,0,0,6,0,0,0,0,0,0,5,0,0,0,9,5,0,0,0,0,9,0,0,0,6,0,0,5,9,0,17,0,0,0,3,0,0,0,0,0,5,0,0,0,8,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,7,5,51,5,5,8,0,0,79,0,0,0,0,0,3,3,3,0,14,0,0,3,10,0,4,3,0,0,15,0,8,13,56,4,5,0,0,0,83,0,0,5,6,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,9,44,10,6,3,0,0,67,0,0,0,3,0,4,9,0,0,13,0,4,3,31,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,6,9,66,16,10,12,0,0,124,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7
POA3020,0,0,6,15,10,4,0,0,0,36,0,0,0,21,4,4,4,0,0,32,0,0,0,19,5,27,55,92,60,258,0,0,0,8,0,0,0,0,0,14,0,0,0,16,7,0,0,0,0,22,0,0,0,6,12,9,5,0,0,39,4,37,12,99,22,12,11,0,0,204,0,0,0,3,7,44,200,175,61,500,0,0,0,7,0,5,5,4,0,23,0,11,71,216,39,12,14,0,0,365,0,3,123,214,5,0,0,0,0,344,0,0,0,0,0,5,0,3,3,16,6,26,47,121,44,29,12,3,0,276,0,0,0,17,19,31,73,35,16,190,6,18,40,279,29,3,0,0,0,374,0,0,4,3,3,0,0,0,0,12,0,28,39,229,53,64,40,8,3,465,0,0,3,14,8,18,24,25,5,93,0,0,3,13,13,5,6,0,0,42,0,0,4,8,4,9,8,13,0,45
POA3021,3,83,46,113,25,29,9,0,0,309,0,3,0,9,0,0,0,5,0,17,0,0,4,9,11,40,85,38,29,212,0,0,0,3,0,0,0,0,0,9,0,0,3,3,0,0,3,0,0,13,7,0,7,25,27,24,21,3,3,123,4,47,11,45,9,11,8,0,0,141,0,0,0,4,8,93,335,230,45,718,0,0,0,8,0,3,6,0,0,24,0,18,87,205,61,22,7,0,0,393,3,0,77,126,6,4,0,0,0,221,0,0,0,0,0,0,13,12,0,28,8,76,71,121,36,22,14,0,0,345,0,3,0,42,42,82,205,77,13,459,6,23,56,378,31,3,8,0,0,505,0,0,3,0,0,0,0,0,0,4,3,43,70,290,116,108,63,27,4,724,0,0,0,9,6,23,26,14,14,94,0,18,16,48,35,38,4,0,0,158,0,0,0,0,8,4,11,7,0,33
POA3022,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,6,6,7,0,0,0,5,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,5,13,17,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,5,15,6,3,0,0,0,31,0,0,0,0,0,0,0,4,0,6,0,0,4,15,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,20,0,0,0,3,0,0,4,4,0,12,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,3
POA3023,4,111,85,186,84,34,30,13,0,537,0,4,3,11,7,0,4,0,0,41,0,0,5,25,18,53,79,62,24,266,0,0,0,4,4,0,0,0,0,8,0,0,3,19,6,0,4,0,0,35,0,3,0,29,21,17,12,3,0,79,0,35,24,96,33,17,12,5,0,222,0,0,3,22,28,74,195,136,22,495,0,0,4,17,6,6,8,0,0,39,0,16,37,132,35,6,0,0,0,226,0,0,11,50,7,5,0,0,0,74,0,0,0,0,3,7,3,3,0,25,5,78,163,223,61,59,8,4,0,610,0,0,9,94,77,90,98,33,3,407,4,60,38,338,52,23,20,5,0,534,0,0,0,0,0,0,0,0,0,4,0,34,155,405,321,262,143,33,3,1346,0,0,0,19,18,33,24,12,3,118,0,3,19,35,30,18,12,0,0,118,0,0,0,12,11,8,7,7,3,51
POA3024,0,0,3,0,6,3,0,0,0,13,0,0,0,13,7,4,4,0,0,27,0,0,3,0,6,13,11,5,10,47,0,3,5,0,0,0,0,0,0,8,0,0,5,9,4,0,0,0,0,18,0,4,0,10,3,3,0,0,0,18,3,8,9,35,11,9,5,0,0,77,0,0,0,3,7,6,30,4,4,62,0,0,3,20,6,7,0,0,0,37,0,0,28,148,53,39,23,9,0,302,0,0,5,57,0,0,0,0,0,63,0,0,0,0,0,3,4,0,0,9,14,81,93,195,53,32,14,7,0,483,0,0,0,4,9,0,3,0,0,17,6,24,10,117,11,3,0,0,0,176,0,0,0,0,3,0,0,0,0,6,0,16,65,135,79,31,15,0,0,342,0,0,0,9,0,8,3,0,0,20,0,0,0,10,8,3,4,0,0,32,0,0,5,6,8,19,9,3,4,65
POA3025,0,0,0,0,4,0,0,0,0,8,0,0,0,33,4,0,0,4,0,37,0,3,0,6,5,16,39,70,53,192,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,4,13,105,68,34,28,7,0,262,0,0,0,20,0,6,0,0,0,28,0,0,0,3,0,6,10,42,25,84,0,0,0,4,0,0,0,0,0,3,0,0,0,4,3,4,0,0,0,11,0,0,0,8,0,0,0,0,0,6,0,0,0,3,4,0,3,0,0,9,0,9,11,58,27,10,12,0,0,121,0,0,0,0,7,12,10,25,8,63,0,0,0,19,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,5,0,22,8,7,0,0,0,35,0,0,0,12,0,0,3,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,6,0,3,18
POA3026,0,7,6,17,0,4,4,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,9,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,13,5,0,0,0,0,24,0,0,0,3,3,4,4,7,0,25,0,0,0,8,3,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,23,38,16,9,3,0,0,117,0,0,0,9,9,3,6,0,0,32,0,6,10,37,9,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,11,44,104,80,45,22,4,0,305,0,0,0,0,0,0,0,0,0,11,0,4,4,9,6,8,0,0,0,33,0,0,0,0,0,3,0,4,0,8
POA3027,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,5,3,0,0,0,12,0,0,0,3,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,21,0,0,0,13,0,0,0,0,0,23,0,0,15,49,5,7,0,3,0,84,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,6,20,7,0,0,0,0,31,0,0,0,0,0,0,0,0,0,4,0,21,30,81,12,12,4,0,0,165,0,0,0,3,0,0,3,0,0,12,0,12,25,52,10,0,4,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,9,51,27,15,0,0,0,113,0,0,0,4,3,0,0,0,0,12,0,0,4,7,3,11,0,0,0,20,0,0,0,8,0,0,0,0,0,9
POA3028,0,0,0,9,4,4,0,0,0,17,0,0,0,32,5,9,3,3,0,57,0,0,6,20,17,42,48,22,16,174,0,0,0,3,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,15,0,0,5,44,17,17,22,5,0,112,0,6,4,35,11,11,5,3,0,81,0,0,0,3,4,42,103,60,21,235,0,3,4,11,3,9,5,0,3,37,0,5,10,35,16,8,3,0,0,86,0,0,23,81,4,0,0,0,0,107,0,0,0,7,3,4,6,8,0,26,9,26,27,119,52,29,19,5,0,277,0,0,0,17,20,36,51,22,0,144,0,7,3,60,4,0,0,0,0,81,0,0,0,4,4,0,0,0,0,4,0,20,15,107,35,36,34,6,0,257,0,0,0,13,4,9,9,3,0,38,0,0,3,6,0,6,0,0,0,15,0,0,0,9,3,12,14,13,6,57
POA3029,0,7,4,35,27,7,9,5,0,91,0,4,6,23,11,7,12,4,0,63,0,9,6,26,26,86,84,75,25,340,0,7,0,12,8,0,0,0,0,23,0,0,3,47,12,5,7,0,0,82,7,12,21,258,68,59,19,4,0,454,6,53,50,169,50,33,27,10,0,395,0,0,4,11,17,51,109,58,0,250,0,0,11,64,23,13,12,5,0,124,0,8,87,259,84,23,24,6,0,504,0,8,41,323,35,8,3,3,0,428,0,0,0,8,3,4,12,9,0,43,72,443,435,751,212,154,44,17,4,2125,0,3,3,32,31,49,47,18,0,186,30,187,154,890,154,30,20,4,0,1465,0,0,5,11,8,3,0,0,0,28,9,99,252,772,374,238,100,17,0,1854,0,0,0,27,15,17,23,15,0,87,6,20,29,134,63,49,23,4,0,321,0,0,7,13,7,34,29,14,11,109
