POA_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
POA3177,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,11,7,48,13,14,4,3,17,11,3,120,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,33,98,48,32,42,16,45,36,9,358,0,0,4,0,0,0,3,0,0,6,12,4,29,6,9,7,13,4,8,89,18,14,45,13,14,4,43,18,4,179,24,9,250,42,20,18,88,62,22,536,0,0,9,0,0,0,4,6,0,26,0,0,10,6,0,6,9,0,0,34,0,0,10,0,0,0,3,0,0,22,0,0,16,3,0,0,21,15,13,70,104,192,432,123,96,66,250,160,50,1470,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,5,44,5,16,11,9,4,8,5,102,0,0,0,0,0,0,0,0,0,0
POA3178,0,0,0,0,0,0,0,0,0,8,26,97,3,0,7,3,0,4,0,134,194,321,42,16,63,18,9,5,11,688,0,9,0,0,0,4,0,0,0,23,43,59,7,9,8,8,0,4,0,129,13,18,0,0,4,4,0,0,0,39,453,902,164,68,191,112,62,59,28,2039,0,0,3,0,0,0,0,0,0,5,89,99,73,31,36,27,26,35,7,421,151,111,121,62,55,53,39,41,12,636,261,100,1114,83,99,95,164,177,44,2135,7,9,16,8,8,7,3,9,5,72,31,16,22,6,8,9,11,11,6,126,9,13,13,4,0,4,8,0,0,54,14,16,22,12,10,7,11,3,8,109,1307,1771,1591,299,483,349,337,355,117,6606,0,22,0,0,4,0,0,0,0,24,23,68,0,0,7,0,0,0,0,98,102,382,8,19,97,31,0,4,6,652,6,26,0,0,3,0,0,0,0,33
POA3179,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,21,27,67,7,3,14,6,0,3,0,126,0,0,0,0,0,0,0,0,0,3,6,11,5,0,0,0,0,0,0,20,0,6,0,0,0,0,0,0,0,4,82,153,31,20,37,30,10,21,7,376,0,0,0,0,0,0,0,0,0,0,12,15,13,0,12,3,4,5,0,70,26,19,20,12,16,4,4,10,0,110,48,18,181,15,17,12,41,36,5,377,0,0,5,0,0,0,3,0,0,8,0,3,3,0,3,4,3,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,4,0,0,13,201,307,277,54,94,66,73,81,13,1167,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,17,17,71,4,10,20,7,0,0,3,123,0,5,0,0,0,0,0,0,0,6
POA3180,0,0,0,0,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,23,37,90,6,0,14,6,6,4,0,169,3,5,0,0,0,0,0,0,0,6,8,9,5,3,0,0,0,0,0,32,6,3,0,0,0,0,0,0,0,7,94,207,46,31,42,17,22,19,5,477,0,0,0,0,0,0,0,0,0,0,14,20,15,10,7,9,7,0,0,78,35,12,31,11,14,10,14,7,0,134,45,19,230,21,21,18,41,37,11,440,0,0,0,0,3,0,3,0,0,17,3,8,0,0,0,4,4,0,0,17,0,0,0,0,0,0,0,0,0,10,3,3,3,0,0,3,4,0,0,19,255,392,342,75,107,64,97,86,19,1434,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,21,18,94,8,14,24,5,0,3,3,172,0,10,0,0,0,0,0,0,0,8
POA3181,4,6,0,0,6,0,0,0,0,11,20,100,4,0,0,0,0,0,0,128,194,438,19,16,53,22,6,11,9,770,4,7,0,0,0,0,0,0,0,15,37,89,5,3,11,4,0,0,5,155,16,26,4,3,7,0,0,0,0,58,598,1392,138,124,225,162,29,59,35,2763,6,0,0,0,0,0,0,0,0,4,54,61,30,21,19,18,8,8,0,228,66,80,63,52,37,37,12,25,3,376,100,56,270,50,36,53,14,45,4,629,8,11,0,5,3,6,3,3,0,36,6,8,7,0,10,9,3,4,0,49,10,18,0,4,0,4,0,6,0,43,14,25,11,7,0,3,0,8,19,80,1132,2311,551,293,411,320,86,166,81,5350,3,12,0,3,0,0,0,0,0,19,18,119,0,0,3,0,0,0,0,147,164,570,6,42,65,34,0,4,9,896,4,29,0,0,3,0,0,0,0,38
POA3182,4,0,0,0,0,0,4,0,0,5,13,143,0,3,3,0,0,0,0,163,213,510,48,35,62,33,18,17,15,945,6,16,0,0,0,0,0,0,3,29,43,106,9,5,8,3,0,0,0,179,15,22,4,6,0,0,0,0,0,51,489,1149,150,141,193,121,63,106,41,2447,0,0,6,0,0,0,0,0,0,14,58,88,44,24,18,16,7,20,6,282,98,86,86,64,53,25,22,35,8,469,100,72,432,73,41,44,35,74,15,893,7,14,3,12,0,6,5,6,0,52,12,18,13,7,3,12,7,3,0,85,8,22,10,0,0,0,3,0,4,55,19,19,8,12,4,4,7,12,24,110,1089,2257,808,385,392,272,171,278,116,5766,0,14,0,0,5,0,0,0,0,18,18,149,0,3,0,0,0,0,3,177,213,610,21,59,109,28,9,9,16,1064,9,24,0,3,4,0,0,0,0,39
POA3183,6,4,0,0,0,0,0,0,0,13,13,97,0,3,5,0,0,0,0,118,158,342,25,10,30,23,27,13,16,659,11,7,0,5,0,5,6,0,0,28,21,79,5,4,11,5,0,0,0,127,19,16,0,0,5,0,0,0,0,37,418,935,106,84,131,104,29,66,28,1902,0,0,0,0,0,0,0,0,0,0,46,67,32,16,22,15,7,10,5,226,53,71,74,42,25,18,9,24,3,317,83,54,273,44,38,42,27,41,8,601,4,4,4,7,4,3,3,0,0,31,7,11,8,3,0,10,7,9,0,60,11,14,9,5,0,9,0,3,3,47,8,22,7,6,6,3,3,8,10,77,854,1731,538,223,274,239,124,177,69,4240,7,18,0,0,0,0,0,0,0,22,16,107,0,0,9,0,0,0,0,129,131,463,19,41,71,23,6,8,6,766,5,22,0,0,4,0,0,0,0,31
POA3184,0,5,0,0,0,0,0,0,0,5,15,97,4,4,0,0,0,0,0,120,146,296,15,7,30,18,3,4,16,544,7,3,0,0,0,0,0,0,0,15,29,62,3,4,9,10,0,3,0,112,6,12,3,0,3,0,0,0,0,29,424,777,76,63,96,101,27,45,19,1627,0,0,0,0,0,0,0,0,0,0,47,56,23,14,14,15,7,4,4,178,71,50,29,27,21,13,8,17,4,248,84,35,255,32,29,32,19,42,18,544,6,3,0,8,0,10,0,0,0,26,10,18,6,6,0,7,0,0,0,45,9,10,3,0,0,0,0,0,0,28,10,22,6,0,0,9,0,5,4,59,847,1442,432,171,211,207,77,128,65,3579,3,14,0,0,0,0,0,0,0,17,21,113,0,0,0,0,0,0,0,139,144,462,6,28,52,17,0,0,12,721,7,22,0,0,4,0,0,0,0,46
POA3185,3,7,0,0,0,0,0,0,0,9,17,70,0,0,0,0,3,0,0,92,126,244,14,12,28,17,6,7,6,459,0,5,0,0,0,0,0,0,0,8,32,74,3,4,10,6,0,0,0,134,8,9,0,3,4,0,0,0,0,21,333,739,69,55,94,57,23,31,17,1410,0,0,0,0,0,0,0,0,0,0,29,63,21,10,4,10,0,0,0,141,40,35,39,16,21,10,8,4,4,167,60,21,163,33,20,26,23,29,12,372,4,0,0,7,0,6,5,0,0,22,9,6,8,5,0,3,0,0,0,37,5,3,4,0,0,0,0,4,3,16,8,8,5,0,0,8,5,5,7,39,677,1280,316,146,187,142,70,76,48,2939,4,3,0,0,0,0,0,0,0,13,9,67,0,0,0,0,0,0,0,82,103,322,8,14,56,8,0,6,14,529,4,10,0,0,0,0,0,0,0,14
POA3186,6,9,0,0,0,0,0,0,0,11,33,147,0,5,3,0,0,0,4,189,285,388,10,8,40,21,0,7,18,773,15,10,3,3,0,0,0,0,0,33,42,87,0,6,11,6,4,0,6,157,9,7,0,0,0,0,0,0,0,19,707,1068,58,57,114,103,23,30,27,2178,0,0,0,0,0,0,0,0,0,0,101,59,15,11,16,23,7,3,5,239,91,46,31,14,16,20,7,4,5,236,165,28,193,30,14,30,5,18,11,503,7,0,0,3,0,5,0,0,0,20,27,10,4,3,0,15,4,6,0,71,10,14,4,0,5,3,0,0,0,43,28,24,4,3,0,8,0,3,23,82,1521,1888,317,145,223,236,47,80,103,4563,6,8,0,0,0,5,0,0,0,18,12,107,0,0,4,0,0,0,3,129,217,366,3,20,54,15,0,0,5,686,11,21,0,0,0,0,0,0,0,37
POA3187,0,5,0,0,0,0,0,0,0,7,19,66,6,0,0,0,0,0,0,93,189,225,14,4,32,22,0,7,11,497,6,11,0,0,0,0,0,0,0,19,36,45,4,0,8,4,0,0,0,98,5,8,0,0,0,0,0,0,0,20,487,643,50,53,89,80,14,28,17,1458,0,0,0,0,0,0,0,0,0,0,68,56,21,11,13,19,9,3,5,199,59,58,19,10,16,22,0,4,3,195,84,30,190,29,13,28,24,28,8,421,3,0,0,4,0,3,0,0,0,15,9,3,0,5,0,6,6,4,0,41,11,10,0,0,0,9,0,0,0,38,15,5,9,0,4,6,0,3,5,48,1000,1173,315,120,175,193,53,74,56,3157,4,8,0,0,3,0,0,0,0,15,14,69,5,3,0,0,0,0,0,99,114,263,5,10,44,11,0,0,9,457,3,15,0,0,4,0,0,0,0,23
POA3188,3,0,0,0,0,0,0,0,0,7,27,74,0,4,6,0,0,0,0,100,244,241,7,10,31,18,3,0,4,561,3,21,0,0,0,5,4,0,0,30,32,65,4,6,5,0,3,6,0,124,17,19,0,7,4,0,0,0,0,36,590,744,70,50,120,69,16,33,13,1714,0,0,0,0,0,0,0,0,0,3,63,68,25,8,19,12,3,7,0,209,69,60,35,23,16,28,7,9,3,247,104,32,245,34,23,39,14,39,11,539,3,0,0,5,4,0,3,4,0,21,20,27,3,4,3,4,0,4,0,72,7,10,4,3,0,0,0,0,0,30,3,14,5,0,5,4,3,5,13,48,1193,1383,409,155,234,181,55,98,51,3749,4,5,0,0,0,0,0,0,0,10,12,84,0,5,4,0,0,0,0,106,159,332,5,18,36,12,0,4,11,568,7,25,0,3,0,0,0,0,0,41
POA3189,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,21,34,74,12,0,9,8,5,6,0,149,3,0,0,0,0,0,0,0,0,9,6,22,0,0,0,0,0,0,0,33,4,3,0,0,0,0,0,0,0,11,118,207,35,17,40,25,9,18,9,474,0,0,0,0,0,0,0,0,0,3,16,21,21,5,5,0,4,5,0,87,29,12,32,16,15,14,7,11,0,135,41,19,150,14,16,6,14,28,6,292,0,0,6,0,0,0,0,0,0,6,5,0,4,4,3,0,0,3,0,19,0,4,0,0,0,0,0,0,0,10,8,6,0,3,4,0,4,0,3,23,270,381,259,66,92,70,42,72,20,1271,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,18,26,109,0,14,21,3,0,3,0,179,0,9,0,0,0,0,0,0,0,14
POA3190,0,0,0,0,0,0,0,0,0,3,9,28,0,0,0,0,0,0,0,38,108,157,11,8,20,14,0,5,8,325,6,7,0,0,0,3,0,0,0,11,27,46,4,3,9,0,4,4,0,94,5,9,0,0,4,0,0,0,0,18,286,423,62,40,80,59,10,17,8,989,0,0,0,0,0,0,0,0,0,0,36,41,29,15,9,12,0,6,0,141,61,40,39,21,22,8,12,15,4,219,62,33,266,25,31,30,29,32,5,514,0,4,4,0,0,0,0,0,0,15,3,12,7,3,7,3,3,6,0,49,5,7,4,0,0,0,0,0,0,15,13,4,7,4,6,0,0,0,3,35,616,805,432,120,178,131,62,85,34,2462,0,8,0,0,0,0,0,0,0,11,6,32,0,0,0,0,0,0,0,41,77,202,6,20,43,10,0,5,5,357,0,15,0,0,0,0,0,0,0,17
POA3191,0,0,0,0,0,0,0,0,0,0,19,48,0,0,4,0,0,0,0,75,123,159,6,0,12,8,0,3,3,314,5,3,0,0,0,0,0,0,0,11,19,41,5,0,4,4,0,3,0,79,8,8,0,0,0,0,0,0,0,23,282,434,39,34,67,52,5,13,10,929,0,0,0,0,0,0,0,0,0,0,56,30,14,13,12,3,0,5,0,133,45,28,16,14,12,8,0,8,0,139,78,17,147,16,7,16,13,31,10,324,0,0,3,0,0,4,5,4,0,12,8,0,6,5,3,3,0,0,0,26,5,0,3,0,0,0,0,0,0,14,9,5,4,0,6,5,0,0,4,28,660,775,230,95,120,107,27,62,28,2104,5,9,0,0,0,0,0,0,0,9,9,39,0,0,3,0,0,0,0,54,95,176,3,12,29,3,0,0,3,330,4,14,0,0,0,0,0,0,0,21
POA3192,0,6,0,0,0,0,0,0,0,6,14,67,0,0,5,0,0,0,0,92,162,305,27,23,37,17,9,14,3,583,5,10,5,0,0,0,0,0,0,17,37,56,4,7,9,4,0,0,0,125,4,15,0,0,0,0,0,0,0,23,418,780,116,71,130,92,45,51,15,1716,0,3,0,0,0,0,0,0,0,4,82,75,52,24,26,13,8,9,4,302,91,71,88,43,39,36,29,19,10,421,152,56,584,60,75,70,67,93,17,1164,3,0,13,10,9,10,3,5,0,48,15,13,8,4,5,11,6,10,0,80,8,5,8,5,4,3,3,6,0,45,15,6,16,0,5,0,0,6,9,67,1013,1474,924,236,344,256,165,209,65,4688,4,14,0,0,3,0,0,0,0,21,10,60,0,0,4,0,0,0,0,84,105,380,14,34,81,23,3,3,8,639,3,18,0,6,0,0,0,0,0,25
POA3193,4,5,0,0,0,0,0,0,0,12,21,80,3,0,9,0,0,0,0,114,240,230,5,4,36,10,0,3,11,539,11,10,0,0,0,0,0,0,0,25,47,73,9,4,14,4,0,0,3,148,8,5,0,4,0,0,0,4,0,26,578,720,57,53,101,64,11,21,19,1624,0,0,3,0,0,0,0,0,0,3,100,80,22,11,27,14,4,10,5,274,84,59,34,27,19,25,8,13,8,267,198,37,283,26,22,44,26,45,15,695,5,5,5,0,3,0,0,3,0,27,13,10,8,7,5,10,0,3,0,58,10,19,3,3,0,0,0,0,0,40,22,7,3,0,3,4,0,4,18,57,1338,1338,436,138,229,192,54,98,79,3896,11,0,0,0,0,0,0,0,0,15,28,71,0,0,0,0,0,0,0,108,128,264,0,16,50,7,0,0,10,473,10,16,0,0,0,0,0,0,0,30
POA3194,0,11,0,0,0,0,0,0,0,13,7,38,0,0,0,0,3,0,0,56,76,153,13,3,20,8,4,3,4,281,0,7,0,0,0,0,0,0,0,5,22,37,5,6,8,0,0,0,0,72,3,9,0,0,0,0,0,0,0,17,258,433,59,51,76,38,25,15,12,960,0,0,0,0,0,0,0,0,0,4,47,43,30,14,14,13,0,6,0,165,55,46,35,29,30,21,5,4,6,229,109,28,296,43,25,33,50,52,9,656,3,3,3,3,0,6,5,8,0,31,7,9,4,5,5,4,3,5,0,47,4,6,3,0,0,0,0,0,0,19,3,5,8,0,3,8,6,4,8,51,604,814,459,159,185,135,108,95,40,2599,0,5,0,0,0,0,0,0,0,5,5,46,0,0,0,0,0,0,0,49,58,221,3,20,37,10,0,5,7,350,4,17,0,0,0,0,0,0,0,24
POA3195,3,10,0,0,0,0,0,0,0,10,8,94,0,0,5,0,0,0,0,107,247,338,15,16,45,21,0,11,0,699,6,20,0,0,0,0,0,0,0,34,53,114,10,9,9,4,0,3,3,210,15,17,4,7,8,0,0,0,0,49,678,1159,129,126,171,126,57,58,27,2534,0,0,0,0,0,0,0,0,0,3,136,104,87,42,29,37,17,24,6,481,170,132,121,65,52,51,28,33,9,663,357,109,1084,104,85,82,95,155,42,2103,13,5,10,5,3,3,13,11,0,64,29,35,15,11,14,14,10,15,0,142,10,15,3,9,0,0,0,6,4,47,30,20,23,10,9,12,7,5,17,137,1759,2168,1506,418,426,357,239,302,113,7276,3,18,0,0,0,0,0,0,0,25,16,109,0,5,4,0,0,0,0,131,171,539,19,31,81,19,3,3,8,877,8,28,0,0,0,0,0,0,0,38
POA3196,0,3,0,0,0,0,0,0,0,10,12,68,3,0,0,0,0,0,0,85,96,202,4,12,21,10,0,0,0,356,0,7,0,0,0,0,0,0,0,18,29,66,0,4,12,4,0,4,0,120,15,26,0,0,0,5,0,0,0,43,327,708,105,98,124,65,32,22,21,1487,3,0,0,0,0,0,0,0,0,5,63,69,41,27,17,19,13,18,8,278,112,83,95,55,53,35,18,35,11,512,228,87,1037,78,74,72,118,155,36,1882,7,8,7,6,3,11,0,8,0,48,27,21,21,14,4,9,4,10,0,101,3,12,3,4,0,0,0,6,0,36,8,14,13,0,7,4,8,9,7,72,926,1371,1340,304,315,228,199,270,82,5044,3,9,0,0,0,0,0,0,0,16,16,63,0,0,4,0,0,0,0,81,77,391,8,20,48,5,0,3,6,565,5,12,5,0,0,0,0,0,0,28
POA3197,0,4,0,0,0,0,0,0,0,4,11,17,0,0,0,0,0,0,0,25,46,57,10,0,7,4,3,0,0,125,3,4,0,0,0,0,0,0,0,4,10,15,0,0,6,0,0,3,0,38,6,9,0,3,5,0,0,0,0,18,137,248,33,26,31,41,14,18,13,550,0,0,0,0,0,0,0,0,0,0,42,39,25,17,13,12,6,4,0,148,47,47,28,20,11,13,8,15,0,194,190,45,515,30,27,49,61,61,24,989,4,3,5,0,0,0,3,3,0,20,16,4,3,0,0,6,3,8,0,47,6,5,5,3,0,0,0,0,0,17,9,7,9,6,6,5,0,5,14,51,508,516,631,104,101,134,99,112,49,2252,0,4,0,0,0,0,0,0,0,3,3,13,0,0,0,0,0,0,0,20,25,116,4,10,19,3,0,0,0,187,3,6,0,0,5,0,0,0,0,17
POA3198,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,29,44,69,4,6,12,3,0,5,0,144,4,9,0,0,0,0,0,0,0,15,14,27,5,6,4,5,0,0,0,56,0,6,0,0,3,0,5,0,0,15,145,275,53,42,52,38,21,22,13,655,0,0,0,3,0,0,0,0,0,5,37,37,32,19,16,12,9,10,4,164,56,46,72,32,25,20,24,15,3,288,118,55,747,54,37,48,104,146,24,1324,8,0,4,5,4,6,7,9,0,40,12,7,14,6,0,8,11,3,0,61,0,4,4,0,4,0,0,0,0,15,0,3,12,7,4,4,12,15,12,62,441,559,951,173,152,140,180,223,58,2876,0,7,0,0,0,0,0,0,0,6,4,18,0,0,0,0,0,0,0,25,37,165,4,17,17,11,0,6,0,250,0,4,0,0,0,0,0,0,0,3
POA3199,8,8,0,0,0,0,0,0,0,10,17,78,0,3,8,0,0,0,0,101,133,256,16,20,42,14,13,5,8,517,0,14,0,0,0,0,0,0,0,21,35,113,9,20,14,6,6,0,0,211,19,32,0,4,3,0,0,0,3,57,426,1008,166,149,141,99,51,78,23,2133,0,0,0,0,0,0,0,0,0,6,137,136,97,68,39,41,30,26,4,581,202,166,178,129,74,66,56,69,14,956,468,176,2095,181,136,168,301,394,79,3984,14,7,20,6,3,9,15,29,3,123,35,15,32,24,12,21,24,23,0,193,19,17,14,4,4,6,7,5,4,81,25,27,28,10,11,16,17,29,29,189,1539,2051,2668,626,473,445,532,668,165,9165,6,30,0,0,0,0,0,0,0,35,6,78,0,3,7,0,0,0,3,104,105,520,5,42,56,11,0,12,7,753,9,30,0,0,7,0,0,0,0,47
POA3200,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,16,30,13,8,4,4,3,13,0,90,0,0,0,0,0,0,0,0,0,0,9,8,7,3,5,0,3,3,0,40,7,5,9,13,5,5,0,3,0,55,27,6,188,15,14,11,60,65,0,386,0,0,3,0,0,3,8,4,0,20,0,0,4,0,0,0,5,5,0,22,0,0,3,0,0,0,0,3,0,11,0,0,7,0,5,4,6,3,0,31,67,69,232,43,37,23,96,96,6,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3
POA3201,0,6,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,17,29,72,9,12,10,7,10,10,3,155,0,0,0,0,0,0,0,0,0,0,3,23,3,4,3,4,0,0,0,47,3,4,0,0,4,0,0,0,0,11,73,214,60,42,52,33,41,26,8,540,0,0,0,0,0,0,0,0,0,3,33,25,46,13,21,10,16,18,4,189,57,50,87,44,37,27,38,40,8,387,164,65,1045,62,76,66,207,235,42,1968,4,4,16,3,7,10,8,7,0,65,11,9,12,10,8,7,16,12,4,94,0,5,10,0,0,0,11,6,0,31,8,10,21,7,5,3,17,15,14,106,387,489,1306,213,222,169,373,366,93,3616,0,6,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,14,31,122,3,23,20,8,0,3,5,216,0,8,0,0,0,0,0,0,0,12
