POA_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
POA3169,10,38,7,20,15,0,0,0,0,94,0,21,0,0,6,0,0,0,0,26,108,610,51,165,239,87,26,90,16,1389,0,0,0,8,0,0,0,0,0,11,11,37,13,34,48,13,3,13,7,185,18,38,25,120,81,21,7,25,3,340,17,13,44,155,54,17,13,24,4,346,0,3,0,6,10,0,0,3,0,30,4,3,4,18,25,6,3,14,0,83,0,8,0,8,9,8,0,5,3,42,0,9,9,10,13,7,3,8,16,74,247,1140,161,608,599,196,73,216,64,3301,4,12,6,0,0,0,0,0,0,18,13,96,0,0,0,0,0,3,0,117,131,591,76,76,168,92,78,101,21,1332,5,13,0,5,0,0,0,0,5,35,26,55,9,26,21,3,6,3,0,143,3,24,0,0,8,0,4,0,0,39,272,1137,195,215,393,158,139,203,35,2754,0,0,0,8,0,0,0,0,0,11
POA3170,18,83,0,33,14,8,0,0,0,156,7,27,0,0,6,4,0,0,0,45,174,674,34,134,249,70,9,34,22,1404,0,0,0,0,0,0,0,0,0,0,34,46,7,30,57,6,4,12,4,205,33,53,21,100,119,40,8,19,9,396,28,22,41,115,82,26,16,17,6,353,0,5,0,8,13,8,0,4,0,42,13,5,0,15,32,8,3,9,0,81,4,12,5,3,8,0,0,0,0,35,8,10,7,9,15,7,0,10,17,84,398,1240,143,490,665,187,45,120,74,3365,0,3,0,0,4,0,0,0,0,12,15,133,6,0,0,0,0,0,0,158,200,516,51,45,134,27,29,35,25,1063,4,17,0,6,3,10,0,4,0,37,37,123,6,38,20,8,3,0,0,239,19,33,3,0,7,3,0,0,0,70,421,1278,143,180,385,125,57,78,49,2723,0,0,0,0,0,0,0,0,0,3
POA3171,3,24,0,21,4,3,3,7,0,65,0,12,0,0,0,0,0,0,0,14,74,417,50,148,179,77,22,78,18,1059,0,0,0,0,0,0,0,0,0,0,12,15,4,25,25,12,0,17,0,122,15,23,38,109,55,35,19,49,7,350,11,9,34,133,33,36,17,46,8,325,7,0,0,7,3,10,0,7,3,36,3,6,3,16,14,10,4,13,0,67,6,4,0,3,4,4,0,11,0,34,3,9,6,19,5,6,5,23,17,85,160,697,156,536,383,209,76,278,58,2565,0,0,0,0,0,0,0,0,0,7,0,50,3,5,0,0,0,4,0,68,50,312,61,78,91,56,70,93,20,822,3,17,0,0,5,4,3,6,0,37,9,39,9,20,8,7,5,9,0,108,0,12,0,0,6,0,0,4,0,24,186,801,188,208,289,134,133,198,50,2189,0,0,3,0,0,0,6,4,5,16
POA3172,14,64,0,30,12,6,0,4,0,125,3,25,0,0,4,0,0,0,0,38,128,559,33,117,202,63,18,34,13,1153,0,0,0,4,0,0,0,0,0,7,32,40,16,44,62,19,0,17,0,239,45,46,29,115,98,38,6,31,3,421,44,14,58,151,111,47,18,33,7,490,0,5,4,12,21,3,4,10,0,58,3,5,7,24,33,14,8,13,0,100,3,9,0,0,4,4,0,0,0,23,3,10,8,17,20,10,4,13,13,100,326,935,157,541,621,216,67,155,45,3052,0,5,0,0,0,0,0,0,0,9,15,36,5,4,0,0,0,0,0,55,87,249,24,26,63,24,18,11,16,507,5,10,0,0,6,0,0,0,0,18,27,90,8,27,19,3,7,11,0,193,4,37,0,0,4,0,0,0,0,49,287,944,127,174,289,137,96,87,28,2173,0,0,7,4,0,0,0,0,0,8
POA3173,17,73,5,42,24,5,0,0,0,164,3,18,0,3,7,0,0,0,0,32,209,829,58,145,352,124,20,61,33,1832,0,0,0,0,0,0,0,0,0,3,32,36,23,37,83,19,4,19,3,257,48,55,31,166,128,52,12,41,6,535,42,28,79,183,99,59,16,49,9,575,12,6,9,8,20,11,9,10,0,76,7,4,7,19,26,17,4,11,0,98,9,13,6,4,7,5,0,3,0,56,5,20,10,20,23,7,5,9,28,121,458,1435,230,664,868,335,79,231,88,4392,7,10,0,0,0,0,0,0,0,20,17,115,4,5,0,0,0,0,0,137,189,521,54,53,145,57,34,37,17,1096,9,35,3,5,5,3,3,0,0,63,32,106,6,42,25,5,3,4,0,231,10,38,0,3,8,0,3,0,0,62,491,1540,221,204,518,220,128,160,60,3546,3,0,0,0,0,0,0,0,0,9
POA3174,10,62,3,69,18,8,4,7,0,178,0,20,0,3,8,0,0,0,0,34,128,695,59,276,318,108,32,153,28,1794,0,4,0,0,0,0,0,0,0,6,25,32,14,71,62,28,13,30,0,268,39,48,53,287,108,58,26,92,7,719,37,35,93,347,120,53,39,94,17,832,6,4,9,13,11,0,7,11,0,66,4,14,13,52,21,7,6,25,4,145,3,14,0,16,4,0,9,9,0,54,6,15,11,40,22,18,5,23,35,166,305,1251,300,1285,799,331,150,517,112,5051,4,9,0,0,5,0,0,0,0,19,13,101,8,6,5,0,0,3,4,133,112,553,104,148,154,78,134,149,32,1464,4,18,3,6,3,4,6,0,0,47,16,102,11,82,25,8,6,8,0,252,10,22,0,7,12,4,3,0,0,63,292,1340,267,388,509,201,251,351,58,3665,0,5,0,0,0,0,0,6,0,18
POA3175,14,73,6,62,23,6,3,4,0,195,5,28,0,0,8,0,0,0,0,49,170,821,88,285,354,134,27,154,37,2063,0,5,0,0,4,0,0,0,0,19,22,53,32,73,73,23,12,40,4,331,69,79,73,315,152,64,24,106,15,878,37,41,114,380,166,85,41,127,24,1021,8,0,0,16,31,18,8,26,3,101,6,13,13,66,37,13,3,35,0,186,3,12,4,15,8,5,3,6,5,62,10,20,15,42,24,14,10,34,31,185,408,1508,370,1379,1006,408,146,600,124,5949,0,17,0,0,6,0,0,0,0,21,13,89,8,0,3,3,0,0,0,127,157,633,97,142,201,85,125,152,25,1605,3,25,0,0,8,3,0,3,0,56,24,122,9,69,32,7,8,5,4,278,8,44,3,0,14,0,0,0,0,74,384,1490,351,404,569,221,279,366,74,4136,4,5,8,3,9,0,0,4,0,29
POA3177,5,19,0,21,0,0,0,0,0,39,3,5,0,0,0,0,0,0,0,4,25,135,12,69,65,22,18,39,3,388,0,0,0,0,0,0,0,0,0,3,0,6,9,14,18,3,8,3,4,58,9,23,13,58,27,15,7,16,0,172,9,10,24,98,34,30,8,40,0,259,0,3,0,0,0,0,0,5,0,18,4,0,3,8,0,8,6,6,0,29,0,0,0,0,0,0,0,5,0,11,0,3,0,9,0,6,0,10,13,38,56,247,67,294,174,83,45,139,23,1134,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,18,10,90,16,30,19,13,14,20,8,229,6,0,0,4,0,0,0,0,0,5,4,23,0,21,0,3,0,3,0,52,3,0,0,0,0,0,0,0,0,8,58,231,62,97,114,37,63,74,12,749,0,0,4,0,0,0,3,0,0,8
POA3178,28,128,4,50,29,4,0,0,3,245,11,40,0,0,7,0,0,0,0,54,288,1157,74,214,370,158,20,33,24,2334,0,0,0,3,0,0,0,0,0,3,53,120,16,78,129,37,13,21,6,457,81,91,43,224,209,71,11,26,11,765,74,56,128,245,242,95,20,51,12,919,8,8,5,17,30,7,3,6,6,87,11,8,3,25,66,18,4,12,0,161,8,20,0,4,16,5,0,5,0,54,11,13,6,21,40,20,5,13,9,141,705,2125,293,900,1253,441,75,176,84,6048,7,20,0,0,4,0,0,0,0,33,49,166,3,6,15,3,0,3,0,235,306,705,49,38,156,51,9,13,14,1344,8,39,3,0,6,4,0,0,0,58,73,179,9,60,36,9,0,4,3,370,27,52,0,0,14,3,0,3,0,97,743,2063,237,283,554,269,85,101,50,4377,0,0,0,3,0,0,0,0,0,6
POA3179,8,24,0,7,5,0,0,0,0,50,0,11,0,0,0,0,0,0,0,11,55,198,11,48,59,31,5,7,6,409,0,0,0,0,0,0,0,0,0,0,6,16,4,15,16,6,5,0,0,72,11,16,8,51,24,13,0,7,0,129,9,12,12,47,39,24,0,8,0,170,0,0,5,6,8,3,0,0,0,13,4,0,0,14,8,3,0,0,0,35,0,4,0,5,0,0,0,0,0,11,0,7,0,3,4,0,3,0,5,25,110,371,52,198,179,85,12,26,18,1065,0,0,0,0,0,0,0,0,0,3,0,30,4,0,0,0,0,0,0,32,41,134,16,13,32,11,0,5,3,249,0,4,0,0,0,0,0,0,0,10,13,36,5,7,11,0,0,0,0,77,0,14,0,0,0,0,0,0,0,15,133,345,43,60,95,56,18,30,13,786,0,0,0,0,3,0,0,0,0,3
POA3180,4,36,0,19,6,0,0,0,0,67,0,12,0,0,0,0,0,0,0,15,55,254,16,55,81,26,4,15,0,506,0,0,0,0,0,0,0,0,0,0,10,22,7,19,21,4,0,7,0,84,19,18,13,56,44,21,3,4,0,164,15,13,29,58,49,20,4,15,4,204,0,0,0,5,5,4,0,0,0,17,4,7,0,13,12,8,0,8,0,49,0,7,0,5,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,24,128,485,73,237,262,84,13,58,9,1348,0,0,0,0,0,0,0,0,0,4,7,36,0,0,0,0,0,0,0,45,54,187,11,13,40,12,6,10,3,340,3,9,0,0,0,0,0,0,0,16,13,47,5,21,9,3,0,0,0,99,6,14,0,0,0,0,0,0,0,24,147,462,61,83,125,45,28,35,5,986,0,0,0,0,0,0,0,0,0,0
POA3181,35,148,0,18,17,9,0,0,0,243,22,43,0,4,13,0,0,0,0,78,522,1448,61,171,356,160,12,37,22,2795,0,0,0,0,0,0,0,0,0,4,47,77,14,38,47,27,6,7,0,261,65,79,26,97,81,44,0,8,7,401,50,36,56,83,74,55,0,12,0,363,9,4,0,8,9,6,0,0,0,35,15,6,0,13,19,7,0,0,0,67,9,10,0,0,3,4,0,0,0,36,5,19,0,3,11,4,0,3,20,65,967,2588,169,481,711,352,22,72,74,5441,12,16,0,3,3,0,0,0,0,30,38,225,0,3,7,0,0,0,0,272,358,1002,27,56,124,54,8,17,21,1668,9,36,0,0,3,0,0,0,0,51,75,239,7,27,34,9,0,0,6,394,38,72,4,6,22,0,0,0,0,142,1123,2839,202,299,582,322,43,93,58,5559,6,0,3,3,0,0,0,0,0,9
POA3182,44,159,9,22,30,10,0,3,9,281,17,56,0,5,9,0,0,0,0,83,500,1292,83,264,335,142,14,49,26,2713,0,5,0,11,0,0,0,0,0,8,55,79,17,34,52,19,0,6,5,264,94,116,54,119,119,58,4,11,8,583,76,55,83,130,125,54,5,19,10,549,10,5,4,5,11,3,0,4,0,42,23,19,4,16,30,9,0,3,3,107,4,19,0,5,9,4,0,8,0,51,15,20,5,7,6,5,0,0,15,75,1067,2623,281,691,843,327,39,111,98,6070,3,15,0,0,8,0,4,0,0,26,30,290,4,3,8,4,0,5,3,342,429,1121,63,91,170,63,18,25,32,2011,14,38,0,5,0,0,0,6,3,67,91,269,16,29,39,16,0,3,10,463,26,78,4,8,6,6,0,0,6,135,991,2438,238,408,528,261,79,147,69,5162,0,9,6,8,0,3,0,0,0,24
POA3183,45,151,0,19,29,4,0,0,7,247,12,50,0,0,3,0,0,0,0,74,381,1072,54,187,264,108,6,41,24,2143,0,0,0,0,0,0,0,0,0,3,44,56,18,22,43,23,0,4,3,212,73,80,32,82,64,37,3,7,3,385,35,46,62,84,80,25,6,10,7,362,8,9,0,0,11,5,0,3,0,30,3,12,9,17,23,6,0,0,0,66,0,10,0,0,9,0,0,5,0,23,16,18,4,4,13,0,0,0,19,69,780,2110,191,475,604,223,26,91,70,4568,7,23,0,0,0,0,0,0,0,41,33,206,3,4,6,0,0,0,0,250,289,803,47,53,98,50,40,29,18,1428,17,28,0,5,4,3,6,0,0,63,69,223,5,23,38,5,3,5,7,374,26,72,0,0,5,0,0,0,0,112,804,2014,161,277,396,209,39,104,49,4047,0,0,0,0,0,0,0,0,0,3
POA3184,38,144,4,13,15,4,0,0,4,222,15,41,0,5,5,0,0,0,0,72,402,1075,60,166,235,105,3,13,20,2079,5,3,0,0,0,4,0,0,0,7,39,61,13,31,34,19,3,10,5,208,56,72,14,89,70,52,0,9,4,363,42,30,47,53,67,23,5,9,7,270,11,0,0,6,12,4,0,0,0,36,19,7,9,10,16,15,0,3,0,72,5,9,0,0,0,4,0,0,0,21,3,14,0,12,11,3,0,0,5,58,807,2068,154,421,527,249,20,40,51,4334,4,18,0,0,0,0,0,0,0,22,37,212,4,4,4,0,0,0,0,262,290,763,21,38,79,36,3,7,22,1263,12,31,5,0,4,0,0,0,0,59,64,200,7,16,23,12,0,3,4,327,22,57,3,10,12,0,0,0,0,100,827,1850,141,229,336,198,33,58,41,3710,5,3,0,4,0,4,0,0,0,11
POA3185,48,121,3,17,27,0,4,0,3,219,9,33,0,0,3,6,0,0,0,48,279,812,38,114,198,73,4,19,13,1555,0,0,0,0,0,0,0,0,0,0,34,41,3,27,36,17,0,6,6,161,36,60,15,56,44,23,4,7,3,239,20,32,35,62,58,19,0,10,3,233,5,0,3,0,10,3,0,0,0,24,7,9,0,7,12,7,0,0,0,42,0,12,0,4,6,4,0,0,0,26,0,14,3,10,8,3,0,0,9,49,563,1534,111,309,459,164,9,43,43,3237,7,8,0,0,4,0,0,0,0,17,28,139,0,0,0,0,3,0,0,177,236,567,21,26,83,26,6,6,20,989,4,16,0,0,0,0,0,0,0,25,84,190,11,15,37,10,5,0,5,352,16,37,0,3,7,6,0,0,0,68,616,1557,105,170,292,132,31,46,31,2972,0,0,0,0,0,0,0,0,0,5
POA3186,50,154,0,14,31,11,0,0,0,265,13,28,3,0,3,3,0,0,0,47,464,1036,34,118,286,119,0,14,31,2100,0,3,0,0,0,0,0,0,0,4,65,77,10,31,75,25,3,3,7,286,46,69,12,43,76,41,4,0,5,305,36,25,29,44,54,33,3,6,4,227,0,4,0,4,13,4,0,0,0,27,10,14,4,13,23,16,0,0,3,78,5,11,0,3,6,4,0,0,0,40,18,28,7,8,18,10,0,4,12,98,953,1944,95,299,658,277,13,25,79,4348,6,11,0,0,3,5,0,0,0,24,47,250,0,5,7,0,0,0,3,320,505,755,6,28,91,35,3,7,28,1461,23,34,3,3,0,0,0,0,0,69,91,237,0,17,45,14,4,5,7,421,19,37,3,5,3,3,0,0,0,69,1172,2101,87,168,405,219,22,42,64,4282,0,0,0,0,0,0,0,0,0,11
POA3187,40,99,0,18,13,9,0,0,4,177,4,18,0,0,0,0,0,0,0,29,337,728,23,76,226,70,0,14,13,1487,0,0,0,0,0,0,0,0,0,0,38,52,6,32,50,15,0,0,0,193,35,38,8,38,67,27,3,0,3,223,18,20,18,37,45,21,4,4,0,168,4,0,0,0,10,3,0,0,0,22,14,11,3,8,14,9,0,0,5,58,8,8,0,0,9,3,0,0,0,25,10,13,0,6,13,0,0,3,11,52,645,1350,61,230,489,163,10,26,52,3031,6,15,0,0,0,0,0,0,0,22,39,143,6,3,0,0,0,0,0,195,305,485,14,18,75,32,0,7,19,955,11,24,0,0,0,0,0,0,0,46,77,144,4,18,19,8,0,4,4,272,16,28,0,0,0,0,0,0,0,49,824,1371,71,123,315,147,15,34,38,2946,0,0,0,0,0,0,0,0,0,4
POA3188,37,140,0,16,21,6,0,0,0,216,18,38,0,0,8,0,0,0,0,67,379,814,22,103,222,91,0,13,26,1683,0,0,0,0,0,0,0,0,0,5,38,77,9,31,63,22,0,9,0,252,55,57,21,51,85,29,0,3,0,301,38,16,28,54,78,33,3,13,6,261,5,0,0,4,6,0,0,8,0,29,13,6,3,14,18,15,0,3,0,81,5,13,0,3,5,0,0,0,0,25,10,8,0,6,12,4,0,0,14,50,768,1620,105,312,567,218,14,49,55,3704,9,10,0,0,0,0,0,0,0,17,37,156,0,4,8,0,0,0,0,212,397,577,9,33,66,28,9,0,8,1134,17,47,0,3,0,5,4,0,0,70,65,207,4,21,29,7,4,6,0,340,31,55,0,3,7,3,0,0,0,110,977,1555,102,161,342,160,16,44,43,3400,0,0,0,0,0,0,0,0,0,3
POA3189,10,41,0,5,5,0,0,4,0,72,0,4,0,0,3,0,0,0,0,12,93,279,16,42,65,22,4,11,3,537,0,0,0,0,0,0,0,0,0,0,9,23,11,15,18,7,0,0,0,81,15,15,10,41,36,13,0,0,0,137,10,14,19,21,27,12,0,10,4,123,3,0,0,6,12,0,0,0,0,23,3,0,0,6,15,0,0,0,0,30,0,3,0,0,0,0,0,3,0,9,0,7,0,8,5,0,0,3,3,23,174,530,53,162,205,59,5,39,12,1255,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0,0,0,0,43,57,186,8,13,35,14,3,11,3,329,4,8,0,0,0,0,0,0,0,19,25,65,0,10,5,0,0,4,0,109,4,10,0,0,3,4,0,0,0,25,209,480,53,67,102,48,13,33,11,1013,0,0,0,0,0,0,0,0,0,3
POA3190,28,74,0,15,22,3,0,0,0,141,3,29,0,3,4,0,0,0,0,41,236,555,30,80,157,45,3,7,17,1137,0,0,0,0,0,0,0,0,0,4,24,43,10,31,40,11,5,3,0,174,44,38,15,62,71,25,3,3,0,268,28,26,32,75,62,20,3,16,5,262,4,0,0,10,9,4,0,5,0,25,5,14,4,12,14,4,0,4,0,62,6,9,0,0,0,0,0,0,0,19,0,6,0,8,3,6,0,0,5,29,458,1046,96,315,435,132,21,42,33,2587,0,10,0,0,0,0,0,0,0,16,14,61,0,0,3,0,0,0,0,78,191,359,13,26,59,18,3,4,8,682,9,20,0,0,3,3,0,0,0,25,50,120,6,16,33,3,4,4,3,232,13,39,0,3,10,0,0,0,0,62,525,977,91,119,234,107,15,28,29,2126,0,0,0,0,0,0,0,0,0,4
POA3191,26,66,0,20,10,3,0,0,0,135,8,13,5,0,7,3,0,0,0,36,232,472,21,55,111,51,3,3,9,958,0,0,0,0,0,0,0,0,0,0,23,51,4,25,40,9,0,0,0,156,21,42,17,34,35,19,0,6,3,166,18,16,18,30,44,20,0,6,0,153,0,3,3,0,3,4,0,0,0,16,9,0,7,3,18,5,0,0,0,48,4,4,0,0,7,0,0,0,0,7,6,13,0,7,14,4,0,4,5,48,462,930,70,180,308,121,7,22,33,2142,5,8,0,0,0,0,0,0,0,11,28,95,0,0,7,0,0,0,0,130,216,334,5,15,42,11,4,3,7,646,8,16,0,0,0,0,0,0,0,28,47,113,3,16,14,11,3,9,0,215,19,21,5,5,9,3,0,0,0,61,515,903,62,86,168,100,9,16,29,1887,0,0,0,0,0,0,0,0,0,3
POA3192,30,157,7,44,32,3,0,0,0,271,15,37,0,6,7,0,0,0,0,72,322,1006,58,186,283,113,12,29,29,2031,0,0,0,0,0,0,0,0,0,0,45,75,22,73,84,25,0,3,0,330,69,61,29,110,146,50,3,15,13,497,43,40,59,148,114,45,6,12,4,480,4,5,6,8,23,9,0,5,0,59,19,18,10,29,31,16,0,6,0,116,3,10,4,0,8,4,0,0,0,37,6,18,8,9,19,8,0,12,13,83,677,1890,204,659,837,301,27,88,67,4750,4,16,0,0,3,0,0,0,0,19,23,132,0,0,10,0,0,0,0,172,261,683,38,52,119,34,15,16,14,1230,8,25,5,6,5,0,0,0,0,45,69,212,10,51,40,8,0,0,0,393,23,50,3,6,8,0,0,0,0,92,736,1789,173,255,410,206,50,81,44,3747,0,3,0,0,0,0,0,0,0,4
POA3193,36,120,6,20,24,3,0,0,3,208,14,24,0,5,0,0,0,0,0,52,335,905,40,90,274,102,7,17,26,1789,0,0,0,0,0,0,0,0,0,3,45,94,9,26,61,28,0,6,3,272,55,55,15,59,93,33,3,3,5,318,34,21,38,51,65,35,0,5,0,247,7,5,5,5,16,5,0,0,0,32,16,9,5,13,37,24,4,0,0,102,8,12,0,0,8,0,0,0,0,33,7,19,3,14,20,12,0,0,18,86,737,1611,116,300,651,246,17,31,70,3769,12,4,0,0,0,0,0,0,0,20,47,154,7,0,6,0,0,0,3,219,363,491,14,19,87,20,0,3,13,1013,19,24,0,0,0,0,0,0,0,50,80,192,7,27,36,3,0,0,6,357,23,35,0,10,3,0,0,4,0,71,917,1628,92,140,377,161,18,36,43,3421,0,3,3,0,0,0,0,0,0,8
