POA_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
POA3016,0,0,0,0,0,0,0,0,0,0,328,1013,918,1055,856,877,586,227,52,5909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,4,0,8,5,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,4,3,7,0,5,5,0,0,31,0,0,0,0,0,9,14,15,4,36,0,0,0,0,3,5,3,5,0,14,4,32,31,77,106,99,52,28,13,433,0,0,0,0,0,0,0,0,0,3,0,0,0,8,6,0,3,0,0,10,0,0,0,11,7,0,5,4,0,35,0,0,0,0,3,14,19,10,7,56,0,0,0,0,0,0,0,0,0,8,0,5,0,26,3,0,0,7,0,51,0,0,3,0,3,0,0,0,0,9,0,0,4,3,10,4,0,0,0,17
POA3018,0,0,0,0,0,0,0,0,0,0,384,708,436,1168,679,497,337,174,60,4440,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,10,0,0,0,21,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,5,15,17,10,7,3,7,60,0,0,0,3,3,9,8,9,0,35,0,0,0,0,0,0,4,6,0,7,4,11,10,89,54,50,62,40,9,329,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,3,3,0,14,0,0,0,5,14,7,11,11,3,52,0,0,0,0,0,11,6,11,6,36,0,0,0,4,7,0,0,0,0,11,0,3,8,51,8,12,3,6,0,89,0,0,0,3,0,0,4,0,0,13,0,0,0,11,5,0,0,0,0,15
POA3019,0,0,0,19,0,0,0,0,0,19,252,415,333,595,123,96,66,31,16,1935,0,0,5,21,5,0,0,0,0,35,0,0,0,0,4,4,4,0,0,12,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,6,0,15,0,0,8,50,16,14,22,10,7,120,0,0,0,0,0,6,6,6,0,16,0,0,0,6,0,0,3,0,0,11,0,6,0,13,6,9,0,5,0,35,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,13,0,0,0,0,0,3,3,7,0,12,0,0,0,20,0,0,3,0,0,25,0,19,74,319,18,4,6,0,0,442,0,0,0,16,0,0,5,0,0,20,0,0,0,7,3,0,0,0,0,13
POA3020,0,6,25,125,30,3,0,0,0,185,1197,1911,1610,2745,1017,704,409,187,61,9836,0,4,16,82,5,3,0,0,0,117,0,0,0,13,9,10,4,3,4,41,0,0,0,7,6,0,0,0,0,18,0,0,0,5,9,18,7,5,0,43,0,0,0,7,3,0,3,0,0,13,0,0,0,11,16,15,16,10,0,75,0,5,33,119,39,50,27,15,4,291,0,0,0,8,11,21,23,44,8,119,0,3,8,7,0,3,5,9,4,42,0,6,0,56,23,52,30,19,8,206,0,0,5,19,12,9,6,5,0,60,0,0,0,8,6,0,0,0,0,11,0,0,0,0,3,4,20,25,5,58,0,0,3,10,12,29,52,99,44,253,0,0,0,39,0,5,5,3,0,58,6,38,146,755,39,30,28,11,5,1045,0,0,4,31,10,3,0,0,0,50,0,8,13,66,10,5,0,0,0,100
POA3021,0,5,13,37,3,0,3,0,0,62,1400,2354,1858,2620,773,608,454,139,18,10219,0,0,6,32,4,4,3,0,0,49,0,0,8,74,40,73,46,28,10,270,0,0,0,5,0,0,0,0,0,4,0,0,0,4,3,10,11,0,0,27,0,0,0,0,0,0,0,0,0,7,0,0,0,8,14,18,16,14,0,74,0,3,27,71,31,39,38,13,3,228,0,0,0,21,21,70,86,95,27,319,3,6,10,19,10,20,34,17,6,120,0,0,6,21,20,36,39,24,6,149,0,4,11,22,12,6,11,4,0,70,0,0,3,10,0,4,0,4,3,26,0,0,10,11,6,8,51,50,13,141,0,0,4,3,11,31,71,103,41,265,0,0,3,50,5,4,3,0,0,67,11,53,326,1017,78,39,27,15,3,1569,0,0,8,29,9,0,4,0,0,45,0,4,9,37,5,9,0,5,0,63
POA3022,0,0,0,11,0,0,0,0,0,17,87,124,93,243,108,62,35,15,4,764,0,0,0,6,0,0,6,0,0,8,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,15,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,5,5,0,4,3,0,21,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,5,4,22,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,0,0,0,0,9,0,0,10,54,0,4,0,0,0,71,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,14
POA3023,0,7,16,79,14,17,3,3,0,142,1930,4350,3227,4715,1852,847,427,165,64,17578,0,5,4,42,15,0,9,0,0,70,0,0,9,72,44,59,30,7,0,218,0,0,3,0,8,0,0,0,0,10,0,0,0,5,6,5,4,0,0,21,0,0,4,5,4,3,0,0,0,23,0,0,7,30,32,39,40,14,0,168,0,14,34,157,61,50,38,22,4,389,0,0,8,23,18,48,37,43,7,193,6,17,34,56,33,24,21,15,0,217,6,19,31,54,58,54,39,27,10,290,0,3,13,61,36,29,13,10,0,149,0,0,0,3,6,5,0,0,0,15,0,0,6,17,9,9,27,17,12,95,0,5,0,9,16,22,42,29,5,128,0,3,3,45,18,5,16,0,0,86,12,120,197,1093,281,100,77,23,9,1923,0,7,7,58,12,11,4,5,0,98,0,6,17,66,14,5,0,0,0,112
POA3024,0,0,0,12,0,0,0,0,0,11,1557,2183,1215,1960,814,564,318,104,28,8738,0,5,3,104,21,3,0,0,0,143,0,0,0,9,3,3,4,0,0,22,0,0,0,10,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,12,0,0,0,3,0,3,0,0,0,13,0,3,3,36,18,13,7,0,0,88,0,0,0,0,5,7,3,4,0,19,0,8,20,3,0,0,3,0,0,41,0,6,22,45,48,69,55,31,12,288,0,8,7,33,17,9,10,0,0,79,0,0,0,0,0,6,0,0,0,9,0,0,0,4,0,4,10,3,0,28,0,0,0,0,0,0,7,3,0,17,0,3,0,16,0,3,0,0,0,24,59,277,189,2310,185,61,57,14,0,3138,0,5,0,24,7,0,0,0,0,42,0,0,0,19,4,5,0,0,0,35
POA3025,0,0,0,6,7,0,0,0,0,8,489,675,453,1217,433,245,112,77,42,3752,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,11,0,0,0,13,3,0,0,0,0,14,0,0,0,3,0,0,4,0,0,6,0,0,0,5,5,3,0,0,0,6,0,0,0,11,0,0,4,0,0,8,0,0,3,11,3,6,0,0,0,30,0,0,0,5,5,5,13,17,10,49,0,0,0,3,0,0,0,0,0,12,0,6,8,44,21,12,14,11,3,122,0,0,0,5,0,3,0,0,0,3,0,0,3,4,0,0,0,0,0,12,0,0,0,10,6,0,4,8,0,29,0,3,0,0,0,15,37,61,33,154,0,3,0,5,3,5,3,0,0,17,0,3,8,93,11,3,4,6,0,128,0,0,4,36,4,0,0,0,0,46,0,0,0,8,4,3,0,0,0,17
POA3026,0,4,7,25,3,0,0,0,0,41,347,742,324,466,136,75,25,3,0,2124,0,0,0,8,0,0,0,0,0,10,0,0,0,20,5,6,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,8,6,8,10,0,0,26,0,0,0,19,3,5,3,6,4,41,0,0,0,4,0,5,0,0,0,12,0,0,4,4,0,0,0,0,0,8,0,0,0,10,7,6,4,5,0,30,0,0,0,13,5,4,3,0,0,25,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,9,0,0,0,15,0,0,0,0,0,16,0,16,30,193,34,9,3,4,0,286,0,0,0,18,9,0,0,0,0,27,0,0,0,0,0,0,0,0,0,4
POA3027,0,0,0,7,4,0,0,0,0,13,426,574,247,345,117,57,25,4,0,1790,0,0,5,12,8,7,0,0,0,38,0,0,0,3,3,0,0,0,0,13,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,11,0,4,22,159,28,37,25,0,0,279,0,0,0,3,0,0,0,0,0,4,0,0,3,5,0,0,0,0,0,6,0,8,4,20,18,5,3,0,0,54,0,0,0,8,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,3,0,0,5,0,4,0,10,6,3,0,0,0,21,14,37,140,795,104,24,20,7,0,1134,0,0,11,72,16,0,9,0,0,109,0,0,4,4,3,0,0,0,0,17
POA3028,0,0,0,0,0,0,0,0,0,0,829,1236,1157,2225,1060,935,464,147,43,8098,0,0,0,12,5,4,0,0,0,21,0,0,0,9,10,3,6,6,0,22,0,0,0,11,0,0,0,0,0,15,0,0,0,11,10,15,11,5,0,43,0,0,0,4,4,0,0,0,0,14,0,0,0,8,6,5,4,3,0,23,0,7,11,92,23,27,28,9,4,211,0,0,0,9,9,19,22,19,3,81,0,4,0,7,0,11,9,4,0,34,0,12,14,63,43,84,81,33,8,329,0,0,0,5,5,5,5,0,0,23,0,0,0,13,0,3,0,0,0,16,0,0,0,4,7,8,9,9,4,38,0,3,0,8,9,32,47,28,16,146,0,3,0,14,5,0,3,0,0,28,9,58,96,665,46,24,16,8,4,930,0,0,0,34,10,6,4,0,0,47,0,3,3,26,11,3,0,0,0,41
POA3029,0,6,7,82,11,10,3,0,3,123,5724,7941,3671,5279,2183,1757,1037,434,63,28094,4,50,60,492,163,27,18,3,0,811,0,0,0,28,13,19,6,10,0,72,0,0,6,20,5,0,0,0,0,31,0,0,0,9,10,6,4,0,0,35,0,6,4,8,8,8,0,0,0,41,0,0,3,20,29,31,27,10,5,123,5,30,75,407,112,114,79,6,0,829,0,0,0,11,11,25,21,28,0,95,0,12,35,20,9,17,6,10,0,112,4,39,39,104,100,171,129,86,20,701,0,10,20,129,65,38,25,3,0,295,0,7,0,12,5,0,4,0,0,24,0,0,5,8,14,14,37,20,3,102,0,0,0,13,12,32,27,26,4,119,5,4,6,71,14,26,14,0,0,131,164,896,2046,11136,1007,277,295,70,10,15884,0,12,20,126,46,10,16,3,0,236,4,11,6,79,17,10,5,0,0,128
