POA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA3016,118,83,198,6,9,14,0,0,0,0,0,0,0,4,6,1717,1187,2900,93,105,196,16,0,17,15,3,21,55,23,78,19,10,31,94,119,217,2133,1545,3684,10,18,23,0,0,0,11,12,20,16,12,24,0,4,8,8,8,16,45,50,97,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,5,12,11,27,64,62,129,7,17,22,0,0,0,0,0,0,15,17,27,1569,1857,3426,380,592,973,6,16,21,4168,4090,8257
POA3018,84,98,185,8,24,24,0,0,0,0,0,0,0,5,9,1674,1161,2834,64,90,156,15,0,15,11,0,19,37,18,51,14,11,23,43,63,103,1950,1468,3420,8,22,26,0,0,0,5,13,21,8,7,14,0,3,4,4,6,11,25,50,74,0,0,0,0,0,0,0,0,5,0,4,3,0,0,0,0,0,3,14,12,25,45,64,106,7,7,19,0,0,0,0,0,0,6,7,19,1054,1322,2373,283,483,763,14,17,33,3359,3355,6710
POA3019,57,36,92,43,49,89,0,0,0,0,3,3,21,12,28,1418,787,2207,72,154,223,16,0,16,16,0,19,18,8,28,10,3,16,22,26,47,1689,1076,2770,20,30,54,0,0,0,0,0,0,9,12,21,0,9,6,5,4,6,37,55,88,0,0,0,3,5,6,3,5,8,0,5,5,5,6,3,6,11,20,27,15,41,63,85,149,16,22,43,0,5,5,0,0,0,17,29,44,389,476,868,198,278,468,19,13,35,2391,1955,4341
POA3020,330,340,672,126,150,272,0,0,4,4,4,8,41,39,84,6481,3553,10031,356,546,901,86,3,88,57,8,71,66,23,88,68,32,97,95,118,209,7713,4815,12524,76,123,198,0,0,0,25,29,52,53,52,109,11,22,31,18,3,24,187,226,413,0,0,0,0,0,4,0,7,7,12,21,31,0,7,8,13,35,49,95,46,142,293,304,598,58,92,150,0,8,7,0,0,5,62,95,162,1669,1965,3634,754,1092,1853,84,44,133,10575,8323,18907
POA3021,387,519,901,42,75,122,0,0,0,0,8,8,54,29,83,7692,4364,12059,446,734,1174,131,0,130,30,0,35,31,6,36,78,39,114,59,100,157,8949,5881,14834,75,142,216,0,0,0,16,41,60,60,49,104,15,37,43,12,7,20,182,273,450,0,0,0,0,0,0,6,10,6,5,14,17,0,6,6,10,24,33,87,62,148,273,358,630,64,102,170,0,3,4,5,0,4,69,108,176,1083,1451,2533,790,1137,1931,84,58,144,11252,8998,20252
POA3022,15,19,34,5,4,11,0,0,0,0,0,0,8,5,10,469,270,738,16,25,46,11,0,6,0,0,0,5,0,9,7,0,7,6,6,16,544,333,876,5,8,12,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,10,13,22,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,5,3,5,16,21,39,6,3,11,0,0,0,0,0,0,6,7,8,133,169,297,49,78,126,7,0,7,755,599,1355
POA3023,233,245,479,47,108,161,0,0,4,3,3,5,47,29,76,9996,6648,16642,562,834,1394,159,0,160,30,0,33,23,6,32,91,62,157,75,86,161,11278,8031,19306,51,99,148,0,0,0,9,28,38,95,91,188,8,27,40,3,0,3,172,245,412,0,0,0,0,0,0,12,12,20,10,15,26,0,0,0,23,23,48,118,61,179,309,332,643,47,117,159,5,7,8,4,0,4,57,120,172,2756,3373,6129,1266,2028,3288,79,60,136,15736,13932,29670
POA3024,302,309,612,28,46,80,0,0,0,0,0,0,17,14,34,4659,3034,7702,309,382,688,71,0,70,25,3,28,20,6,25,59,18,70,38,54,93,5530,3874,9404,48,72,119,0,0,0,19,33,49,73,35,105,7,11,22,11,8,19,157,160,320,0,0,0,0,0,0,0,8,5,0,4,8,0,0,4,6,15,23,56,31,91,223,204,427,59,87,141,0,5,0,0,0,0,58,90,152,2117,1985,4108,633,977,1611,44,28,72,8608,7168,15772
POA3025,33,25,61,20,40,62,0,0,5,0,0,0,4,5,14,1653,982,2636,69,88,163,21,0,27,6,0,13,27,11,34,12,12,29,30,25,51,1890,1190,3078,14,24,35,0,0,0,0,0,0,17,14,24,0,0,3,0,0,5,31,36,68,0,0,0,7,4,12,5,0,3,3,0,4,0,3,3,12,10,20,24,6,30,66,52,122,6,16,23,0,0,0,0,0,0,6,16,25,726,941,1665,212,358,570,15,11,29,2917,2565,5482
POA3026,38,37,80,4,9,14,0,0,0,0,0,4,6,7,15,1417,942,2361,62,131,192,16,0,16,3,0,3,9,0,9,13,4,17,10,8,18,1585,1137,2726,11,7,18,0,0,0,0,4,8,15,15,29,0,3,10,0,4,4,26,28,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,20,8,31,44,42,96,11,15,27,0,0,0,0,0,0,11,18,23,376,444,821,140,229,363,6,6,15,2167,1871,4046
POA3027,91,111,204,9,4,19,0,0,0,0,0,0,14,10,18,1340,712,2056,70,100,164,19,0,19,10,0,12,7,3,7,16,9,24,19,21,34,1591,970,2559,13,22,36,0,0,0,0,0,7,27,9,28,0,3,9,7,0,4,46,37,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,21,13,44,77,55,130,21,35,56,0,0,0,4,0,6,24,33,61,914,815,1724,186,288,473,23,10,31,2803,2172,4976
POA3028,208,228,437,27,34,62,3,0,7,0,0,3,18,24,40,4194,2694,6887,208,289,494,48,0,46,33,0,38,34,7,37,33,25,52,41,57,102,4851,3360,8211,25,64,84,0,0,0,7,17,27,36,22,58,3,11,18,11,3,18,82,117,194,0,0,0,0,0,0,4,3,5,3,10,12,0,0,0,12,15,20,54,29,83,151,154,303,33,40,80,0,3,5,0,0,0,39,44,88,1300,1796,3090,621,919,1535,33,26,64,6996,6297,13291
POA3029,705,886,1601,95,221,315,9,0,13,7,4,12,132,145,284,20234,11385,31614,1098,1551,2649,454,5,458,105,10,112,89,23,106,309,106,417,115,231,347,23354,14564,37922,164,320,482,0,0,3,21,44,63,241,151,389,29,84,112,25,23,44,483,620,1101,0,0,0,0,0,0,10,9,19,15,33,42,3,11,13,30,49,77,265,113,379,773,787,1556,197,320,519,4,13,16,8,6,17,215,337,552,6139,6443,12584,2426,3344,5773,224,108,336,33133,25591,58728
POA3030,579,632,1214,72,153,223,0,0,5,3,5,6,69,70,134,16900,10972,27872,934,1367,2304,236,11,248,116,15,131,108,37,143,150,93,241,200,264,465,19368,13623,32987,170,193,366,0,0,0,24,37,62,210,113,324,23,68,91,23,12,34,450,421,871,0,0,0,0,0,0,15,12,26,17,31,45,4,4,9,35,50,84,173,111,278,659,577,1236,149,240,388,8,5,15,5,3,8,160,249,404,7886,8192,16075,2175,3562,5738,128,112,235,30372,26308,56670
POA3031,251,236,488,19,42,59,4,0,4,43,96,137,23,12,39,1394,1061,2459,53,110,162,14,0,14,28,12,39,238,130,362,16,21,42,146,199,340,2226,1912,4137,22,20,40,0,0,0,40,53,98,6,3,15,10,5,15,18,17,36,94,106,199,0,0,0,0,4,8,0,0,0,0,0,6,0,4,8,5,13,15,23,29,48,122,143,264,23,25,47,0,0,0,4,3,3,22,27,53,2101,2389,4491,449,756,1205,15,22,33,4942,5245,10189
POA3032,163,147,310,21,33,54,0,0,0,147,239,381,31,24,57,3666,2604,6273,162,268,440,34,0,28,53,5,52,161,68,226,34,21,51,145,157,296,4608,3566,8177,38,46,79,0,0,0,84,84,162,21,15,34,4,10,21,7,4,13,154,159,309,0,0,0,10,14,19,0,0,3,4,5,4,0,0,0,15,15,33,53,53,109,225,226,450,53,54,109,3,0,4,0,0,3,62,58,113,2920,3219,6140,763,1136,1902,24,26,55,8601,8235,16835
POA3033,39,31,69,14,12,28,0,0,4,0,0,0,3,0,4,2092,1393,3486,87,139,230,37,0,37,8,0,8,18,0,16,12,9,24,26,19,48,2337,1613,3955,18,14,34,0,0,0,0,0,0,12,12,23,0,4,0,0,0,0,33,31,59,0,0,0,0,6,4,5,0,5,0,10,10,0,0,0,4,15,16,23,15,39,62,58,121,11,10,21,0,0,0,0,0,0,16,10,27,870,1128,2000,302,545,853,17,19,33,3604,3383,6984
POA3034,24,29,53,12,17,31,0,0,0,3,8,12,6,4,11,1631,1093,2726,70,134,203,29,0,29,12,0,13,13,0,18,19,12,29,24,28,51,1843,1330,3175,16,13,27,0,0,0,0,0,4,13,10,22,0,0,0,0,0,0,35,24,51,0,0,0,6,3,9,3,0,4,0,4,7,0,0,0,8,13,20,14,14,29,59,49,109,7,6,17,0,0,0,0,0,0,11,9,16,653,799,1456,227,354,576,18,11,35,2816,2554,5368
POA3036,9,4,13,0,5,5,0,0,0,0,0,0,0,4,3,951,649,1600,29,47,75,13,0,11,0,0,0,7,0,9,3,4,13,8,8,15,1023,717,1746,0,0,3,0,0,0,0,0,0,3,8,14,3,0,4,0,0,0,10,14,17,0,0,0,0,4,4,0,0,0,0,7,7,0,0,0,0,9,9,7,8,9,14,22,39,0,6,0,0,0,0,0,0,0,4,6,4,299,471,768,142,233,373,8,7,15,1492,1457,2947
POA3037,275,289,560,26,44,72,3,0,4,0,3,3,28,11,36,8626,5728,14355,461,608,1072,193,0,200,34,0,33,15,5,21,83,39,122,38,76,111,9789,6813,16596,38,72,110,0,0,0,6,21,30,72,42,117,7,26,28,0,0,5,128,161,290,0,0,0,0,0,4,0,7,4,4,14,21,0,0,0,8,22,24,81,44,124,216,226,440,33,43,72,0,4,4,8,0,5,37,47,86,2138,3120,5262,1175,1747,2926,50,24,74,13406,11972,25376
POA3038,105,89,196,8,13,23,0,0,0,0,0,0,8,12,20,4460,3037,7498,214,297,507,82,3,81,19,0,20,5,0,8,28,20,53,27,32,59,4956,3501,8462,17,18,29,0,0,0,4,10,8,28,19,47,8,14,19,5,0,0,63,52,112,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,8,3,10,38,32,70,104,93,193,13,23,34,5,0,5,0,0,0,16,23,37,1246,1628,2878,577,945,1522,25,24,52,6925,6216,13144
POA3039,188,187,374,20,16,35,0,0,0,78,119,196,7,13,19,1770,1281,3053,79,133,211,20,0,23,18,6,25,102,21,129,22,18,39,115,160,272,2415,1959,4369,17,23,45,0,0,0,39,55,97,4,9,12,0,10,9,8,5,10,77,90,170,0,0,0,6,8,16,3,0,3,3,0,3,0,0,0,15,12,22,23,11,35,117,115,231,17,7,27,0,4,4,3,0,3,21,15,37,1711,1926,3642,434,691,1122,16,13,25,4715,4721,9434
POA3040,196,201,397,29,29,56,0,3,3,69,107,177,13,17,30,3491,2556,6045,164,255,419,36,0,33,33,4,35,78,18,99,46,31,77,109,140,245,4257,3357,7615,29,39,61,0,0,0,26,40,67,23,16,43,3,3,9,5,0,7,85,102,186,0,0,0,3,14,15,0,3,4,3,5,8,0,3,0,10,23,32,36,29,65,129,156,285,33,30,57,0,0,0,3,0,3,42,27,71,2397,2809,5203,663,1099,1762,25,24,50,7509,7472,14985
POA3041,57,66,119,11,13,24,3,0,3,13,40,59,10,8,13,1846,1307,3158,72,114,186,19,0,20,12,0,12,26,7,30,24,18,43,33,46,80,2125,1620,3744,4,7,6,0,0,0,9,14,23,14,6,22,6,8,15,0,0,6,31,37,68,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,19,11,24,52,45,95,6,3,13,0,0,0,0,0,0,6,9,18,1040,1239,2278,325,524,851,8,10,20,3561,3444,7002
POA3042,49,41,87,14,14,31,0,4,3,14,30,46,6,7,14,2568,1680,4246,125,151,277,35,0,37,21,0,24,27,3,36,25,6,31,45,53,94,2930,1982,4919,10,12,19,0,0,0,22,13,30,17,12,26,0,3,4,0,0,0,41,36,77,0,0,0,10,0,14,5,4,7,0,0,0,0,0,0,6,11,18,34,16,45,80,61,144,4,14,16,0,0,5,3,3,6,13,16,28,955,1408,2365,360,685,1050,16,9,27,4358,4172,8531
POA3043,34,23,57,26,38,64,0,0,0,6,14,21,7,14,16,2753,1811,4561,137,174,307,41,0,41,16,0,16,19,0,24,24,15,40,44,28,69,3110,2110,5222,11,9,15,0,0,0,0,4,4,16,15,33,0,0,3,0,0,0,25,24,51,0,0,0,3,3,4,0,0,7,0,3,6,0,0,0,6,5,16,30,13,49,66,49,111,15,9,25,0,4,4,0,0,0,15,13,27,701,975,1679,345,618,963,17,11,31,4256,3772,8026
POA3044,215,218,431,18,31,51,4,0,5,47,68,114,13,15,24,3801,2625,6432,188,245,435,44,0,42,40,7,50,85,41,132,31,18,52,47,74,122,4539,3350,7891,31,37,67,0,0,0,25,31,54,16,16,39,0,15,13,10,7,18,79,106,184,0,0,0,21,17,35,9,3,5,0,6,6,0,0,0,28,24,46,42,33,74,144,157,308,22,19,44,0,0,0,3,0,10,26,22,55,2359,2921,5283,707,1094,1797,31,30,63,7810,7582,15393
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA3046,500,515,1017,35,45,87,0,0,0,3,13,22,43,27,73,4976,2902,7881,222,309,525,77,0,79,56,6,60,70,19,83,54,30,87,64,126,186,6104,3998,10097,91,91,185,0,0,0,49,49,98,54,24,73,6,21,28,13,9,22,208,192,399,0,0,0,3,5,12,15,4,14,6,7,9,0,3,4,19,26,45,47,26,72,278,240,516,57,64,124,5,4,12,3,0,0,66,69,135,2173,2557,4725,758,1220,1975,59,27,87,9426,8108,17533
POA3047,170,135,309,48,52,104,0,0,0,0,3,3,36,12,45,2588,1163,3750,153,194,346,57,0,57,20,0,20,23,3,24,21,18,42,38,55,93,3165,1627,4789,35,37,72,0,0,0,13,16,31,18,12,24,4,9,11,10,0,10,75,74,147,0,0,0,5,0,4,5,0,3,4,3,12,3,4,4,14,9,28,37,17,59,128,108,235,20,27,50,0,3,4,0,0,0,23,30,55,354,394,747,328,312,641,44,17,65,4043,2490,6531
POA3048,77,50,133,23,20,43,0,0,0,0,0,0,13,3,19,2196,1235,3427,108,136,239,69,0,64,8,0,8,3,0,10,26,10,36,13,15,25,2535,1468,4004,13,16,33,0,0,0,3,0,3,11,7,17,3,0,6,0,0,3,34,24,57,0,0,0,0,0,0,0,0,0,0,4,4,0,3,6,3,5,12,17,12,29,54,43,97,10,13,18,0,0,0,0,0,0,15,12,25,271,389,661,212,269,480,32,16,48,3116,2196,5313
POA3049,29,25,50,7,9,12,0,0,0,0,0,0,8,0,7,1614,1163,2781,92,62,156,24,0,25,10,0,8,3,0,3,21,3,28,18,12,26,1823,1282,3104,4,8,16,0,0,0,0,0,0,6,7,12,0,4,4,0,0,0,12,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,14,8,24,30,27,57,0,11,10,0,4,3,0,0,0,6,18,17,377,591,963,198,348,545,9,10,21,2438,2268,4710
POA3051,76,79,151,15,20,40,0,0,0,209,275,478,21,24,40,934,602,1534,30,90,115,7,0,7,33,4,36,186,105,293,14,14,31,452,557,1009,1972,1773,3742,10,13,20,0,0,0,41,61,98,6,7,10,0,3,3,8,0,10,61,90,149,0,0,0,11,11,25,0,0,0,0,0,0,0,0,5,15,11,24,53,45,103,127,150,279,21,22,36,0,0,0,0,0,4,24,19,43,1578,1665,3247,397,589,987,18,16,29,4116,4213,8321
POA3052,27,20,45,8,14,21,0,0,0,109,129,244,8,7,16,487,358,845,11,37,51,0,0,0,12,4,15,106,71,176,15,8,26,160,207,366,954,858,1814,4,0,10,0,0,0,18,21,40,0,3,4,0,0,0,4,0,4,25,31,52,0,0,0,12,13,23,0,0,0,0,0,0,0,0,0,13,12,24,25,16,40,57,61,118,12,13,22,0,0,0,0,0,3,13,18,28,679,679,1360,219,424,640,7,6,19,1934,2040,3980
POA3053,93,102,190,36,49,84,0,0,0,318,368,686,19,18,40,757,463,1217,36,56,97,0,0,0,46,6,54,181,100,281,22,16,39,509,626,1137,2018,1803,3823,18,16,36,0,0,0,57,70,128,8,4,9,0,0,5,14,9,15,91,100,188,0,0,0,18,17,38,0,0,0,0,0,5,0,0,7,25,24,45,50,38,88,163,163,323,42,60,102,3,0,5,6,3,12,60,63,118,1469,1574,3044,463,688,1155,17,12,34,4187,4310,8499
