POA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
POA3016,151,4,0,4,153,21,0,175,1066,119,15,0,1192,25,4,29,1226,53,0,1278,1142,124,20,5,1289,9,0,8,1294,33,0,1329,118,20,15,0,151,0,0,0,154,8,0,159,5,0,0,7,18,0,0,0,16,0,5,21,2337,258,46,11,2651,42,3,43,2696,92,5,2786,22,0,0,0,20,7,0,7,28,5,0,33,31,0,0,0,33,0,0,0,33,3,0,38,54,0,0,0,54,7,0,7,68,11,0,72,2393,263,40,11,2709,48,3,56,2761,93,5,2863,332,35,12,0,375,14,4,19,387,53,0,447,0,0,0,0,0,0,0,0,0,0,8,10,2721,292,51,16,3082,59,7,66,3154,150,15,3320
POA3018,66,0,0,0,66,9,0,74,703,68,13,0,787,3,10,8,798,36,0,833,733,122,14,0,871,4,3,8,877,24,4,900,119,13,11,0,147,0,0,0,147,5,0,151,4,4,0,10,13,0,0,0,13,0,7,18,1566,204,38,10,1818,8,9,13,1831,58,9,1896,17,0,0,0,19,0,0,0,19,0,0,16,22,3,0,0,30,0,0,0,29,0,0,29,40,13,0,0,44,0,0,0,47,0,0,50,1602,213,38,10,1864,7,9,16,1879,61,9,1944,303,53,16,0,367,9,0,6,378,39,0,423,0,0,0,0,0,0,0,0,0,0,3,4,1905,269,52,15,2232,14,8,23,2263,101,11,2374
POA3019,40,0,0,0,41,17,0,57,252,37,10,0,297,10,0,7,303,25,0,332,192,98,10,0,307,6,7,15,321,31,0,352,32,6,18,0,60,0,5,5,69,3,0,68,5,0,0,4,11,0,0,0,11,6,0,10,486,145,43,7,679,14,13,25,699,60,0,763,23,4,0,0,25,0,0,0,24,3,0,32,17,7,8,4,29,4,0,4,34,6,0,37,33,12,8,4,56,4,0,4,56,12,0,72,522,154,46,7,729,17,13,31,763,70,0,832,264,76,21,5,370,0,7,11,375,117,17,507,6,0,0,0,6,0,0,0,6,0,8,6,787,234,63,17,1102,22,19,41,1142,189,21,1350
POA3020,189,10,0,11,203,77,0,283,1122,210,25,15,1365,19,0,22,1390,134,0,1525,1222,368,34,8,1635,35,8,48,1680,205,8,1895,232,39,36,0,312,0,0,0,311,22,0,336,17,6,0,23,46,0,3,3,54,10,6,60,2600,622,93,50,3361,60,17,75,3435,374,10,3816,45,27,0,0,77,25,0,30,105,15,0,124,57,23,6,0,89,10,27,35,129,31,0,154,102,52,6,0,168,41,28,65,236,47,0,283,2705,675,99,49,3526,101,38,139,3668,422,15,4099,1222,459,45,50,1770,98,22,119,1888,534,25,2446,16,7,0,12,30,0,0,0,30,3,37,74,3935,1131,147,113,5330,199,62,260,5588,954,75,6618
POA3021,237,14,5,20,253,110,0,372,1083,185,34,17,1320,40,17,55,1375,158,0,1528,1166,397,40,19,1622,45,18,63,1685,242,9,1939,147,37,25,12,218,4,4,9,227,15,0,244,22,7,0,48,76,0,0,0,76,11,22,103,2420,623,104,93,3234,86,40,124,3359,424,28,3817,73,31,0,3,110,37,7,44,159,23,0,185,109,51,4,5,169,28,14,40,207,44,0,257,184,78,9,11,286,64,21,80,373,69,0,443,2605,701,114,106,3523,150,58,208,3727,495,34,4257,1708,682,70,119,2584,98,46,143,2725,1063,28,3811,23,6,0,19,46,0,0,0,49,16,58,126,4338,1393,188,235,6151,245,102,351,6501,1572,121,8197
POA3022,5,0,0,0,5,0,0,10,89,14,0,0,105,5,0,9,109,3,0,120,72,19,3,5,98,0,3,5,98,6,0,110,15,0,3,0,25,0,0,0,25,0,0,25,0,5,0,0,4,0,0,0,4,0,0,5,183,36,8,5,224,8,6,13,237,10,0,254,3,0,0,0,3,5,0,5,9,0,0,9,11,0,0,0,12,0,0,0,13,0,0,20,16,0,0,0,15,5,0,3,19,0,0,26,193,33,8,6,242,9,8,17,254,12,0,273,78,26,0,0,108,4,0,4,112,38,4,156,0,0,0,5,5,0,0,0,5,0,0,4,270,66,10,10,350,16,8,25,372,52,8,433
POA3023,516,17,8,26,537,105,0,646,3494,451,76,26,4045,83,32,118,4160,249,11,4416,3377,691,79,28,4177,72,28,103,4284,261,9,4547,457,63,61,8,596,7,0,7,604,28,3,634,49,0,3,86,143,7,3,10,160,5,11,176,7382,1209,225,146,8961,177,62,243,9207,544,31,9780,116,32,6,13,169,55,3,60,229,17,0,244,183,64,3,6,259,33,10,42,304,30,0,335,301,101,14,17,425,87,11,106,534,45,0,580,7677,1309,236,164,9387,266,79,346,9740,593,31,10359,2501,790,113,104,3505,129,35,168,3678,863,22,4555,31,0,0,45,80,0,0,0,80,9,74,158,10207,2099,347,318,12978,398,116,514,13489,1460,127,15071
POA3024,129,6,0,5,135,28,0,161,2017,199,47,16,2277,48,9,56,2334,103,3,2442,1639,318,51,7,2011,31,20,46,2061,105,4,2170,254,32,39,0,318,4,0,4,321,17,0,342,32,4,0,32,74,3,0,3,80,5,10,93,3945,548,134,54,4683,85,25,115,4793,233,12,5046,188,28,0,3,222,17,4,22,244,20,0,263,168,39,4,5,212,8,0,9,220,3,0,221,355,64,3,10,429,23,4,30,460,22,0,488,4301,614,137,62,5115,111,28,142,5257,259,17,5531,1652,341,59,60,2102,73,18,97,2203,319,19,2538,13,0,0,40,52,0,0,0,52,4,34,87,5964,957,192,163,7271,187,53,240,7513,587,70,8167
POA3025,41,5,0,5,45,13,0,60,450,63,9,0,524,12,0,12,533,25,0,556,598,105,6,3,714,10,0,10,723,20,0,739,123,16,20,0,163,0,0,0,163,0,0,163,7,0,0,14,16,4,0,4,21,0,3,21,1180,178,36,22,1421,26,0,26,1441,40,3,1488,14,3,0,3,24,3,0,3,21,0,0,26,28,11,0,0,37,0,0,0,37,0,3,44,42,15,0,3,60,3,0,3,62,3,3,67,1217,197,36,27,1477,32,0,32,1507,49,3,1557,362,178,21,28,588,22,9,23,613,182,3,805,0,3,0,0,5,0,0,0,5,7,7,19,1589,376,66,50,2073,47,9,52,2127,231,18,2381
POA3026,68,0,0,0,69,17,0,83,656,73,18,7,749,7,3,11,760,66,3,828,520,130,16,0,665,12,0,12,677,53,0,729,88,7,4,0,101,0,0,0,101,4,0,111,4,0,0,12,15,0,6,6,21,0,0,23,1267,214,33,24,1539,19,10,27,1566,128,4,1696,23,3,0,0,27,12,0,12,36,4,0,36,16,0,0,0,16,8,0,8,27,0,0,27,43,9,0,0,47,21,0,21,64,4,0,66,1308,218,33,24,1582,38,10,50,1632,127,4,1762,418,122,38,7,587,26,0,26,609,88,16,713,10,0,0,15,16,0,0,0,16,0,17,34,1729,342,73,44,2190,58,10,70,2259,215,40,2511
POA3027,48,5,0,5,53,6,0,54,671,69,8,7,747,25,0,24,775,49,3,821,551,78,12,6,648,21,0,19,668,15,4,680,74,9,13,0,98,0,0,0,98,0,0,98,3,0,0,7,12,0,0,0,12,0,5,19,1295,156,34,20,1506,43,3,44,1552,61,8,1621,30,0,0,0,31,10,0,10,40,0,0,40,37,0,0,0,39,0,0,0,39,4,0,43,63,0,0,0,65,10,0,10,76,4,0,79,1357,155,39,26,1575,52,3,54,1631,67,8,1699,397,63,9,21,496,25,9,32,527,83,0,607,6,0,0,6,10,0,0,0,10,0,10,24,1759,219,49,55,2084,77,11,89,2170,143,19,2330
POA3028,117,3,0,3,120,17,0,143,989,144,24,4,1157,28,7,29,1191,70,3,1269,1156,182,37,8,1381,6,7,13,1393,94,5,1493,178,19,29,0,224,11,0,11,238,9,0,239,15,0,0,15,36,0,0,0,36,0,4,42,2338,349,90,30,2807,48,14,58,2862,176,5,3043,26,8,0,0,43,14,0,14,58,6,0,61,52,8,9,0,67,3,0,0,73,0,0,75,84,17,7,0,114,21,0,21,132,7,0,139,2422,370,97,30,2916,63,13,73,2989,178,5,3176,760,188,53,27,1033,54,11,59,1089,276,7,1368,0,3,0,14,11,0,0,0,11,0,18,28,3179,556,155,70,3959,115,20,134,4095,453,27,4575
POA3029,605,26,8,36,636,107,0,746,7172,1026,162,70,8434,194,68,263,8699,461,25,9182,6131,1608,131,72,7949,163,51,218,8164,468,17,8655,885,171,128,19,1206,30,0,36,1234,36,0,1268,147,22,11,178,363,4,0,4,363,31,25,426,14334,2824,441,346,17944,394,117,516,18463,999,70,19531,506,129,20,22,679,77,4,86,760,63,3,830,651,169,19,20,848,81,29,109,960,57,3,1017,1161,295,37,40,1530,155,30,191,1725,120,5,1852,15496,3118,477,388,19478,554,152,707,20186,1123,77,21384,6182,1873,274,317,8645,437,70,510,9156,1589,67,10809,104,30,9,168,301,6,0,6,308,19,178,514,21780,5022,753,872,28422,1001,221,1221,29646,2732,322,32706
POA3030,540,15,3,19,559,85,0,648,7504,762,138,46,8452,193,50,243,8700,409,7,9116,6479,1095,124,42,7738,117,25,143,7882,313,9,8196,862,124,128,14,1127,18,7,20,1150,35,4,1185,78,12,6,91,192,4,3,10,203,17,21,240,14926,1986,393,204,17511,328,89,419,17925,772,38,18738,392,76,4,10,474,57,3,62,534,42,3,582,508,96,4,15,633,33,14,48,678,27,8,718,901,173,4,22,1107,90,18,106,1214,72,14,1302,15830,2163,402,224,18614,416,107,522,19142,842,48,20036,5055,932,155,137,6276,217,28,239,6518,966,21,7507,48,16,0,77,146,0,0,0,147,5,83,232,20927,3118,554,439,25032,634,135,770,25805,1821,148,27772
POA3031,47,0,0,4,46,17,0,66,587,100,19,0,708,17,0,17,730,56,0,776,629,154,13,0,795,11,6,10,805,43,0,846,124,19,15,0,157,0,0,0,157,0,0,164,3,0,0,4,12,0,0,0,12,10,0,16,1340,272,43,9,1668,32,6,33,1702,99,3,1799,11,0,0,0,11,0,0,0,11,3,0,19,13,7,0,0,28,3,7,9,36,3,0,42,31,12,0,0,44,3,7,9,57,3,0,61,1372,288,43,9,1715,36,8,44,1752,105,3,1862,207,70,8,21,303,6,8,10,313,84,5,402,3,0,0,0,3,4,0,4,8,0,8,14,1578,363,50,27,2018,47,16,59,2076,186,15,2278
POA3032,179,4,0,7,184,23,0,203,1438,179,24,10,1656,26,5,28,1686,78,0,1759,1376,205,16,7,1602,36,12,47,1642,35,0,1683,218,35,41,0,294,3,0,3,295,7,0,305,9,0,3,20,28,0,0,0,28,0,0,28,3039,411,90,39,3576,58,17,76,3654,121,3,3775,23,10,8,0,35,4,0,6,47,0,0,47,37,14,0,0,53,3,5,8,60,7,0,65,57,28,5,0,90,11,4,15,107,7,0,111,3099,441,90,39,3667,71,27,94,3758,126,3,3887,548,130,32,15,724,20,10,32,753,114,7,883,0,0,0,7,5,0,0,0,5,0,16,18,3647,570,129,53,4398,92,32,126,4517,240,26,4786
POA3033,107,0,0,0,107,17,3,125,789,84,19,3,896,9,3,17,909,32,3,943,977,125,15,15,1137,17,6,22,1154,28,0,1176,112,15,6,4,137,0,0,0,142,15,0,153,15,0,0,4,20,0,0,0,20,0,0,18,1900,225,46,21,2191,21,11,36,2230,75,0,2301,26,0,4,0,22,0,0,0,22,0,0,22,32,13,0,0,44,0,6,6,42,8,0,50,51,13,4,0,68,0,6,6,73,8,0,76,1950,237,52,23,2261,21,11,34,2297,78,0,2379,412,43,12,4,475,3,4,0,478,67,3,548,0,0,0,7,13,0,0,0,13,0,5,16,2364,283,66,40,2749,27,16,43,2791,149,13,2947
