POA_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
POA3140,7523,..,..,..,..,7523,..,10,0,10,0,10,..,7,0,8,0,8,..,0,0,0,0,0,..,20,0,20,0,20,..,27,12,36,0,42,..,0,0,0,0,0,..,47,12,62,0,60,..,10,0,10,0,10,..,9,0,9,0,9,..,18,0,18,0,18,..,15,0,15,0,15,..,0,0,0,0,0,..,7,0,3,0,3,..,26,0,32,0,32,..,16,0,13,0,13,..,16,5,19,0,19,..,23,0,27,0,27,..,3,0,3,0,3,..,3,0,3,0,3,..,100,9,103,0,103,..,104,4,116,0,116,..,4,0,4,0,4,..,0,0,0,0,0,..,4,0,6,0,6,..,0,0,0,0,0,..,10,0,8,0,8,..,10,0,12,0,14,..,14,0,13,0,13,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14
POA3141,8395,..,..,..,..,8395,..,17,0,17,0,17,..,65,0,63,0,63,..,0,0,0,0,0,..,147,17,166,0,166,..,444,68,510,0,516,..,19,9,24,0,27,..,611,94,703,3,706,..,8,0,8,0,8,..,133,0,134,0,138,..,47,0,47,0,47,..,159,19,180,0,181,..,27,0,27,0,27,..,8,0,8,0,8,..,82,5,86,0,86,..,10,0,10,0,10,..,18,0,18,0,18,..,31,0,31,0,32,..,15,0,15,0,15,..,18,0,18,0,18,..,207,4,212,0,212,..,124,5,130,0,130,..,62,7,70,0,74,..,9,0,9,0,9,..,28,3,30,0,30,..,17,0,17,0,17,..,11,0,11,0,11,..,48,0,54,0,53,..,24,0,21,0,21,..,50,0,55,0,55,..,58,52,113,0,113,..,5,0,5,0,5,..,17,0,20,0,23,..,25
POA3142,4453,..,..,..,..,4453,..,3,0,3,0,3,..,20,0,23,0,23,..,0,0,0,0,0,..,78,3,81,0,81,..,291,47,339,0,342,..,4,0,8,0,8,..,373,57,426,5,431,..,9,0,9,0,9,..,35,0,35,5,39,..,16,0,16,0,19,..,98,6,100,0,100,..,0,0,0,0,0,..,11,0,11,0,11,..,34,0,36,0,36,..,4,0,4,0,4,..,17,0,19,0,19,..,9,0,7,0,7,..,7,0,7,0,5,..,12,0,12,0,12,..,89,3,90,0,90,..,43,0,51,0,51,..,18,3,20,0,25,..,0,0,0,0,0,..,7,0,7,0,11,..,5,0,5,0,5,..,4,0,4,0,4,..,24,0,27,0,27,..,15,0,15,0,15,..,12,0,12,0,12,..,20,0,27,0,27,..,0,0,0,0,0,..,12,0,15,0,14,..,6
POA3143,3319,..,..,..,..,3319,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,42,3,42,0,42,..,110,14,126,0,133,..,10,0,8,0,8,..,159,18,179,0,184,..,3,0,9,0,9,..,28,0,28,0,28,..,11,0,11,0,11,..,84,17,98,0,98,..,9,0,9,0,9,..,21,0,23,0,23,..,23,0,23,0,23,..,8,0,8,0,8,..,5,0,5,0,5,..,6,0,6,0,6,..,10,0,10,0,10,..,17,0,15,0,15,..,99,3,105,0,105,..,20,0,21,0,21,..,21,3,23,0,25,..,0,0,0,0,0,..,3,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,17,0,17,0,17,..,8,0,11,0,11,..,7,0,7,0,7,..,17,0,16,0,23,..,0,0,0,0,0,..,8,0,8,0,8,..,3
POA3144,4101,..,..,..,..,4101,..,3,0,3,0,3,..,14,0,12,0,12,..,0,0,0,0,0,..,53,0,56,3,58,..,125,13,140,0,140,..,8,0,9,0,9,..,183,21,205,3,205,..,9,0,9,0,9,..,19,0,19,0,19,..,19,0,14,0,20,..,132,23,152,0,152,..,5,0,5,0,5,..,19,0,22,0,22,..,33,0,33,0,33,..,6,0,6,0,6,..,17,0,15,0,15,..,8,0,8,0,8,..,0,0,0,0,0,..,4,0,4,0,4,..,79,3,85,0,85,..,38,3,42,0,42,..,12,4,18,0,18,..,4,0,4,0,4,..,13,0,13,0,13,..,4,0,4,0,4,..,11,0,11,0,11,..,6,3,10,0,10,..,7,0,7,0,7,..,11,0,11,0,7,..,19,0,13,0,13,..,0,0,0,0,0,..,3,0,3,0,8,..,12
POA3145,8324,..,..,..,..,8324,..,7,0,7,0,7,..,11,0,11,0,11,..,0,0,0,0,0,..,130,22,155,3,155,..,486,118,605,4,609,..,23,11,25,0,25,..,641,146,787,5,794,..,12,0,10,0,10,..,33,0,33,0,38,..,31,0,31,0,31,..,479,79,559,5,560,..,32,0,32,0,32,..,48,3,55,0,55,..,125,0,124,4,127,..,59,0,56,0,56,..,21,0,21,0,21,..,66,0,74,0,74,..,11,0,11,0,11,..,23,0,24,0,29,..,392,3,397,4,403,..,108,5,114,0,114,..,30,0,34,0,33,..,4,0,4,0,4,..,39,6,46,0,48,..,7,0,7,0,7,..,18,0,21,0,21,..,21,0,21,0,21,..,21,0,22,0,22,..,23,0,23,0,23,..,35,4,39,0,39,..,0,0,0,0,0,..,12,0,12,0,12,..,19
POA3146,9677,..,..,..,..,9677,..,18,0,22,0,22,..,46,0,47,0,47,..,0,0,0,0,0,..,153,7,163,0,163,..,541,126,665,3,668,..,34,3,37,0,37,..,728,134,865,6,872,..,13,0,13,0,13,..,44,0,49,0,49,..,38,0,43,0,39,..,289,45,336,0,340,..,17,0,17,0,17,..,73,3,78,0,81,..,128,0,128,0,128,..,43,0,43,0,43,..,23,0,23,0,28,..,35,0,35,0,35,..,12,0,12,0,12,..,17,0,17,0,17,..,358,3,359,5,359,..,97,3,101,0,100,..,28,0,28,0,28,..,8,4,10,0,10,..,30,5,31,0,31,..,4,0,9,0,9,..,18,0,18,0,18,..,31,4,32,0,32,..,15,0,17,0,18,..,16,0,16,0,16,..,30,0,34,0,34,..,0,0,0,0,0,..,19,3,23,0,23,..,10
POA3147,5126,..,..,..,..,5126,..,0,0,0,0,0,..,21,3,26,0,26,..,4,0,4,0,4,..,150,44,195,6,193,..,482,142,625,4,630,..,17,14,35,0,35,..,657,198,851,3,858,..,12,3,17,0,17,..,28,0,28,0,28,..,23,0,23,0,23,..,174,23,200,4,196,..,15,0,15,0,15,..,10,0,13,0,13,..,67,0,69,0,69,..,10,0,10,0,10,..,21,0,20,0,20,..,89,0,88,0,88,..,16,0,16,0,16,..,14,0,12,0,12,..,239,9,241,0,241,..,62,4,61,0,65,..,17,0,21,0,17,..,3,0,3,0,3,..,41,15,54,0,54,..,6,0,6,0,6,..,15,0,15,0,15,..,23,3,34,0,34,..,25,0,24,0,24,..,11,0,8,0,12,..,33,9,38,0,38,..,0,0,0,0,0,..,12,0,19,0,19,..,11
POA3148,2288,..,..,..,..,2288,..,0,0,0,0,0,..,31,0,36,0,34,..,0,0,0,0,0,..,120,35,152,0,155,..,346,109,446,0,455,..,15,4,15,0,15,..,476,144,617,5,618,..,7,0,7,0,7,..,13,0,13,0,13,..,15,0,19,0,19,..,236,62,302,0,296,..,9,0,9,0,9,..,39,0,46,0,46,..,107,0,110,0,110,..,9,0,9,0,13,..,40,0,40,0,45,..,168,10,175,0,175,..,28,0,32,0,31,..,22,0,22,0,22,..,428,15,438,5,442,..,71,7,79,0,79,..,21,3,31,0,32,..,3,0,3,0,3,..,60,16,72,0,71,..,3,0,3,0,3,..,21,0,21,0,21,..,21,0,21,0,23,..,21,0,20,0,20,..,5,0,6,0,6,..,34,6,33,0,33,..,0,0,0,0,0,..,7,0,7,0,7,..,18
POA3149,8322,..,..,..,..,8322,..,21,0,20,0,20,..,111,5,113,0,113,..,0,0,0,0,0,..,618,128,751,10,758,..,2173,580,2744,29,2780,..,89,25,121,0,121,..,2883,734,3616,36,3645,..,25,0,25,0,25,..,53,0,57,0,58,..,47,0,47,0,47,..,686,118,804,6,804,..,88,0,89,0,89,..,120,0,125,0,125,..,412,13,423,0,426,..,27,0,27,0,27,..,138,5,144,0,144,..,620,20,639,8,644,..,85,0,88,0,88,..,106,3,109,0,109,..,1589,50,1637,3,1645,..,159,17,173,0,173,..,95,7,106,0,106,..,15,0,14,0,20,..,184,56,241,0,242,..,16,0,20,0,20,..,72,0,72,0,72,..,61,6,71,0,71,..,51,3,56,0,56,..,12,3,11,0,11,..,65,11,67,0,72,..,0,0,0,0,0,..,20,0,27,0,27,..,20
POA3150,12783,..,..,..,..,12783,..,17,0,17,0,17,..,203,8,206,0,206,..,4,0,4,0,4,..,1707,391,2097,15,2109,..,4647,1596,6241,45,6287,..,253,53,299,0,299,..,6604,2040,8641,60,8696,..,63,14,72,0,72,..,61,0,59,0,59,..,74,0,80,0,79,..,696,94,785,6,792,..,175,0,172,0,172,..,193,3,196,0,194,..,704,14,716,0,720,..,55,6,58,0,58,..,276,10,285,0,285,..,1128,38,1168,0,1170,..,193,0,196,0,196,..,264,0,266,0,268,..,2983,74,3056,4,3065,..,315,37,348,5,354,..,82,15,96,0,96,..,51,5,60,0,60,..,288,69,353,4,358,..,21,4,25,0,25,..,153,0,153,0,155,..,187,19,205,0,205,..,68,0,68,0,68,..,15,0,15,0,19,..,76,10,80,0,80,..,9,0,9,0,9,..,52,10,61,0,61,..,42
POA3151,2280,..,..,..,..,2280,..,7,0,7,0,7,..,21,8,23,0,23,..,0,0,0,0,0,..,222,81,306,3,308,..,658,303,955,11,968,..,36,12,46,0,46,..,910,395,1303,8,1316,..,10,0,9,0,8,..,8,0,8,0,8,..,14,0,14,0,14,..,335,60,397,0,394,..,16,0,16,0,16,..,42,0,42,0,42,..,100,0,101,0,101,..,12,0,12,0,12,..,22,0,22,0,22,..,173,5,172,0,181,..,22,0,22,0,22,..,21,0,21,0,21,..,406,3,410,0,415,..,74,4,79,0,79,..,13,0,14,0,14,..,5,6,4,0,4,..,35,9,38,0,44,..,6,3,7,0,7,..,16,0,16,0,16,..,29,5,32,0,32,..,9,0,17,0,17,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,5,0,5,..,15
POA3152,9416,..,..,..,..,9416,..,14,0,14,0,14,..,106,5,109,4,112,..,0,0,0,0,0,..,928,219,1142,10,1155,..,1812,501,2312,17,2327,..,125,15,142,0,138,..,2864,734,3598,28,3622,..,20,5,26,0,26,..,20,0,23,0,23,..,40,0,40,0,40,..,215,23,242,0,244,..,38,0,38,0,38,..,143,3,150,0,150,..,246,0,244,0,244,..,27,0,27,0,27,..,165,5,171,0,173,..,340,10,347,0,348,..,56,0,56,0,56,..,70,3,73,0,75,..,1085,23,1107,3,1111,..,121,5,126,3,130,..,21,0,21,0,21,..,42,11,57,0,57,..,111,19,130,3,133,..,9,0,13,0,13,..,77,4,80,0,80,..,99,10,105,0,105,..,21,6,23,0,23,..,11,0,13,0,13,..,18,4,19,0,19,..,3,0,3,0,3,..,39,5,40,0,40,..,37
POA3153,7328,..,..,..,..,7328,..,7,0,7,0,7,..,25,0,26,0,26,..,4,0,4,0,4,..,242,79,318,0,320,..,349,148,495,8,508,..,15,0,18,0,18,..,604,230,838,12,848,..,15,3,13,0,13,..,17,0,18,0,18,..,94,10,103,0,103,..,41,3,47,0,47,..,15,0,15,0,15,..,62,7,73,0,73,..,90,0,94,0,94,..,35,3,38,3,35,..,102,6,107,0,109,..,101,4,103,4,109,..,21,5,26,0,26,..,28,0,28,0,28,..,455,25,483,6,486,..,40,3,42,0,42,..,16,0,11,0,13,..,31,4,40,0,40,..,50,3,53,0,53,..,7,0,7,0,10,..,45,4,46,0,50,..,47,11,67,0,69,..,27,3,30,0,30,..,0,0,0,0,0,..,13,0,17,0,17,..,3,0,3,0,3,..,13,0,20,0,20,..,40
POA3154,1953,..,..,..,..,1953,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,7,19,0,24,..,0,0,0,0,0,..,14,7,22,0,27,..,0,0,0,0,0,..,7,0,7,0,7,..,31,0,35,0,39,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,19,0,19,..,8,0,8,0,5,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3
POA3155,8709,..,..,..,..,8709,..,9,0,9,0,9,..,37,9,39,0,38,..,0,0,0,0,0,..,188,45,234,0,237,..,335,114,445,0,453,..,20,0,22,0,22,..,552,160,710,3,712,..,9,4,12,0,12,..,21,0,19,0,19,..,47,4,53,0,53,..,62,6,69,0,71,..,10,0,10,0,10,..,88,7,93,0,96,..,82,0,86,0,85,..,24,8,35,3,30,..,58,5,65,6,69,..,149,8,163,0,162,..,35,4,35,0,35,..,23,4,19,0,21,..,472,34,506,13,512,..,39,10,46,0,46,..,11,4,16,0,16,..,6,0,9,0,9,..,47,17,64,0,64,..,7,0,7,0,7,..,24,3,34,3,32,..,85,14,101,3,102,..,31,3,36,0,35,..,0,0,3,0,3,..,20,3,19,0,19,..,10,0,10,0,10,..,16,4,29,0,29,..,22
POA3156,15125,..,..,..,..,15125,..,28,0,28,0,28,..,99,10,108,0,108,..,0,0,0,0,0,..,193,40,237,4,239,..,461,154,614,18,631,..,32,5,39,0,39,..,696,191,886,18,902,..,24,0,29,0,29,..,17,0,23,0,22,..,97,9,102,0,107,..,148,17,168,6,169,..,16,0,21,0,21,..,93,9,102,0,102,..,92,3,92,0,92,..,17,0,17,0,17,..,76,0,77,0,77,..,206,9,213,0,216,..,26,0,26,0,26,..,28,0,34,0,31,..,553,22,578,0,578,..,148,8,162,5,161,..,24,0,22,4,25,..,6,0,9,0,9,..,54,18,72,0,70,..,9,0,13,0,13,..,32,0,32,0,32,..,98,12,105,4,110,..,48,3,51,0,51,..,11,0,13,0,13,..,29,4,29,0,29,..,0,0,4,0,4,..,22,3,31,0,31,..,40
POA3158,3130,..,..,..,..,3130,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,3,5,8,0,5,..,8,8,12,0,12,..,0,0,0,0,0,..,10,6,19,0,22,..,0,0,0,0,0,..,8,0,8,0,8,..,13,0,13,0,13,..,4,0,4,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,16,0,15,0,15,..,14,0,13,0,13,..,9,0,13,0,13,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,16,0,16,0,16,..,0,0,0,0,0,..,3,0,3,0,3,..,3
POA3159,1165,..,..,..,..,1165,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0
POA3160,4125,..,..,..,..,4125,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,13,3,18,0,18,..,0,0,0,0,0,..,17,3,19,0,19,..,3,0,3,0,3,..,11,0,11,0,11,..,36,3,37,0,37,..,12,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,6,0,6,0,6,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,27,0,27,0,27,..,20,0,27,0,27,..,15,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,8,0,8,..,6,0,6,0,6,..,5,0,3,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,0
POA3161,5702,..,..,..,..,5702,..,8,0,8,0,8,..,16,0,14,0,14,..,0,0,0,0,0,..,64,10,76,0,75,..,291,66,358,3,360,..,19,3,21,0,21,..,372,84,452,3,456,..,8,0,8,0,8,..,142,3,145,0,146,..,9,0,9,0,9,..,100,19,120,0,120,..,10,0,10,0,10,..,46,0,46,0,46,..,73,0,74,0,77,..,10,0,10,0,10,..,13,0,18,0,18,..,22,0,22,0,22,..,7,0,7,0,7,..,15,0,15,0,15,..,203,0,203,0,203,..,43,3,51,0,51,..,22,5,27,0,27,..,0,0,0,0,0,..,17,0,16,0,16,..,4,0,4,0,4,..,10,0,10,0,10,..,11,0,11,0,11,..,25,0,25,0,25,..,22,0,21,0,21,..,131,18,148,0,148,..,0,0,0,0,0,..,10,0,13,0,13,..,14
POA3162,6212,..,..,..,..,6212,..,11,0,11,0,11,..,33,5,34,0,34,..,0,0,0,0,0,..,54,9,60,0,60,..,183,49,230,3,233,..,10,3,14,0,14,..,247,61,306,3,308,..,7,0,7,0,7,..,82,6,85,0,92,..,31,0,35,0,35,..,180,16,200,0,205,..,5,0,5,0,5,..,27,0,27,0,27,..,52,3,49,0,49,..,11,0,14,0,14,..,14,0,14,0,14,..,17,0,17,0,17,..,3,0,6,0,6,..,15,5,19,0,19,..,143,5,153,0,153,..,47,4,50,0,50,..,55,15,72,0,72,..,0,0,0,0,0,..,11,4,14,0,14,..,9,0,9,0,9,..,13,0,13,0,13,..,8,0,8,0,8,..,47,3,48,0,45,..,16,0,16,0,16,..,340,54,391,5,390,..,0,0,0,0,0,..,16,0,18,0,18,..,18
POA3163,9727,..,..,..,..,9727,..,15,0,15,0,15,..,44,3,46,0,46,..,0,0,0,0,0,..,206,35,239,0,239,..,752,182,930,14,942,..,28,7,38,0,38,..,988,216,1209,14,1220,..,15,3,19,0,19,..,103,0,108,0,109,..,55,0,57,0,59,..,504,100,605,0,602,..,61,3,63,0,63,..,312,14,331,4,327,..,383,7,388,0,392,..,122,6,123,5,125,..,76,7,82,0,82,..,72,0,71,0,71,..,50,0,50,3,52,..,98,6,101,0,100,..,1169,37,1211,6,1220,..,140,7,153,4,155,..,88,21,111,0,111,..,5,0,9,0,9,..,64,19,82,0,82,..,6,0,6,0,6,..,54,0,51,5,54,..,25,0,25,0,25,..,56,0,60,0,60,..,24,5,25,0,25,..,322,99,422,6,428,..,0,0,4,0,4,..,45,9,47,0,47,..,43
POA3165,9421,..,..,..,..,9421,..,14,0,14,0,21,..,78,4,82,0,82,..,0,0,0,0,0,..,163,36,199,0,199,..,698,172,870,14,887,..,21,6,25,0,25,..,880,214,1089,14,1105,..,25,6,29,0,29,..,46,4,45,3,50,..,28,0,28,0,28,..,793,100,885,4,886,..,22,0,22,0,19,..,64,0,69,0,69,..,201,4,209,0,211,..,0,0,0,0,3,..,35,0,34,0,34,..,65,3,69,0,69,..,3,0,3,0,3,..,29,0,29,0,29,..,420,13,432,3,440,..,175,16,193,3,197,..,47,11,60,0,60,..,9,0,7,0,10,..,83,10,94,0,94,..,7,0,7,0,7,..,35,0,35,0,34,..,42,0,42,0,42,..,61,3,64,0,64,..,27,0,24,0,24,..,445,90,537,0,538,..,0,0,0,0,0,..,57,5,58,0,58,..,11
POA3166,6555,..,..,..,..,6555,..,10,0,10,0,10,..,85,10,89,0,89,..,0,0,0,0,0,..,171,34,202,4,209,..,616,191,805,15,814,..,44,6,47,0,47,..,827,229,1057,15,1074,..,15,0,11,0,11,..,58,4,61,0,63,..,31,0,31,0,36,..,1112,264,1374,9,1377,..,67,0,67,0,67,..,100,0,103,0,103,..,215,9,220,3,222,..,82,5,84,0,84,..,65,9,70,3,74,..,124,6,132,0,131,..,37,0,38,0,40,..,37,0,37,0,37,..,729,24,750,7,756,..,236,52,290,0,290,..,48,4,55,0,55,..,15,5,18,0,18,..,102,35,137,3,137,..,10,0,10,0,10,..,50,7,46,0,46,..,43,3,47,0,47,..,42,3,41,0,41,..,26,0,26,0,27,..,71,18,86,0,86,..,3,0,3,0,3,..,23,4,30,0,30,..,31
