POA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
POA3016,0,4,3,15,18,5,20,12,3,85,0,0,0,0,7,28,36,23,10,113,0,0,0,9,0,0,6,0,0,16,0,4,5,52,15,5,8,11,0,101,0,0,3,9,12,0,5,0,0,24,0,0,4,16,9,5,0,0,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,12,20,9,7,3,4,62,0,0,0,7,9,25,41,42,26,143,0,0,0,3,4,0,0,0,0,14,0,3,0,8,0,0,0,0,0,9,0,0,0,9,13,17,5,3,0,47,0,0,0,15,15,10,6,0,0,56,0,0,0,0,5,14,30,19,0,74,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,5,0,0,3,0,0,0,8,0,0,0,0,0,11,0,3,0,0,10,6,13,4,0,38,0,21,21,98,59,56,29,8,0,286,0,0,0,6,14,17,18,9,0,63
POA3018,0,0,0,17,19,11,33,25,17,122,0,0,0,3,0,13,21,18,4,64,0,0,0,10,6,3,3,0,0,24,0,7,10,99,24,19,6,8,3,170,0,0,4,15,4,3,6,0,0,30,0,0,0,17,5,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,4,0,46,13,8,9,8,0,99,0,0,6,12,10,19,48,36,23,150,0,0,0,18,5,3,4,0,0,32,0,0,0,11,0,0,0,0,0,17,0,0,0,3,11,6,0,0,0,21,0,0,0,20,4,4,3,3,0,39,0,0,0,4,10,21,88,90,40,250,0,0,0,0,0,5,3,0,0,6,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,10,0,16,7,0,8,8,0,55,4,15,11,152,77,37,20,7,3,326,0,0,0,5,9,19,7,4,5,55
POA3019,0,0,0,8,3,0,7,0,0,17,0,0,0,0,0,9,3,4,0,18,0,0,0,36,0,4,10,0,0,52,4,31,101,453,22,8,7,3,0,633,0,4,7,40,0,0,4,0,0,53,0,0,0,13,6,0,0,0,0,16,0,0,3,5,0,0,0,0,0,13,0,0,0,8,5,0,6,0,0,20,0,0,0,7,0,0,5,10,0,33,0,0,0,15,0,0,0,0,0,17,0,0,0,19,4,0,0,0,0,27,0,0,0,0,3,0,0,0,0,8,5,23,5,85,9,4,7,0,0,138,0,0,0,0,0,3,16,4,3,21,0,0,3,12,3,6,4,0,0,26,0,10,20,104,12,6,0,0,0,152,0,0,7,12,7,0,0,0,0,31,0,0,0,0,0,0,0,0,0,6,0,0,14,75,18,12,12,0,0,124,0,0,0,3,4,11,13,0,0,31
POA3020,0,3,3,11,15,3,49,48,7,141,0,4,13,15,23,51,136,238,101,576,0,0,4,90,8,12,11,7,3,134,15,71,234,1100,67,63,52,19,6,1619,0,3,12,80,15,14,8,0,0,127,0,17,16,98,13,7,0,0,0,153,0,4,9,31,10,7,3,3,0,58,0,0,0,35,9,6,11,3,3,62,0,0,0,24,7,51,130,225,148,595,0,0,7,24,6,0,0,0,0,37,6,0,0,36,6,0,0,5,0,50,0,0,0,20,21,20,14,4,0,80,13,75,19,195,35,26,22,3,0,384,0,3,0,6,20,82,407,376,155,1043,0,0,0,19,4,6,3,7,4,41,0,31,123,398,67,26,14,6,0,657,0,5,188,352,5,4,0,0,0,552,0,0,0,0,5,4,4,4,3,23,7,55,83,237,76,59,23,9,0,557,0,0,0,42,38,68,145,81,21,400
POA3021,0,0,12,21,6,20,120,93,33,297,0,3,3,10,18,60,152,227,98,582,0,4,8,92,3,14,10,0,0,127,32,85,506,1674,120,71,72,35,9,2616,0,0,8,50,22,4,8,0,0,89,0,0,12,48,9,7,0,8,0,81,4,166,78,231,52,47,30,7,0,606,0,3,0,9,0,0,0,10,5,34,0,0,6,16,16,85,152,97,56,424,0,3,12,10,0,0,0,0,0,30,0,3,8,18,7,0,3,0,0,37,5,4,8,55,51,50,43,13,3,236,5,93,20,94,19,26,11,3,0,273,0,0,0,9,17,168,651,456,101,1411,0,0,0,10,4,4,17,3,4,44,0,43,155,411,96,26,16,0,0,754,3,6,132,229,9,10,6,0,0,391,0,0,0,3,0,4,14,31,5,58,20,143,143,248,75,45,16,5,0,694,0,5,10,79,74,208,406,150,36,966
POA3022,0,0,0,0,4,0,18,8,3,39,0,0,0,0,0,0,0,8,14,23,0,0,0,11,0,0,0,0,0,13,0,10,10,87,3,5,0,0,0,119,0,0,0,8,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,5,4,6,13,0,0,0,6,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,10,0,0,0,4,6,0,3,0,0,11,0,4,0,8,0,0,0,0,0,13,0,0,0,0,0,9,28,31,7,68,0,0,0,0,0,4,0,0,0,4,0,0,3,13,0,0,0,0,0,17,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,8,0,6,9,35,13,7,0,0,0,74,0,0,0,0,0,3,5,3,0,16
POA3023,0,0,11,30,10,12,40,46,23,167,0,13,10,19,22,41,71,49,9,244,0,3,9,112,32,23,24,0,0,198,26,219,344,2080,485,213,153,52,12,3589,0,15,15,128,28,19,11,0,0,229,0,8,26,107,23,12,8,3,0,184,6,221,174,376,125,72,59,22,0,1057,0,6,9,18,10,7,7,9,4,74,0,0,11,31,23,110,181,124,52,534,0,0,5,33,11,0,0,0,0,46,0,7,10,46,19,10,7,0,0,92,0,4,5,49,44,30,16,9,0,152,0,73,36,210,59,46,26,12,0,461,0,0,8,49,56,180,404,264,46,1010,0,0,9,30,12,11,11,0,0,79,0,21,77,257,58,13,4,0,0,437,0,4,15,98,6,8,0,0,0,134,0,0,0,4,6,8,14,12,6,42,21,166,317,435,118,108,26,5,0,1201,0,0,16,192,161,170,188,61,16,805
POA3024,0,0,6,8,6,7,19,11,3,59,0,0,0,3,0,6,6,6,0,33,0,6,0,31,4,5,8,0,0,52,104,585,311,4495,283,145,105,26,5,6056,4,5,7,62,15,5,5,4,0,100,0,3,0,38,8,9,6,0,0,65,0,0,5,10,9,0,0,0,0,25,0,0,0,22,7,6,12,0,0,46,0,0,0,8,10,18,22,13,5,84,0,4,4,6,10,0,0,0,0,25,0,0,3,31,9,0,0,0,0,46,0,5,0,10,10,4,3,0,0,33,3,19,17,82,31,18,19,0,0,181,0,3,0,5,10,26,57,17,8,127,0,0,8,41,13,8,0,0,0,81,0,3,45,298,122,79,33,24,3,607,0,3,7,114,3,0,0,0,0,130,0,0,0,0,0,3,12,0,3,25,18,159,168,396,127,67,36,7,0,970,0,0,0,5,4,4,6,0,0,30
POA3025,0,0,5,14,7,5,9,16,3,62,0,0,5,7,13,29,86,152,83,370,0,3,0,14,4,5,3,0,0,27,4,3,15,150,10,12,10,12,0,210,0,0,10,69,12,0,0,0,0,90,0,0,3,12,4,3,0,0,0,26,0,0,0,8,5,3,0,0,0,14,0,0,0,47,8,0,0,4,3,63,0,3,0,18,8,36,105,178,121,462,0,0,0,0,5,0,0,0,0,4,0,0,0,11,4,0,0,0,0,14,4,11,34,191,124,61,62,9,0,491,0,0,0,47,5,8,4,7,0,69,0,0,0,3,3,9,36,104,44,202,0,0,0,9,0,0,0,0,0,8,0,0,3,11,9,3,5,0,0,31,0,0,0,13,0,0,0,0,0,15,0,0,0,7,7,0,3,4,0,16,0,9,10,99,48,30,14,0,0,213,0,0,0,4,16,20,35,46,18,133
POA3026,0,0,0,0,0,0,0,4,0,10,0,0,0,3,4,0,3,0,0,18,0,0,0,29,0,0,0,0,0,40,3,22,53,336,64,19,12,3,0,514,0,0,7,35,17,0,7,0,0,63,0,0,0,6,3,0,0,0,0,14,0,12,10,30,3,11,6,4,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,12,3,0,35,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,7,0,0,0,47,6,0,4,3,0,68,0,0,3,3,6,7,12,11,0,47,0,0,3,13,5,0,4,0,0,18,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,14,43,47,87,18,21,5,0,0,227,0,0,0,20,12,8,9,0,0,55
POA3027,0,0,0,5,0,0,0,0,0,8,0,0,0,0,3,0,3,0,0,7,0,3,0,21,4,0,4,0,0,43,20,68,227,1443,168,53,42,11,0,2030,0,3,17,151,28,7,12,0,0,218,0,0,0,13,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,5,5,7,0,0,0,18,0,0,0,7,5,0,0,0,0,14,0,5,3,29,9,4,5,0,0,54,0,0,5,14,7,3,0,0,0,33,0,0,16,119,16,15,9,3,0,183,0,0,0,0,0,3,8,3,0,11,0,0,0,11,0,0,0,0,0,17,0,0,0,7,3,0,0,0,0,10,0,0,3,40,12,0,3,0,0,63,0,0,0,0,0,0,0,0,0,3,3,50,60,157,29,17,13,0,0,329,0,0,0,8,3,4,5,0,0,25
POA3028,0,0,0,12,13,9,23,17,9,97,0,0,4,15,15,63,87,70,30,289,0,3,0,23,6,9,9,0,0,46,26,115,176,1146,88,68,30,13,3,1676,0,5,4,68,20,7,8,0,0,116,0,10,5,45,14,6,3,0,0,81,0,7,3,16,8,0,3,0,0,37,0,0,0,49,16,13,14,8,0,97,0,5,6,35,27,70,96,46,42,322,0,0,0,20,11,0,0,0,0,43,0,3,5,20,5,0,0,0,0,35,0,0,6,79,46,41,35,9,0,215,0,14,6,81,24,21,14,5,0,169,0,0,0,4,10,94,205,127,38,482,0,4,8,24,8,16,9,9,4,85,0,7,15,74,30,19,8,0,0,166,0,3,49,128,5,0,0,0,0,187,0,0,0,10,0,4,8,15,0,47,8,42,57,242,103,73,35,10,4,575,0,0,0,34,44,84,101,37,3,304
