POA_CODE_2021,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
POA3156,15,18,18,13,22,14,11,103,3,0,9,9,10,10,0,30,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,20,17,24,18,33,18,11,141,3,9,6,0,0,0,0,17,0,0,0,0,0,0,0,3,5,13,6,0,0,0,0,22,20,28,27,17,35,22,11,162,6,12,3,0,10,4,0,35,0,0,0,0,0,0,0,0,26,37,33,24,45,25,7,199,22,75,53,50,103,57,29,383,60,108,75,51,79,36,19,427,17,11,9,4,4,0,3,43,3,4,0,4,0,0,0,14,97,194,142,106,184,87,51,869,3,10,10,3,6,0,0,23,8,10,7,0,3,0,0,30,7,17,10,6,7,0,0,54,99,210,150,110,198,90,57,919,63,90,47,34,40,22,19,314,0,0,0,3,0,0,0,3,164,299,204,144,238,112,73,1238,35,91,71,66,124,68,37,489
POA3158,0,0,11,0,7,4,0,23,0,3,6,0,4,0,0,9,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,10,10,0,37,0,8,8,8,19,8,4,52,0,19,12,15,16,6,8,66,0,0,0,0,3,0,0,9,3,0,0,0,0,0,0,8,7,26,17,24,35,16,9,132,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,16,24,35,16,9,136,10,10,7,3,8,0,0,36,0,0,0,0,0,0,0,0,16,36,24,26,40,16,9,166,7,9,14,11,20,10,5,73
POA3159,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,6,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,15,0,0,4,6,6,4,0,25,3,4,5,4,4,0,0,26,0,0,0,3,6,0,0,7,0,0,0,0,0,0,0,0,8,3,12,11,14,7,3,60,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,10,11,14,7,3,61,5,7,4,0,0,0,0,20,0,0,0,0,0,0,0,0,6,13,14,11,18,10,3,81,0,0,3,5,9,4,0,35
POA3160,3,0,3,4,9,3,4,34,4,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,8,14,3,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,8,14,4,4,53,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,11,7,7,18,4,4,54,0,9,15,16,13,6,0,61,3,19,28,8,33,4,8,111,6,0,3,3,5,3,0,17,0,0,0,0,0,0,0,0,7,33,47,25,55,9,8,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,7,36,45,27,49,9,8,198,6,9,13,7,12,3,4,44,0,0,0,0,0,0,0,0,17,39,59,34,62,16,17,244,4,10,18,21,24,8,13,104
POA3161,0,3,9,9,7,4,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,7,4,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,9,7,4,4,44,0,0,0,5,4,0,0,11,0,0,0,0,0,0,0,0,4,9,5,5,8,9,7,53,13,19,15,18,14,16,11,115,12,27,17,17,19,10,8,108,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,29,45,34,40,36,36,19,222,0,4,0,0,0,0,0,5,0,4,0,0,9,0,0,10,0,4,0,0,7,0,0,20,30,52,34,37,40,36,19,246,20,17,19,16,14,12,7,105,0,0,0,0,0,0,0,0,52,67,49,50,56,46,26,348,9,24,26,26,27,25,14,150
POA3162,3,5,15,11,18,10,10,65,0,0,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,16,15,12,10,6,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,16,15,12,10,6,76,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,13,16,15,12,10,6,83,10,32,26,18,36,27,12,161,20,26,28,26,27,9,5,148,5,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,41,63,55,43,59,38,24,327,0,0,0,0,0,0,0,6,0,7,0,0,3,0,0,7,0,7,0,0,3,0,0,13,37,66,55,46,64,43,23,340,5,13,15,9,11,10,9,74,0,0,0,0,3,0,0,3,46,84,75,56,79,47,30,417,10,40,38,32,46,36,26,222
POA3163,9,11,11,9,19,15,6,74,0,4,4,0,0,0,0,10,0,0,3,0,0,0,0,3,0,0,0,0,0,6,0,4,10,10,11,14,23,18,5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,14,26,18,5,98,0,9,0,4,3,3,0,30,0,0,0,0,0,0,0,0,10,18,19,16,30,23,12,129,20,54,32,24,35,32,26,228,19,60,27,27,25,13,24,197,7,8,3,0,0,0,0,15,0,0,0,0,0,0,0,0,43,112,63,53,61,57,48,438,0,3,0,0,3,0,0,7,4,3,3,0,0,3,0,9,4,4,3,0,3,4,0,22,48,117,69,57,64,54,48,463,14,26,23,16,13,17,14,110,0,0,0,0,0,0,0,0,64,142,86,74,75,71,60,578,34,59,42,39,53,47,31,300
POA3165,4,20,19,20,19,18,9,112,0,3,0,3,3,7,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,22,23,28,26,24,18,141,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,22,28,29,28,24,21,147,0,8,6,4,7,3,0,31,0,0,0,5,3,0,0,9,10,27,32,32,36,33,23,189,17,68,73,50,77,54,23,367,35,57,51,43,57,27,18,286,3,0,0,0,8,0,0,22,0,0,0,6,0,0,0,4,52,135,126,100,139,85,39,674,0,0,0,7,3,0,0,14,0,0,0,0,0,5,5,15,0,4,4,9,3,5,5,27,53,136,134,109,144,92,38,707,32,48,31,22,39,17,16,202,0,0,3,0,0,0,0,3,83,183,159,129,187,112,56,907,22,85,100,68,96,76,38,486
POA3166,12,7,14,4,15,12,11,75,0,5,0,0,3,4,3,18,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,15,16,15,8,18,19,13,99,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,11,13,20,15,8,19,20,13,107,0,3,0,0,4,0,0,7,0,0,0,0,0,0,0,3,13,20,20,12,23,16,17,122,11,40,27,26,40,36,14,192,13,42,38,34,49,41,11,227,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,5,29,82,69,61,90,75,27,429,0,0,0,0,0,0,0,6,0,7,3,3,5,0,0,15,7,5,5,3,3,0,0,22,32,90,72,62,91,76,27,450,25,31,16,14,20,5,18,130,0,0,3,0,0,0,0,3,57,117,88,76,110,81,47,580,23,44,39,33,50,43,22,266
POA3167,0,0,0,5,11,5,0,29,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,6,4,12,12,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,12,12,4,36,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,7,5,14,13,4,47,6,12,9,11,12,13,10,61,10,21,12,16,12,3,4,73,0,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,12,30,28,25,22,17,17,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,28,25,22,17,17,149,17,20,11,6,15,4,0,69,0,0,0,0,0,0,0,8,26,55,45,30,36,22,20,231,6,10,9,10,20,20,14,93
POA3168,4,7,7,3,3,10,3,35,0,5,4,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,4,6,11,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,6,10,9,4,6,11,5,46,0,3,0,0,4,3,0,15,0,0,0,0,0,0,0,4,10,16,11,6,7,13,5,67,10,26,18,8,15,18,6,96,15,30,13,10,22,17,6,116,0,3,0,0,0,6,0,8,0,0,0,0,0,0,0,3,27,54,32,20,39,32,17,222,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,7,0,8,0,3,0,3,3,16,28,58,38,19,39,39,21,238,26,20,15,12,22,17,7,122,3,0,0,0,0,0,0,5,63,81,50,35,59,55,29,369,13,31,19,11,19,23,11,132
POA3169,3,6,3,3,13,3,0,35,3,7,0,3,0,0,0,17,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,8,3,6,14,8,4,54,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,5,8,12,8,3,55,5,8,3,0,4,3,0,26,3,0,0,0,0,0,0,3,19,20,9,8,17,12,3,84,16,25,26,13,33,30,12,157,22,58,43,18,25,15,4,177,3,0,0,0,5,0,4,15,0,0,0,0,0,0,0,4,46,75,70,38,67,37,23,356,5,3,4,5,6,3,5,30,5,12,5,4,0,0,3,20,13,16,6,5,6,4,3,48,51,90,81,40,73,42,23,404,52,42,25,22,23,16,17,191,0,3,3,0,0,0,0,6,101,135,106,67,103,58,35,603,21,27,33,18,46,30,14,193
POA3170,8,3,9,6,8,6,4,42,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,14,10,4,13,8,53,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,4,4,0,7,5,8,12,10,8,11,8,61,3,5,3,6,0,0,0,21,0,0,0,0,4,0,0,3,13,14,19,9,13,13,5,84,10,24,38,25,30,21,4,160,16,37,34,19,37,25,16,185,16,3,4,5,4,0,0,31,0,0,0,3,0,3,0,17,42,66,83,50,77,53,18,390,0,0,0,3,4,3,0,11,3,3,3,0,0,4,0,12,5,3,0,0,0,4,0,24,48,69,85,56,79,51,20,413,27,30,21,8,18,16,11,139,0,0,0,0,0,0,0,0,77,97,109,65,100,69,32,550,18,33,51,29,38,28,12,207
POA3171,8,5,3,6,8,4,0,36,3,4,6,5,3,0,3,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,12,10,9,7,12,3,4,57,3,3,0,6,0,0,0,18,0,0,0,0,0,0,0,4,3,3,4,7,0,0,0,19,17,14,10,14,12,5,3,81,8,10,8,9,9,9,6,48,0,0,0,0,0,0,0,6,24,20,19,23,20,10,13,131,19,24,19,16,27,16,19,131,17,42,36,24,20,21,22,180,0,4,0,0,0,4,0,9,0,0,3,0,3,0,0,11,40,72,56,42,47,39,38,333,0,4,0,0,0,0,0,11,4,6,7,6,4,0,0,28,3,11,7,7,6,4,0,36,42,81,54,50,58,41,38,370,68,78,36,36,53,39,42,350,4,3,3,0,5,0,0,18,117,162,96,87,113,83,77,738,27,29,17,25,28,17,20,171
POA3172,0,6,13,6,17,13,9,61,0,5,3,4,3,3,0,17,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,16,16,9,21,15,7,83,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,9,0,15,16,15,20,15,7,91,7,8,7,5,4,4,5,39,0,0,0,0,0,0,0,0,12,22,20,19,31,16,15,133,24,49,38,37,49,33,16,239,12,64,47,41,45,32,15,251,4,0,0,0,6,0,3,14,6,4,0,0,0,0,4,12,43,117,89,77,97,58,33,517,0,5,0,3,3,0,3,18,5,7,11,0,8,5,5,36,9,9,11,7,13,3,3,53,44,130,97,79,114,68,40,569,57,79,38,26,43,29,17,292,4,3,0,0,0,0,0,7,109,215,137,99,160,91,59,876,25,59,49,43,61,38,19,300
POA3173,7,17,11,6,14,11,7,81,6,6,7,4,0,4,6,30,0,0,5,0,6,0,0,10,0,0,0,0,0,0,0,0,17,18,21,13,19,17,11,120,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17,17,21,13,27,17,10,127,5,4,0,6,7,3,0,30,0,0,0,0,0,0,0,0,18,25,18,18,35,26,11,161,26,66,43,45,70,46,21,310,32,68,50,31,43,19,13,254,6,5,0,5,6,0,3,23,6,3,8,0,3,0,3,25,65,146,100,81,115,64,45,610,0,0,0,0,3,0,0,11,0,3,4,3,5,4,0,22,0,8,5,0,6,9,4,32,63,151,104,83,123,72,49,644,75,106,70,45,52,24,18,380,0,4,0,0,0,0,0,13,138,259,175,123,171,98,65,1033,36,80,54,51,85,58,35,386
POA3174,9,16,14,10,22,13,10,87,0,3,7,4,4,5,0,24,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,12,23,16,20,23,19,10,127,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,13,26,18,15,29,21,13,130,10,15,6,12,9,13,4,67,0,0,0,0,0,0,0,3,27,35,25,28,39,31,16,203,26,67,53,40,62,35,30,308,53,112,67,42,74,51,20,416,9,3,0,0,3,3,4,33,0,3,0,3,5,4,0,20,90,181,121,89,147,92,58,777,3,11,3,3,9,0,4,35,8,12,8,5,7,3,0,41,10,23,8,10,11,3,4,75,103,207,134,101,161,98,62,855,163,148,73,53,77,49,39,602,5,10,0,5,6,3,0,27,270,370,202,148,235,147,101,1487,34,77,63,50,80,51,37,398
POA3175,18,23,18,8,10,19,9,98,4,8,0,4,11,9,0,39,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,12,28,35,19,9,23,28,9,147,0,5,0,0,0,0,0,8,0,4,0,4,0,0,0,9,0,6,0,4,3,0,0,19,26,35,17,15,22,27,12,167,16,19,15,5,11,10,0,73,4,0,3,0,0,0,0,11,43,62,33,21,32,35,13,243,45,81,62,42,83,55,25,389,40,100,59,42,81,33,22,381,15,9,11,4,5,0,0,47,6,10,3,9,12,8,0,41,107,198,131,94,181,96,53,859,8,20,9,14,18,9,15,84,16,26,15,8,19,9,9,101,20,47,22,20,34,20,21,179,121,252,154,110,211,118,70,1037,209,235,126,93,123,74,54,912,10,18,11,0,3,5,0,51,344,500,291,205,341,190,120,1995,61,103,81,48,97,68,31,484
POA3177,6,4,5,8,3,6,0,32,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,6,8,5,3,12,9,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,8,9,10,12,9,0,49,5,8,0,7,4,5,3,24,0,0,0,0,0,0,0,5,10,14,12,16,12,11,3,77,3,17,9,13,21,5,3,74,16,29,23,16,23,8,0,102,6,7,0,8,3,0,0,20,0,0,0,0,0,0,0,10,24,47,39,27,42,16,3,197,6,4,0,0,4,0,0,16,3,4,0,6,4,0,0,16,6,7,5,4,9,0,0,35,36,56,40,36,47,13,3,234,62,81,49,26,29,11,4,267,0,0,0,4,4,0,0,13,96,135,94,66,80,24,14,510,7,19,16,14,23,12,8,104
POA3178,3,24,25,13,20,5,4,90,0,3,0,8,0,5,0,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,25,23,22,24,9,5,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,23,22,24,9,11,112,0,4,3,3,3,0,0,22,0,0,0,0,0,0,0,0,7,32,26,24,28,9,6,140,22,39,50,50,78,37,33,307,34,48,40,38,54,33,18,262,7,3,0,0,8,3,0,21,0,4,0,0,0,3,0,9,59,88,90,91,131,78,48,594,0,4,0,0,9,6,4,19,7,12,3,3,0,5,0,23,5,13,3,0,13,7,3,48,64,103,100,94,146,80,51,639,42,47,22,21,24,7,7,170,3,6,0,3,3,0,0,9,110,146,119,119,168,93,61,813,20,61,70,62,97,47,35,395
POA3179,0,3,6,4,11,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,13,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,13,4,0,22,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,8,6,4,16,4,0,32,5,6,14,10,23,12,5,74,9,21,10,6,13,7,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,19,18,36,17,8,137,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,4,0,0,0,0,0,0,7,14,27,26,19,36,17,8,142,11,15,7,6,9,3,0,57,0,0,0,0,0,0,0,0,27,43,28,22,44,21,9,196,9,9,20,14,34,16,5,99
POA3180,0,6,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,6,7,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,7,4,0,0,26,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,6,7,4,0,4,29,0,16,23,18,15,11,9,87,7,18,9,12,19,9,10,76,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,44,29,31,40,22,14,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,44,29,31,40,22,14,185,21,17,5,0,12,5,3,63,0,0,0,0,0,0,0,3,35,56,30,33,48,27,16,255,0,26,27,14,21,11,10,104
POA3181,8,4,7,7,0,3,0,28,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,7,5,8,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,7,5,3,4,42,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,8,4,11,9,8,10,4,49,11,18,20,17,18,14,9,105,10,14,10,10,11,10,10,77,3,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,29,36,29,22,30,25,18,189,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,7,0,0,3,0,0,0,0,11,30,39,33,22,36,24,18,194,11,8,3,10,11,11,6,57,0,0,0,0,0,0,0,0,38,45,37,33,47,36,23,253,15,24,26,23,22,14,11,136
POA3182,5,5,0,9,5,6,3,39,0,5,0,0,5,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,9,8,10,8,48,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,10,8,3,9,10,13,8,56,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,9,12,9,9,17,18,8,69,9,19,19,20,17,18,11,119,10,24,12,7,10,8,11,84,0,4,6,0,0,4,0,15,0,0,0,0,0,0,0,4,21,52,37,29,26,31,18,216,4,0,0,0,3,0,0,4,0,4,0,0,0,3,0,8,8,4,0,0,6,3,0,16,23,51,37,29,33,33,21,238,22,11,9,11,3,5,5,68,0,0,0,0,0,0,0,0,43,65,49,42,36,41,26,308,15,23,26,29,22,25,16,153
POA3183,0,5,4,4,9,3,3,41,0,5,3,0,3,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,6,15,6,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,10,15,11,3,61,0,3,0,0,4,4,0,13,0,0,0,0,0,0,0,0,3,11,16,14,18,9,6,69,6,28,25,19,20,16,6,120,13,21,14,15,18,5,9,101,0,0,0,0,0,0,0,10,0,6,5,3,0,0,0,17,22,57,45,33,42,23,11,240,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,14,24,64,49,33,42,24,14,250,15,13,16,8,10,5,0,61,3,0,0,0,0,0,0,7,42,76,59,39,48,34,16,318,10,35,30,19,35,20,9,157
