POA_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
POA3102,41,5,10,5,9,5,0,0,132,0,0,0,0,0,0,0,0,0,0,0,55,47,46,10,9,7,8,8,0,0,191,49,21,13,5,0,3,0,0,0,0,103,101,55,30,13,0,6,4,0,0,0,212,6,0,3,0,0,6,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,99,59,39,10,0,9,9,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,153,76,51,15,0,10,8,0,0,0,325,88,12,7,0,0,0,0,0,0,0,107,99,15,13,0,0,0,0,3,7,0,138,3,6,5,6,5,5,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,98,18,15,6,0,5,0,0,7,8,156,0,0,0,0,0,0,0,0,0,0,0,186,30,22,4,0,5,0,0,7,6,264,120,7,8,0,0,0,0,0,0,0,136,112,3,0,0
POA3103,135,24,42,30,46,11,0,3,546,0,0,0,0,0,0,0,0,0,0,0,160,176,147,29,51,32,46,17,0,11,676,87,41,29,4,7,5,8,0,0,4,179,397,240,151,41,49,32,43,8,8,6,975,3,19,28,9,16,15,30,11,4,7,148,0,0,0,0,0,0,0,0,0,0,4,400,260,177,55,67,47,74,19,13,18,1120,0,0,0,0,0,0,0,0,0,0,0,485,299,208,56,68,48,78,24,13,20,1299,182,24,20,0,0,0,0,0,0,3,240,381,125,98,18,26,9,22,11,0,9,696,30,44,80,22,22,23,15,20,3,5,270,0,0,0,0,0,0,0,0,0,0,4,412,171,175,39,51,35,31,30,3,17,974,0,0,0,0,0,0,0,0,0,0,0,590,198,198,41,51,32,35,29,3,19,1208,230,14,8,0,0,0,4,0,0,0,261,438,27,15,0
POA3104,141,23,33,34,30,13,0,8,658,0,0,0,0,0,0,0,0,0,0,3,228,248,156,36,32,36,37,17,0,15,809,158,32,22,3,9,3,3,0,0,4,239,504,291,165,28,46,32,28,22,10,9,1137,15,23,34,20,17,28,30,9,5,3,179,0,0,0,0,0,0,0,0,0,0,0,524,316,201,51,63,59,59,30,12,7,1318,0,0,0,0,0,0,0,0,0,0,0,678,343,221,55,75,64,61,28,12,18,1557,266,43,23,0,5,5,0,0,0,5,351,629,177,141,28,38,25,21,12,0,10,1082,38,47,78,27,30,31,31,21,3,8,306,5,0,0,0,0,0,0,0,0,0,5,667,227,214,52,69,53,48,39,6,18,1389,0,0,0,0,0,0,0,0,0,0,3,931,272,241,53,69,58,49,35,6,22,1738,343,25,3,6,0,0,0,0,0,0,374,723,34,10,6
POA3105,96,28,22,26,9,3,0,9,387,0,0,0,0,0,0,0,0,0,0,0,136,122,114,35,25,31,8,8,0,5,477,78,24,11,0,0,0,4,0,0,0,128,222,137,80,7,12,4,10,0,0,5,480,9,7,9,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,230,141,94,12,13,7,10,0,0,5,511,0,0,0,0,0,0,0,0,0,0,0,309,167,103,15,15,10,14,5,0,7,640,97,11,5,3,0,0,8,0,0,0,123,258,55,46,9,3,4,0,0,4,0,375,14,11,19,3,7,0,3,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,272,63,66,9,9,6,3,0,4,3,433,0,0,0,0,0,0,0,0,0,0,0,371,68,72,16,9,4,11,0,4,3,562,131,8,5,0,0,0,0,0,0,0,145,381,20,12,0
POA3106,130,19,23,21,28,8,0,5,533,0,0,0,0,0,0,0,0,0,0,0,162,214,150,19,29,24,36,13,0,10,656,110,22,20,3,0,0,5,3,0,4,166,346,285,172,16,16,29,19,11,0,3,909,5,23,28,4,5,8,3,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,354,307,200,24,19,35,21,11,4,3,989,0,0,0,0,0,0,0,0,0,0,0,464,325,216,28,27,36,26,17,4,6,1156,185,25,20,4,7,5,8,0,5,6,251,329,106,76,9,9,9,8,11,0,5,556,25,25,35,6,13,5,9,3,0,6,127,0,0,0,0,0,0,0,0,0,0,0,350,133,111,18,23,16,14,12,0,4,678,0,0,0,0,0,0,0,0,0,0,0,540,149,133,18,26,15,16,11,5,15,930,304,18,12,6,0,0,0,0,0,0,338,645,41,15,0
POA3107,152,24,12,25,23,0,3,20,475,0,0,4,0,0,0,0,0,0,0,0,132,143,174,30,17,31,28,3,5,21,577,105,36,28,0,0,0,0,5,0,3,178,312,207,142,32,24,9,12,6,0,5,749,5,13,17,0,4,0,4,7,0,0,60,0,0,0,0,0,0,0,0,0,0,0,320,223,157,38,28,13,27,8,0,5,814,0,0,0,0,0,0,0,0,0,0,0,421,256,190,36,30,15,24,7,0,11,997,149,17,15,0,0,0,0,0,0,0,192,313,111,56,7,5,5,6,8,0,0,515,29,9,24,4,4,10,3,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,345,120,86,17,12,9,6,4,0,11,601,0,0,0,0,0,0,0,0,0,0,0,493,140,101,13,12,10,13,3,0,11,799,155,13,4,0,0,0,0,0,0,0,181,445,24,27,0
POA3108,652,140,151,145,117,45,16,32,2189,0,0,0,0,0,0,0,0,0,0,9,357,697,726,152,166,156,135,53,16,42,2505,163,54,38,9,8,9,8,4,0,7,301,721,484,324,77,65,62,86,31,22,15,1894,19,34,70,31,26,35,33,16,14,10,288,0,0,0,0,0,0,0,0,0,0,0,743,523,398,109,87,94,121,52,39,25,2185,0,0,0,0,0,0,0,0,0,0,0,900,577,431,120,93,100,128,50,37,32,2480,188,40,17,0,5,0,7,6,0,11,271,587,180,148,26,24,30,30,10,3,7,1050,61,69,88,18,34,29,24,14,6,0,348,0,0,0,0,0,0,0,0,0,0,4,650,251,236,46,53,58,55,22,12,14,1403,0,0,0,0,0,0,0,0,0,0,3,840,289,256,48,57,65,65,28,12,16,1678,263,10,13,0,0,5,0,0,3,9,305,815,75,52,16
POA3109,428,87,85,92,89,22,11,19,1645,0,0,0,0,0,0,0,0,0,0,0,381,579,460,92,94,101,108,29,10,16,1869,189,58,39,12,8,10,0,9,0,4,333,995,718,496,96,137,123,111,47,28,21,2758,26,62,79,25,33,31,30,15,9,9,316,0,0,0,0,0,0,0,0,0,0,4,1022,779,573,118,170,149,133,59,32,32,3075,0,0,0,0,0,0,0,0,0,0,0,1212,837,617,128,183,171,138,64,30,40,3413,242,48,17,13,6,3,0,0,0,3,337,842,258,248,49,50,40,31,15,3,11,1546,111,63,80,22,21,24,13,14,0,3,359,0,0,0,0,0,0,0,0,0,0,0,954,327,330,76,71,57,43,24,7,12,1907,0,0,0,0,0,0,0,0,0,0,0,1197,376,352,84,78,62,44,24,13,19,2244,375,44,7,0,0,5,4,4,0,14,444,1023,105,51,8
POA3111,97,7,14,18,8,4,0,6,311,0,0,0,0,0,0,0,0,0,0,0,121,97,101,7,16,22,15,4,0,9,391,95,23,16,6,3,4,0,0,0,0,148,257,157,125,18,18,21,11,3,0,5,620,5,5,13,9,5,5,9,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,262,168,134,28,25,22,19,3,0,6,664,0,0,0,0,0,0,0,0,0,0,0,358,191,154,28,26,29,19,4,0,6,814,176,26,13,3,5,0,3,0,0,0,234,231,103,64,14,11,8,3,3,3,3,446,23,15,17,4,0,5,0,0,6,0,67,0,0,0,0,0,0,0,0,0,0,0,250,120,83,16,10,14,3,3,3,3,513,0,0,0,0,0,0,0,0,0,0,0,430,152,96,16,16,14,0,3,7,8,740,213,19,9,0,0,0,0,0,0,5,247,286,31,4,0
POA3113,13,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,35,17,26,3,0,4,0,0,0,0,83,68,26,10,0,0,4,0,0,0,0,120,44,14,13,0,3,0,3,0,0,0,85,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,44,16,15,3,3,4,10,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,110,44,25,5,3,9,9,0,0,0,208,153,28,9,4,0,0,0,0,0,8,202,66,19,9,7,4,0,5,0,0,0,102,0,3,8,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,72,19,11,7,6,3,4,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,227,44,26,9,3,3,6,0,0,8,319,211,14,3,0,0,0,0,0,0,4,240,92,5,4,0
POA3114,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,10,7,12,0,0,0,0,0,0,0,34,23,8,0,0,0,0,0,0,0,0,32,3,7,0,0,0,0,0,0,0,0,23,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,14,9,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,31,16,10,0,0,0,0,0,0,0,62,62,13,9,0,0,0,0,0,6,3,91,29,0,7,0,0,0,0,0,0,0,38,5,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,30,0,12,0,0,0,0,4,0,0,46,0,0,0,0,0,0,0,0,0,0,0,98,11,20,0,0,0,0,4,6,3,137,86,3,0,0,0,0,0,0,0,0,93,38,3,0,0
POA3115,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,5,6,0,0,3,0,3,0,0,20,28,3,0,0,0,5,0,0,0,0,38,6,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,42,5,0,0,0,3,0,0,0,0,51,58,8,6,7,0,0,0,0,0,0,76,16,4,4,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,9,3,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,78,16,9,7,0,0,0,0,0,3,111,88,8,0,0,0,0,0,0,0,0,98,22,0,3,0
POA3116,49,9,8,5,6,4,0,0,155,0,0,0,0,0,0,0,0,0,0,0,68,59,63,13,8,7,11,4,0,5,244,91,28,14,13,0,0,3,0,0,6,147,60,115,54,8,9,11,10,3,6,0,273,4,7,4,0,0,5,0,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,59,120,65,8,13,13,16,6,4,0,298,0,0,0,0,0,0,0,0,0,0,5,154,148,74,18,13,21,15,6,4,6,452,146,15,7,0,0,0,0,0,0,0,176,76,43,31,6,4,4,4,0,0,0,166,5,5,9,0,3,0,3,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,79,48,35,6,8,4,6,0,6,3,197,0,0,0,0,0,0,0,0,0,0,0,227,68,47,3,6,4,5,0,6,4,366,222,16,0,0,0,0,0,0,0,5,246,111,5,0,0
POA3121,266,89,98,141,116,39,13,10,1080,0,0,0,0,0,0,0,0,0,9,9,528,309,590,227,285,364,361,125,51,43,2880,362,220,219,33,31,23,34,9,4,13,954,280,165,145,39,24,37,39,20,8,6,768,33,34,17,0,4,9,5,5,0,4,110,0,0,0,0,0,0,0,0,0,0,3,317,198,160,46,29,46,44,19,5,9,877,0,0,0,0,0,0,0,0,0,0,0,680,421,376,76,61,64,77,28,9,27,1825,402,73,48,9,4,8,9,3,0,5,562,299,47,33,10,0,5,10,3,0,0,410,129,42,16,3,0,0,0,4,0,3,198,0,0,0,0,0,0,0,0,0,0,0,427,86,52,12,9,8,7,4,3,7,613,0,0,0,0,0,0,0,0,0,0,0,832,157,98,17,13,12,18,8,3,14,1174,350,18,12,4,0,0,7,0,3,8,397,291,14,3,3
POA3122,269,113,127,151,154,48,9,10,1107,0,0,0,0,0,0,0,0,0,0,0,274,195,399,161,187,209,207,65,16,17,1730,235,91,96,16,19,18,12,12,0,5,500,217,213,161,50,33,35,39,13,6,0,762,3,5,13,0,7,4,9,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,224,221,170,50,34,38,47,12,5,0,810,0,0,0,0,0,0,0,0,0,4,4,454,316,267,64,54,59,55,27,8,13,1312,299,38,12,4,5,0,5,6,0,13,378,147,50,42,3,10,8,0,4,8,0,266,10,11,15,0,3,3,6,3,0,4,53,0,0,0,0,0,0,0,0,0,0,0,156,58,54,3,11,17,9,5,8,4,322,0,0,0,0,0,0,0,0,0,0,0,458,95,65,7,22,17,10,10,8,13,697,289,9,8,0,3,0,0,0,0,4,317,142,10,4,0
POA3123,196,58,66,96,70,32,10,0,725,0,0,0,0,0,0,0,0,0,0,3,179,169,270,85,88,114,90,33,13,12,1046,175,60,64,11,8,3,7,0,0,5,335,192,147,124,15,28,39,28,8,12,0,586,0,4,11,3,0,3,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,192,150,133,18,29,39,32,9,10,0,611,0,0,0,0,0,0,0,0,0,0,0,366,208,196,27,39,46,32,11,13,6,942,225,35,24,4,3,0,0,0,0,0,292,160,31,30,8,6,5,8,3,0,5,270,8,10,16,10,3,0,3,7,0,0,56,0,0,0,0,0,0,0,0,0,0,0,170,44,46,12,11,9,20,8,4,3,327,0,0,0,0,0,0,0,0,0,0,0,395,78,61,24,8,12,20,9,3,6,617,223,10,4,0,0,0,0,0,0,0,243,136,13,9,5
POA3124,133,46,54,52,42,9,9,0,565,0,0,0,0,0,0,0,0,0,0,0,175,169,180,60,73,67,57,15,7,10,816,199,83,43,10,8,7,0,0,0,0,349,304,222,149,28,29,34,20,11,3,7,803,3,7,22,8,6,11,6,3,5,0,71,0,0,0,0,0,0,0,0,0,0,0,305,231,169,30,37,48,28,13,10,8,869,0,0,0,0,0,0,0,0,0,0,0,505,312,209,44,45,53,24,19,10,8,1225,358,50,29,3,7,5,7,0,0,0,457,334,78,57,14,11,16,17,6,0,7,548,8,20,48,13,9,3,6,6,0,3,120,0,0,0,0,0,0,0,0,0,0,0,347,96,105,20,22,19,22,17,0,10,660,0,0,0,0,0,0,0,0,0,0,0,710,151,136,29,24,21,32,17,0,8,1119,434,23,3,0,0,0,0,0,0,3,471,337,27,7,0
POA3125,356,124,163,181,220,49,7,28,1476,0,0,0,0,0,0,0,0,0,0,4,152,283,401,137,186,212,251,54,11,30,1715,103,50,30,0,11,3,7,0,3,5,209,292,221,136,42,36,27,33,6,4,8,809,9,24,28,16,8,13,18,0,0,3,113,0,0,0,0,0,0,0,0,0,0,0,300,251,163,55,45,37,51,13,4,13,922,0,0,0,0,0,0,0,0,0,0,0,398,295,198,54,55,47,58,14,5,11,1136,153,35,22,0,6,0,0,0,3,5,220,284,87,71,17,13,8,7,6,0,0,495,21,17,31,17,17,6,13,0,0,4,128,0,0,0,0,0,0,0,0,0,0,0,305,105,101,31,25,19,22,10,0,6,624,0,0,0,0,0,0,0,0,0,0,0,461,141,118,35,28,20,22,6,5,8,846,161,19,8,0,6,0,0,0,0,0,196,290,25,8,0
POA3126,36,3,8,12,8,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,60,57,38,13,10,12,10,0,0,0,215,62,8,16,5,0,0,0,0,0,0,99,117,84,46,9,7,7,11,0,0,0,277,5,7,18,3,4,6,0,5,0,0,38,0,0,0,0,0,0,0,0,0,0,0,120,91,60,14,10,13,7,4,0,0,316,0,0,0,0,0,0,0,0,0,0,0,176,104,79,17,9,13,9,3,3,0,416,125,13,9,0,0,0,0,0,0,0,149,138,44,33,7,4,0,8,3,0,4,236,10,17,18,3,5,3,3,0,0,3,69,0,0,0,0,0,0,0,0,0,0,0,142,62,52,13,12,0,10,9,0,8,305,0,0,0,0,0,0,0,0,0,0,0,272,72,61,13,12,0,9,3,0,8,449,151,3,0,0,5,0,0,0,0,0,167,164,8,4,0
POA3127,108,57,34,36,42,8,0,3,469,0,0,0,0,0,0,0,0,0,0,0,155,148,143,65,41,47,46,15,5,5,664,141,56,47,3,10,9,4,0,0,3,275,269,180,101,38,27,23,18,11,0,0,667,0,3,21,5,6,15,3,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,277,186,115,39,30,33,28,16,0,0,724,0,0,0,0,0,0,0,0,0,3,3,421,238,158,47,39,42,29,15,0,12,1004,311,57,22,0,3,0,10,0,0,6,408,252,94,47,8,4,7,4,5,4,3,432,6,12,30,11,10,8,12,4,0,4,99,0,0,0,0,0,0,0,0,0,0,0,258,107,75,25,14,19,17,11,0,6,534,0,0,0,0,0,0,0,0,0,0,0,574,167,98,26,11,18,23,9,0,12,939,346,25,5,0,0,0,0,0,0,3,380,234,22,15,0
POA3128,832,300,405,380,345,72,12,58,3056,0,0,3,0,0,0,0,0,0,7,8,255,500,903,315,433,406,378,87,18,68,3362,135,34,37,7,7,6,5,4,0,0,236,414,426,258,64,82,66,60,33,14,15,1431,36,58,90,34,67,79,60,20,4,15,459,0,0,0,0,0,0,0,0,0,0,5,449,476,344,103,150,141,120,53,21,26,1888,0,0,0,0,0,0,0,0,0,0,5,585,508,381,112,157,152,126,54,21,30,2128,210,33,18,3,0,5,0,0,0,3,269,392,154,82,14,31,17,18,25,13,10,755,56,67,86,25,70,67,69,15,6,15,474,0,0,0,0,0,0,0,0,0,0,0,451,223,165,38,102,81,84,45,17,24,1235,0,0,0,0,0,0,0,0,0,0,4,655,252,184,42,103,85,84,45,17,32,1502,217,8,14,0,0,0,0,0,0,3,245,327,33,25,3
POA3129,322,83,105,105,86,35,4,27,1202,0,0,0,0,0,0,0,0,0,0,0,188,340,356,92,121,114,97,38,7,34,1383,133,32,23,9,8,3,0,0,0,6,212,450,312,183,39,61,27,31,13,4,3,1124,18,41,48,18,28,14,18,8,0,6,202,0,4,0,0,0,0,0,0,0,0,6,470,360,236,58,84,40,49,20,8,8,1327,0,0,0,0,0,0,0,0,0,0,0,607,387,257,65,86,44,54,20,8,15,1542,228,29,11,0,0,0,3,0,0,6,277,335,135,78,11,16,6,15,0,0,3,598,53,45,50,28,36,27,24,5,4,11,271,0,0,0,0,0,0,0,0,0,0,6,384,178,132,39,55,36,40,8,0,14,879,0,0,0,0,0,0,0,0,0,0,3,614,209,144,35,52,34,39,8,0,16,1157,255,5,4,0,0,0,0,0,0,3,270,363,33,12,4
POA3130,404,101,113,123,94,30,4,29,1430,0,0,0,0,0,0,0,0,0,3,4,266,429,456,119,122,147,110,26,5,37,1719,276,89,60,16,8,4,9,0,0,9,468,693,544,339,55,64,65,58,16,12,12,1846,11,35,41,20,22,11,18,6,3,3,175,0,0,0,0,0,0,0,0,0,0,4,706,583,375,76,83,70,80,22,13,17,2023,0,0,0,0,0,0,0,0,0,0,0,982,667,437,92,86,76,91,22,13,23,2495,444,80,13,0,0,6,0,0,0,7,548,543,199,124,16,22,13,7,0,4,13,941,51,43,68,14,19,11,13,7,0,8,233,0,0,0,0,0,0,0,0,0,0,0,594,240,197,27,34,28,23,8,4,23,1176,0,0,0,0,0,0,0,0,0,0,0,1037,315,208,26,36,28,23,15,4,27,1726,466,35,20,4,0,0,0,0,0,9,531,577,47,19,5
POA3131,404,111,107,126,108,21,3,18,1415,0,0,0,0,0,0,0,0,0,0,0,249,388,442,116,109,136,113,31,3,25,1610,198,45,38,6,11,9,6,0,3,5,320,567,469,277,72,57,46,36,3,3,7,1545,14,27,50,15,10,13,11,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,582,495,326,85,64,56,47,9,9,13,1680,0,0,0,0,0,0,0,0,0,0,0,783,543,364,90,77,59,56,8,7,14,2000,259,32,17,0,0,6,0,3,0,5,326,438,163,99,10,15,9,13,0,0,11,756,60,40,50,5,9,11,9,5,3,9,192,0,0,0,0,0,0,0,0,0,0,0,492,204,144,15,22,20,22,3,3,15,950,0,0,0,0,0,0,0,0,0,0,0,754,232,169,15,26,22,24,7,3,22,1279,277,12,4,0,0,0,0,0,0,10,310,447,58,19,0
POA3132,233,73,61,54,53,22,3,10,822,0,0,0,0,0,0,0,0,0,0,0,187,251,268,82,75,64,62,22,3,18,1029,160,54,41,0,5,9,3,0,0,3,274,351,353,220,34,49,34,29,3,3,5,1082,9,21,25,3,9,6,12,3,0,0,86,0,0,0,0,0,0,0,0,0,0,0,362,379,244,37,57,36,33,10,3,7,1166,0,0,0,0,0,0,0,0,0,0,3,524,433,282,42,57,42,40,10,3,16,1447,204,19,9,0,0,0,3,0,0,3,242,217,96,48,8,4,5,7,0,0,6,385,27,22,19,3,6,3,4,5,0,3,90,0,0,0,0,0,0,0,0,0,0,0,235,120,66,15,16,8,8,3,0,9,476,0,0,0,0,0,0,0,0,0,0,0,439,144,79,16,17,8,11,0,0,12,719,245,11,7,0,0,0,0,0,0,3,261,216,27,3,3
POA3133,289,60,45,56,42,15,5,18,892,0,0,0,0,0,0,0,0,0,0,0,157,309,307,68,54,60,42,21,3,15,1035,183,31,32,0,3,3,5,0,0,0,264,511,562,333,61,58,63,37,12,4,9,1639,10,38,59,11,12,14,8,3,3,4,163,0,0,0,0,0,0,0,0,0,3,3,520,603,391,76,71,74,43,19,8,14,1809,0,0,0,0,0,0,0,0,0,0,6,699,633,421,77,75,77,46,18,8,14,2069,278,60,30,0,0,6,0,0,0,8,375,534,236,133,21,18,16,5,9,6,8,988,51,57,45,14,9,10,12,4,0,4,206,0,0,0,0,0,0,0,0,0,0,0,589,288,177,37,25,25,13,8,6,12,1191,0,0,0,0,0,0,0,0,0,0,0,867,346,212,37,25,30,13,10,6,18,1570,349,34,9,0,0,0,0,0,0,14,394,515,71,29,4
