POA_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
POA3163,13,0,409,26,146,3,0,154,0,176,0,5,3,0,12,0,12,0,0,0,0,0,0,0,26,151,13,0,162,0,187,0,0,0,0,0,0,0,425,165,13,0,177,0,600,254,11,0,0,11,0,261,11,94,3,0,95,0,107,0,0,3,0,4,0,4,0,0,0,0,0,0,0,11,91,5,0,100,0,112,0,0,0,0,0,0,0,263,101,5,0,106,0,370,152,11,0,0,11,0,155,0,61,6,0,66,0,64,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,64,8,0,68,0,70,0,0,0,0,0,0,0,155,67,8,0,78,0,228,2914,161,0,0,165,0,3081,309,1747,48,0,1793,4,2112,7,67,28,0,89,0,95,0,0,0,0,0,0,0,317,1809,77,0,1882,4,2201,0,0,0,0,0,0,0,3229,1977,80,0,2056,4,5288
POA3165,29,0,570,22,286,5,0,292,0,310,0,13,8,0,20,0,20,0,0,0,0,0,0,0,22,300,14,0,309,0,334,0,0,0,0,0,0,0,562,332,11,0,345,0,909,307,7,0,0,7,0,315,16,166,7,0,172,0,187,0,5,8,0,19,0,19,0,0,0,0,0,0,0,16,173,20,0,192,0,209,0,0,0,0,0,0,0,323,179,20,0,200,0,524,147,3,0,0,3,0,152,11,59,0,0,65,0,71,0,5,11,0,16,0,17,0,0,0,0,0,0,0,11,64,15,0,80,0,89,0,0,0,0,0,0,0,159,72,15,0,85,0,240,3793,215,5,0,216,0,4013,362,2290,60,0,2344,0,2709,4,85,58,0,144,0,151,0,4,0,0,5,0,5,364,2374,116,0,2492,0,2859,10,3,0,0,3,6,15,4169,2597,118,0,2712,3,6883
POA3166,6,0,301,29,149,7,0,153,0,180,0,0,5,0,4,0,4,0,0,0,0,0,0,0,29,152,10,0,159,0,185,0,0,0,0,0,0,0,320,154,10,0,167,0,486,197,3,0,0,3,0,206,11,94,5,0,103,0,118,0,3,8,0,15,0,18,0,0,0,0,0,0,0,14,104,14,0,116,0,132,0,0,0,0,0,0,0,211,106,14,0,120,0,334,108,5,0,0,5,0,112,7,64,4,0,66,0,74,0,4,3,0,15,0,15,0,0,0,0,0,0,0,7,69,9,0,81,0,82,0,0,0,0,0,0,0,110,72,9,0,82,0,189,2078,124,0,0,124,0,2198,291,1548,53,0,1600,0,1891,0,82,28,0,110,0,110,0,4,0,0,0,0,0,295,1625,75,0,1705,0,2007,3,0,0,0,0,0,3,2376,1751,75,0,1834,6,4211
POA3167,6,0,104,6,69,0,0,68,0,73,0,5,10,0,8,0,8,0,0,0,0,0,0,0,6,70,13,0,83,0,89,0,0,0,0,0,0,0,102,78,13,0,90,0,191,55,3,0,0,3,0,59,3,40,3,0,47,0,58,0,4,3,0,14,0,14,0,0,0,0,0,0,0,3,47,13,0,63,0,67,0,0,0,0,0,0,0,60,50,13,0,64,0,125,24,0,0,0,0,0,24,5,39,5,0,43,0,47,0,9,3,0,6,0,6,0,0,0,0,0,0,0,5,42,11,0,51,0,55,0,0,0,0,0,0,0,28,42,11,0,51,0,82,706,55,0,0,55,0,766,97,790,39,0,830,5,933,0,45,29,0,74,0,75,0,0,0,0,0,0,0,96,837,66,0,905,5,1004,0,3,3,0,7,0,7,807,900,68,0,968,5,1773
POA3168,4,0,45,10,103,8,0,115,0,118,0,15,5,0,19,0,19,0,0,0,0,0,0,0,10,114,14,0,130,0,142,0,0,0,0,0,0,0,49,121,14,0,135,0,185,18,6,0,0,6,0,23,5,62,5,0,67,0,73,0,8,6,0,14,0,14,0,0,0,0,0,0,0,5,72,16,0,88,0,91,0,0,0,0,0,0,0,23,77,16,0,90,0,116,15,4,0,0,4,0,17,3,44,0,0,44,0,50,0,5,7,0,13,0,13,0,0,0,0,0,0,0,3,51,7,0,54,0,55,0,0,0,0,0,0,0,18,55,7,0,55,0,74,318,54,0,0,54,0,373,105,1182,72,0,1253,0,1354,3,88,42,0,130,0,126,0,3,0,0,3,0,3,102,1269,108,0,1380,0,1484,4,0,0,0,0,0,4,422,1330,108,0,1441,0,1862
POA3169,4,0,90,17,192,22,0,217,0,228,0,27,6,0,33,0,33,0,0,0,0,0,0,0,17,215,30,0,248,0,261,0,0,0,0,0,0,0,101,219,30,0,252,0,349,60,0,0,0,0,0,61,12,132,11,0,146,0,161,7,25,18,0,41,0,46,0,0,0,0,0,0,0,16,151,33,0,190,0,206,0,0,0,0,0,0,0,76,158,33,0,193,0,260,20,3,0,0,3,0,18,5,88,10,0,101,0,104,0,11,12,0,25,0,25,0,0,0,0,0,0,0,5,104,21,0,121,0,130,0,0,0,0,0,0,0,25,101,21,0,128,0,148,683,84,0,0,84,0,773,184,1787,95,0,1890,0,2078,7,204,85,0,294,0,301,3,0,0,0,0,0,3,198,1991,185,0,2184,0,2379,3,6,0,0,6,0,7,887,2081,185,0,2265,4,3150
POA3170,17,0,184,15,204,25,0,227,0,244,0,8,13,0,21,0,21,0,0,0,0,0,0,0,15,216,31,0,252,0,270,0,0,0,0,0,0,0,184,237,31,0,269,0,454,93,6,0,0,6,0,99,11,175,13,0,183,0,195,0,11,12,0,17,0,17,0,0,0,0,0,0,0,11,185,21,0,199,0,213,0,0,0,0,0,0,0,99,190,21,0,208,0,307,43,0,0,0,0,0,43,12,104,7,0,106,0,119,0,9,4,0,14,0,14,0,0,0,0,0,0,0,12,108,10,0,123,0,136,0,0,0,0,0,0,0,49,112,10,0,125,0,175,1278,121,0,0,120,0,1399,241,2004,87,0,2091,0,2326,7,97,46,0,144,0,151,0,0,0,0,0,0,0,245,2102,139,0,2239,0,2483,0,0,0,0,0,0,9,1524,2221,139,0,2358,0,3887
POA3171,3,0,36,11,138,30,0,166,0,182,0,49,88,0,138,0,138,0,0,0,0,0,0,0,11,192,112,0,306,0,314,0,0,0,0,0,0,0,41,196,112,0,309,0,348,10,3,0,0,3,0,15,3,125,17,0,139,0,146,6,62,80,0,136,0,145,0,0,0,0,0,0,0,10,188,91,0,282,0,286,0,0,0,0,0,0,0,20,191,91,0,280,0,301,8,0,0,0,0,0,7,0,60,15,0,74,0,74,0,37,48,0,80,0,81,0,0,0,0,0,0,0,5,96,61,0,155,0,160,0,0,0,0,0,0,0,11,97,61,0,154,0,170,235,35,9,0,41,0,270,129,1492,233,0,1719,4,1856,9,521,576,4,1101,0,1110,0,0,0,0,0,0,0,139,2012,805,9,2826,4,2969,0,4,4,0,10,9,20,375,2051,817,9,2870,15,3261
POA3172,11,0,260,24,149,22,0,177,0,193,3,54,54,0,110,0,112,0,0,0,0,0,0,0,24,212,77,0,284,0,308,0,0,0,0,3,0,3,269,221,74,0,296,0,567,123,3,0,0,3,0,128,9,104,10,0,116,0,123,0,36,60,0,100,0,100,0,0,0,0,0,0,0,9,139,72,0,216,0,226,0,0,0,0,0,0,0,135,141,76,0,221,0,358,72,4,0,0,4,0,73,0,49,10,0,60,0,65,0,23,35,0,55,0,55,0,0,0,0,0,0,0,0,78,44,0,121,0,121,0,0,0,0,0,5,5,72,83,44,0,129,5,195,1603,95,5,0,96,7,1707,203,1335,168,0,1505,3,1709,18,345,425,0,767,5,788,4,0,0,0,0,0,7,224,1688,594,0,2277,3,2505,0,0,3,0,4,3,8,1823,1781,603,0,2381,9,4219
POA3173,7,0,160,23,393,46,0,438,0,467,0,59,57,0,116,0,118,0,0,0,0,0,0,0,28,455,109,0,560,0,580,0,0,0,0,0,0,0,174,461,109,0,570,0,745,97,7,0,0,7,0,103,13,298,33,4,331,0,345,0,64,62,0,127,0,126,0,0,0,0,0,0,0,16,355,98,4,460,0,475,0,0,0,0,0,0,0,113,364,98,4,463,0,574,52,0,0,0,0,0,53,3,187,23,0,207,0,205,0,40,46,0,79,0,79,0,0,0,0,0,0,0,3,222,60,0,287,0,286,0,0,0,0,0,0,0,55,221,60,0,290,0,341,1326,142,5,0,150,0,1473,297,3416,314,3,3731,0,4024,19,504,407,0,911,3,933,0,8,0,0,8,0,8,316,3925,716,3,4647,4,4963,0,5,0,0,5,0,10,1638,4076,724,3,4804,8,6447
POA3174,18,0,138,26,286,33,0,320,0,347,0,77,108,0,188,0,190,0,0,0,3,3,0,3,26,366,147,4,511,0,538,0,0,0,0,0,0,0,149,383,147,4,531,0,680,56,3,0,0,0,0,64,11,197,23,0,224,0,234,5,61,62,0,125,0,126,0,0,0,0,0,0,0,11,257,89,0,349,0,363,0,0,0,0,0,0,0,76,259,90,0,352,0,425,18,3,0,0,3,0,22,0,121,19,0,140,0,142,5,35,48,0,81,0,86,0,0,0,0,0,0,0,6,153,69,0,223,0,223,0,0,0,0,0,0,0,25,159,69,0,229,0,255,942,147,3,0,157,0,1099,248,3096,328,7,3430,0,3682,20,736,680,5,1420,0,1445,0,3,3,8,12,0,12,271,3836,1011,17,4859,0,5137,3,5,5,0,8,6,15,1216,3985,1023,17,5023,9,6251
POA3175,13,0,162,27,511,40,0,556,0,583,0,151,120,0,271,0,273,0,0,0,0,0,0,0,30,664,163,0,831,0,855,0,0,0,0,0,0,0,184,677,163,0,837,0,1019,75,8,0,0,8,0,90,10,323,29,0,349,0,363,0,97,93,0,186,0,187,0,0,0,0,0,0,0,15,415,120,0,538,0,548,0,0,0,0,0,0,0,91,421,120,0,550,0,636,41,4,0,0,4,0,44,3,166,22,0,191,0,197,0,61,73,0,135,0,135,0,0,0,0,0,0,0,3,234,94,0,326,0,329,0,0,0,0,0,0,0,42,235,94,0,327,0,375,1234,203,6,0,212,0,1443,261,5097,366,12,5472,7,5745,16,1344,810,0,2156,0,2172,0,3,5,4,10,0,10,278,6443,1184,16,7646,7,7928,5,15,0,0,14,19,44,1518,6662,1189,16,7874,31,9419
POA3177,4,0,31,6,91,11,0,106,0,114,0,41,50,0,90,0,90,0,0,0,0,0,0,0,6,132,66,0,193,0,203,0,0,0,0,0,0,0,34,132,66,0,195,0,236,8,3,0,0,3,0,9,0,47,4,0,53,0,53,0,26,29,0,53,0,53,0,0,0,0,0,0,0,0,69,35,0,109,0,110,0,0,0,0,0,0,0,9,76,35,0,112,0,119,3,3,0,0,3,0,8,0,20,11,0,24,0,24,0,20,21,0,35,0,35,0,0,0,0,0,0,0,0,35,31,0,61,0,67,0,0,0,0,0,0,0,0,36,31,0,69,0,66,241,50,0,0,46,0,292,40,1025,93,0,1111,3,1156,0,367,249,3,616,0,621,4,0,0,0,0,0,7,40,1391,343,3,1733,3,1780,0,0,0,0,0,5,11,283,1439,345,3,1785,8,2081
POA3178,18,0,676,32,262,9,0,269,0,308,3,20,8,0,25,0,26,0,0,0,0,0,0,0,41,282,17,0,299,0,334,0,0,0,0,0,0,0,691,304,17,0,319,0,1009,360,13,0,0,13,0,379,31,230,13,0,241,0,274,0,17,10,0,31,0,31,0,0,0,0,0,0,0,31,245,24,0,273,0,308,0,0,0,0,0,0,0,391,263,24,0,290,0,679,203,4,0,0,4,0,208,16,162,11,0,175,0,183,0,8,13,0,27,0,27,0,0,0,0,0,0,0,16,176,27,0,194,0,212,0,0,0,0,0,0,0,211,181,27,0,204,0,417,3964,174,0,0,176,0,4142,286,2136,106,0,2244,0,2529,3,142,74,5,227,6,232,0,4,0,0,4,0,4,289,2282,182,10,2471,6,2763,8,0,4,0,0,0,10,4261,2459,179,11,2653,6,6914
POA3179,3,0,97,0,67,5,0,70,0,69,0,11,8,0,14,0,14,0,0,0,0,0,0,0,0,75,10,0,81,0,88,0,0,0,0,0,0,0,101,75,10,0,83,0,188,35,0,0,0,0,0,37,0,65,6,0,64,0,70,0,8,6,0,10,0,10,0,0,0,0,0,0,0,0,70,8,0,81,0,80,0,0,0,0,0,0,0,36,73,8,0,83,0,119,21,0,0,0,0,0,21,4,45,0,0,41,0,45,0,4,7,0,12,0,12,0,0,0,0,0,0,0,4,42,7,0,53,0,54,0,0,0,0,0,0,0,25,46,7,0,55,0,77,544,15,0,0,15,0,560,39,530,32,0,566,4,606,0,41,35,0,79,0,79,0,0,0,0,0,0,0,39,581,63,0,644,4,686,0,0,0,0,0,0,0,578,596,63,0,666,4,1245
POA3180,4,0,100,4,71,6,0,83,0,84,0,9,3,0,17,0,17,0,0,0,0,0,0,0,4,82,10,0,91,0,104,0,0,0,0,0,0,0,102,84,10,0,101,0,202,63,0,0,0,0,0,62,0,42,3,0,42,0,45,0,5,8,0,9,0,9,0,0,0,0,0,0,0,0,42,10,0,54,0,55,0,0,0,0,0,0,0,62,50,10,0,60,0,122,21,4,0,0,4,0,28,0,35,0,0,38,0,39,0,3,6,0,8,0,8,0,0,0,0,0,0,0,0,43,3,0,46,0,48,0,0,0,0,0,0,0,27,43,3,0,49,0,78,664,31,0,0,31,0,695,63,572,37,0,610,0,672,6,57,22,0,81,0,86,0,0,0,0,0,0,0,68,631,60,0,694,0,761,0,0,0,0,0,0,0,727,662,60,0,723,0,1452
POA3181,6,0,115,8,23,0,0,26,0,35,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,19,3,0,26,0,40,0,0,0,0,0,0,0,120,28,3,0,29,0,151,76,0,0,0,0,0,83,7,24,0,0,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,0,0,22,0,24,0,0,0,0,0,0,0,85,25,0,0,25,0,108,37,0,0,0,0,0,37,3,12,0,0,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,16,0,20,0,0,0,0,0,0,0,37,12,0,0,16,0,47,1138,38,0,0,38,0,1180,107,233,5,0,236,0,345,4,9,3,0,10,0,13,0,0,0,0,0,0,0,112,239,5,0,247,0,358,0,0,0,0,0,0,0,1251,282,5,0,289,0,1535
POA3182,6,0,137,6,18,0,0,18,0,25,0,3,0,0,3,0,3,0,0,0,0,0,0,0,6,23,0,0,18,0,28,0,0,0,0,0,0,0,139,28,0,0,28,0,167,70,4,0,0,4,0,75,5,10,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,12,0,0,0,0,0,0,0,81,7,0,0,7,0,88,27,3,0,0,3,0,30,3,6,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,11,0,11,0,0,0,0,0,0,0,34,9,0,0,9,0,41,1083,50,0,0,50,0,1135,103,299,8,0,302,0,405,0,11,3,0,14,0,14,0,0,0,0,0,0,0,105,312,13,0,321,0,424,0,0,0,0,0,0,0,1190,361,10,0,368,0,1562
POA3183,10,0,217,6,65,0,0,65,0,72,0,0,0,0,6,0,6,0,0,0,0,0,0,0,6,71,0,0,70,0,77,0,0,0,0,0,0,0,217,75,0,0,74,0,297,98,4,0,0,4,0,104,5,31,0,0,31,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,0,31,0,29,0,0,0,0,0,0,0,109,30,0,0,30,0,137,53,5,0,0,5,0,55,0,10,0,0,10,0,10,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,10,3,0,14,0,14,0,0,0,0,0,0,0,53,17,3,0,21,0,71,1939,99,0,0,99,8,2047,112,594,24,0,618,5,732,0,19,4,0,24,0,24,0,0,0,0,0,0,0,112,613,24,0,645,5,757,0,0,0,0,0,0,8,2055,715,24,0,741,16,2812
POA3184,3,0,194,9,14,0,0,17,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,20,0,27,0,0,0,0,0,0,0,199,16,0,0,18,0,219,110,10,0,0,10,0,115,10,10,0,0,10,0,23,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,14,0,0,14,0,23,0,0,0,0,0,0,0,119,18,0,0,24,0,139,51,3,0,0,3,0,52,3,4,0,0,4,0,12,0,5,0,0,5,0,5,0,0,0,0,0,0,0,3,6,0,0,6,0,11,0,0,0,0,0,0,0,53,10,0,0,10,0,62,1492,87,0,0,87,0,1575,124,196,0,0,197,0,319,0,9,0,0,10,0,10,0,0,0,0,0,0,0,124,202,4,0,206,0,335,0,0,0,0,0,0,0,1618,288,4,0,289,0,1904
POA3185,13,0,266,16,42,0,0,42,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,42,0,0,42,0,57,0,0,0,0,0,0,0,275,49,0,0,49,0,323,159,4,0,0,4,0,162,7,21,0,0,21,0,26,0,0,3,0,3,0,3,0,0,0,0,0,0,0,7,21,3,0,19,0,29,0,0,0,0,0,0,0,171,22,3,0,23,0,193,85,0,0,0,0,0,88,0,17,0,0,17,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,20,0,20,0,0,0,0,0,0,0,87,19,0,0,20,0,110,1901,91,0,0,91,0,1990,110,442,3,4,448,0,563,0,10,12,0,22,0,22,0,0,0,0,0,0,0,110,451,16,4,469,0,580,12,6,0,0,6,0,12,2028,541,16,4,557,0,2584
POA3186,10,0,594,27,61,0,0,64,0,84,0,3,8,0,8,0,11,0,0,0,0,0,0,0,22,65,5,0,70,0,101,0,0,0,0,0,0,0,611,79,5,0,86,0,692,428,14,0,0,14,0,439,16,53,0,0,58,0,71,0,7,5,0,10,0,10,0,0,0,0,0,0,0,16,58,5,0,61,0,79,4,0,0,0,0,0,4,443,71,5,0,71,0,520,212,5,0,0,5,0,224,13,33,0,0,37,0,45,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,32,6,0,36,0,48,0,0,0,0,0,0,0,224,41,6,0,45,0,270,3493,111,3,0,113,0,3605,230,509,23,0,530,0,763,4,38,29,0,71,0,71,0,0,0,0,0,0,0,236,543,51,0,598,0,831,6,0,0,0,0,0,10,3740,657,54,0,709,0,4449
POA3187,12,0,481,28,77,9,0,85,0,108,0,7,0,0,5,0,5,0,0,0,0,0,0,0,28,87,8,0,95,0,121,0,0,0,0,0,0,0,492,93,8,0,107,0,593,259,3,0,0,3,0,260,20,69,5,0,70,0,97,0,0,5,0,3,0,3,0,0,0,0,0,0,0,20,68,9,0,77,0,96,0,0,0,0,0,0,0,278,70,9,0,84,0,361,136,3,0,0,3,0,140,13,39,0,0,42,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,41,4,0,48,0,60,0,0,0,0,0,0,0,143,49,4,0,49,0,196,2773,113,0,0,113,0,2881,202,675,28,0,703,0,909,0,22,18,0,40,0,40,0,0,0,0,0,0,0,202,690,47,0,745,0,950,0,0,0,0,0,0,0,2976,805,47,0,855,0,3830
POA3188,6,0,516,20,47,0,0,47,0,69,0,0,6,0,3,0,3,0,0,0,0,0,0,0,20,46,6,0,48,0,71,0,0,0,0,0,0,0,526,56,6,0,58,0,588,355,10,0,0,10,0,365,11,48,0,0,48,0,62,0,4,0,0,4,0,4,0,0,0,0,0,0,0,11,53,0,0,53,0,66,0,0,0,0,0,0,0,375,56,0,0,56,0,432,187,3,0,0,3,0,187,9,19,0,0,19,0,28,0,0,4,0,4,0,4,0,0,0,0,0,0,0,9,19,4,0,24,0,32,0,0,0,0,0,0,0,191,23,4,0,29,0,219,3097,112,0,0,112,0,3213,209,475,8,0,481,0,693,0,21,15,0,34,0,32,0,0,0,0,0,0,0,211,495,19,0,515,0,726,3,0,0,0,0,0,3,3317,608,19,0,630,0,3947
POA3189,4,0,96,10,21,0,0,24,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,28,0,32,0,0,0,0,0,0,0,101,25,0,0,26,0,132,53,0,0,0,0,0,53,7,16,0,0,16,0,21,0,5,0,0,5,0,5,0,0,0,0,0,0,0,7,17,0,0,17,0,23,0,0,0,0,0,0,0,54,17,0,0,17,0,73,13,0,0,0,0,0,19,6,14,0,0,14,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,14,0,21,0,0,0,0,0,0,0,20,17,0,0,15,0,38,776,39,0,0,39,0,807,82,307,12,0,319,0,399,0,9,7,0,17,0,17,0,0,0,0,0,0,0,82,316,19,0,336,0,424,0,0,0,0,0,0,0,857,350,19,0,369,0,1229
POA3190,3,0,202,13,37,0,0,42,0,56,0,0,5,0,5,0,4,0,0,0,0,0,0,0,11,37,5,0,43,0,56,0,0,0,0,0,0,0,215,43,5,0,47,0,260,116,6,0,0,6,0,116,13,15,4,0,19,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,4,0,20,0,30,0,0,0,0,0,0,0,126,20,4,0,30,0,150,58,0,0,0,0,0,61,3,10,3,0,14,0,19,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,15,3,0,15,0,21,0,0,0,0,0,0,0,60,12,3,0,17,0,81,1718,58,0,0,58,3,1786,120,363,8,0,372,0,491,6,17,8,0,29,0,33,0,0,0,0,0,0,0,127,379,17,0,395,0,525,0,0,0,0,0,0,0,1850,434,17,0,453,3,2310
